	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_042347.1_26	NC_042347.1	NC_042347.1	26	13103	13357	1	E	YP_009639292.1	YP_009639292.1 transmembrane domain protein [Sulfolobus ellipsoid virus 1]	False	0.896	159.0	1.9e-45					0	False	
NC_042347.1_27	NC_042347.1	NC_042347.1	27	13354	13611	-1	E	YP_009639293.1	YP_009639293.1 hypothetical protein FGG62_gp27 [Sulfolobus ellipsoid virus 1]	False	0.936	169.0	7.328e-49					0	False	
NC_042347.1_28	NC_042347.1	NC_042347.1	28	13937	16381	1	E	YP_009639295.1	YP_009639295.1 VP2 transmembrane domain protein [Sulfolobus ellipsoid virus 1]	True	0.942	1609.0	0.0					0	False	
NC_042347.1_29	NC_042347.1	NC_042347.1	29	16374	18299	1	E	YP_009639296.1	YP_009639296.1 3 transmembrane domain protein [Sulfolobus ellipsoid virus 1]	True	0.941	1266.0	0.0					0	False	F
NC_042347.1_30	NC_042347.1	NC_042347.1	30	18405	18602	-1	E	YP_009639297.1	YP_009639297.1 hypothetical protein FGG62_gp31 [Sulfolobus ellipsoid virus 1]	False	0.978	136.0	6.927e-38					0	False	F
NC_042347.1_31	NC_042347.1	NC_042347.1	31	18717	19031	-1	E	YP_009639298.1	YP_009639298.1 hypothetical protein FGG62_gp32 [Sulfolobus ellipsoid virus 1]	False	0.985	218.0	1.2760000000000001e-65					0	False	F
NC_042347.1_32	NC_042347.1	NC_042347.1	32	19000	19362	-1	E	YP_009639299.1	YP_009639299.1 Zn_C2H2-containing protein [Sulfolobus ellipsoid virus 1]	False	1.0	257.0	1.365e-78					0	False	F
NC_042347.1_33	NC_042347.1	NC_042347.1	33	19352	19654	-1	E	YP_009639300.1	YP_009639300.1 hypothetical protein FGG62_gp34 [Sulfolobus ellipsoid virus 1]	False	1.0	214.0	4.654e-64					0	False	F
NC_042347.1_34	NC_042347.1	NC_042347.1	34	19676	20032	1	E	YP_009639301.1	YP_009639301.1 hypothetical protein FGG62_gp35 [Sulfolobus ellipsoid virus 1]	False	0.964	242.0	2.023e-73					0	False	F
NC_042347.1_35	NC_042347.1	NC_042347.1	35	20007	20588	1	E											0	False	F
NC_042347.1_36	NC_042347.1	NC_042347.1	36	20591	22588	1	D	YP_009639302.1	YP_009639302.1 DNA polymerase [Sulfolobus ellipsoid virus 1]	True	0.97	1360.0	0.0	DNA polymerase type B, organellar and viral [PF03175.16]; DNA polymerase family B [PF00136.24]	VOG00710	sp|P48311|DPOL_ADE40 DNA polymerase; XhXr	Xr;Xh	0	False	VF
NC_042347.1_37	NC_042347.1	NC_042347.1	37	22581	22910	-1	E	YP_009639303.1	YP_009639303.1 hypothetical protein FGG62_gp37 [Sulfolobus ellipsoid virus 1]	False	0.983	228.0	6.039e-69					0	False	F
