GVOG	num_proteins_in_GVOG	Mean_Length	consensus_NCVOG	NCVOG_descs	consensus_NOGs	nog_descs	nog_categories	consensus_pfams	pfam_descs
GVOGm0101	1089	366	NCVOG0699 | NCVOG4445 | NCVOG5301 | NCVOG4418 | NCVOG0450 | NCVOG4414 | NCVOG4416 | NCVOG1013 | NCVOG4421 | NCVOG4123 | NCVOG0451 | NCVOG5341 | NCVOG4122 | NCVOG2058 | NCVOG4422 | NCVOG4116 | NCVOG4590 | NCVOG2775 | NCVOG4121 | NCVOG2860 | NCVOG4423	ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | uncharacterized protein | ankyrin repeat protein | ankyrin repeat protein | hypothetical protein, similar to ankyrin | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein	KOG0509 | 2SRQ2 | 2RWHZ | 2RRY2 | 2SJHA | 2SAG5 | 2R9KB | 2SH8P | 2RYI8 | 2SJ13 | 2T3X2 | 2SS4J | 2RF76 | KOG2421 | KOG4214 | 2T3DQ | 2SKKU | 2SXCF | 2RRVB | 2RGC3 | 2T3YD | 2SND2 | 2RZCC | 2RYJM | KOG4369 | 2TE8H | 2SSN2 | 2S01I | 2R3RD | 2SUEX | 2RRX6 | 2RVX8 | KOG0503 | 2RUUR | KOG4412 | 2RT4Z | KOG0510 | 2T1I4 | 2RS00 | KOG0502 | 2RRV9 | 2RRY9 | 2SPFS | 2SXYB | KOG0508 | 2T3QX | 2SZ34 | 2S08F | 2RRY1 | 2T21M | KOG0507 | 2T3IC | 2T3MA | 2RYD6 | 2SNGG | 2SA56 | 2R8GF | 2RRZR | 2RWSN	protein-cysteine S-palmitoyltransferase activity | ankyrin repeats | Ankyrin repeats (3 copies) | unknown | unknown | unknown | Ankyrin repeats (many copies) | Ankyrin repeats (3 copies) | unknown | Ankyrin repeats (many copies) | unknown | Ankyrin repeats (3 copies) | unknown | glycerophosphocholine phosphodiesterase activity | regulation of barbed-end actin filament capping | Ankyrin repeats (many copies) | unknown | unknown | Ankyrin repeats (many copies) | unknown | unknown | Ankyrin repeats (many copies) | unknown | Ankyrin repeats (many copies) | positive regulation of MDA-5 signaling pathway | unknown | unknown | Ankyrin repeats (many copies) | unknown | unknown | unknown | Ankyrin repeats (many copies) | asparagine catabolic process | Ankyrin repeats (many copies) | proteasome regulatory particle assembly | Ankyrin repeats (many copies) | temperature-gated cation channel activity | unknown | Ankyrin repeats (3 copies) | nerve growth factor signaling pathway | Ankyrin repeats (many copies) | ankyrin repeats | unknown | unknown | EP4 subtype prostaglandin E2 receptor binding | unknown | unknown | Ankyrin repeats (many copies) | unknown | unknown | Ankyrin repeat and sterile alpha motif | unknown | Ankyrin repeats (3 copies) | unknown | Ankyrin repeats (many copies) | Ankyrin repeats (3 copies) | Ankyrin repeats (many copies) | unknown | Ankyrin repeats (many copies)	C | S | U | EJ | BQ | L | Z | I | J	PF13637 | PF12796 | PF13857 | PF13606	Ank; Ank_4; Ankyrin repeats (many copies) | Ank; Ank_2; Ankyrin repeats (3 copies) | Ank; Ank_5; Ankyrin repeats (many copies) | Ank; Ank_3; Ankyrin repeat
GVOGm0023	1028	1492	NCVOG0274	DNA-directed RNA polymerase subunit alpha	2RUNJ | KOG3690 | KOG0260 | KOG0262 | KOG1715 | 2R24A | COG0086 | 2QPYA | KOG2618 | KOG4539 | KOG0261 | 2QXV6 | KOG0214 | arCOG04256 | arCOG04257 | KOG3108	RNA polymerase I subunit A N-terminus | peptidyl-dipeptidase activity | DNA-directed 5'-3' RNA polymerase activity | negative regulation of protein localization to nucleolus | structural constituent of ribosome | RNA polymerase Rpb1, domain 2 | DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates | DNA-directed 5'-3' RNA polymerase activity | Specifically binds 5-hydroxymethylcytosine (5hmC)- containing DNA in stem cells, suggesting that it acts as a specific reader of 5hmC in stem cells. May act as a peptidase | potassium ion transport | DNA-directed 5'-3' RNA polymerase activity | RNA polymerase I subunit A N-terminus | DNA-directed 5'-3' RNA polymerase activity | DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates | DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates | DNA metabolic process	J | M | K | O | L	PF00623 | PF04990 | PF04992 | PF05000 | PF04997 | PF04983 | PF04998	; RNA_pol_Rpb1_2; RNA polymerase Rpb1, domain 2 | ; RNA_pol_Rpb1_7; RNA polymerase Rpb1, domain 7 | ; RNA_pol_Rpb1_6; RNA polymerase Rpb1, domain 6 | ; RNA_pol_Rpb1_4; RNA polymerase Rpb1, domain 4 | ; RNA_pol_Rpb1_1; RNA polymerase Rpb1, domain 1 | ; RNA_pol_Rpb1_3; RNA polymerase Rpb1, domain 3 | ; RNA_pol_Rpb1_5; RNA polymerase Rpb1, domain 5
GVOGm0160	1012	213	NCVOG1154	SWIB/MDM2 domain-containing protein	KOG1946 | COG5531	regulation of transcription by RNA polymerase I | SWIB/MDM2 domain	B	PF02201	; SWIB; SWIB/MDM2 domain
GVOGm0018	1007	300	NCVOG0245	Patatin phospholipase	KOG2214 | COG4667 | COG1752 | KOG4231 | arCOG09020 | 2S8H8 | 2QVQJ | COG3621 | KOG3773	triglyceride mobilization | esterase of the alpha-beta hydrolase superfamily | Esterase of the alpha-beta hydrolase superfamily | phosphatidylethanolamine catabolic process | esterase of the alpha-beta hydrolase superfamily | Patatin-like phospholipase | Patatin-like phospholipase | Patatin-like phospholipase | triglyceride catabolic process	M | S | U | O | I | AT	PF01734	Patatin; Patatin; Patatin-like phospholipase
GVOGm0095	987	932	NCVOG0023	D5-like helicase-primase	2T6XR | 2S45Q | COG3378 | arCOG06914	unknown | D5 N terminal like | Phage plasmid primase P4 family | Phage plasmid primase, P4	S | KL	PF08706 | PF08707	; D5_N; D5 N terminal like | ; PriCT_2; Primase C terminal 2 (PriCT-2)
GVOGm0214	985	346	NCVOG0331	Ubiquitin carboxyl-terminal hydrolase	KOG4598 | COG5533 | KOG1872 | KOG4090 | KOG4745 | KOG1870 | KOG1871 | KOG1873 | KOG1867 | KOG2026 | KOG1863 | KOG1865 | KOG1868 | KOG1864 | KOG1866 | 2QSIQ | KOG3225 | KOG0944	thiol-dependent ubiquitin-specific protease activity | Opioid growth factor receptor (OGFr) conserved region | catalytic activity, acting on a protein | mitochondrion organization | metalloendopeptidase inhibitor activity | ubiquitinyl hydrolase activity | ubiquitinyl hydrolase activity | histone H2A K63-linked deubiquitination | ubiquitin carboxyl-terminal hydrolase | spliceosomal complex assembly | ubiquitinyl hydrolase activity | ubiquitinyl hydrolase activity | ubiquitinyl hydrolase activity | ubiquitinyl hydrolase activity | ubiquitinyl hydrolase activity | Ubiquitin carboxyl-terminal hydrolase | Mitochondrial import inner membrane translocase subunit | thiol-dependent ubiquitin-specific protease activity	O	PF00443 | PF13423	Peptidase_CA; UCH; Ubiquitin carboxyl-terminal hydrolase | Peptidase_CA; UCH_1; Ubiquitin carboxyl-terminal hydrolase
GVOGm0461	973	1159	NCVOG0037	DNA topoisomerase II	KOG0355 | COG0188 | KOG0896 | KOG2793 | arCOG04367 | COG0187 | arCOG04371	DNA topoisomerase type II (ATP-hydrolyzing) activity | A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner | protein K63-linked ubiquitination | methyltransferase activity | A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner | DNA topoisomerase II activity | A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	O | L | K	PF00204 | PF01751 | PF02518 | PF00521 | PF16898	S5; DNA_gyraseB; DNA gyrase B | Toprim-like; Toprim; Toprim domain | His_Kinase_A; HATPase_c; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase | ; DNA_topoisoIV; DNA gyrase/topoisomerase IV, subunit A | ; TOPRIM_C; C-terminal associated domain of TOPRIM
GVOGm1574	967	329	NCVOG0277 | NCVOG0276	Ribonucleotide reductase small subunit | ribonucleoside diphosphate reductase, beta subunit	KOG1567 | arCOG03658 | COG0208	ribonucleoside-diphosphate reductase activity | COG0208 Ribonucleotide reductase, beta subunit | Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides	K | F	PF00268	Ferritin; Ribonuc_red_sm; Ribonucleotide reductase, small chain
GVOGm0172	951	353	NCVOG3078 | NCVOG1127	putative transcription initiation factor IIB | transcription initiation factor IIB	arCOG01981 | KOG1597 | KOG1598	Stabilizes TBP binding to an archaeal box-A promoter. Also responsible for recruiting RNA polymerase II to the pre- initiation complex (DNA-TBP-TFIIB) | TBP-class protein binding | RNA polymerase III type 3 promoter DNA binding	K	PF00382	Cyclin; TFIIB; Transcription factor TFIIB repeat
GVOGm0015	937	435	NCVOG1255	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0056	936	339	NCVOG0313	TATA box binding protein (TBP)	arCOG01764	General factor that plays a role in the activation of archaeal genes transcribed by RNA polymerase. Binds specifically to the TATA box promoter element which lies close to the position of transcription initiation	K	PF00352	TBP-like; TBP; Transcription factor TFIID (or TATA-binding protein, TBP)
GVOGm0088	935	850	NCVOG1353	ribonucleoside diphosphate reductase, alpha subunit	arCOG03713 | COG1327 | arCOG03148 | COG1780 | COG0209 | KOG2672 | KOG3335 | KOG1112 | arCOG04276 | arCOG03151 | arCOG06423	Catalyzes the reduction of ribonucleotides to deoxyribonucleotides. May function to provide a pool of deoxyribonucleotide precursors for DNA repair during oxygen limitation and or for immediate growth after restoration of oxygen | Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes | TSCPD domain | Probably involved in ribonucleotide reductase function | Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides | lipoate synthase activity | regulation of lipid metabolic process | ribonucleoside-diphosphate reductase activity | Catalyzes the reduction of ribonucleotides to deoxyribonucleotides. May function to provide a pool of deoxyribonucleotide precursors for DNA repair during oxygen limitation and or for immediate growth after restoration of oxygen | Function in general translation initiation by promoting the binding of the formylmethionine-tRNA to ribosomes. Seems to function along with eIF-2 | intein-mediated protein splicing	U | F | FL | L | H | K	PF02867 | PF00317 | PF03477	PFL-like; Ribonuc_red_lgC; Ribonucleotide reductase, barrel domain | ; Ribonuc_red_lgN; Ribonucleotide reductase, all-alpha domain | ; ATP-cone; ATP cone domain
GVOGm0129	933	191	NCVOG1137	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0787	932	199	NCVOG1120	metallopeptidase WLM	2SWUG	unknown	S	PF08325	Peptidase_MA; WLM; WLM domain
GVOGm0152	903	228	NCVOG1083	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0073	901	294	NCVOG0158	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0263	899	172	NCVOG1129	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0014	892	321	NCVOG1164	A1L transcription factor/late transcription factor VLTF-2	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0028	873	187	NCVOG0645	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0183	871	329	NCVOG1049	short chain dehydrogenase	arCOG01367 | KOG1431 | arCOG04468 | arCOG03019 | COG1089 | KOG1429 | KOG0747 | arCOG01372 | arCOG01373 | arCOG01374 | arCOG01371 | COG1091 | COG1087 | KOG1430 | COG1898 | KOG1502 | COG1088 | KOG1371 | arCOG04627 | KOG1372 | arCOG01376 | COG0451 | KOG2774 | arCOG01369	dTDP-4-dehydrorhamnose reductase | GDP-L-fucose synthase activity | epimerase dehydratase | NAD-dependent epimerase dehydratase | Catalyzes the conversion of GDP-D-mannose to GDP-4- dehydro-6-deoxy-D-mannose | UDP-glucuronate decarboxylase activity | dTDP-glucose 4,6-dehydratase activity | Polysaccharide biosynthesis protein | Catalyzes the conversion of GDP-D-mannose to GDP-4- dehydro-6-deoxy-D-mannose | TIGRFAM CDP-glucose 4,6-dehydratase | dTDP-Glucose 4,6-dehydratase | dTDP-4-dehydrorhamnose reductase activity | Belongs to the NAD(P)-dependent epimerase dehydratase family | 3-beta-hydroxy-delta5-steroid dehydrogenase activity | dTDP-4-dehydrorhamnose 3,5-epimerase activity | dihydrokaempferol 4-reductase activity | dTDP-glucose 4,6-dehydratase activity | racemase and epimerase activity, acting on carbohydrates and derivatives | Catalyzes the two-step NADP-dependent conversion of GDP- 4-dehydro-6-deoxy-D-mannose to GDP-fucose, involving an epimerase and a reductase reaction | GDP-mannose 4,6-dehydratase activity | NAD-dependent epimerase dehydratase | ADP-glyceromanno-heptose 6-epimerase activity | L-threonine 3-dehydrogenase activity | NAD-dependent epimerase dehydratase	M | GM	PF01073 | PF04321 | PF02719 | PF16363 | PF01370	NADP_Rossmann; 3Beta_HSD; 3-beta hydroxysteroid dehydrogenase/isomerase family | NADP_Rossmann; RmlD_sub_bind; RmlD substrate binding domain | NADP_Rossmann; Polysacc_synt_2; Polysaccharide biosynthesis protein | NADP_Rossmann; GDP_Man_Dehyd; GDP-mannose 4,6 dehydratase | NADP_Rossmann; Epimerase; NAD dependent epimerase/dehydratase family
GVOGm0001	869	537	NCVOG1045	XRN 5'-3' exonuclease	KOG2044 | KOG3952 | KOG2045	5'-3' exoribonuclease activity | peptidyl-serine ADP-ribosylation | 5'-3' exonuclease activity	ADL	PF03159 | PF17846	PIN; XRN_N; XRN 5'-3' exonuclease N-terminus | ; XRN_M; Xrn1 helical domain
GVOGm0031	865	431	NCVOG1192	YqaJ viral recombinase	336AX | 30IDW | 2SR6D | 2S1HG | 2T9Q4 | COG5377 | 2S916 | 2R7B6 | 2ZAS3 | 2S0S7 | 3036R	YqaJ-like viral recombinase domain | YqaJ-like viral recombinase domain | YqaJ-like viral recombinase domain | unknown | YqaJ-like viral recombinase domain | YqaJ viral recombinase family | YqaJ-like viral recombinase domain | YqaJ-like viral recombinase domain | YqaJ-like viral recombinase domain | unknown | YqaJ-like viral recombinase domain	S | L	PF09588	PDDEXK; YqaJ; YqaJ-like viral recombinase domain
GVOGm0041	862	182.5	NCVOG1342	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0021	857	306	NCVOG1278	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0189	854	273	NCVOG0278	RuvC, Holliday junction resolvases (HJRs); Poxvirus A22 family	2S4DK	crossed form four-way junction DNA binding	S	PF09159 | PF04848	RNase_H; Ydc2-catalyt; Mitochondrial resolvase Ydc2 / RNA splicing MRS1 | RNase_H; Pox_A22; Poxvirus A22 protein
GVOGm0798	853	330	NCVOG1354	Ribonuclease III	KOG1817 | 2SNSJ | COG0571 | KOG3769 | 2SWS4 | arCOG03457 | KOG0701	ribonuclease III activity | Double-stranded RNA binding motif | ribonuclease III activity | ribosomal protein | Double-stranded RNA binding motif | PFAM Ribonuclease III | ribonuclease III activity	J | K | S	PF14622 | PF00636	RNase_III; Ribonucleas_3_3; Ribonuclease-III-like | RNase_III; Ribonuclease_3; Ribonuclease III domain
GVOGm0083	843	271	NCVOG0236	Nudix hydrolase (D10 ortholog)	2S9V3 | 2SYFG | 2S6AN | KOG2937 | arCOG01078	unknown | NUDIX domain | NUDIX domain | m7G(5')pppN diphosphatase activity | COG0494 NTP pyrophosphohydrolases including oxidative damage repair enzymes	S | L	PF00293	NUDIX; NUDIX; NUDIX domain
GVOGm0036	840	1150	NCVOG1451 | NCVOG1117	mRNA capping enzyme N-terminal, ATPase and guanylyltransferase | mRNA capping enzyme large subunit, methyltransferase domain	KOG1975 | KOG2386 | 2T08I	mRNA (guanine-N7-)-methyltransferase activity | mRNA guanylyltransferase activity | mRNA capping enzyme	A | J | S	PF01331 | PF03291	DNA_ligase; mRNA_cap_enzyme; mRNA capping enzyme, catalytic domain | NADP_Rossmann; Pox_MCEL; mRNA capping enzyme
GVOGm0471	830	371	NCVOG0635	DNA directed RNA polymerase subunit L	KOG1521 | KOG1522 | arCOG04241 | KOG3438	transcription by RNA polymerase I | DNA-directed 5'-3' RNA polymerase activity | DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates | transcription by RNA polymerase I	K	PF13656 | PF01193	RBP11-like; RNA_pol_L_2; RNA polymerase Rpb3/Rpb11 dimerisation domain | RBP11-like; RNA_pol_L; RNA polymerase Rpb3/Rpb11 dimerisation domain
GVOGm0173	817	173	NCVOG0272	Transcription factor S-II (TFIIS)	KOG2906 | KOG2907 | arCOG00579 | KOG1105	termination of RNA polymerase III transcription | termination of RNA polymerase I transcription | Belongs to the archaeal rpoM eukaryotic RPA12 RPB9 RPC11 RNA polymerase family | transcription, DNA-templated	K	PF01096 | PF07500	Zn_Beta_Ribbon; TFIIS_C; Transcription factor S-II (TFIIS) | ; TFIIS_M; Transcription factor S-II (TFIIS), central domain
GVOGm0115	797	466	NCVOG1423	uncharacterized, C-terminal domain conserved in irido, asco, phycodna, mimi	2STRS	unknown	S	no_annot	no_annote
GVOGm0218	793	236			COG3306 | KOG4179	glycosyltransferase involved in LPS biosynthesis | procollagen galactosyltransferase activity	M | G	PF01755	GT-A; Glyco_transf_25; Glycosyltransferase family 25 (LPS biosynthesis protein)
GVOGm0027	792	201.5	NCVOG0522	RNA polymerase subunit 6	2S3YG | KOG3405 | arCOG01268	RNA polymerase Rpb6 | DNA-directed 5'-3' RNA polymerase activity | DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	K	PF01192	; RNA_pol_Rpb6; RNA polymerase Rpb6
GVOGm0048	792	342	NCVOG1216	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0215	784	442	NCVOG5125	AAA+ ATPase	arCOG00470 | KOG1969 | KOG1968	Part of the RFC clamp loader complex which loads the PCNA sliding clamp onto DNA | ATP binding | DNA clamp loader activity	E | O | L	PF00004	P-loop_NTPase; AAA; ATPase family associated with various cellular activities (AAA)
GVOGm0086	781	306	NCVOG0246	Ulp1 protease	2TJPD	unknown	S	PF02902	Peptidase_CA; Peptidase_C48; Ulp1 protease family, C-terminal catalytic domain
GVOGm0059	780	610	NCVOG1131	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0106	773	185	NCVOG4126 | NCVOG0628	uncharacterized protein | uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0051	767	170	NCVOG1068	dUTPase	KOG3370 | 2S1YV | COG0756	dUTP metabolic process | dUTPase | dUTP diphosphatase activity	F	PF00692	dUTPase; dUTPase; dUTPase
GVOGm0074	747	1004	NCVOG0105	DNA mismatch repair protein	COG0249 | arCOG02896 | 2QUUG | arCOG02895 | KOG0218 | 2QRQR | KOG0217 | 2QT8G | KOG0219 | KOG0221 | arCOG02897 | KOG0220 | KOG1689	that it carries out the mismatch recognition step. This protein has a weak ATPase activity | This protein is involved in the repair of mismatches in DNA | mitochondrial DNA repair | Has ATPase and non-specific DNA-binding activities | Component of the post-replicative DNA mismatch repair system (MMR) | DNA mismatch repair protein | mismatched DNA binding | ATPase domain of DNA mismatch repair MUTS family | negative regulation of reciprocal meiotic recombination | chiasma assembly | that it carries out the mismatch recognition step. This protein has a weak ATPase activity | chiasma assembly | regulation of mRNA cleavage	L	PF00488 | PF01624 | PF05192	P-loop_NTPase; MutS_V; MutS domain V | ; MutS_I; MutS domain I | ; MutS_III; MutS domain III
GVOG12725	734	78	NCVOG2216 | NCVOG1368	putative DNA-directed RNA polymerase II subunit N | RNA polymerase, subunit 10	KOG3497 | arCOG04244	DNA-directed 5'-3' RNA polymerase activity | DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	K | F	PF01194	; RNA_pol_N; RNA polymerases N / 8 kDa subunit
GVOGm0002	731	287	NCVOG5074 | NCVOG5083 | NCVOG5121 | NCVOG5165	uncharacterized protein | uncharacterized protein | uncharacterized protein | uncharacterized protein	3313J	unknown	S	no_annot	no_annote
GVOG12552	728	86	NCVOG0622	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm1399	721	172	NCVOG0651	translation initiation factor 4E	KOG1669 | 2QPP4 | KOG1670	translation initiation factor activity | translation initiation factor activity | translation initiation factor activity	J	PF01652	eIF4e; IF4E; Eukaryotic initiation factor 4E
GVOGm0311	699	197	NCVOG2249	DNA-directed RNA polymerase II subunit RPB7	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0735	697	193	NCVOG2616	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
