	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
NC_048778.1_NC_048778.1_16	NC_048778.1	NC_048778.1	16	11290	11682	-1	E											0
NC_048778.1_NC_048778.1_17	NC_048778.1	NC_048778.1	17	11682	12293	-1	E											0
NC_048778.1_NC_048778.1_18	NC_048778.1	NC_048778.1	18	12530	12802	-1	E											0
NC_048778.1_NC_048778.1_19	NC_048778.1	NC_048778.1	19	12804	13172	-1	E											0
NC_048778.1_NC_048778.1_20	NC_048778.1	NC_048778.1	20	13169	13522	-1	E											0
NC_048778.1_NC_048778.1_21	NC_048778.1	NC_048778.1	21	13522	13725	-1	E											0
NC_048778.1_NC_048778.1_22	NC_048778.1	NC_048778.1	22	13725	14012	-1	E											0
NC_048778.1_NC_048778.1_23	NC_048778.1	NC_048778.1	23	14009	14296	-1	E											0
NC_048778.1_NC_048778.1_24	NC_048778.1	NC_048778.1	24	14280	14534	-1	E											0
NC_048778.1_NC_048778.1_25	NC_048778.1	NC_048778.1	25	14611	15087	-1	E											0
NC_048778.1_NC_048778.1_26	NC_048778.1	NC_048778.1	26	15217	15360	-1	E											0
NC_048778.1_NC_048778.1_27	NC_048778.1	NC_048778.1	27	15357	15638	-1	E											0
NC_048778.1_NC_048778.1_28	NC_048778.1	NC_048778.1	28	15638	16042	-1	E											1
NC_048778.1_NC_048778.1_29	NC_048778.1	NC_048778.1	29	16029	16277	-1	E											0
NC_048778.1_NC_048778.1_30	NC_048778.1	NC_048778.1	30	16969	17061	1	E											0
NC_048778.1_NC_048778.1_31	NC_048778.1	NC_048778.1	31	17185	17529	-1	E											0
NC_048778.1_NC_048778.1_32	NC_048778.1	NC_048778.1	32	18048	31502	1	E											0
NC_048778.1_NC_048778.1_33	NC_048778.1	NC_048778.1	33	31499	33574	1	E											0
NC_048778.1_NC_048778.1_34	NC_048778.1	NC_048778.1	34	33624	35294	1	E											0
NC_048778.1_NC_048778.1_35	NC_048778.1	NC_048778.1	35	35362	35520	1	E											0
NC_048778.1_NC_048778.1_36	NC_048778.1	NC_048778.1	36	35596	36450	1	E											0
NC_048778.1_NC_048778.1_37	NC_048778.1	NC_048778.1	37	36459	38234	1	D										Fibronectin type III domain [PF00041.24]	0
NC_048778.1_NC_048778.1_38	NC_048778.1	NC_048778.1	38	38259	39218	1	D			MER0478946	M23B	MER0478946 - subfamily M23B non-peptidase homologues (Micromonospora chalcea) [M23.UNB]#M23B#{peptidase unit: 62-199}~source ACB37758~	False	123.0	1.066e-28	0.516	Peptidase family M23 [PF01551.25]	0
NC_048778.1_NC_048778.1_39	NC_048778.1	NC_048778.1	39	39220	39714	1	E											0
NC_048778.1_NC_048778.1_40	NC_048778.1	NC_048778.1	40	39707	40105	1	E											0
NC_048778.1_NC_048778.1_41	NC_048778.1	NC_048778.1	41	40098	40349	1	E											0
NC_048778.1_NC_048778.1_42	NC_048778.1	NC_048778.1	42	40386	41651	1	E											0
NC_048778.1_NC_048778.1_43	NC_048778.1	NC_048778.1	43	41662	42747	1	E											0
NC_048778.1_NC_048778.1_44	NC_048778.1	NC_048778.1	44	42747	43535	1	E											0
NC_048778.1_NC_048778.1_45	NC_048778.1	NC_048778.1	45	43535	46210	1	E											0
NC_048778.1_NC_048778.1_46	NC_048778.1	NC_048778.1	46	46219	46446	1	E											0
NC_048778.1_NC_048778.1_47	NC_048778.1	NC_048778.1	47	46450	48459	1	C	K01113	alkaline phosphatase D [EC:3.1.3.1]								PhoD-like phosphatase [PF09423.13]	0
NC_048778.1_NC_048778.1_48	NC_048778.1	NC_048778.1	48	48542	49480	1	E											0
NC_048778.1_NC_048778.1_49	NC_048778.1	NC_048778.1	49	49480	50190	1	E											0
NC_048778.1_NC_048778.1_50	NC_048778.1	NC_048778.1	50	50187	51302	1	E											0
NC_048778.1_NC_048778.1_51	NC_048778.1	NC_048778.1	51	51379	51618	1	E											0
NC_048778.1_NC_048778.1_52	NC_048778.1	NC_048778.1	52	51649	52086	1	E											0
NC_048778.1_NC_048778.1_53	NC_048778.1	NC_048778.1	53	52089	53603	1	C	K06909	phage terminase large subunit								Terminase RNAseH like domain [PF17288.5]	0
NC_048778.1_NC_048778.1_54	NC_048778.1	NC_048778.1	54	53593	53952	1	E											0
NC_048778.1_NC_048778.1_55	NC_048778.1	NC_048778.1	55	53906	54232	1	E											0
