	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_020082.1_NC_020082.1_23	NC_020082.1	NC_020082.1	23	14862	15380	1	E								0
NC_020082.1_NC_020082.1_24	NC_020082.1	NC_020082.1	24	15445	16587	1	D			Protein of unknown function (DUF3383) [PF11863.11]					0
NC_020082.1_NC_020082.1_25	NC_020082.1	NC_020082.1	25	16601	17005	1	E								0
NC_020082.1_NC_020082.1_26	NC_020082.1	NC_020082.1	26	17005	17406	1	E								0
NC_020082.1_NC_020082.1_27	NC_020082.1	NC_020082.1	27	17555	18214	1	E								0
NC_020082.1_NC_020082.1_28	NC_020082.1	NC_020082.1	28	18211	18507	1	E								0
NC_020082.1_NC_020082.1_29	NC_020082.1	NC_020082.1	29	18508	18648	-1	E								0
NC_020082.1_NC_020082.1_30	NC_020082.1	NC_020082.1	30	18635	18991	-1	E								0
NC_020082.1_NC_020082.1_31	NC_020082.1	NC_020082.1	31	18981	19331	-1	E								0
NC_020082.1_NC_020082.1_32	NC_020082.1	NC_020082.1	32	19328	19546	-1	E								0
NC_020082.1_NC_020082.1_33	NC_020082.1	NC_020082.1	33	19540	19815	-1	D			Bacteriophage P22, NinX [PF10765.12]					0
NC_020082.1_NC_020082.1_34	NC_020082.1	NC_020082.1	34	19875	21158	1	E								0
NC_020082.1_NC_020082.1_35	NC_020082.1	NC_020082.1	35	21155	22546	1	D			Transglycosylase SLT domain [PF01464.23]					0
NC_020082.1_NC_020082.1_36	NC_020082.1	NC_020082.1	36	22681	23406	1	D			Phage protein Gp138 N-terminal domain [PF18352.4]; GpV Apex motif [PF18946.3]					0
NC_020082.1_NC_020082.1_37	NC_020082.1	NC_020082.1	37	23403	23774	1	E								0
NC_020082.1_NC_020082.1_38	NC_020082.1	NC_020082.1	38	23746	24645	1	D			Baseplate J-like protein [PF04865.17]					0
NC_020082.1_NC_020082.1_39	NC_020082.1	NC_020082.1	39	24642	24956	1	E								0
NC_020082.1_NC_020082.1_40	NC_020082.1	NC_020082.1	40	24953	25597	1	D			Protein of unknown function (DUF2612) [PF11041.11]					0
NC_020082.1_NC_020082.1_41	NC_020082.1	NC_020082.1	41	25599	26210	1	E								0
NC_020082.1_NC_020082.1_42	NC_020082.1	NC_020082.1	42	26213	26563	1	D			Caudovirales tail fibre assembly protein, lambda gpK [PF02413.20]					0
NC_020082.1_NC_020082.1_43	NC_020082.1	NC_020082.1	43	26698	27009	-1	E								0
NC_020082.1_NC_020082.1_44	NC_020082.1	NC_020082.1	44	27006	27539	-1	C	K01185	lysozyme [EC:3.2.1.17]	Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm	0
NC_020082.1_NC_020082.1_45	NC_020082.1	NC_020082.1	45	27596	27721	1	E								0
NC_020082.1_NC_020082.1_46	NC_020082.1	NC_020082.1	46	27724	28155	1	E								0
NC_020082.1_NC_020082.1_47	NC_020082.1	NC_020082.1	47	28167	28436	1	E								0
NC_020082.1_NC_020082.1_48	NC_020082.1	NC_020082.1	48	28455	28700	-1	E								0
NC_020082.1_NC_020082.1_49	NC_020082.1	NC_020082.1	49	28743	30860	-1	E								0
NC_020082.1_NC_020082.1_50	NC_020082.1	NC_020082.1	50	30860	31048	-1	E								0
NC_020082.1_NC_020082.1_51	NC_020082.1	NC_020082.1	51	31217	31987	-1	E								0
NC_020082.1_NC_020082.1_52	NC_020082.1	NC_020082.1	52	31994	33145	-1	D			Protein of unknown function (DUF2800) [PF10926.11]					0
NC_020082.1_NC_020082.1_53	NC_020082.1	NC_020082.1	53	33149	34054	-1	E								0
NC_020082.1_NC_020082.1_54	NC_020082.1	NC_020082.1	54	34074	34277	-1	E								0
NC_020082.1_NC_020082.1_55	NC_020082.1	NC_020082.1	55	34411	34581	1	E								0
NC_020082.1_NC_020082.1_56	NC_020082.1	NC_020082.1	56	34572	36224	1	D			Type III restriction enzyme, res subunit [PF04851.18]; Helicase conserved C-terminal domain [PF00271.34]					0
NC_020082.1_NC_020082.1_57	NC_020082.1	NC_020082.1	57	36224	36721	1	E								0
NC_020082.1_NC_020082.1_58	NC_020082.1	NC_020082.1	58	36718	36930	1	E								0
NC_020082.1_NC_020082.1_59	NC_020082.1	NC_020082.1	59	36989	37273	1	E								0
NC_020082.1_NC_020082.1_60	NC_020082.1	NC_020082.1	60	37292	39640	1	D			Family of unknown function (DUF5906) [PF19263.2]					0
NC_020082.1_NC_020082.1_61	NC_020082.1	NC_020082.1	61	39891	40088	1	E								0
NC_020082.1_NC_020082.1_62	NC_020082.1	NC_020082.1	62	40092	40310	1	E								0
NC_020082.1_NC_020082.1_63	NC_020082.1	NC_020082.1	63	40307	40975	1	D			Pentapeptide repeats (9 copies) [PF13599.9]; Pentapeptide repeats (8 copies) [PF00805.25]; Pentapeptide repeats (9 copies) [PF13576.9]					0
NC_020082.1_NC_020082.1_64	NC_020082.1	NC_020082.1	64	40972	41133	1	E								0
NC_020082.1_NC_020082.1_65	NC_020082.1	NC_020082.1	65	41130	41453	1	E								0
NC_020082.1_NC_020082.1_66	NC_020082.1	NC_020082.1	66	41450	41731	1	E								0
NC_020082.1_NC_020082.1_67	NC_020082.1	NC_020082.1	67	41695	42339	-1	E								0
