index	L1	L2	L3	L4	KO	Function	EC	Count
5968	21_Cellular response to stress	Regulation of response to osmotic stress			K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	2.7.13.3	27
6531	21_Cellular response to stress	Response to osmotic stress			K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	2.7.13.3	27
12	01_Fermentation	Bifidobacterium shunt			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
35	01_Fermentation	Acetylene degradation			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
98	01_Fermentation	Lysine fermentation to acetate and butyrate			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
155	01_Fermentation	Mixed acid fermentation			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
297	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
311	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate II		K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
319	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
325	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate II		K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
330	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
355	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VII		K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
502	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
774	02_Homoacetogenesis	Acetate formation from acetyl-coA I			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
5541	21_Cellular response to stress	Cellular response to osmotic stress			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
5958	21_Cellular response to stress	Regulation of response to osmotic stress			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
6521	21_Cellular response to stress	Response to osmotic stress			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
5514	21_Cellular response to stress	Cellular response to osmotic stress			K10125	dctB; two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB	2.7.13.3	16
5931	21_Cellular response to stress	Regulation of response to osmotic stress			K10125	dctB; two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB	2.7.13.3	16
6494	21_Cellular response to stress	Response to osmotic stress			K10125	dctB; two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB	2.7.13.3	16
5501	21_Cellular response to stress	Cellular response to osmotic stress			K07709	zraS, hydH; two-component system, NtrC family, sensor histidine kinase HydH	2.7.13.3	24
5918	21_Cellular response to stress	Regulation of response to osmotic stress			K07709	zraS, hydH; two-component system, NtrC family, sensor histidine kinase HydH	2.7.13.3	24
6481	21_Cellular response to stress	Response to osmotic stress			K07709	zraS, hydH; two-component system, NtrC family, sensor histidine kinase HydH	2.7.13.3	24
3024	12_Transporters	ABC transporters, prokaryotic type	Mineral and organic ion transporters	Iron(III) transporter [mD:m00190]	K02010	afuC, fbpC; iron(III) transport system ATP-binding protein	7.2.2.7	4
3484	12_Transporters	Phosphotransferase system (pts)	Enzyme I and hpr	Maltose and glucose-specific II component [mD:m00266]	K02791	malX; maltose/glucose PTS system EIICB component	2.7.1.199 2.7.1.208	21
4278	19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K13004	wbtD; galacturonosyltransferase WbtD	2.4.1.-	1
4501	19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Mucin type O-glycan biosynthesis		K13004	wbtD; galacturonosyltransferase WbtD	2.4.1.-	1
4644	19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	N-glycan biosynthesis		K13004	wbtD; galacturonosyltransferase WbtD	2.4.1.-	1
4831	19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Peptidoglycan biosynthesis		K13004	wbtD; galacturonosyltransferase WbtD	2.4.1.-	1
5178	20_Hydrolysis of polymers	Mannose			K13004	wbtD; galacturonosyltransferase WbtD	2.4.1.-	1
6724	21_Cellular response to stress	Response to osmotic stress			K13004	wbtD; galacturonosyltransferase WbtD	2.4.1.-	1
3503	12_Transporters	Phosphotransferase system (pts)	Enzyme I and hpr	N-acetylmuramic acid-specific II component [mD:m00303]	K11192	murP; N-acetylmuramic acid PTS system EIICB component	2.7.1.192	12
3150	12_Transporters	ABC transporters, prokaryotic type	Monosaccharide transporters	Simple sugar transporter [mD:m00221]	K02056	ABC.SS.A; simple sugar transport system ATP-binding protein	7.5.2.-	44
943	06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	3
1189	06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	3
1187	06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00314	SARDH; sarcosine dehydrogenase	1.5.8.3	2
3251	12_Transporters	ABC transporters, prokaryotic type	 metallic cation, iron-siderophore and vitamin b12 transporters	Zinc transporter [mD:m00242]	K09817	znuC; zinc transport system ATP-binding protein	7.2.2.20	2
1019	06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00265	gltB; glutamate synthase (NADPH) large chain	1.4.1.13	4
2986	11_Nitrogen cycle	Ammonia assimilation			K00265	gltB; glutamate synthase (NADPH) large chain	1.4.1.13	4
3242	12_Transporters	ABC transporters, prokaryotic type	 metallic cation, iron-siderophore and vitamin b12 transporters	Iron complex transporter [mD:m00240]	K02013	ABC.FEV.A; iron complex transport system ATP-binding protein	7.2.2.-	2
3469	12_Transporters	Phosphotransferase system (pts)	Enzyme I and hpr	Enzyme I	K08483	ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)	2.7.3.9	20
806	05_Fatty acid oxidation	Fatty acid beta-oxidation I			K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
836	05_Fatty acid oxidation	Fatty acid beta-oxidation II (core pathway)			K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
2948	11_Nitrogen cycle	Nitrogenated compounds Reduction	Assimilatory nitrate reduction	Nitrate to nitrite	K00360	nasB; assimilatory nitrate reductase electron transfer subunit	1.7.99.-	4
878	05_Fatty acid oxidation	Fatty acid activation			K00219	fadH; 2,4-dienoyl-CoA reductase (NADPH2)	1.3.1.34	2
456	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to propionate II (acrylate pathway)		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
536	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
614	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
657	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
835	05_Fatty acid oxidation	Fatty acid beta-oxidation I			K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
939	06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
3507	12_Transporters	Phosphotransferase system (pts)	Enzyme I and hpr	Fructose-specific II component [mD:m00273]	K02768	fruB; fructose PTS system EIIA component	2.7.1.202	43
3967	19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Lactose		K02768	fruB; fructose PTS system EIIA component	2.7.1.202	43
4026	19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Sucrose		K02768	fruB; fructose PTS system EIIA component	2.7.1.202	43
4073	19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Maltose		K02768	fruB; fructose PTS system EIIA component	2.7.1.202	43
4923	20_Hydrolysis of polymers	Starch			K02768	fruB; fructose PTS system EIIA component	2.7.1.202	43
5227	20_Hydrolysis of polymers	Mannose			K02768	fruB; fructose PTS system EIIA component	2.7.1.202	43
5303	20_Hydrolysis of polymers	Galactose			K02768	fruB; fructose PTS system EIIA component	2.7.1.202	43
3473	12_Transporters	Phosphotransferase system (pts)	Enzyme I and hpr	Phosphocarrier protein hpr	K11183	fruB, fpr; multiphosphoryl transfer protein	2.7.1.202	10
2846	09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01840	manB; phosphomannomutase	5.4.2.8	8
5271	20_Hydrolysis of polymers	Mannose			K01840	manB; phosphomannomutase	5.4.2.8	8
3034	12_Transporters	ABC transporters, prokaryotic type	Mineral and organic ion transporters	Spermidine/putrescine transporter [mD:m00299]	K11072	potA; spermidine/putrescine transport system ATP-binding protein	7.6.2.11	5
1519	06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K01586	lysA; diaminopimelate decarboxylase	4.1.1.20	3
2516	08_Hydrocarbon degradation	Aromatic carboxylic acid degradation			K01586	lysA; diaminopimelate decarboxylase	4.1.1.20	3
2819	09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01223	E3.2.1.86B, bglA; 6-phospho-beta-glucosidase	3.2.1.86	1
4394	19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K03574	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase	3.6.1.55	4
891	06_Amino acid utilization biosynthesis metabolism	Oxydation deamination			K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	1.4.1.3	1
1006	06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	1.4.1.3	1
1241	06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	1.4.1.3	1
1379	06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	1.4.1.3	1
1728	06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	1.4.1.3	1
2041	06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	1.4.1.3	1
2982	11_Nitrogen cycle	Ammonia assimilation			K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	1.4.1.3	1
2789	09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K12047	MGAM; maltase-glucoamylase	3.2.1.20 3.2.1.3	1
4013	19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Sucrose		K12047	MGAM; maltase-glucoamylase	3.2.1.20 3.2.1.3	1
4109	19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Maltose		K12047	MGAM; maltase-glucoamylase	3.2.1.20 3.2.1.3	1
4979	20_Hydrolysis of polymers	Starch			K12047	MGAM; maltase-glucoamylase	3.2.1.20 3.2.1.3	1
5337	20_Hydrolysis of polymers	Galactose			K12047	MGAM; maltase-glucoamylase	3.2.1.20 3.2.1.3	1
1144	06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K01426	E3.5.1.4, amiE; amidase	3.5.1.4	6
1270	06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K01426	E3.5.1.4, amiE; amidase	3.5.1.4	6
1417	06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01426	E3.5.1.4, amiE; amidase	3.5.1.4	6
2556	08_Hydrocarbon degradation	Other aromatics degradation			K01426	E3.5.1.4, amiE; amidase	3.5.1.4	6
2880	09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase			K01426	E3.5.1.4, amiE; amidase	3.5.1.4	6
1415	06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01270	pepD; dipeptidase D	3.4.13.-	2
798	05_Fatty acid oxidation	Fatty acid alpha-oxidation			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
872	05_Fatty acid oxidation	Fatty acid omega-oxidation			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
929	06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
1248	06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
1373	06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
1832	06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
2511	08_Hydrocarbon degradation	Hydrocarbon degradation			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
5064	20_Hydrolysis of polymers	Xylose			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
2796	09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01200	pulA; pullulanase	3.2.1.41	3
1518	06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K01439	dapE; succinyl-diaminopimelate desuccinylase	3.5.1.18	1
2842	09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01439	dapE; succinyl-diaminopimelate desuccinylase	3.5.1.18	1
1265	06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00669	AANAT; arylalkylamine N-acetyltransferase	2.3.1.87	1
65	01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01658	trpG; anthranilate synthase component II	4.1.3.27	28
218	01_Fermentation	Pyruvate fermentation to butanol			K01658	trpG; anthranilate synthase component II	4.1.3.27	28
386	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K01658	trpG; anthranilate synthase component II	4.1.3.27	28
535	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K01658	trpG; anthranilate synthase component II	4.1.3.27	28
613	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K01658	trpG; anthranilate synthase component II	4.1.3.27	28
656	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K01658	trpG; anthranilate synthase component II	4.1.3.27	28
1353	06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K01658	trpG; anthranilate synthase component II	4.1.3.27	28
2052	06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K01658	trpG; anthranilate synthase component II	4.1.3.27	28
4014	19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Sucrose		K01187	malZ; alpha-glucosidase	3.2.1.20	2
4113	19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Maltose		K01187	malZ; alpha-glucosidase	3.2.1.20	2
4975	20_Hydrolysis of polymers	Starch			K01187	malZ; alpha-glucosidase	3.2.1.20	2
5281	20_Hydrolysis of polymers	Galactose			K01187	malZ; alpha-glucosidase	3.2.1.20	2
5728	21_Cellular response to stress	Cellular response to stress			K04757	rsbW; serine/threonine-protein kinase RsbW	2.7.11.1	10
6016	21_Cellular response to stress	Regulation of translational initiation in response to osmotic stress			K04757	rsbW; serine/threonine-protein kinase RsbW	2.7.11.1	10
6323	21_Cellular response to stress	Response to osmotic stress			K04757	rsbW; serine/threonine-protein kinase RsbW	2.7.11.1	10
215	01_Fermentation	Pyruvate fermentation to butanol			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
288	01_Fermentation	Acetoin biosynthesis	Superpathway of 2,3-butanediol biosynthesis		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
295	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and alanine		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
306	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate II		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
326	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate II		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
345	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate V		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
353	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VI		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
361	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VIII		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
378	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
436	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol III		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
466	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to propionate II (acrylate pathway)		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
543	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
616	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
899	06_Amino acid utilization biosynthesis metabolism	Deamination of cystein and methionine			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
905	06_Amino acid utilization biosynthesis metabolism	Lysine degradation Iv			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
909	06_Amino acid utilization biosynthesis metabolism	Lysine degradation v			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
912	06_Amino acid utilization biosynthesis metabolism	Lysine degradation vI			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
984	06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
1240	06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
1303	06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
1492	06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
1540	06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
1700	06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
2882	10_TCA cycle	TCA cycle			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
5077	20_Hydrolysis of polymers	Xylose			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
6615	21_Cellular response to stress	Response to osmotic stress			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
2477	08_Hydrocarbon degradation	Polycyclic aromatic hydrocarbon degradation			K00155	LNAA, LNBA; L-tyrosine reductase	1.2.1.101	5
5552	21_Cellular response to stress	Cellular response to osmotic stress			K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	10
5969	21_Cellular response to stress	Regulation of response to osmotic stress			K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	10
6532	21_Cellular response to stress	Response to osmotic stress			K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	10
5812	21_Cellular response to stress	Cellular response to stress			K08884	K08884; serine/threonine protein kinase, bacterial	2.7.11.1	24
6100	21_Cellular response to stress	Regulation of translational initiation in response to osmotic stress			K08884	K08884; serine/threonine protein kinase, bacterial	2.7.11.1	24
6407	21_Cellular response to stress	Response to osmotic stress			K08884	K08884; serine/threonine protein kinase, bacterial	2.7.11.1	24
5546	21_Cellular response to stress	Cellular response to osmotic stress			K02482	flgS; two-component system, NtrC family, sensor kinase	2.7.13.3	33
5963	21_Cellular response to stress	Regulation of response to osmotic stress			K02482	flgS; two-component system, NtrC family, sensor kinase	2.7.13.3	33
6526	21_Cellular response to stress	Response to osmotic stress			K02482	flgS; two-component system, NtrC family, sensor kinase	2.7.13.3	33
5536	21_Cellular response to stress	Cellular response to osmotic stress			K11711	dctS; two-component system, LuxR family, sensor histidine kinase DctS	2.7.13.3	26
5953	21_Cellular response to stress	Regulation of response to osmotic stress			K11711	dctS; two-component system, LuxR family, sensor histidine kinase DctS	2.7.13.3	26
6516	21_Cellular response to stress	Response to osmotic stress			K11711	dctS; two-component system, LuxR family, sensor histidine kinase DctS	2.7.13.3	26
1166	06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K11188	PRDX6; peroxiredoxin 6	1.11.1.7 1.11.1.27 3.1.1.-	3
3719	15_Methylotrophy	Methane oxidation to cO2			K11188	PRDX6; peroxiredoxin 6	1.11.1.7 1.11.1.27 3.1.1.-	3
5633	21_Cellular response to stress	Cellular response to stress			K11188	PRDX6; peroxiredoxin 6	1.11.1.7 1.11.1.27 3.1.1.-	3
6158	21_Cellular response to stress	Response to nitrosative stress			K11188	PRDX6; peroxiredoxin 6	1.11.1.7 1.11.1.27 3.1.1.-	3
6799	21_Cellular response to stress	Response to oxidative stress			K11188	PRDX6; peroxiredoxin 6	1.11.1.7 1.11.1.27 3.1.1.-	3
1130	06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00430	E1.11.1.7; peroxidase	1.11.1.7	3
3718	15_Methylotrophy	Methane oxidation to cO2			K00430	E1.11.1.7; peroxidase	1.11.1.7	3
6788	21_Cellular response to stress	Response to oxidative stress			K00430	E1.11.1.7; peroxidase	1.11.1.7	3
820	05_Fatty acid oxidation	Fatty acid beta-oxidation I			K01692	paaF, echA; enoyl-CoA hydratase	4.2.1.17	20
848	05_Fatty acid oxidation	Fatty acid beta-oxidation II (core pathway)			K01692	paaF, echA; enoyl-CoA hydratase	4.2.1.17	20
867	05_Fatty acid oxidation	Fatty acid beta-oxidation IV (unsaturated)			K01692	paaF, echA; enoyl-CoA hydratase	4.2.1.17	20
885	05_Fatty acid oxidation	Fatty acid activation			K01692	paaF, echA; enoyl-CoA hydratase	4.2.1.17	20
959	06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K01692	paaF, echA; enoyl-CoA hydratase	4.2.1.17	20
1276	06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K01692	paaF, echA; enoyl-CoA hydratase	4.2.1.17	20
