#hmm_accession	TC1	TC2	gene_symbol	length	hmm_description	scope	type	subtype	class	subclass	db_version	hierarchy_node
NF000431.1	          400.000000	          400.000000	aac(6')-Ian	190	aminoglycoside N-acetyltransferase AAC(6')-Ian	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aac(6')-Ian
NF033074.0	          400.000000	          400.000000	aac(6')-Ib	184	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(6')-Ib
NF033374.6	          320.000000	          320.000000	aac(6')-Id	149	aminoglycoside N-acetyltransferase AAC(6')-Id	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(6')-Id
NF000507.1	          450.000000	          420.000000	aac(6')-Ie	201	aminoglycoside N-acetyltransferase AAC(6')-Ie	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aac(6')-Ie
NF033693.0	          340.000000	          340.000000	aac(6')-Ie	179	AAC(6')-Ie family aminoglycoside N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aac(6')-Ie_fam
NF000110.2	          300.000000	          300.000000	aac(6')-If	144	aminoglycoside N-acetyltransferase AAC(6')-If	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aac(6')-If
NF000158.2	          270.000000	          270.000000	aac(6')-Il	152	aminoglycoside N-acetyltransferase AAC(6')-Il	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aac(6')-Il
NF000016.1	          350.000000	          350.000000	aac(6')-Im	178	aminoglycoside N-acetyltransferase AAC(6')-Im	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aac(6')-Im
NF000486.1	          390.000000	          390.000000	aac(6')-Ip	173	aminoglycoside 6'-N-acetyltransferase AAC(6')-Ip	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aac(6')-Ip
NF000138.1	          320.000000	          320.000000	aac(6')-Iz	153	aminoglycoside N-acetyltransferase AAC(6')-Iz	core	AMR	AMR	AMINOGLYCOSIDE	TOBRAMYCIN	2024-01-31.1	aac(6')-Iz
NF033151.0	          400.000000	          400.000000	aacA10	178	AAC(6')-I family aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aacA10
NF000123.2	          300.000000	          300.000000	aacA34	146	aminoglycoside 6'-N-acetyltransferase AacA34	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aacA34
NF000152.2	          250.000000	          250.000000	aacA37	133	aminoglycoside 6'-N-acetyltransferase AacA37	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aacA37
NF000048.1	          400.000000	          400.000000	aacA40	184	aminoglycoside 6'-N-acetyltransferase AacA40	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aacA40
NF033130.1	          300.000000	          300.000000	aacA48	147	AacA48 family aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aac(6')-Iag
NF033150.1	          410.000000	          410.000000	aacA49	184	aminoglycoside 6'-N-acetyltransferase AacA49	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aacA49
NF033126.1	          587.000000	          587.000000	aadA1	258	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	2024-01-31.1	aadA1
NF033127.1	          595.500000	          595.500000	aadA3	258	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	2024-01-31.1	aadA3
NF000181.1	          500.000000	          500.000000	aadD1	253	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	2024-01-31.1	ant(4')-Ia
NF000079.1	          500.000000	          500.000000	aadD2	256	aminoglycoside O-nucleotidyltransferase ANT(4')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	ant(4')-Ib
NF000312.1	          600.000000	          600.000000	aadK	284	aminoglycoside 6-adenylyltransferase AadK	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	2024-01-31.1	aadK
NF033387.1	          450.000000	          450.000000	aadS	284	AadS family aminoglycoside 6-adenylyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	2024-01-31.1	aadS_fam
NF000355.3	          450.000000	          440.000000	abc-f	493	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	2024-01-31.1	abc-f
NF000171.1	          800.000000	          800.000000	abc-f	541	TlrC/CarA/OleB/SrmB family ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	2024-01-31.1	abcf-produ
NF033142.1	          975.000000	          975.000000	adeC	465	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC	plus	AMR	AMR	EFFLUX	EFFLUX	2024-01-31.1	adeC
NF012173.1	          680.000000	          680.000000	ampC	380	CMY2/MIR/ACT/EC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	CMY2-MIR-ACT-EC
NF041666.1	          860.000000	          860.000000	ampC	381	CMY2-MIR-ACT-EC family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	ampC_Ecan
NF041662.1	          825.000000	          825.000000	ampC	381	CMY2-MIR-ACT-EC family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	ampC_Kaer
NF041663.1	          860.000000	          860.000000	ampC	378	cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	ampC_Sliq
NF033085.1	          415.000000	          415.000000	ampC	356	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	bla-C
NF012172.1	          700.000000	          700.000000	ampC	382	FOX/MOX family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaCMY-FOX
NF000064.3	          350.000000	          350.000000	ant(2'')-Ia	177	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	ant(2'')-Ia
NF012157.0	          375.000000	          375.000000	ant(3'')	256	AadA family aminoglycoside 3''-O-nucleotidyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	2024-01-31.1	ant(3'')-I
NF033220.1	          400.000000	          400.000000	ant(3'')-II	258	ANT(3'')-II family aminoglycoside nucleotidyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	2024-01-31.1	ant(3'')-II
NF028535.0	          350.000000	          350.000000	ant(4')	251	ANT(4')-II family aminoglycoside nucleotidyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	2024-01-31.1	ant(4')-II
NF033061.1	          350.000000	          350.000000	ant(4')-I	253	ANT(4')-I family aminoglycoside nucleotidyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	2024-01-31.1	ant(4')-I
NF033084.2	          420.000000	          420.000000	ant(6)	280	aminoglycoside 6-adenylyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	2024-01-31.1	ant(6)
NF012212.0	          350.000000	          350.000000	ant(9)	248	aminoglycoside nucleotidyltransferase ANT(9)	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN	2024-01-31.1	ant(9)
NF000076.3	          600.000000	          600.000000	aph(2'')	301	APH(2'')-Ie/IVa family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aph-Ie-IVa
NF033692.1	          475.000000	          475.000000	aph(2'')-I	290	APH(2'')-Ia/If/Ih family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aph(2'')-I_a_f_h
NF000498.2	          600.000000	          600.000000	aph(2'')-I	297	APH(2'')-If/Ih family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aph(2'')-If_h
NF000044.2	          625.000000	          625.000000	aph(2'')-IIIa	306	aminoglycoside O-phosphotransferase APH(2'')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aph(2'')-IIIa
NF000015.3	          625.000000	          625.000000	aph(2'')-IIa	299	aminoglycoside O-phosphotransferase APH(2'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aph(2'')-IIa
NF000508.1	          600.000000	          570.000000	aph(2'')-Ia	277	aminoglycoside O-phosphotransferase APH(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aph(2'')-Ia
NF000132.2	          620.000000	          620.000000	aph(2'')-Ig	306	aminoglycoside O-phosphotransferase APH(2'')-Ig	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aph(2'')-Ig
NF041446.1	          625.000000	          625.000000	aph(2'')-Ii	297	aminoglycoside O-phosphotransferase APH(2'')-Ii	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	2024-01-31.1	aph(2'')-Ii
NF032896.1	          325.000000	          325.000000	aph(3'')	254	APH(3'') family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	2024-01-31.1	aph(3'')
NF032894.1	          600.000000	          600.000000	aph(3'')-Ia	272	aminoglycoside O-phosphotransferase APH(3'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	2024-01-31.1	aph(3'')-Ia
NF032895.1	          600.000000	          600.000000	aph(3'')-Ib	267	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	2024-01-31.1	aph(3'')-Ib
NF033068.1	          205.000000	          205.000000	aph(3')	255	APH(3') family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aph(3')
NF033059.2	          400.000000	          400.000000	aph(3')-I	267	APH(3')-I family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN	2024-01-31.1	aph(3')-I
NF032898.1	          360.000000	          360.000000	aph(3')-II	253	APH(3')-II family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	2024-01-31.1	aph(3')-II
NF033064.0	          530.000000	          530.000000	aph(3')-IIIa	264	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	2024-01-31.1	aph(3')-IIIa
NF033065.0	          530.000000	          530.000000	aph(3')-IVa	262	aminoglycoside O-phosphotransferase APH(3')-IVa	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	2024-01-31.1	aph(3')-IVa
NF032897.1	          450.000000	          450.000000	aph(3')-V	264	APH(3')-V family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aph(3')-V
NF033062.0	          525.000000	          525.000000	aph(3')-VI	259	APH(3')-VI family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	2024-01-31.1	aph(3')-VI
NF033066.0	          520.000000	          520.000000	aph(3')-VIII	267	aminoglycoside O-phosphotransferase APH(3')-VIII	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	2024-01-31.1	aph(3')-VIII
NF033067.1	          530.000000	          530.000000	aph(3')-VIIa	250	aminoglycoside O-phosphotransferase APH(3')-VIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	2024-01-31.1	aph(3')-VIIa
NF033063.0	          550.000000	          550.000000	aph(3')-XV	263	aminoglycoside O-phosphotransferase APH(3')-XV	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	2024-01-31.1	aph(3')-XV
NF000107.2	          725.000000	          725.000000	aph(4)-Ia	341	aminoglycoside O-phosphotransferase APH(4)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	HYGROMYCIN	2024-01-31.1	aph(4)-Ia
NF012160.0	          550.000000	          550.000000	aph(6)	270	APH(6) family putative aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2024-01-31.1	aph(6)-Smalt
NF012171.0	          325.000000	          325.000000	aph(6)-I	270	APH(6)-I family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	2024-01-31.1	aph(6)-I
NF033614.1	          460.000000	          460.000000	aph(6)-I	278	APH(6)-I family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	2024-01-31.1	aph(6)-Ic_gen
NF000011.2	          500.000000	          500.000000	aph(6)-Ic	280	aminoglycoside O-phosphotransferase APH(6)-Ic	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	2024-01-31.1	aph(6)-Ic
NF000137.2	          640.000000	          640.000000	aph(7'')-Ia	332	aminoglycoside O-phosphotransferase APH(7'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	HYGROMYCIN	2024-01-31.1	aph(7'')-Ia
NF000052.4	          680.000000	          680.000000	aph(9)-Ia	330	aminoglycoside O-phosphotransferase APH(9)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN	2024-01-31.1	aph(9)-Ia
NF000029.2	          675.000000	          675.000000	aph(9)-Ib	330	aminoglycoside O-phosphotransferase APH(9)-Ib	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN	2024-01-31.1	aph(9)-Ib
NF033112.0	          580.000000	          580.000000	aphA16	262	aminoglycoside 3'-O-phosphotransferase AphA16	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	2024-01-31.1	aphA16
NF000084.1	          550.000000	          550.000000	apmA	274	aminocyclitol acetyltransferase ApmA	core	AMR	AMR	AMINOGLYCOSIDE	APRAMYCIN	2024-01-31.1	apmA
NF033144.1	          130.000000	          130.000000	arr	131	NAD(+)--rifampin ADP-ribosyltransferase	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	2024-01-31.1	arr
NF000066.1	          250.000000	          250.000000	arr	137	NAD(+)--rifampin ADP-ribosyltransferase	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	2024-01-31.1	arr-2b
NF000318.1	          250.000000	          250.000000	arr	143	NAD(+)--rifampin ADP-ribosyltransferase	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	2024-01-31.1	arr-Msmeg
NF033877.0	          760.000000	          760.000000	arsB	429	arsenite efflux transporter membrane subunit ArsB	plus	STRESS	METAL	ARSENIC	ARSENITE	2024-01-31.1	arsB_pI258
NF007456.1	          242.000000	          242.000000	arsC	141	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	2024-01-31.1	arsC_gluta
NF033727.1	           95.000000	           95.000000	arsD	96	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	2024-01-31.1	arsD
NF040503.1	          170.000000	          170.000000	arsN1	159	arsinothricin resistance N-acetyltransferase ArsN1 family A	plus	STRESS	METAL	ARSENIC	ARSENIC	2024-01-31.1	arsN1a
NF040504.1	          210.000000	          210.000000	arsN1	159	arsinothricin resistance N-acetyltransferase ArsN1 family B	plus	STRESS	METAL	ARSENIC	ARSENIC	2024-01-31.1	arsN1b
NF040501.1	          125.000000	          125.000000	arsN2	133	arsenic resistance N-acetyltransferase ArsN2	plus	STRESS	METAL	ARSENIC	ARSENIC	2024-01-31.1	arsN2
NF033636.1	           50.000000	           40.000000	asr	119	acid resistance repetitive basic protein Asr	plus	STRESS	ACID			2024-01-31.1	asr
NF033646.1	           80.000000	           80.000000	astA	38	heat-stable enterotoxin EAST1	plus	VIRULENCE	VIRULENCE			2024-01-31.1	astA
NF033469.1	          205.000000	          205.000000	bcrB	105	quaternary ammonium compound efflux SMR transporter BcrB	core	STRESS	BIOCIDE	BACITRACIN	BACITRACIN	2024-01-31.1	SMR_efflux_bcrB
NF033470.1	          225.000000	          225.000000	bcrC	114	quaternary ammonium compound efflux SMR transporter BcrC	core	STRESS	BIOCIDE	BACITRACIN	BACITRACIN	2024-01-31.1	SMR_efflux_bcrC
NF033103.1	          200.000000	          200.000000	bla	257	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	bla-A
NF012099.1	          320.000000	          320.000000	bla	275	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	bla-A2
NF000538.0	          410.000000	          410.000000	bla	254	carbapenem-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	bla-A_carba
NF012167.0	          427.000000	          427.000000	bla	255	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	bla-A_firm
NF012229.1	          100.000000	          100.000000	bla	139	metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	bla-B
NF033088.2	          200.000000	          200.000000	bla	217	subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	bla-B1
NF041269.1	          350.000000	          350.000000	bla	334	subclass B1 metallo-beta-lactamase, long type	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	bla-B1_long
NF033087.1	          240.000000	          240.000000	bla	221	subclass B2 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	bla-B2
NF033105.1	          240.000000	          240.000000	bla	257	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	bla-B3
NF033096.1	          630.000000	          630.000000	bla	307	class A beta-lactamase Bla1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	bla1
NF012146.1	          270.000000	          270.000000	bla	237	BlaB/IND/MUS family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaB-IND-MUS
NF033626.2	          575.000000	          575.000000	bla	297	BKC/GPC family carbapenem-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaBKC_GPC
NF012137.0	          400.000000	          400.000000	bla	246	MUS/TUS/MOC family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaMUS-TUS-MOC
NF000275.2	          550.000000	          550.000000	bla	291	PLA/ORN/TER family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaPLA-ORN-TER
