	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
NC_004065.1_NC_004065.1_32	NC_004065.1	NC_004065.1	32	45987	47468	1	D										Herpesvirus phosphoprotein 85 (HHV6-7 U14/HCMV UL25) [PF04637.15]	0
NC_004065.1_NC_004065.1_33	NC_004065.1	NC_004065.1	33	47618	48883	-1	D										US22 like [PF02393.19]	0
NC_004065.1_NC_004065.1_34	NC_004065.1	NC_004065.1	34	48938	49387	-1	E											0
NC_004065.1_NC_004065.1_35	NC_004065.1	NC_004065.1	35	49441	50430	-1	D										Betaherpesvirus immediate-early glycoprotein UL37 [PF07413.14]	0
NC_004065.1_NC_004065.1_36	NC_004065.1	NC_004065.1	36	50462	51955	-1	E											0
NC_004065.1_NC_004065.1_37	NC_004065.1	NC_004065.1	37	52484	53200	-1	E											0
NC_004065.1_NC_004065.1_38	NC_004065.1	NC_004065.1	38	53265	53630	-1	E											0
NC_004065.1_NC_004065.1_39	NC_004065.1	NC_004065.1	39	53783	54055	-1	E											0
NC_004065.1_NC_004065.1_40	NC_004065.1	NC_004065.1	40	54352	54843	-1	E											0
NC_004065.1_NC_004065.1_41	NC_004065.1	NC_004065.1	41	54864	54989	-1	E											0
NC_004065.1_NC_004065.1_42	NC_004065.1	NC_004065.1	42	55351	57015	-1	D										US22 like [PF02393.19]	0
NC_004065.1_NC_004065.1_43	NC_004065.1	NC_004065.1	43	57885	59120	-1	D										Herpesvirus polymerase accessory protein [PF03325.16]	0
NC_004065.1_NC_004065.1_44	NC_004065.1	NC_004065.1	44	59515	61797	-1	D										Ribonucleotide reductase, barrel domain [PF02867.18]	0
NC_004065.1_NC_004065.1_45	NC_004065.1	NC_004065.1	45	61764	62975	-1	E											0
NC_004065.1_NC_004065.1_46	NC_004065.1	NC_004065.1	46	63040	63897	-1	D										Herpesvirus capsid shell protein VP19C [PF03327.17]	0
NC_004065.1_NC_004065.1_47	NC_004065.1	NC_004065.1	47	63923	67045	1	D										Herpes virus tegument protein U30 [PF04523.16]	0
NC_004065.1_NC_004065.1_48	NC_004065.1	NC_004065.1	48	67042	73491	1	D			MER0166059	C76	MER0166059 - family C76 (general) () [C76.UPW]#C76#{peptidase unit: 15-181}~source ACE95234~	False	0.978	346.0	1.274e-93	Herpesvirus tegument protein, N-terminal conserved region [PF04843.15]	0
NC_004065.1_NC_004065.1_49	NC_004065.1	NC_004065.1	49	73571	73867	-1	D										Small capsid protein of Herpesviridae [PF17086.8]	0
NC_004065.1_NC_004065.1_50	NC_004065.1	NC_004065.1	50	73919	75529	-1	D										UL49 family [PF03117.17]	0
NC_004065.1_NC_004065.1_51	NC_004065.1	NC_004065.1	51	75501	76451	-1	D										Herpesvirus virion protein U34 [PF04541.16]	0
NC_004065.1_NC_004065.1_52	NC_004065.1	NC_004065.1	52	76515	76895	-1	D										Herpesvirus UL33-like protein [PF03581.16]	0
NC_004065.1_NC_004065.1_53	NC_004065.1	NC_004065.1	53	76915	78468	1	D										Herpesvirus putative major envelope glycoprotein [PF01673.21]	1
NC_004065.1_NC_004065.1_54	NC_004065.1	NC_004065.1	54	78551	79462	1	D										Herpesvirus UL31-like protein [PF02718.17]	0
NC_004065.1_NC_004065.1_55	NC_004065.1	NC_004065.1	55	79701	82994	-1	C	K18964	Herpesviridae DNA polymerase catalytic subunit [EC:2.7.7.7]								DNA polymerase family B [PF00136.24]; DNA polymerase family B, exonuclease domain [PF03104.22]	0
NC_004065.1_NC_004065.1_56	NC_004065.1	NC_004065.1	56	83003	85768	-1	C	K19255	Herpesviridae envelope glycoprotein B								Herpesvirus Glycoprotein B [PF17416.5]; Herpesvirus Glycoprotein B ectodomain [PF00606.21]; Herpesvirus Glycoprotein B PH-like domain [PF17417.5]	0
NC_004065.1_NC_004065.1_57	NC_004065.1	NC_004065.1	57	85716	88106	-1	D										Herpesvirus processing and transport protein [PF01366.21]	0
NC_004065.1_NC_004065.1_58	NC_004065.1	NC_004065.1	58	88319	91894	-1	D										ssDNA binding protein [PF00747.20]	0
NC_004065.1_NC_004065.1_59	NC_004065.1	NC_004065.1	59	93241	94263	1	E											0
NC_004065.1_NC_004065.1_60	NC_004065.1	NC_004065.1	60	96193	98721	-1	D										Herpesvirus transcriptional regulator family [PF05459.15]	0
NC_004065.1_NC_004065.1_61	NC_004065.1	NC_004065.1	61	99010	101904	-1	E											0
NC_004065.1_NC_004065.1_62	NC_004065.1	NC_004065.1	62	101906	102802	1	D										Herpes virus U44 protein [PF04533.16]	0
NC_004065.1_NC_004065.1_63	NC_004065.1	NC_004065.1	63	103031	104350	-1	E											0
NC_004065.1_NC_004065.1_64	NC_004065.1	NC_004065.1	64	104496	105812	-1	D										Herpes UL74 glycoproteins [PF07982.15]	0
NC_004065.1_NC_004065.1_65	NC_004065.1	NC_004065.1	65	105904	106092	-1	E											0
NC_004065.1_NC_004065.1_66	NC_004065.1	NC_004065.1	66	106110	108287	-1	D										Herpesvirus glycoprotein H main domain [PF02489.19]; Herpesvirus glycoprotein H C-terminal domain [PF17488.5]	0
NC_004065.1_NC_004065.1_67	NC_004065.1	NC_004065.1	67	108420	108926	-1	E											0
NC_004065.1_NC_004065.1_68	NC_004065.1	NC_004065.1	68	108931	110817	1	D										Herpesvirus UL25 family [PF01499.19]	0
NC_004065.1_NC_004065.1_69	NC_004065.1	NC_004065.1	69	110989	112404	1	E											0
NC_004065.1_NC_004065.1_70	NC_004065.1	NC_004065.1	70	112639	113415	-1	D										UL79 family [PF03049.17]	0
NC_004065.1_NC_004065.1_71	NC_004065.1	NC_004065.1	71	113453	115507	1	D			MER1327995	S21	MER1327995 - family S21 unassigned peptidases () [S21.UPW]#S21#{peptidase unit: 1-269}~source CAP08120~	True	0.942	508.0	6.310000000000001e-155	Assemblin (Peptidase family S21) [PF00716.20]	0
NC_004065.1_NC_004065.1_72	NC_004065.1	NC_004065.1	72	115711	117507	-1	D										Betaherpesvirus UL82/83 protein N terminus [PF05784.14]	0
NC_004065.1_NC_004065.1_73	NC_004065.1	NC_004065.1	73	117614	120043	-1	D										Betaherpesvirus UL82/83 protein N terminus [PF05784.14]	0
NC_004065.1_NC_004065.1_74	NC_004065.1	NC_004065.1	74	120082	121845	-1	D										Betaherpesvirus UL82/83 protein N terminus [PF05784.14]	0
NC_004065.1_NC_004065.1_75	NC_004065.1	NC_004065.1	75	122189	123124	-1	D										Herpesvirus VP23 like capsid protein [PF01802.20]	0
NC_004065.1_NC_004065.1_76	NC_004065.1	NC_004065.1	76	123199	127260	-1	D										Herpes virus major capsid protein [PF03122.17]	0
NC_004065.1_NC_004065.1_77	NC_004065.1	NC_004065.1	77	127383	130163	1	D										Herpesvirus UL87 family [PF03043.17]; Protein of unknown function (DUF587) [PF04532.15]	0
NC_004065.1_NC_004065.1_78	NC_004065.1	NC_004065.1	78	130243	131523	1	D										Herpesvirus U59 protein [PF04529.15]	0
NC_004065.1_NC_004065.1_79	NC_004065.1	NC_004065.1	79	131646	132797	-1	D										Probable DNA packing protein, C-terminus [PF02499.18]	0
NC_004065.1_NC_004065.1_80	NC_004065.1	NC_004065.1	80	132920	133831	-1	E											0
NC_004065.1_NC_004065.1_81	NC_004065.1	NC_004065.1	81	134189	134767	1	D										UL92 family [PF03048.17]	1
NC_004065.1_NC_004065.1_82	NC_004065.1	NC_004065.1	82	134733	136280	1	D										Herpesvirus UL17 protein [PF04559.15]	0
NC_004065.1_NC_004065.1_83	NC_004065.1	NC_004065.1	83	136306	137271	1	D										Herpesvirus UL16/UL94 family [PF03044.17]	0
NC_004065.1_NC_004065.1_84	NC_004065.1	NC_004065.1	84	137243	138283	-1	D										Probable DNA packing protein, N-terminus [PF02500.18]	0
NC_004065.1_NC_004065.1_85	NC_004065.1	NC_004065.1	85	138408	139535	1	D										UL95 family [PF03038.17]	0
NC_004065.1_NC_004065.1_86	NC_004065.1	NC_004065.1	86	139535	139924	1	D										Protein of unknown function (DUF2664) [PF10867.11]	0
NC_004065.1_NC_004065.1_87	NC_004065.1	NC_004065.1	87	140024	142072	1	D										UL97 [PF06734.15]	0
NC_004065.1_NC_004065.1_88	NC_004065.1	NC_004065.1	88	142137	143786	1	D										Viral alkaline exonuclease [PF01771.20]; YqaJ-like viral recombinase domain [PF09588.13]	0
NC_004065.1_NC_004065.1_89	NC_004065.1	NC_004065.1	89	143807	144061	1	D										Tegument protein UL11 homolog [PF17474.5]	0
NC_004065.1_NC_004065.1_90	NC_004065.1	NC_004065.1	90	144296	145357	-1	D										Herpesvirus glycoprotein M [PF01528.19]	0
NC_004065.1_NC_004065.1_91	NC_004065.1	NC_004065.1	91	145596	148034	1	D										Herpesvirus DNA helicase/primase complex associated protein [PF03324.17]	0
NC_004065.1_NC_004065.1_92	NC_004065.1	NC_004065.1	92	148182	149105	-1	D										Herpesvirus UL7 like [PF01677.19]	0
NC_004065.1_NC_004065.1_93	NC_004065.1	NC_004065.1	93	149113	151110	-1	D										Herpesvirus UL6 like [PF01763.19]	0
NC_004065.1_NC_004065.1_94	NC_004065.1	NC_004065.1	94	151124	153874	1	D										Helicase [PF02689.17]	0
NC_004065.1_NC_004065.1_95	NC_004065.1	NC_004065.1	95	154890	154985	1	E											0
NC_004065.1_NC_004065.1_96	NC_004065.1	NC_004065.1	96	161983	162678	1	E											0
NC_004065.1_NC_004065.1_97	NC_004065.1	NC_004065.1	97	163196	163897	1	D										HSV U79 / HCMV P34 [PF03064.19]	0
NC_004065.1_NC_004065.1_98	NC_004065.1	NC_004065.1	98	164339	165079	1	E											0
NC_004065.1_NC_004065.1_99	NC_004065.1	NC_004065.1	99	165596	166384	-1	C	K03648	uracil-DNA glycosylase [EC:3.2.2.27]									0
NC_004065.1_NC_004065.1_100	NC_004065.1	NC_004065.1	100	166384	167208	-1	D										Cytomegalovirus glycoprotein L [PF01801.19]	0
NC_004065.1_NC_004065.1_101	NC_004065.1	NC_004065.1	101	167209	167973	1	E											0
NC_004065.1_NC_004065.1_102	NC_004065.1	NC_004065.1	102	168346	168630	1	E											0
NC_004065.1_NC_004065.1_103	NC_004065.1	NC_004065.1	103	169213	170910	-1	E											0
NC_004065.1_NC_004065.1_104	NC_004065.1	NC_004065.1	104	170980	171600	-1	E											0
NC_004065.1_NC_004065.1_105	NC_004065.1	NC_004065.1	105	171643	171945	-1	E											0
NC_004065.1_NC_004065.1_106	NC_004065.1	NC_004065.1	106	172056	172811	-1	E											0
NC_004065.1_NC_004065.1_107	NC_004065.1	NC_004065.1	107	173022	173390	-1	E											0
NC_004065.1_NC_004065.1_108	NC_004065.1	NC_004065.1	108	173438	173545	1	E											0
NC_004065.1_NC_004065.1_109	NC_004065.1	NC_004065.1	109	174054	174254	-1	E											0
NC_004065.1_NC_004065.1_110	NC_004065.1	NC_004065.1	110	174299	174640	-1	E											0
NC_004065.1_NC_004065.1_111	NC_004065.1	NC_004065.1	111	174637	175665	-1	E											0
NC_004065.1_NC_004065.1_112	NC_004065.1	NC_004065.1	112	175679	177775	-1	E											0
NC_004065.1_NC_004065.1_113	NC_004065.1	NC_004065.1	113	177980	178834	-1	D										Herpes virus intermediate/early protein 2/3 [PF03361.17]	0
NC_004065.1_NC_004065.1_114	NC_004065.1	NC_004065.1	114	179760	181235	-1	E											0
NC_004065.1_NC_004065.1_115	NC_004065.1	NC_004065.1	115	181379	181591	1	E											0
NC_004065.1_NC_004065.1_116	NC_004065.1	NC_004065.1	116	181656	181766	-1	E											0
NC_004065.1_NC_004065.1_117	NC_004065.1	NC_004065.1	117	186085	187299	1	D										US22 like [PF02393.19]	0
NC_004065.1_NC_004065.1_118	NC_004065.1	NC_004065.1	118	187347	187868	-1	E											0
NC_004065.1_NC_004065.1_119	NC_004065.1	NC_004065.1	119	188026	188271	-1	E											0
NC_004065.1_NC_004065.1_120	NC_004065.1	NC_004065.1	120	188692	189795	-1	E											0
NC_004065.1_NC_004065.1_121	NC_004065.1	NC_004065.1	121	189895	190221	-1	E											0
NC_004065.1_NC_004065.1_122	NC_004065.1	NC_004065.1	122	190310	191071	-1	E											0
NC_004065.1_NC_004065.1_123	NC_004065.1	NC_004065.1	123	191088	192092	-1	E											0
NC_004065.1_NC_004065.1_124	NC_004065.1	NC_004065.1	124	192233	193942	-1	E											0
NC_004065.1_NC_004065.1_125	NC_004065.1	NC_004065.1	125	194082	196016	-1	D										US22 like [PF02393.19]	0
NC_004065.1_NC_004065.1_126	NC_004065.1	NC_004065.1	126	196062	197516	-1	D										US22 like [PF02393.19]	0
NC_004065.1_NC_004065.1_127	NC_004065.1	NC_004065.1	127	197705	199264	-1	D										US22 like [PF02393.19]	0
NC_004065.1_NC_004065.1_128	NC_004065.1	NC_004065.1	128	199441	200778	-1	D										US22 like [PF02393.19]	0
NC_004065.1_NC_004065.1_129	NC_004065.1	NC_004065.1	129	200920	202593	-1	D										US22 like [PF02393.19]	0
NC_004065.1_NC_004065.1_130	NC_004065.1	NC_004065.1	130	202742	203893	-1	D										Immunoglobulin C1-set domain [PF07654.18]	0
NC_004065.1_NC_004065.1_131	NC_004065.1	NC_004065.1	131	204029	205492	-1	D										MHC class I-like protein M157 [PF11624.11]	0
NC_004065.1_NC_004065.1_132	NC_004065.1	NC_004065.1	132	205642	206775	-1	E											0
NC_004065.1_NC_004065.1_133	NC_004065.1	NC_004065.1	133	206862	207245	-1	E											0
NC_004065.1_NC_004065.1_134	NC_004065.1	NC_004065.1	134	207314	207502	-1	E											0
NC_004065.1_NC_004065.1_135	NC_004065.1	NC_004065.1	135	207623	208741	-1	D										MHC class I-like protein M157 [PF11624.11]	0
NC_004065.1_NC_004065.1_136	NC_004065.1	NC_004065.1	136	208814	209983	-1	D										MHC class I-like protein M157 [PF11624.11]	0
NC_004065.1_NC_004065.1_137	NC_004065.1	NC_004065.1	137	210241	211377	-1	D										MHC class I-like protein M157 [PF11624.11]	0
NC_004065.1_NC_004065.1_138	NC_004065.1	NC_004065.1	138	211587	212804	-1	D										MHC class I-like protein M157 [PF11624.11]	0
NC_004065.1_NC_004065.1_139	NC_004065.1	NC_004065.1	139	213138	213431	1	E											0
NC_004065.1_NC_004065.1_140	NC_004065.1	NC_004065.1	140	214434	215567	-1	D										MHC class I-like protein M157 [PF11624.11]	0
NC_004065.1_NC_004065.1_141	NC_004065.1	NC_004065.1	141	215776	215925	-1	E											0
NC_004065.1_NC_004065.1_142	NC_004065.1	NC_004065.1	142	215895	216884	-1	D										MHC class I-like protein M157 [PF11624.11]	0
NC_004065.1_NC_004065.1_143	NC_004065.1	NC_004065.1	143	216932	218002	-1	D										MHC class I-like protein M157 [PF11624.11]	0
NC_004065.1_NC_004065.1_144	NC_004065.1	NC_004065.1	144	218170	219366	-1	E											0
NC_004065.1_NC_004065.1_145	NC_004065.1	NC_004065.1	145	219598	220524	-1	E											0
NC_004065.1_NC_004065.1_146	NC_004065.1	NC_004065.1	146	220472	221095	-1	E											0
NC_004065.1_NC_004065.1_147	NC_004065.1	NC_004065.1	147	221186	221665	-1	E											0
NC_004065.1_NC_004065.1_148	NC_004065.1	NC_004065.1	148	221875	222414	-1	E											0
NC_004065.1_NC_004065.1_149	NC_004065.1	NC_004065.1	149	222366	223283	-1	E											0
NC_004065.1_NC_004065.1_150	NC_004065.1	NC_004065.1	150	223280	224278	-1	E											0
NC_004065.1_NC_004065.1_151	NC_004065.1	NC_004065.1	151	224413	225561	-1	E											0
NC_004065.1_NC_004065.1_152	NC_004065.1	NC_004065.1	152	225779	227089	-1	E											0
NC_004065.1_NC_004065.1_153	NC_004065.1	NC_004065.1	153	227920	228465	1	E											0
NC_004065.1_NC_004065.1_154	NC_004065.1	NC_004065.1	154	228310	228708	-1	E											0
NC_004065.1_NC_004065.1_155	NC_004065.1	NC_004065.1	155	228743	228976	-1	E											0
NC_004065.1_NC_004065.1_156	NC_004065.1	NC_004065.1	156	229339	230046	-1	E											0
