MZ334505.1_31	38654c755ccdee6ab1c7b9ccd248d435	563	SUPERFAMILY	SSF49899	Concanavalin A-like lectins/glucanases	194	381	8.31E-10	T	10-07-2023	IPR013320	Concanavalin A-like lectin/glucanase domain superfamily
MZ334505.1_89	b334155ec29ebd4d7a6d1465d1ebeddf	598	Pfam	PF04851	Type III restriction enzyme, res subunit	42	233	4.0E-6	T	10-07-2023	IPR006935	Helicase/UvrB, N-terminal
MZ334505.1_89	b334155ec29ebd4d7a6d1465d1ebeddf	598	Gene3D	G3DSA:3.40.50.300	-	40	253	3.9E-7	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334505.1_89	b334155ec29ebd4d7a6d1465d1ebeddf	598	Pfam	PF13307	Helicase C-terminal domain	435	579	6.7E-17	T	10-07-2023	IPR006555	ATP-dependent helicase, C-terminal
MZ334505.1_89	b334155ec29ebd4d7a6d1465d1ebeddf	598	Gene3D	G3DSA:3.40.50.300	-	399	583	6.4E-19	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334505.1_89	b334155ec29ebd4d7a6d1465d1ebeddf	598	SMART	SM00491	Cxpdneu3	444	566	1.8E-9	T	10-07-2023	IPR006555	ATP-dependent helicase, C-terminal
MZ334505.1_89	b334155ec29ebd4d7a6d1465d1ebeddf	598	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	27	230	4.74E-8	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334505.1_89	b334155ec29ebd4d7a6d1465d1ebeddf	598	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	423	563	9.35E-15	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334505.1_89	b334155ec29ebd4d7a6d1465d1ebeddf	598	PANTHER	PTHR11472	DNA REPAIR DEAD HELICASE RAD3/XP-D SUBFAMILY MEMBER	416	582	6.1E-14	T	10-07-2023	IPR045028	Helicase superfamily 1/2, DinG/Rad3-like
MZ334505.1_53	9523e4c44ff93c816d6462e2136859bf	157	MobiDBLite	mobidb-lite	consensus disorder prediction	138	157	-	T	10-07-2023	-	-
MZ334505.1_54	05300ef7425463ed75551de297bd75ea	304	MobiDBLite	mobidb-lite	consensus disorder prediction	241	269	-	T	10-07-2023	-	-
MZ334505.1_54	05300ef7425463ed75551de297bd75ea	304	MobiDBLite	mobidb-lite	consensus disorder prediction	241	271	-	T	10-07-2023	-	-
MZ334505.1_54	05300ef7425463ed75551de297bd75ea	304	Pfam	PF20314	Family of unknown function (DUF6610)	35	225	1.4E-57	T	10-07-2023	IPR046718	Protein of unknown function DUF6610
MZ334505.1_74	3ddb8e1a969ecc244163d080d2ad06de	276	Coils	Coil	Coil	188	231	-	T	10-07-2023	-	-
MZ334505.1_74	3ddb8e1a969ecc244163d080d2ad06de	276	Gene3D	G3DSA:3.30.479.30	Band 7 domain	43	196	1.2E-12	T	10-07-2023	IPR036013	Band 7/SPFH domain superfamily
MZ334505.1_74	3ddb8e1a969ecc244163d080d2ad06de	276	Pfam	PF01145	SPFH domain / Band 7 family	19	214	3.5E-29	T	10-07-2023	IPR001107	Band 7 domain
MZ334505.1_74	3ddb8e1a969ecc244163d080d2ad06de	276	MobiDBLite	mobidb-lite	consensus disorder prediction	256	276	-	T	10-07-2023	-	-
MZ334505.1_74	3ddb8e1a969ecc244163d080d2ad06de	276	PANTHER	PTHR23222	PROHIBITIN	13	252	1.1E-26	T	10-07-2023	IPR000163	Prohibitin
MZ334505.1_74	3ddb8e1a969ecc244163d080d2ad06de	276	SMART	SM00244	PHB_4	14	194	0.0064	T	10-07-2023	IPR001107	Band 7 domain
MZ334505.1_74	3ddb8e1a969ecc244163d080d2ad06de	276	PRINTS	PR00679	Prohibitin signature	212	228	9.2E-11	T	10-07-2023	IPR000163	Prohibitin
MZ334505.1_74	3ddb8e1a969ecc244163d080d2ad06de	276	PRINTS	PR00679	Prohibitin signature	164	183	9.2E-11	T	10-07-2023	IPR000163	Prohibitin
MZ334505.1_74	3ddb8e1a969ecc244163d080d2ad06de	276	PRINTS	PR00679	Prohibitin signature	189	212	9.2E-11	T	10-07-2023	IPR000163	Prohibitin
MZ334505.1_74	3ddb8e1a969ecc244163d080d2ad06de	276	CDD	cd03401	SPFH_prohibitin	19	228	7.36967E-43	T	10-07-2023	IPR000163	Prohibitin
MZ334505.1_74	3ddb8e1a969ecc244163d080d2ad06de	276	SUPERFAMILY	SSF117892	Band 7/SPFH domain	47	199	7.85E-11	T	10-07-2023	IPR036013	Band 7/SPFH domain superfamily
MZ334505.1_44	8469485f5bf1316cfc58eb8f2733025a	156	Gene3D	G3DSA:1.10.10.10	-	78	156	1.4E-5	T	10-07-2023	IPR036388	Winged helix-like DNA-binding domain superfamily
MZ334505.1_44	8469485f5bf1316cfc58eb8f2733025a	156	SUPERFAMILY	SSF46785	"Winged helix" DNA-binding domain	85	154	2.53E-7	T	10-07-2023	IPR036390	Winged helix DNA-binding domain superfamily
MZ334505.1_69	705e35f90dc28f6eabf26d7b22acf2e7	83	MobiDBLite	mobidb-lite	consensus disorder prediction	1	25	-	T	10-07-2023	-	-
MZ334505.1_11	cb8be3af6352e8fd34c9e3ba4264ee80	142	MobiDBLite	mobidb-lite	consensus disorder prediction	113	131	-	T	10-07-2023	-	-
MZ334505.1_11	cb8be3af6352e8fd34c9e3ba4264ee80	142	Coils	Coil	Coil	90	110	-	T	10-07-2023	-	-
MZ334505.1_11	cb8be3af6352e8fd34c9e3ba4264ee80	142	MobiDBLite	mobidb-lite	consensus disorder prediction	93	142	-	T	10-07-2023	-	-
MZ334505.1_11	cb8be3af6352e8fd34c9e3ba4264ee80	142	MobiDBLite	mobidb-lite	consensus disorder prediction	93	112	-	T	10-07-2023	-	-
MZ334505.1_97	95f8851c17d556a2daf7cca386d0e607	89	MobiDBLite	mobidb-lite	consensus disorder prediction	1	24	-	T	10-07-2023	-	-
MZ334505.1_91	329c8eb55779f86abb94937c2555a366	106	MobiDBLite	mobidb-lite	consensus disorder prediction	1	23	-	T	10-07-2023	-	-
MZ334505.1_91	329c8eb55779f86abb94937c2555a366	106	MobiDBLite	mobidb-lite	consensus disorder prediction	1	16	-	T	10-07-2023	-	-
MZ334505.1_21	66ad5bd9409180eaf30b7757c0b36b23	156	Coils	Coil	Coil	60	80	-	T	10-07-2023	-	-
MZ334505.1_35	2eec093e71293003a769fec3f2f1d444	278	MobiDBLite	mobidb-lite	consensus disorder prediction	1	15	-	T	10-07-2023	-	-
MZ334505.1_35	2eec093e71293003a769fec3f2f1d444	278	MobiDBLite	mobidb-lite	consensus disorder prediction	246	278	-	T	10-07-2023	-	-
MZ334505.1_35	2eec093e71293003a769fec3f2f1d444	278	MobiDBLite	mobidb-lite	consensus disorder prediction	1	30	-	T	10-07-2023	-	-
MZ334505.1_29	4e551f709a426f31247d7c8df256587d	411	MobiDBLite	mobidb-lite	consensus disorder prediction	173	192	-	T	10-07-2023	-	-
MZ334505.1_29	4e551f709a426f31247d7c8df256587d	411	Pfam	PF04865	Baseplate J-like protein	76	248	1.4E-23	T	10-07-2023	IPR006949	Baseplate protein J-like
MZ334505.1_61	4cedc9caa9f1e37f18f42a251fbe25bb	93	Pfam	PF19905	Domain of unknown function (DUF6378)	9	92	3.2E-27	T	10-07-2023	IPR045958	Domain of unknown function DUF6378
MZ334505.1_10	1e8edc86e55b432aad90b953484c698e	254	MobiDBLite	mobidb-lite	consensus disorder prediction	1	23	-	T	10-07-2023	-	-
MZ334505.1_10	1e8edc86e55b432aad90b953484c698e	254	MobiDBLite	mobidb-lite	consensus disorder prediction	236	254	-	T	10-07-2023	-	-
MZ334505.1_10	1e8edc86e55b432aad90b953484c698e	254	MobiDBLite	mobidb-lite	consensus disorder prediction	227	254	-	T	10-07-2023	-	-
MZ334505.1_10	1e8edc86e55b432aad90b953484c698e	254	MobiDBLite	mobidb-lite	consensus disorder prediction	1	29	-	T	10-07-2023	-	-
MZ334505.1_23	f53739e93d0d7e4168354dadb2653a9c	605	MobiDBLite	mobidb-lite	consensus disorder prediction	76	104	-	T	10-07-2023	-	-
MZ334505.1_23	f53739e93d0d7e4168354dadb2653a9c	605	MobiDBLite	mobidb-lite	consensus disorder prediction	543	579	-	T	10-07-2023	-	-
MZ334505.1_23	f53739e93d0d7e4168354dadb2653a9c	605	MobiDBLite	mobidb-lite	consensus disorder prediction	546	579	-	T	10-07-2023	-	-
MZ334505.1_58	10686f775e54e53f84ff9c48ee8fb6e2	338	MobiDBLite	mobidb-lite	consensus disorder prediction	317	338	-	T	10-07-2023	-	-
MZ334505.1_58	10686f775e54e53f84ff9c48ee8fb6e2	338	MobiDBLite	mobidb-lite	consensus disorder prediction	309	338	-	T	10-07-2023	-	-
MZ334505.1_58	10686f775e54e53f84ff9c48ee8fb6e2	338	Pfam	PF12705	PD-(D/E)XK nuclease superfamily	28	268	1.7E-11	T	10-07-2023	IPR038726	PD-(D/E)XK endonuclease-like domain, AddAB-type
MZ334505.1_58	10686f775e54e53f84ff9c48ee8fb6e2	338	Gene3D	G3DSA:3.90.320.10	-	19	300	8.3E-9	T	10-07-2023	IPR011604	PD-(D/E)XK endonuclease-like domain superfamily
MZ334505.1_52	383fdc799b5ac55fa0ef36c12e3f2e79	854	Gene3D	G3DSA:1.10.132.60	-	680	854	8.1E-13	T	10-07-2023	IPR042087	DNA polymerase family B, thumb domain
MZ334505.1_52	383fdc799b5ac55fa0ef36c12e3f2e79	854	Gene3D	G3DSA:3.90.1600.10	Palm domain of DNA polymerase	403	679	2.0E-38	T	10-07-2023	IPR023211	DNA polymerase, palm domain superfamily
MZ334505.1_52	383fdc799b5ac55fa0ef36c12e3f2e79	854	Gene3D	G3DSA:3.30.420.10	-	142	355	3.4E-37	T	10-07-2023	IPR036397	Ribonuclease H superfamily
MZ334505.1_52	383fdc799b5ac55fa0ef36c12e3f2e79	854	PRINTS	PR00106	DNA-directed DNA-polymerase family B signature	425	438	4.3E-5	T	10-07-2023	IPR006172	DNA-directed DNA polymerase, family B
MZ334505.1_52	383fdc799b5ac55fa0ef36c12e3f2e79	854	PRINTS	PR00106	DNA-directed DNA-polymerase family B signature	526	538	4.3E-5	T	10-07-2023	IPR006172	DNA-directed DNA polymerase, family B
MZ334505.1_52	383fdc799b5ac55fa0ef36c12e3f2e79	854	PRINTS	PR00106	DNA-directed DNA-polymerase family B signature	579	587	4.3E-5	T	10-07-2023	IPR006172	DNA-directed DNA polymerase, family B
MZ334505.1_52	383fdc799b5ac55fa0ef36c12e3f2e79	854	SMART	SM00486	polmehr3	139	593	4.3E-46	T	10-07-2023	IPR006172	DNA-directed DNA polymerase, family B
MZ334505.1_52	383fdc799b5ac55fa0ef36c12e3f2e79	854	Pfam	PF03104	DNA polymerase family B, exonuclease domain	74	263	9.0E-21	T	10-07-2023	IPR006133	DNA-directed DNA polymerase, family B, exonuclease domain
MZ334505.1_52	383fdc799b5ac55fa0ef36c12e3f2e79	854	PANTHER	PTHR10322	DNA POLYMERASE CATALYTIC SUBUNIT	14	746	4.8E-62	T	10-07-2023	-	-
MZ334505.1_52	383fdc799b5ac55fa0ef36c12e3f2e79	854	SUPERFAMILY	SSF53098	Ribonuclease H-like	4	375	1.9E-57	T	10-07-2023	IPR012337	Ribonuclease H-like superfamily
MZ334505.1_52	383fdc799b5ac55fa0ef36c12e3f2e79	854	Pfam	PF00136	DNA polymerase family B	380	718	7.0E-27	T	10-07-2023	IPR006134	DNA-directed DNA polymerase, family B, multifunctional domain
MZ334505.1_52	383fdc799b5ac55fa0ef36c12e3f2e79	854	Gene3D	G3DSA:3.30.342.10	DNA Polymerase, chain B, domain 1	6	127	6.0E-10	T	10-07-2023	-	-
MZ334505.1_52	383fdc799b5ac55fa0ef36c12e3f2e79	854	ProSitePatterns	PS00018	EF-hand calcium-binding domain.	66	78	-	T	10-07-2023	IPR018247	EF-Hand 1, calcium-binding site
MZ334505.1_52	383fdc799b5ac55fa0ef36c12e3f2e79	854	SUPERFAMILY	SSF56672	DNA/RNA polymerases	396	848	2.56E-72	T	10-07-2023	IPR043502	DNA/RNA polymerase superfamily
MZ334505.1_64	f223b055d73a94c68ffbae3e55565571	141	SUPERFAMILY	SSF57783	Zinc beta-ribbon	85	119	5.67E-5	T	10-07-2023	-	-
MZ334505.1_42	ce55b0164854568f9714eac1736e7c68	397	CDD	cd00397	DNA_BRE_C	233	382	2.87493E-13	T	10-07-2023	-	-
MZ334505.1_42	ce55b0164854568f9714eac1736e7c68	397	Gene3D	G3DSA:1.10.443.10	Intergrase catalytic core	197	397	8.6E-25	T	10-07-2023	IPR013762	Integrase-like, catalytic domain superfamily
MZ334505.1_42	ce55b0164854568f9714eac1736e7c68	397	Gene3D	G3DSA:1.10.150.130	-	61	168	4.4E-7	T	10-07-2023	IPR010998	Integrase/recombinase, N-terminal
MZ334505.1_42	ce55b0164854568f9714eac1736e7c68	397	MobiDBLite	mobidb-lite	consensus disorder prediction	1	26	-	T	10-07-2023	-	-
MZ334505.1_42	ce55b0164854568f9714eac1736e7c68	397	Pfam	PF00589	Phage integrase family	227	385	1.4E-14	T	10-07-2023	IPR002104	Integrase, catalytic domain
MZ334505.1_42	ce55b0164854568f9714eac1736e7c68	397	ProSiteProfiles	PS51898	Tyrosine recombinase domain profile.	201	394	17.980209	T	10-07-2023	IPR002104	Integrase, catalytic domain
MZ334505.1_42	ce55b0164854568f9714eac1736e7c68	397	SUPERFAMILY	SSF56349	DNA breaking-rejoining enzymes	226	392	4.41E-23	T	10-07-2023	IPR011010	DNA breaking-rejoining enzyme, catalytic core
MZ334505.1_65	f57a4ea5dd519da2ac23397fdde1eb4c	393	MobiDBLite	mobidb-lite	consensus disorder prediction	68	87	-	T	10-07-2023	-	-
MZ334505.1_65	f57a4ea5dd519da2ac23397fdde1eb4c	393	MobiDBLite	mobidb-lite	consensus disorder prediction	68	94	-	T	10-07-2023	-	-
MZ334505.1_65	f57a4ea5dd519da2ac23397fdde1eb4c	393	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	129	357	5.55E-7	T	10-07-2023	IPR029052	Metallo-dependent phosphatase-like
MZ334505.1_8	cfc9dfba90924e8e0ade26542212e6d0	479	MobiDBLite	mobidb-lite	consensus disorder prediction	1	55	-	T	10-07-2023	-	-
MZ334505.1_8	cfc9dfba90924e8e0ade26542212e6d0	479	MobiDBLite	mobidb-lite	consensus disorder prediction	455	479	-	T	10-07-2023	-	-
MZ334505.1_8	cfc9dfba90924e8e0ade26542212e6d0	479	MobiDBLite	mobidb-lite	consensus disorder prediction	426	479	-	T	10-07-2023	-	-
MZ334505.1_22	8cdae4372380534fcad8df53260675b2	123	MobiDBLite	mobidb-lite	consensus disorder prediction	61	123	-	T	10-07-2023	-	-
MZ334505.1_36	48b114ec24a0ebeb7003d2dc8544a2ed	806	Pfam	PF02867	Ribonucleotide reductase, barrel domain	113	708	8.1E-132	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
MZ334505.1_36	48b114ec24a0ebeb7003d2dc8544a2ed	806	SUPERFAMILY	SSF51998	PFL-like glycyl radical enzymes	112	724	8.55E-123	T	10-07-2023	-	-
MZ334505.1_36	48b114ec24a0ebeb7003d2dc8544a2ed	806	TIGRFAM	TIGR02504	NrdJ_Z: ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent	38	730	5.4E-217	T	10-07-2023	IPR013344	Ribonucleotide reductase, adenosylcobalamin-dependent
MZ334505.1_36	48b114ec24a0ebeb7003d2dc8544a2ed	806	Pfam	PF00317	Ribonucleotide reductase, all-alpha domain	32	108	3.9E-22	T	10-07-2023	IPR013509	Ribonucleotide reductase large subunit, N-terminal
MZ334505.1_36	48b114ec24a0ebeb7003d2dc8544a2ed	806	Coils	Coil	Coil	617	637	-	T	10-07-2023	-	-
