NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	TIGRFAM	TIGR00914	2A0601: heavy metal efflux pump, CzcA family	7	1048	0.0	T	24-06-2023	IPR004763	Cation efflux system CzcA/CusA/SilA/NccA/HelA/CnrA
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	SUPERFAMILY	SSF82866	Multidrug efflux transporter AcrB transmembrane domain	816	1043	3.4E-55	T	24-06-2023	-	-
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	Gene3D	G3DSA:3.30.70.1440	Multidrug efflux transporter AcrB pore domain	682	883	1.2E-274	T	24-06-2023	-	-
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	SUPERFAMILY	SSF82714	Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains	731	819	2.49E-15	T	24-06-2023	IPR027463	Multidrug efflux transporter AcrB TolC docking domain, DN/DC subdomains
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	PANTHER	PTHR32063	-	10	1049	0.0	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	SUPERFAMILY	SSF82714	Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains	198	281	4.32E-16	T	24-06-2023	IPR027463	Multidrug efflux transporter AcrB TolC docking domain, DN/DC subdomains
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	Gene3D	G3DSA:1.20.1640.10	Multidrug efflux transporter AcrB transmembrane domain	519	1035	1.2E-274	T	24-06-2023	-	-
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	Gene3D	G3DSA:3.30.70.1430	Multidrug efflux transporter AcrB pore domain	577	681	1.2E-274	T	24-06-2023	-	-
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	SUPERFAMILY	SSF82693	Multidrug efflux transporter AcrB pore domain; PN1, PN2, PC1 and PC2 subdomains	161	339	2.09E-17	T	24-06-2023	-	-
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	Gene3D	G3DSA:1.20.1640.10	Multidrug efflux transporter AcrB transmembrane domain	20	518	1.2E-274	T	24-06-2023	-	-
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	SUPERFAMILY	SSF82693	Multidrug efflux transporter AcrB pore domain; PN1, PN2, PC1 and PC2 subdomains	585	674	1.39E-7	T	24-06-2023	-	-
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	SUPERFAMILY	SSF82693	Multidrug efflux transporter AcrB pore domain; PN1, PN2, PC1 and PC2 subdomains	48	133	2.14E-23	T	24-06-2023	-	-
NZ_CP011770.1_orf59315	a365438a7254e6f73c79132d07e2fbb2	2188	MobiDBLite	mobidb-lite	consensus disorder prediction	2164	2188	-	T	24-06-2023	-	-
NZ_CP011770.1_orf59315	a365438a7254e6f73c79132d07e2fbb2	2188	MobiDBLite	mobidb-lite	consensus disorder prediction	975	990	-	T	24-06-2023	-	-
NZ_CP011770.1_orf59315	a365438a7254e6f73c79132d07e2fbb2	2188	Gene3D	G3DSA:2.160.20.10	-	288	598	1.8E-24	T	24-06-2023	IPR012334	Pectin lyase fold
NZ_CP011770.1_orf59315	a365438a7254e6f73c79132d07e2fbb2	2188	MobiDBLite	mobidb-lite	consensus disorder prediction	947	1019	-	T	24-06-2023	-	-
NZ_CP011771.1_orf83828	0de5248c41d8f1f995349506cd7fcf10	885	MobiDBLite	mobidb-lite	consensus disorder prediction	230	354	-	T	24-06-2023	-	-
NZ_CP011771.1_orf83828	0de5248c41d8f1f995349506cd7fcf10	885	MobiDBLite	mobidb-lite	consensus disorder prediction	1	60	-	T	24-06-2023	-	-
NZ_CP011771.1_orf83828	0de5248c41d8f1f995349506cd7fcf10	885	Gene3D	G3DSA:3.50.50.60	-	355	627	1.5E-56	T	24-06-2023	IPR036188	FAD/NAD(P)-binding domain superfamily
NZ_CP011771.1_orf83828	0de5248c41d8f1f995349506cd7fcf10	885	PANTHER	PTHR43098	L-ORNITHINE N(5)-MONOOXYGENASE-RELATED	353	884	6.9E-182	T	24-06-2023	-	-
NZ_CP011771.1_orf83828	0de5248c41d8f1f995349506cd7fcf10	885	SUPERFAMILY	SSF51905	FAD/NAD(P)-binding domain	359	853	4.32E-40	T	24-06-2023	IPR036188	FAD/NAD(P)-binding domain superfamily
NZ_CP011771.1_orf83828	0de5248c41d8f1f995349506cd7fcf10	885	SUPERFAMILY	SSF51905	FAD/NAD(P)-binding domain	498	733	9.97E-48	T	24-06-2023	IPR036188	FAD/NAD(P)-binding domain superfamily
NZ_CP011771.1_orf83828	0de5248c41d8f1f995349506cd7fcf10	885	Gene3D	G3DSA:3.50.50.60	-	713	885	1.1E-52	T	24-06-2023	IPR036188	FAD/NAD(P)-binding domain superfamily
NZ_CP011771.1_orf83828	0de5248c41d8f1f995349506cd7fcf10	885	Pfam	PF07992	Pyridine nucleotide-disulphide oxidoreductase	362	580	1.2E-11	T	24-06-2023	IPR023753	FAD/NAD(P)-binding domain
NZ_CP011772.1_orf85190	968e6eab9b135b1f0a35fdd92574a04e	902	MobiDBLite	mobidb-lite	consensus disorder prediction	883	902	-	T	24-06-2023	-	-
NZ_CP011772.1_orf85190	968e6eab9b135b1f0a35fdd92574a04e	902	Gene3D	G3DSA:1.10.8.730	-	555	681	2.7E-50	T	24-06-2023	-	-
NZ_CP011772.1_orf85190	968e6eab9b135b1f0a35fdd92574a04e	902	TIGRFAM	TIGR02746	TraC-F-type: type-IV secretion system protein TraC	65	873	1.4E-183	T	24-06-2023	IPR014117	Type-IV secretion system protein TraC
NZ_CP011772.1_orf85190	968e6eab9b135b1f0a35fdd92574a04e	902	Pfam	PF19357	Family of unknown function (DUF5934)	317	488	1.6E-85	T	24-06-2023	IPR045978	TraC, central domain
NZ_CP011772.1_orf85190	968e6eab9b135b1f0a35fdd92574a04e	902	PANTHER	PTHR38467	-	656	873	2.7E-34	T	24-06-2023	-	-
NZ_CP011772.1_orf85190	968e6eab9b135b1f0a35fdd92574a04e	902	Pfam	PF19044	TraG P-loop domain	501	630	6.4E-11	T	24-06-2023	IPR043964	TraG, P-loop domain
NZ_CP011772.1_orf85190	968e6eab9b135b1f0a35fdd92574a04e	902	Pfam	PF19044	TraG P-loop domain	655	789	4.0E-13	T	24-06-2023	IPR043964	TraG, P-loop domain
NZ_CP011772.1_orf85190	968e6eab9b135b1f0a35fdd92574a04e	902	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	455	814	2.89E-50	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NZ_CP011772.1_orf85190	968e6eab9b135b1f0a35fdd92574a04e	902	Pfam	PF11130	TraC protein	60	306	1.2E-53	T	24-06-2023	IPR025955	Type-IV secretion system protein TraC/Conjugative transfer ATPase
NZ_CP011772.1_orf85190	968e6eab9b135b1f0a35fdd92574a04e	902	CDD	cd01127	TrwB_TraG_TraD_VirD4	690	769	4.2795E-6	T	24-06-2023	-	-
NZ_CP011772.1_orf85190	968e6eab9b135b1f0a35fdd92574a04e	902	Gene3D	G3DSA:3.40.50.300	-	490	814	2.7E-50	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	25	1045	4.28E-33	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	MobiDBLite	mobidb-lite	consensus disorder prediction	507	521	-	T	24-06-2023	-	-
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	Coils	Coil	Coil	641	661	-	T	24-06-2023	-	-
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	PANTHER	PTHR32114	ABC TRANSPORTER ABCH.3	25	1045	1.3E-97	T	24-06-2023	-	-
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	Coils	Coil	Coil	461	508	-	T	24-06-2023	-	-
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	Pfam	PF13476	AAA domain	29	221	7.2E-24	T	24-06-2023	IPR038729	Rad50/SbcC-type AAA domain
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	Coils	Coil	Coil	382	402	-	T	24-06-2023	-	-
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	Coils	Coil	Coil	716	736	-	T	24-06-2023	-	-
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	Coils	Coil	Coil	330	350	-	T	24-06-2023	-	-
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	MobiDBLite	mobidb-lite	consensus disorder prediction	438	465	-	T	24-06-2023	-	-
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	Coils	Coil	Coil	844	864	-	T	24-06-2023	-	-
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	Pfam	PF13558	SbcC/RAD50-like, Walker B motif	930	995	1.6E-8	T	24-06-2023	-	-
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	MobiDBLite	mobidb-lite	consensus disorder prediction	482	521	-	T	24-06-2023	-	-
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	Coils	Coil	Coil	304	324	-	T	24-06-2023	-	-
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	MobiDBLite	mobidb-lite	consensus disorder prediction	440	465	-	T	24-06-2023	-	-
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	Gene3D	G3DSA:3.40.50.300	-	25	300	9.4E-44	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	Gene3D	G3DSA:3.40.50.300	-	862	1042	1.2E-31	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NZ_CP011772.1_orf85666	40bedc33a9b89ada98e93b781bbfbcd1	1048	Coils	Coil	Coil	777	797	-	T	24-06-2023	-	-
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	CDD	cd18808	SF1_C_Upf1	1223	1403	1.04959E-23	T	24-06-2023	IPR047187	Upf1-like, C-terminal helicase domain
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	Coils	Coil	Coil	511	557	-	T	24-06-2023	-	-
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	Gene3D	G3DSA:3.40.50.300	-	1221	1405	7.5E-23	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	Pfam	PF11784	Protein of unknown function (DUF3320)	1723	1772	1.5E-10	T	24-06-2023	IPR021754	Domain of unknown function DUF3320
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	MobiDBLite	mobidb-lite	consensus disorder prediction	1678	1693	-	T	24-06-2023	-	-
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	PANTHER	PTHR43788	DNA2/NAM7 HELICASE FAMILY MEMBER	1122	1407	2.4E-36	T	24-06-2023	-	-
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	MobiDBLite	mobidb-lite	consensus disorder prediction	1674	1694	-	T	24-06-2023	-	-
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	SUPERFAMILY	SSF52980	Restriction endonuclease-like	1416	1520	5.36E-13	T	24-06-2023	IPR011335	Restriction endonuclease  type II-like
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	Pfam	PF18741	REase_MTES_1575	1424	1515	6.7E-30	T	24-06-2023	-	-
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	Pfam	PF13245	AAA domain	442	553	5.5E-7	T	24-06-2023	-	-
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	Gene3D	G3DSA:3.40.960.10	VSR Endonuclease	1420	1520	2.6E-12	T	24-06-2023	-	-
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	Coils	Coil	Coil	676	696	-	T	24-06-2023	-	-
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	MobiDBLite	mobidb-lite	consensus disorder prediction	1558	1577	-	T	24-06-2023	-	-
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	Pfam	PF13087	AAA domain	1214	1380	3.4E-13	T	24-06-2023	IPR041679	DNA2/NAM7 helicase-like, C-terminal
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	428	1380	1.11E-37	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	MobiDBLite	mobidb-lite	consensus disorder prediction	15	37	-	T	24-06-2023	-	-
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	MobiDBLite	mobidb-lite	consensus disorder prediction	1648	1667	-	T	24-06-2023	-	-
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	Gene3D	G3DSA:3.40.50.300	-	377	568	1.2E-19	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	Gene3D	G3DSA:3.40.50.300	-	957	1200	1.2E-9	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NZ_CP011770.1_orf45693	2125073d631c670b97b8622a4c146327	1877	MobiDBLite	mobidb-lite	consensus disorder prediction	1541	1595	-	T	24-06-2023	-	-
NZ_CP011771.1_orf80271	ed9a9b3ad1f5f5660d94721ee72ad155	1021	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	473	636	1.04E-11	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NZ_CP011771.1_orf80271	ed9a9b3ad1f5f5660d94721ee72ad155	1021	Gene3D	G3DSA:3.40.50.300	-	449	666	7.9E-26	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NZ_CP011771.1_orf80271	ed9a9b3ad1f5f5660d94721ee72ad155	1021	MobiDBLite	mobidb-lite	consensus disorder prediction	955	1021	-	T	24-06-2023	-	-
NZ_CP011771.1_orf80271	ed9a9b3ad1f5f5660d94721ee72ad155	1021	Pfam	PF13604	AAA domain	476	690	2.4E-40	T	24-06-2023	-	-
NZ_CP011771.1_orf80271	ed9a9b3ad1f5f5660d94721ee72ad155	1021	SUPERFAMILY	SSF55464	Origin of replication-binding domain, RBD-like	8	309	6.41E-80	T	24-06-2023	-	-
NZ_CP011771.1_orf80271	ed9a9b3ad1f5f5660d94721ee72ad155	1021	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	620	942	4.25E-14	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NZ_CP011771.1_orf80271	ed9a9b3ad1f5f5660d94721ee72ad155	1021	TIGRFAM	TIGR02686	relax_trwC: conjugative relaxase domain	20	292	5.6E-101	T	24-06-2023	IPR014059	Conjugative relaxase, N-terminal
NZ_CP011771.1_orf80271	ed9a9b3ad1f5f5660d94721ee72ad155	1021	Pfam	PF08751	TrwC relaxase	18	288	8.5E-77	T	24-06-2023	IPR014862	TrwC relaxase
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	Gene3D	G3DSA:3.30.70.1320	Multidrug efflux transporter AcrB pore domain like	134	332	0.0	T	24-06-2023	-	-
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	FunFam	G3DSA:3.30.2090.10:FF:000001	Efflux pump membrane transporter	181	279	8.3E-38	T	24-06-2023	-	-
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	SUPERFAMILY	SSF82693	Multidrug efflux transporter AcrB pore domain; PN1, PN2, PC1 and PC2 subdomains	137	331	5.49E-21	T	24-06-2023	-	-
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	SUPERFAMILY	SSF82714	Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains	733	818	5.49E-19	T	24-06-2023	IPR027463	Multidrug efflux transporter AcrB TolC docking domain, DN/DC subdomains
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	Gene3D	G3DSA:3.30.70.1440	Multidrug efflux transporter AcrB pore domain	683	881	0.0	T	24-06-2023	-	-
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	PANTHER	PTHR32063	-	2	1043	1.2E-297	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	SUPERFAMILY	SSF82866	Multidrug efflux transporter AcrB transmembrane domain	297	497	1.23E-46	T	24-06-2023	-	-
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	Pfam	PF00873	AcrB/AcrD/AcrF family	2	1036	0.0	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	Gene3D	G3DSA:1.20.1640.10	Multidrug efflux transporter AcrB transmembrane domain	527	1033	0.0	T	24-06-2023	-	-
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	FunFam	G3DSA:3.30.70.1430:FF:000002	Efflux pump membrane transporter	581	682	3.0E-31	T	24-06-2023	-	-
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	TIGRFAM	TIGR00915	2A0602: RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family	2	1045	0.0	T	24-06-2023	IPR004764	Hydrophobe/amphiphile efflux-1 HAE1
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	PRINTS	PR00702	Acriflavin resistance protein family signature	37	55	7.6E-107	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	PRINTS	PR00702	Acriflavin resistance protein family signature	632	646	7.6E-107	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	PRINTS	PR00702	Acriflavin resistance protein family signature	446	469	7.6E-107	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	PRINTS	PR00702	Acriflavin resistance protein family signature	471	494	7.6E-107	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	PRINTS	PR00702	Acriflavin resistance protein family signature	392	416	7.6E-107	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	PRINTS	PR00702	Acriflavin resistance protein family signature	9	33	7.6E-107	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	PRINTS	PR00702	Acriflavin resistance protein family signature	337	360	7.6E-107	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	PRINTS	PR00702	Acriflavin resistance protein family signature	563	580	7.6E-107	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	PRINTS	PR00702	Acriflavin resistance protein family signature	364	385	7.6E-107	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	FunFam	G3DSA:1.20.1640.10:FF:000001	Efflux pump membrane transporter	323	511	2.6E-71	T	24-06-2023	-	-
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	SUPERFAMILY	SSF82714	Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains	183	273	4.71E-23	T	24-06-2023	IPR027463	Multidrug efflux transporter AcrB TolC docking domain, DN/DC subdomains
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	Gene3D	G3DSA:3.30.70.1430	Multidrug efflux transporter AcrB pore domain	39	831	0.0	T	24-06-2023	-	-
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	SUPERFAMILY	SSF82693	Multidrug efflux transporter AcrB pore domain; PN1, PN2, PC1 and PC2 subdomains	39	133	2.3E-25	T	24-06-2023	-	-
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	SUPERFAMILY	SSF82866	Multidrug efflux transporter AcrB transmembrane domain	816	1040	7.19E-46	T	24-06-2023	-	-
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	Gene3D	G3DSA:3.30.2090.10	Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains	735	823	0.0	T	24-06-2023	IPR027463	Multidrug efflux transporter AcrB TolC docking domain, DN/DC subdomains
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	SUPERFAMILY	SSF82693	Multidrug efflux transporter AcrB pore domain; PN1, PN2, PC1 and PC2 subdomains	576	680	6.28E-26	T	24-06-2023	-	-
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	Gene3D	G3DSA:3.30.70.1430	Multidrug efflux transporter AcrB pore domain	581	682	0.0	T	24-06-2023	-	-
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	FunFam	G3DSA:3.30.70.1430:FF:000001	Efflux pump membrane transporter	39	139	4.8E-30	T	24-06-2023	-	-
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	Gene3D	G3DSA:3.30.2090.10	Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains	181	279	0.0	T	24-06-2023	IPR027463	Multidrug efflux transporter AcrB TolC docking domain, DN/DC subdomains
NZ_CP011772.1_orf86854	b13bfc4ecb4da586bab67493707e7bb1	1062	Gene3D	G3DSA:1.20.1640.10	Multidrug efflux transporter AcrB transmembrane domain	8	526	0.0	T	24-06-2023	-	-
NZ_CP011770.1_orf1105	5b114927cc9457568f94d370e4800a66	2442	ProSiteProfiles	PS51208	Autotransporter beta-domain profile.	2164	2439	39.73381	T	24-06-2023	IPR005546	Autotransporter beta-domain
NZ_CP011770.1_orf1105	5b114927cc9457568f94d370e4800a66	2442	Gene3D	G3DSA:2.40.128.130	-	2149	2437	1.7E-58	T	24-06-2023	IPR036709	Autotransporter beta-domain superfamily
NZ_CP011770.1_orf1105	5b114927cc9457568f94d370e4800a66	2442	SUPERFAMILY	SSF103515	Autotransporter	2129	2434	2.35E-52	T	24-06-2023	IPR036709	Autotransporter beta-domain superfamily
NZ_CP011770.1_orf1105	5b114927cc9457568f94d370e4800a66	2442	SMART	SM00869	Autotransporter_2	2168	2429	4.0E-41	T	24-06-2023	IPR005546	Autotransporter beta-domain
NZ_CP011771.1_orf81750	2d1232fdf0a6b70eb9a8c1031f0669a0	839	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	442	681	2.53E-14	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NZ_CP011771.1_orf81750	2d1232fdf0a6b70eb9a8c1031f0669a0	839	Pfam	PF13872	P-loop containing NTP hydrolase pore-1	408	726	7.4E-115	T	24-06-2023	IPR039187	Strawberry notch, AAA domain
NZ_CP011771.1_orf81750	2d1232fdf0a6b70eb9a8c1031f0669a0	839	Gene3D	G3DSA:3.40.50.300	-	473	656	3.6E-9	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NZ_CP011771.1_orf81750	2d1232fdf0a6b70eb9a8c1031f0669a0	839	Gene3D	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	129	315	1.3E-15	T	24-06-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
NZ_CP011771.1_orf81750	2d1232fdf0a6b70eb9a8c1031f0669a0	839	SUPERFAMILY	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	122	308	4.38E-20	T	24-06-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
NZ_CP011771.1_orf81750	2d1232fdf0a6b70eb9a8c1031f0669a0	839	PRINTS	PR00507	N12 class N6 adenine-specific DNA methyltransferase signature	211	223	4.9E-8	T	24-06-2023	-	-
