LBYQ01000006.1_13	f6d459b0ffac2bf5365b431bf1942f2e	118	Pfam	PF18924	Protein of unknown function (DUF5674)	7	103	7.1E-23	T	10-07-2023	IPR043731	Protein of unknown function DUF5674
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	PRINTS	PR00148	Enolase signature	37	51	4.6E-33	T	10-07-2023	IPR000941	Enolase
LBYQ01000012.1_3	b14c022efd94dc49b181e78879316b52	419	SUPERFAMILY	SSF51604	Enolase C-terminal domain-like	145	417	6.68E-101	T	10-07-2023	IPR036849	Enolase-like, C-terminal domain superfamily
LBYQ01000001.1_26	44f523ee6dad1baf0c5ba65c7c0e0c7f	151	PANTHER	PTHR28055	ALTERED INHERITANCE OF MITOCHONDRIA PROTEIN 41, MITOCHONDRIAL	2	150	3.0E-37	T	10-07-2023	IPR019004	Uncharacterised protein YqeY/Aim41
LBYQ01000001.1_26	44f523ee6dad1baf0c5ba65c7c0e0c7f	151	Pfam	PF09424	Yqey-like protein	4	150	2.2E-42	T	10-07-2023	IPR019004	Uncharacterised protein YqeY/Aim41
LBYQ01000001.1_26	44f523ee6dad1baf0c5ba65c7c0e0c7f	151	Gene3D	G3DSA:1.10.1510.10	-	1	94	1.8E-24	T	10-07-2023	IPR042184	YqeY/Aim41, N-terminal domain
LBYQ01000001.1_26	44f523ee6dad1baf0c5ba65c7c0e0c7f	151	SUPERFAMILY	SSF89095	GatB/YqeY motif	2	150	7.32E-34	T	10-07-2023	IPR003789	Aspartyl/glutamyl-tRNA amidotransferase subunit B-like
LBYQ01000001.1_26	44f523ee6dad1baf0c5ba65c7c0e0c7f	151	Gene3D	G3DSA:1.10.10.410	-	95	150	2.8E-19	T	10-07-2023	IPR023168	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C-terminal, domain 2
LBYQ01000003.1_22	4a4f3436201d3326d43642e213a9a6e5	79	Pfam	PF01176	Translation initiation factor 1A / IF-1	8	78	2.1E-20	T	10-07-2023	IPR006196	RNA-binding domain, S1, IF1 type
LBYQ01000003.1_22	4a4f3436201d3326d43642e213a9a6e5	79	FunFam	G3DSA:2.40.50.140:FF:000002	Translation initiation factor IF-1	1	79	4.7E-30	T	10-07-2023	-	-
LBYQ01000003.1_22	4a4f3436201d3326d43642e213a9a6e5	79	Hamap	MF_00075	Translation initiation factor IF-1 [infA].	1	79	21.050976	T	10-07-2023	IPR004368	Translation initiation factor IF-1
LBYQ01000003.1_22	4a4f3436201d3326d43642e213a9a6e5	79	TIGRFAM	TIGR00008	infA: translation initiation factor IF-1	3	79	6.4E-27	T	10-07-2023	IPR004368	Translation initiation factor IF-1
LBYQ01000003.1_22	4a4f3436201d3326d43642e213a9a6e5	79	Gene3D	G3DSA:2.40.50.140	-	1	79	5.7E-33	T	10-07-2023	IPR012340	Nucleic acid-binding, OB-fold
LBYQ01000003.1_22	4a4f3436201d3326d43642e213a9a6e5	79	PANTHER	PTHR33370	TRANSLATION INITIATION FACTOR IF-1, CHLOROPLASTIC	3	79	3.4E-26	T	10-07-2023	IPR004368	Translation initiation factor IF-1
LBYQ01000003.1_22	4a4f3436201d3326d43642e213a9a6e5	79	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins	1	78	1.0E-19	T	10-07-2023	IPR012340	Nucleic acid-binding, OB-fold
LBYQ01000003.1_22	4a4f3436201d3326d43642e213a9a6e5	79	ProSiteProfiles	PS50832	S1 domain IF1 type profile.	1	79	14.479511	T	10-07-2023	IPR006196	RNA-binding domain, S1, IF1 type
LBYQ01000003.1_22	4a4f3436201d3326d43642e213a9a6e5	79	CDD	cd04451	S1_IF1	7	78	9.52463E-28	T	10-07-2023	IPR004368	Translation initiation factor IF-1
LBYQ01000001.1_65	d75e40b281e7bc7d8bbdc278b05f013a	251	PANTHER	PTHR34387	SLR1258 PROTEIN	23	250	3.1E-46	T	10-07-2023	-	-
LBYQ01000001.1_65	d75e40b281e7bc7d8bbdc278b05f013a	251	Pfam	PF04402	Protein of unknown function (DUF541)	46	248	3.4E-45	T	10-07-2023	IPR007497	Interleukin-1 receptor-associated kinase 1-binding protein 1/DUF541
LBYQ01000001.1_65	d75e40b281e7bc7d8bbdc278b05f013a	251	Gene3D	G3DSA:3.30.70.2970	Protein of unknown function (DUF541), domain 2	58	166	8.7E-63	T	10-07-2023	-	-
LBYQ01000001.1_65	d75e40b281e7bc7d8bbdc278b05f013a	251	Gene3D	G3DSA:3.30.110.170	Protein of unknown function (DUF541), domain 1	48	249	8.7E-63	T	10-07-2023	-	-
LBYQ01000009.1_5	c0e96c0f56fecb43b229a3acf4657201	595	Gene3D	G3DSA:3.90.870.20	-	378	590	6.4E-81	T	10-07-2023	IPR038152	Carbamoyltransferase, C-terminal domain superfamily
LBYQ01000009.1_5	c0e96c0f56fecb43b229a3acf4657201	595	SUPERFAMILY	SSF53067	Actin-like ATPase domain	1	369	3.52E-19	T	10-07-2023	IPR043129	ATPase, nucleotide binding domain
LBYQ01000009.1_5	c0e96c0f56fecb43b229a3acf4657201	595	PANTHER	PTHR34847	NODULATION PROTEIN U	1	593	1.1E-179	T	10-07-2023	-	-
LBYQ01000009.1_5	c0e96c0f56fecb43b229a3acf4657201	595	Pfam	PF02543	Carbamoyltransferase N-terminus	3	363	6.7E-89	T	10-07-2023	IPR003696	Carbamoyltransferase
LBYQ01000009.1_5	c0e96c0f56fecb43b229a3acf4657201	595	Pfam	PF16861	Carbamoyltransferase C-terminus	417	591	2.3E-68	T	10-07-2023	IPR031730	Carbamoyltransferase, C-terminal
LBYQ01000009.1_5	c0e96c0f56fecb43b229a3acf4657201	595	Gene3D	G3DSA:3.30.420.40	-	10	362	2.6E-107	T	10-07-2023	-	-
LBYQ01000009.1_5	c0e96c0f56fecb43b229a3acf4657201	595	Gene3D	G3DSA:3.30.420.40	-	124	356	2.6E-107	T	10-07-2023	-	-
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	SMART	SM00864	Tubulin_4	20	212	3.9E-99	T	10-07-2023	IPR003008	Tubulin/FtsZ, GTPase domain
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	Gene3D	G3DSA:3.30.1330.20	-	228	334	2.0E-32	T	10-07-2023	IPR037103	Tubulin/FtsZ-like, C-terminal domain
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	Pfam	PF12327	FtsZ family, C-terminal domain	229	323	4.9E-26	T	10-07-2023	IPR024757	Cell division protein FtsZ, C-terminal
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	TIGRFAM	TIGR00065	ftsZ: cell division protein FtsZ	11	330	2.2E-118	T	10-07-2023	IPR000158	Cell division protein FtsZ
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	Coils	Coil	Coil	346	369	-	T	10-07-2023	-	-
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	Hamap	MF_00909	Cell division protein FtsZ [ftsZ].	16	370	35.756401	T	10-07-2023	IPR000158	Cell division protein FtsZ
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	SUPERFAMILY	SSF55307	Tubulin C-terminal domain-like	211	327	2.75E-37	T	10-07-2023	IPR008280	Tubulin/FtsZ, C-terminal
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	PRINTS	PR00423	Cell division protein FtsZ signature	105	125	1.7E-46	T	10-07-2023	IPR003008	Tubulin/FtsZ, GTPase domain
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	PRINTS	PR00423	Cell division protein FtsZ signature	219	240	1.7E-46	T	10-07-2023	IPR003008	Tubulin/FtsZ, GTPase domain
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	PRINTS	PR00423	Cell division protein FtsZ signature	133	154	1.7E-46	T	10-07-2023	IPR003008	Tubulin/FtsZ, GTPase domain
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	PRINTS	PR00423	Cell division protein FtsZ signature	196	218	1.7E-46	T	10-07-2023	IPR003008	Tubulin/FtsZ, GTPase domain
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	Pfam	PF00091	Tubulin/FtsZ family, GTPase domain	20	181	1.6E-37	T	10-07-2023	IPR003008	Tubulin/FtsZ, GTPase domain
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	CDD	cd02201	FtsZ_type1	35	322	6.10701E-128	T	10-07-2023	IPR000158	Cell division protein FtsZ
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	SUPERFAMILY	SSF52490	Tubulin nucleotide-binding domain-like	19	215	7.06E-66	T	10-07-2023	IPR036525	Tubulin/FtsZ, GTPase domain superfamily
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	MobiDBLite	mobidb-lite	consensus disorder prediction	349	369	-	T	10-07-2023	-	-
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	FunFam	G3DSA:3.40.50.1440:FF:000001	Cell division protein FtsZ	11	227	4.8E-91	T	10-07-2023	-	-
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	SMART	SM00865	Tubulin_C_4	214	332	8.2E-41	T	10-07-2023	IPR018316	Tubulin/FtsZ, 2-layer sandwich domain
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	Gene3D	G3DSA:3.40.50.1440	Tubulin/FtsZ, GTPase domain	9	227	7.0E-76	T	10-07-2023	IPR036525	Tubulin/FtsZ, GTPase domain superfamily
LBYQ01000001.1_13	0cbead07edb1df784a2d44a28787084d	383	PANTHER	PTHR30314	CELL DIVISION PROTEIN FTSZ-RELATED	10	346	1.5E-121	T	10-07-2023	IPR045061	Tubulin-like protein  FtsZ/CetZ
LBYQ01000020.1_4	928723a417c63f530f4984e9094c0e7e	234	SUPERFAMILY	SSF47781	RuvA domain 2-like	94	149	1.84E-7	T	10-07-2023	IPR010994	RuvA domain 2-like
LBYQ01000020.1_4	928723a417c63f530f4984e9094c0e7e	234	PRINTS	PR00870	DNA-polymerase family X pol beta-like signature	63	80	7.9E-5	T	10-07-2023	IPR002008	DNA polymerase family X, beta-like
LBYQ01000020.1_4	928723a417c63f530f4984e9094c0e7e	234	PRINTS	PR00870	DNA-polymerase family X pol beta-like signature	187	206	7.9E-5	T	10-07-2023	IPR002008	DNA polymerase family X, beta-like
LBYQ01000020.1_4	928723a417c63f530f4984e9094c0e7e	234	SUPERFAMILY	SSF81301	Nucleotidyltransferase	159	216	3.34E-7	T	10-07-2023	IPR043519	Nucleotidyltransferase superfamily
LBYQ01000020.1_4	928723a417c63f530f4984e9094c0e7e	234	Gene3D	G3DSA:3.30.460.10	Beta Polymerase, domain 2	159	231	2.5E-12	T	10-07-2023	IPR043519	Nucleotidyltransferase superfamily
LBYQ01000020.1_4	928723a417c63f530f4984e9094c0e7e	234	Pfam	PF14716	Helix-hairpin-helix domain	8	76	2.2E-15	T	10-07-2023	IPR010996	DNA polymerase beta-like, N-terminal domain
LBYQ01000020.1_4	928723a417c63f530f4984e9094c0e7e	234	PANTHER	PTHR11276	DNA POLYMERASE TYPE-X FAMILY MEMBER	8	210	8.6E-25	T	10-07-2023	IPR022312	DNA polymerase family X
LBYQ01000020.1_4	928723a417c63f530f4984e9094c0e7e	234	SUPERFAMILY	SSF47802	DNA polymerase beta, N-terminal domain-like	6	85	4.71E-15	T	10-07-2023	IPR027421	DNA polymerase lambda lyase domain superfamily
LBYQ01000020.1_4	928723a417c63f530f4984e9094c0e7e	234	Gene3D	G3DSA:1.10.150.20	-	91	157	2.1E-21	T	10-07-2023	-	-
LBYQ01000020.1_4	928723a417c63f530f4984e9094c0e7e	234	Pfam	PF14520	Helix-hairpin-helix domain	97	152	5.3E-11	T	10-07-2023	-	-
LBYQ01000020.1_4	928723a417c63f530f4984e9094c0e7e	234	Gene3D	G3DSA:1.10.150.110	-	2	89	1.9E-23	T	10-07-2023	IPR027421	DNA polymerase lambda lyase domain superfamily
LBYQ01000003.1_14	f1a0577e5242ae053fc66de89a1984d5	182	PRINTS	PR00059	Ribosomal protein L6 signature	71	96	7.0E-33	T	10-07-2023	IPR019906	Ribosomal protein L6, bacterial-type
LBYQ01000003.1_14	f1a0577e5242ae053fc66de89a1984d5	182	PRINTS	PR00059	Ribosomal protein L6 signature	99	115	7.0E-33	T	10-07-2023	IPR019906	Ribosomal protein L6, bacterial-type
LBYQ01000003.1_14	f1a0577e5242ae053fc66de89a1984d5	182	PRINTS	PR00059	Ribosomal protein L6 signature	140	161	7.0E-33	T	10-07-2023	IPR019906	Ribosomal protein L6, bacterial-type
LBYQ01000003.1_14	f1a0577e5242ae053fc66de89a1984d5	182	PANTHER	PTHR11655	60S/50S RIBOSOMAL PROTEIN L6/L9	1	175	1.6E-44	T	10-07-2023	IPR000702	Ribosomal protein L6
LBYQ01000003.1_14	f1a0577e5242ae053fc66de89a1984d5	182	Hamap	MF_01365_B	50S ribosomal protein L6 [rplF].	1	175	34.362762	T	10-07-2023	IPR019906	Ribosomal protein L6, bacterial-type
LBYQ01000003.1_14	f1a0577e5242ae053fc66de89a1984d5	182	ProSitePatterns	PS00525	Ribosomal protein L6 signature 1.	153	161	-	T	10-07-2023	IPR002358	Ribosomal protein L6, conserved site
LBYQ01000003.1_14	f1a0577e5242ae053fc66de89a1984d5	182	SUPERFAMILY	SSF56053	Ribosomal protein L6	83	175	7.07E-32	T	10-07-2023	IPR036789	Ribosomal protein L6, alpha-beta domain superfamily
LBYQ01000003.1_14	f1a0577e5242ae053fc66de89a1984d5	182	TIGRFAM	TIGR03654	L6_bact: ribosomal protein uL6	2	175	6.3E-66	T	10-07-2023	IPR019906	Ribosomal protein L6, bacterial-type
LBYQ01000003.1_14	f1a0577e5242ae053fc66de89a1984d5	182	SUPERFAMILY	SSF56053	Ribosomal protein L6	1	82	3.01E-22	T	10-07-2023	IPR036789	Ribosomal protein L6, alpha-beta domain superfamily
LBYQ01000003.1_14	f1a0577e5242ae053fc66de89a1984d5	182	Gene3D	G3DSA:3.90.930.12	-	1	82	3.4E-26	T	10-07-2023	IPR036789	Ribosomal protein L6, alpha-beta domain superfamily
LBYQ01000003.1_14	f1a0577e5242ae053fc66de89a1984d5	182	Gene3D	G3DSA:3.90.930.12	-	83	178	8.0E-36	T	10-07-2023	IPR036789	Ribosomal protein L6, alpha-beta domain superfamily
LBYQ01000003.1_14	f1a0577e5242ae053fc66de89a1984d5	182	FunFam	G3DSA:3.90.930.12:FF:000001	50S ribosomal protein L6	83	177	3.3E-36	T	10-07-2023	-	-
LBYQ01000003.1_14	f1a0577e5242ae053fc66de89a1984d5	182	FunFam	G3DSA:3.90.930.12:FF:000002	50S ribosomal protein L6	1	82	9.6E-24	T	10-07-2023	-	-
LBYQ01000003.1_14	f1a0577e5242ae053fc66de89a1984d5	182	Pfam	PF00347	Ribosomal protein L6	90	163	4.9E-16	T	10-07-2023	IPR020040	Ribosomal protein L6, alpha-beta domain
LBYQ01000003.1_14	f1a0577e5242ae053fc66de89a1984d5	182	Pfam	PF00347	Ribosomal protein L6	11	82	6.0E-16	T	10-07-2023	IPR020040	Ribosomal protein L6, alpha-beta domain
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	PANTHER	PTHR43371	VITAMIN B12-DEPENDENT RIBONUCLEOTIDE REDUCTASE	63	864	5.5E-251	T	10-07-2023	-	-
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	Coils	Coil	Coil	863	864	-	T	10-07-2023	-	-
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	ProSiteProfiles	PS51161	ATP-cone domain profile.	3	96	17.662247	T	10-07-2023	IPR005144	ATP-cone domain
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	SUPERFAMILY	SSF51998	PFL-like glycyl radical enzymes	267	773	9.46E-158	T	10-07-2023	-	-
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	CDD	cd02888	RNR_II_dimer	237	766	0.0	T	10-07-2023	IPR013344	Ribonucleotide reductase, adenosylcobalamin-dependent
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	Pfam	PF00317	Ribonucleotide reductase, all-alpha domain	113	261	2.3E-22	T	10-07-2023	IPR013509	Ribonucleotide reductase large subunit, N-terminal
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	PRINTS	PR01183	Ribonucleotide reductase large chain signature	485	508	1.7E-36	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	PRINTS	PR01183	Ribonucleotide reductase large chain signature	447	458	1.7E-36	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	PRINTS	PR01183	Ribonucleotide reductase large chain signature	342	361	1.7E-36	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	PRINTS	PR01183	Ribonucleotide reductase large chain signature	551	574	1.7E-36	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	PRINTS	PR01183	Ribonucleotide reductase large chain signature	616	643	1.7E-36	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	PRINTS	PR01183	Ribonucleotide reductase large chain signature	523	545	1.7E-36	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	TIGRFAM	TIGR02504	NrdJ_Z: ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent	120	773	1.3E-214	T	10-07-2023	IPR013344	Ribonucleotide reductase, adenosylcobalamin-dependent
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	Coils	Coil	Coil	88	108	-	T	10-07-2023	-	-
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	Pfam	PF02867	Ribonucleotide reductase, barrel domain	267	763	3.9E-183	T	10-07-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	Pfam	PF03477	ATP cone domain	4	93	2.6E-19	T	10-07-2023	IPR005144	ATP-cone domain
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	SUPERFAMILY	SSF48168	R1 subunit of ribonucleotide reductase, N-terminal domain	8	154	3.14E-9	T	10-07-2023	IPR008926	Ribonucleotide reductase R1 subunit, N-terminal
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	FunFam	G3DSA:3.20.70.20:FF:000022	Vitamin B12-dependent ribonucleotide reductase	210	766	1.4E-224	T	10-07-2023	-	-
LBYQ01000001.1_12	9e8f802bbae3d04aa5c057bd676c2d17	864	Gene3D	G3DSA:3.20.70.20	-	64	765	1.4E-217	T	10-07-2023	-	-
LBYQ01000006.1_2	79a41edb1043b491ec4ca534156cb41d	208	PANTHER	PTHR34475	-	3	143	6.6E-17	T	10-07-2023	-	-
LBYQ01000006.1_2	79a41edb1043b491ec4ca534156cb41d	208	Pfam	PF13413	Helix-turn-helix domain	10	66	5.0E-18	T	10-07-2023	-	-
LBYQ01000006.1_2	79a41edb1043b491ec4ca534156cb41d	208	Gene3D	G3DSA:1.10.260.40	-	1	93	5.5E-22	T	10-07-2023	IPR010982	Lambda repressor-like, DNA-binding domain superfamily
LBYQ01000006.1_2	79a41edb1043b491ec4ca534156cb41d	208	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	124	204	2.2E-14	T	10-07-2023	IPR013783	Immunoglobulin-like fold
LBYQ01000006.1_2	79a41edb1043b491ec4ca534156cb41d	208	Pfam	PF09136	Glucodextranase, domain B	128	193	5.5E-14	T	10-07-2023	-	-
LBYQ01000001.1_50	43f837da56669cceed1d67be7e3b8934	410	FunFam	G3DSA:3.40.50.300:FF:000398	Type IV pilus assembly ATPase PilB	132	410	2.0E-113	T	10-07-2023	-	-
LBYQ01000001.1_50	43f837da56669cceed1d67be7e3b8934	410	PANTHER	PTHR30258	TYPE II SECRETION SYSTEM PROTEIN GSPE-RELATED	20	408	3.1E-109	T	10-07-2023	-	-
LBYQ01000001.1_50	43f837da56669cceed1d67be7e3b8934	410	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	26	407	6.7E-87	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
LBYQ01000001.1_50	43f837da56669cceed1d67be7e3b8934	410	CDD	cd01129	PulE-GspE-like	150	297	3.27696E-84	T	10-07-2023	-	-
LBYQ01000001.1_50	43f837da56669cceed1d67be7e3b8934	410	Gene3D	G3DSA:3.30.450.90	-	1	131	4.7E-39	T	10-07-2023	-	-
LBYQ01000001.1_50	43f837da56669cceed1d67be7e3b8934	410	Pfam	PF00437	Type II/IV secretion system protein	33	298	4.0E-85	T	10-07-2023	IPR001482	Type II/IV secretion system protein
LBYQ01000001.1_50	43f837da56669cceed1d67be7e3b8934	410	Gene3D	G3DSA:3.40.50.300	-	132	410	3.6E-107	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
LBYQ01000001.1_64	949962f68d3dc826723c0ebcc11bd54d	204	Pfam	PF04138	GtrA-like protein	75	202	1.9E-21	T	10-07-2023	IPR007267	GtrA/DPMS,  transmembrane domain
LBYQ01000001.1_64	949962f68d3dc826723c0ebcc11bd54d	204	PANTHER	PTHR38459	PROPHAGE BACTOPRENOL-LINKED GLUCOSE TRANSLOCASE HOMOLOG	68	204	4.4E-13	T	10-07-2023	-	-
