MNUJ01000002.1_1_4	13a5bff17f0207c212d1175beb1ad3a0	57	Pfam	PF18917	Domain of unknown function (DUF5668)	1	43	3.7E-13	T	10-07-2023	IPR043726	Domain of unknown function DUF5668
MNUJ01000058.1_2	7f2d004494c3780946f35c78b68446f0	148	SUPERFAMILY	SSF89095	GatB/YqeY motif	1	147	7.85E-42	T	10-07-2023	IPR003789	Aspartyl/glutamyl-tRNA amidotransferase subunit B-like
MNUJ01000058.1_2	7f2d004494c3780946f35c78b68446f0	148	Gene3D	G3DSA:1.10.1510.10	-	1	90	1.9E-28	T	10-07-2023	IPR042184	YqeY/Aim41, N-terminal domain
MNUJ01000058.1_2	7f2d004494c3780946f35c78b68446f0	148	PANTHER	PTHR28055	ALTERED INHERITANCE OF MITOCHONDRIA PROTEIN 41, MITOCHONDRIAL	2	147	2.7E-46	T	10-07-2023	IPR019004	Uncharacterised protein YqeY/Aim41
MNUJ01000058.1_2	7f2d004494c3780946f35c78b68446f0	148	Pfam	PF09424	Yqey-like protein	5	146	6.7E-53	T	10-07-2023	IPR019004	Uncharacterised protein YqeY/Aim41
MNUJ01000054.1_1	a3f42840aca12fbee62216066412ea21	330	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	15	103	3.9E-5	T	10-07-2023	IPR013783	Immunoglobulin-like fold
MNUJ01000054.1_1	a3f42840aca12fbee62216066412ea21	330	Gene3D	G3DSA:2.60.40.380	-	121	203	3.0E-5	T	10-07-2023	-	-
MNUJ01000054.1_1	a3f42840aca12fbee62216066412ea21	330	SMART	SM00060	FN3_2	17	96	4.2	T	10-07-2023	IPR003961	Fibronectin type III
MNUJ01000054.1_1	a3f42840aca12fbee62216066412ea21	330	SMART	SM00060	FN3_2	215	295	0.35	T	10-07-2023	IPR003961	Fibronectin type III
MNUJ01000054.1_1	a3f42840aca12fbee62216066412ea21	330	SMART	SM00060	FN3_2	124	192	2.4	T	10-07-2023	IPR003961	Fibronectin type III
MNUJ01000054.1_1	a3f42840aca12fbee62216066412ea21	330	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	207	311	6.0E-5	T	10-07-2023	IPR013783	Immunoglobulin-like fold
MNUJ01000054.1_1	a3f42840aca12fbee62216066412ea21	330	ProSiteProfiles	PS50853	Fibronectin type-III domain profile.	210	311	9.562527	T	10-07-2023	IPR003961	Fibronectin type III
MNUJ01000054.1_1	a3f42840aca12fbee62216066412ea21	330	SUPERFAMILY	SSF49265	Fibronectin type III	141	303	7.98E-7	T	10-07-2023	IPR036116	Fibronectin type III superfamily
MNUJ01000003.1_4	10d0e47e166856c65db961bd94d7015d	185	PANTHER	PTHR20982	RIBOSOME RECYCLING FACTOR	3	182	2.7E-45	T	10-07-2023	IPR002661	Ribosome recycling factor
MNUJ01000003.1_4	10d0e47e166856c65db961bd94d7015d	185	SUPERFAMILY	SSF55194	Ribosome recycling factor, RRF	3	182	1.13E-54	T	10-07-2023	IPR036191	RRF superfamily
MNUJ01000003.1_4	10d0e47e166856c65db961bd94d7015d	185	Gene3D	G3DSA:3.30.1360.40	-	31	105	1.2E-57	T	10-07-2023	-	-
MNUJ01000003.1_4	10d0e47e166856c65db961bd94d7015d	185	FunFam	G3DSA:3.30.1360.40:FF:000001	Ribosome-recycling factor	31	105	3.1E-22	T	10-07-2023	-	-
MNUJ01000003.1_4	10d0e47e166856c65db961bd94d7015d	185	Pfam	PF01765	Ribosome recycling factor	22	182	3.3E-47	T	10-07-2023	IPR023584	Ribosome recycling factor domain
MNUJ01000003.1_4	10d0e47e166856c65db961bd94d7015d	185	TIGRFAM	TIGR00496	frr: ribosome recycling factor	12	183	2.1E-50	T	10-07-2023	IPR002661	Ribosome recycling factor
MNUJ01000003.1_4	10d0e47e166856c65db961bd94d7015d	185	CDD	cd00520	RRF	5	182	9.358E-54	T	10-07-2023	IPR002661	Ribosome recycling factor
MNUJ01000003.1_4	10d0e47e166856c65db961bd94d7015d	185	Gene3D	G3DSA:1.10.132.20	-	12	182	1.2E-57	T	10-07-2023	IPR036191	RRF superfamily
MNUJ01000003.1_4	10d0e47e166856c65db961bd94d7015d	185	Hamap	MF_00040	Ribosome-recycling factor [frr].	3	185	22.482962	T	10-07-2023	IPR002661	Ribosome recycling factor
MNUJ01000023.1_12	987c067915bb3848046ab5c4bd438425	230	Gene3D	G3DSA:3.40.50.2020	-	76	230	1.1E-18	T	10-07-2023	IPR029057	Phosphoribosyltransferase-like
MNUJ01000023.1_12	987c067915bb3848046ab5c4bd438425	230	Pfam	PF18912	Double zinc ribbon domain	10	62	5.3E-11	T	10-07-2023	IPR044005	Double zinc ribbon domain
MNUJ01000023.1_12	987c067915bb3848046ab5c4bd438425	230	SUPERFAMILY	SSF53271	PRTase-like	56	228	3.02E-29	T	10-07-2023	IPR029057	Phosphoribosyltransferase-like
MNUJ01000023.1_12	987c067915bb3848046ab5c4bd438425	230	Pfam	PF00156	Phosphoribosyl transferase domain	137	222	1.3E-10	T	10-07-2023	IPR000836	Phosphoribosyltransferase domain
MNUJ01000023.1_12	987c067915bb3848046ab5c4bd438425	230	PANTHER	PTHR47505	DNA UTILIZATION PROTEIN YHGH	5	229	4.3E-55	T	10-07-2023	-	-
MNUJ01000023.1_12	987c067915bb3848046ab5c4bd438425	230	CDD	cd06223	PRTases_typeI	137	227	1.76327E-15	T	10-07-2023	IPR000836	Phosphoribosyltransferase domain
MNUJ01000024.1_1	fa31f2e901028562beaed4ae8f076bae	46	PRINTS	PR00885	Bacterial general secretion pathway protein H signature	16	30	2.4E-5	T	10-07-2023	IPR002416	Type II secretion system protein GspH
MNUJ01000024.1_1	fa31f2e901028562beaed4ae8f076bae	46	PRINTS	PR00885	Bacterial general secretion pathway protein H signature	1	15	2.4E-5	T	10-07-2023	IPR002416	Type II secretion system protein GspH
MNUJ01000024.1_1	fa31f2e901028562beaed4ae8f076bae	46	TIGRFAM	TIGR02532	IV_pilin_GFxxxE: prepilin-type N-terminal cleavage/methylation domain	3	26	3.0E-8	T	10-07-2023	IPR012902	Prokaryotic N-terminal methylation site
MNUJ01000024.1_1	fa31f2e901028562beaed4ae8f076bae	46	Gene3D	G3DSA:3.30.700.10	Glycoprotein, Type 4 Pilin	6	46	1.8E-9	T	10-07-2023	-	-
MNUJ01000024.1_1	fa31f2e901028562beaed4ae8f076bae	46	SUPERFAMILY	SSF54523	Pili subunits	6	38	3.3E-9	T	10-07-2023	IPR045584	Pilin-like
MNUJ01000024.1_1	fa31f2e901028562beaed4ae8f076bae	46	Pfam	PF07963	Prokaryotic N-terminal methylation motif	2	25	8.9E-9	T	10-07-2023	IPR012902	Prokaryotic N-terminal methylation site
MNUJ01000028.1_3	08267820336117a3b7358573229c046a	327	SUPERFAMILY	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	13	307	1.79E-61	T	10-07-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
MNUJ01000028.1_3	08267820336117a3b7358573229c046a	327	Gene3D	G3DSA:1.10.8.100	-	246	308	1.1E-17	T	10-07-2023	IPR023165	rRNA adenine dimethylase-like, C-terminal
MNUJ01000028.1_3	08267820336117a3b7358573229c046a	327	TIGRFAM	TIGR00755	ksgA: ribosomal RNA small subunit methyltransferase A	17	306	4.9E-72	T	10-07-2023	IPR011530	Ribosomal RNA adenine dimethylase
MNUJ01000028.1_3	08267820336117a3b7358573229c046a	327	Pfam	PF00398	Ribosomal RNA adenine dimethylase	18	213	3.3E-52	T	10-07-2023	IPR001737	Ribosomal RNA adenine methyltransferase KsgA/Erm
MNUJ01000028.1_3	08267820336117a3b7358573229c046a	327	Hamap	MF_00607	Ribosomal RNA small subunit methyltransferase A [rsmA].	15	309	47.114449	T	10-07-2023	IPR011530	Ribosomal RNA adenine dimethylase
MNUJ01000028.1_3	08267820336117a3b7358573229c046a	327	Gene3D	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	1	207	1.5E-72	T	10-07-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
MNUJ01000028.1_3	08267820336117a3b7358573229c046a	327	SMART	SM00650	rADcneu6	31	205	2.7E-72	T	10-07-2023	IPR020598	Ribosomal RNA adenine methylase transferase, N-terminal
MNUJ01000028.1_3	08267820336117a3b7358573229c046a	327	CDD	cd02440	AdoMet_MTases	46	149	1.29641E-8	T	10-07-2023	-	-
MNUJ01000028.1_3	08267820336117a3b7358573229c046a	327	ProSiteProfiles	PS51689	rRNA adenine N(6)-methyltransferase family profile.	17	312	73.445129	T	10-07-2023	IPR001737	Ribosomal RNA adenine methyltransferase KsgA/Erm
MNUJ01000028.1_3	08267820336117a3b7358573229c046a	327	FunFam	G3DSA:3.40.50.150:FF:000023	Ribosomal RNA small subunit methyltransferase A	4	207	8.0E-64	T	10-07-2023	-	-
MNUJ01000028.1_3	08267820336117a3b7358573229c046a	327	PANTHER	PTHR11727	DIMETHYLADENOSINE TRANSFERASE	16	306	8.2E-63	T	10-07-2023	IPR001737	Ribosomal RNA adenine methyltransferase KsgA/Erm
MNUJ01000028.1_3	08267820336117a3b7358573229c046a	327	ProSitePatterns	PS01131	Ribosomal RNA adenine dimethylases signature.	47	74	-	T	10-07-2023	IPR020596	Ribosomal RNA adenine methylase transferase, conserved site
MNUJ01000033.1_4	e910afa0b90d635607c417f37af559e6	964	ProSiteProfiles	PS51217	UvrD-like DNA helicase C-terminal domain profile.	318	600	14.783401	T	10-07-2023	IPR014017	UvrD-like DNA helicase, C-terminal
MNUJ01000033.1_4	e910afa0b90d635607c417f37af559e6	964	ProSiteProfiles	PS51198	UvrD-like DNA helicase ATP-binding domain profile.	18	317	46.52309	T	10-07-2023	IPR014016	UvrD-like helicase, ATP-binding domain
MNUJ01000033.1_4	e910afa0b90d635607c417f37af559e6	964	Gene3D	G3DSA:3.90.320.10	-	721	962	1.6E-22	T	10-07-2023	IPR011604	PD-(D/E)XK endonuclease-like domain superfamily
MNUJ01000033.1_4	e910afa0b90d635607c417f37af559e6	964	Gene3D	G3DSA:3.40.50.300	-	312	682	3.9E-79	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MNUJ01000033.1_4	e910afa0b90d635607c417f37af559e6	964	Gene3D	G3DSA:3.40.50.300	-	20	304	3.5E-90	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MNUJ01000033.1_4	e910afa0b90d635607c417f37af559e6	964	PANTHER	PTHR11070	UVRD / RECB / PCRA DNA HELICASE FAMILY MEMBER	18	708	4.7E-135	T	10-07-2023	IPR000212	DNA helicase, UvrD/REP type
MNUJ01000033.1_4	e910afa0b90d635607c417f37af559e6	964	Gene3D	G3DSA:1.10.10.160	-	121	220	3.5E-90	T	10-07-2023	IPR013986	DExx box DNA helicase domain superfamily
MNUJ01000033.1_4	e910afa0b90d635607c417f37af559e6	964	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	14	687	1.74E-135	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MNUJ01000033.1_4	e910afa0b90d635607c417f37af559e6	964	Gene3D	G3DSA:1.10.486.10	PCRA; domain 4	420	582	3.9E-79	T	10-07-2023	-	-
MNUJ01000033.1_4	e910afa0b90d635607c417f37af559e6	964	Pfam	PF00580	UvrD/REP helicase N-terminal domain	20	302	1.3E-69	T	10-07-2023	IPR014016	UvrD-like helicase, ATP-binding domain
MNUJ01000033.1_4	e910afa0b90d635607c417f37af559e6	964	Pfam	PF13361	UvrD-like helicase C-terminal domain	309	667	6.2E-51	T	10-07-2023	IPR014017	UvrD-like DNA helicase, C-terminal
MNUJ01000033.1_4	e910afa0b90d635607c417f37af559e6	964	Pfam	PF12705	PD-(D/E)XK nuclease superfamily	727	961	8.6E-31	T	10-07-2023	IPR038726	PD-(D/E)XK endonuclease-like domain, AddAB-type
MNUJ01000033.1_4	e910afa0b90d635607c417f37af559e6	964	CDD	cd17932	DEXQc_UvrD	21	314	3.50514E-74	T	10-07-2023	-	-
MNUJ01000015.1_4	a55ed7968827db5346317965e9a4fdf2	317	Gene3D	G3DSA:1.10.8.60	-	124	191	5.3E-11	T	10-07-2023	-	-
MNUJ01000015.1_4	a55ed7968827db5346317965e9a4fdf2	317	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	4	191	1.33E-8	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MNUJ01000015.1_4	a55ed7968827db5346317965e9a4fdf2	317	Gene3D	G3DSA:3.40.50.300	-	1	118	2.9E-21	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MNUJ01000015.1_4	a55ed7968827db5346317965e9a4fdf2	317	SUPERFAMILY	SSF48019	post-AAA+ oligomerization domain-like	196	315	8.08E-18	T	10-07-2023	IPR008921	DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal
MNUJ01000015.1_4	a55ed7968827db5346317965e9a4fdf2	317	PANTHER	PTHR34388	DNA POLYMERASE III SUBUNIT DELTA	3	314	2.4E-51	T	10-07-2023	-	-
MNUJ01000015.1_4	a55ed7968827db5346317965e9a4fdf2	317	TIGRFAM	TIGR01128	holA: DNA polymerase III, delta subunit	3	315	3.3E-48	T	10-07-2023	IPR005790	DNA polymerase III, delta subunit
MNUJ01000015.1_4	a55ed7968827db5346317965e9a4fdf2	317	Gene3D	G3DSA:1.20.272.10	-	194	316	2.1E-34	T	10-07-2023	-	-
MNUJ01000015.1_4	a55ed7968827db5346317965e9a4fdf2	317	Pfam	PF06144	DNA polymerase III, delta subunit	4	171	1.7E-24	T	10-07-2023	IPR010372	DNA polymerase III delta, N-terminal
MNUJ01000054.1_3	e5bedf4b25489bfe10ac445e07b1d57e	123	TIGRFAM	TIGR02436	TIGR02436: four helix bundle protein	15	121	4.3E-38	T	10-07-2023	IPR012657	23S rRNA-intervening sequence protein
MNUJ01000054.1_3	e5bedf4b25489bfe10ac445e07b1d57e	123	SUPERFAMILY	SSF158446	IVS-encoded protein-like	9	121	1.31E-38	T	10-07-2023	IPR036583	23S rRNA-intervening sequence superfamily
MNUJ01000054.1_3	e5bedf4b25489bfe10ac445e07b1d57e	123	Pfam	PF05635	23S rRNA-intervening sequence protein	11	116	2.1E-39	T	10-07-2023	IPR012657	23S rRNA-intervening sequence protein
MNUJ01000054.1_3	e5bedf4b25489bfe10ac445e07b1d57e	123	PANTHER	PTHR38471	-	9	122	3.0E-30	T	10-07-2023	IPR012657	23S rRNA-intervening sequence protein
MNUJ01000054.1_3	e5bedf4b25489bfe10ac445e07b1d57e	123	CDD	cd16377	23S_rRNA_IVP_like	14	121	3.05311E-55	T	10-07-2023	IPR012657	23S rRNA-intervening sequence protein
MNUJ01000054.1_3	e5bedf4b25489bfe10ac445e07b1d57e	123	Gene3D	G3DSA:1.20.1440.60	-	2	123	9.6E-42	T	10-07-2023	IPR036583	23S rRNA-intervening sequence superfamily
MNUJ01000056.1_9	035927465813b825c7ec354cd703f777	137	ProSiteProfiles	PS51462	Nudix hydrolase domain profile.	1	129	11.071822	T	10-07-2023	IPR000086	NUDIX hydrolase domain
MNUJ01000056.1_9	035927465813b825c7ec354cd703f777	137	PANTHER	PTHR43046	GDP-MANNOSE MANNOSYL HYDROLASE	2	126	2.6E-14	T	10-07-2023	-	-
MNUJ01000056.1_9	035927465813b825c7ec354cd703f777	137	Pfam	PF00293	NUDIX domain	2	97	2.7E-14	T	10-07-2023	IPR000086	NUDIX hydrolase domain
MNUJ01000056.1_9	035927465813b825c7ec354cd703f777	137	SUPERFAMILY	SSF55811	Nudix	4	97	5.01E-20	T	10-07-2023	IPR015797	NUDIX hydrolase-like domain superfamily
MNUJ01000056.1_9	035927465813b825c7ec354cd703f777	137	Gene3D	G3DSA:3.90.79.10	Nucleoside Triphosphate Pyrophosphohydrolase	3	137	1.2E-23	T	10-07-2023	-	-
MNUJ01000010.1_4	0ae42ad4253378436760eac1249368d8	508	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	191	502	3.75E-43	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MNUJ01000010.1_4	0ae42ad4253378436760eac1249368d8	508	Pfam	PF01078	Magnesium chelatase, subunit ChlI	192	397	4.9E-93	T	10-07-2023	IPR000523	Magnesium chelatase ChlI-like, catalytic domain
MNUJ01000010.1_4	0ae42ad4253378436760eac1249368d8	508	PRINTS	PR01657	Mini-chromosome maintenance (MCM) protein family signature	320	333	1.6E-6	T	10-07-2023	IPR001208	MCM domain
MNUJ01000010.1_4	0ae42ad4253378436760eac1249368d8	508	PRINTS	PR01657	Mini-chromosome maintenance (MCM) protein family signature	344	356	1.6E-6	T	10-07-2023	IPR001208	MCM domain
MNUJ01000010.1_4	0ae42ad4253378436760eac1249368d8	508	PRINTS	PR01657	Mini-chromosome maintenance (MCM) protein family signature	292	306	1.6E-6	T	10-07-2023	IPR001208	MCM domain
MNUJ01000010.1_4	0ae42ad4253378436760eac1249368d8	508	PRINTS	PR01657	Mini-chromosome maintenance (MCM) protein family signature	211	226	1.6E-6	T	10-07-2023	IPR001208	MCM domain
MNUJ01000010.1_4	0ae42ad4253378436760eac1249368d8	508	PANTHER	PTHR32039	MAGNESIUM-CHELATASE SUBUNIT CHLI	20	498	3.7E-86	T	10-07-2023	IPR045006	Magnesium-chelatase subunit ChlI-like
MNUJ01000010.1_4	0ae42ad4253378436760eac1249368d8	508	Gene3D	G3DSA:3.40.50.300	-	178	508	2.9E-65	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MNUJ01000010.1_4	0ae42ad4253378436760eac1249368d8	508	Pfam	PF13541	Subunit ChlI of Mg-chelatase	21	144	1.4E-43	T	10-07-2023	-	-
MNUJ01000010.1_4	0ae42ad4253378436760eac1249368d8	508	TIGRFAM	TIGR00368	TIGR00368: Mg chelatase-like protein	8	500	4.1E-186	T	10-07-2023	IPR004482	Mg chelatase-related protein
MNUJ01000010.1_4	0ae42ad4253378436760eac1249368d8	508	Gene3D	G3DSA:3.30.230.10	-	9	170	1.6E-23	T	10-07-2023	IPR014721	Ribosomal protein S5 domain 2-type fold, subgroup
MNUJ01000010.1_4	0ae42ad4253378436760eac1249368d8	508	SMART	SM00382	AAA_5	212	395	9.7E-7	T	10-07-2023	IPR003593	AAA+ ATPase domain
MNUJ01000010.1_4	0ae42ad4253378436760eac1249368d8	508	SUPERFAMILY	SSF54211	Ribosomal protein S5 domain 2-like	10	167	1.44E-33	T	10-07-2023	IPR020568	Ribosomal protein S5 domain 2-type fold
MNUJ01000010.1_4	0ae42ad4253378436760eac1249368d8	508	Pfam	PF13335	Magnesium chelatase, subunit ChlI C-terminal	407	500	5.4E-28	T	10-07-2023	IPR025158	Mg chelatase-related protein, C-terminal domain
MNUJ01000040.1_7	332661a7c5f1468452a3594f9b8208a1	125	TIGRFAM	TIGR02436	TIGR02436: four helix bundle protein	13	118	6.1E-21	T	10-07-2023	IPR012657	23S rRNA-intervening sequence protein
MNUJ01000040.1_7	332661a7c5f1468452a3594f9b8208a1	125	Pfam	PF05635	23S rRNA-intervening sequence protein	13	108	9.1E-14	T	10-07-2023	IPR012657	23S rRNA-intervening sequence protein
