SMWK01000052.1_orf83678	54c47ba4fc7e3e4a42066c5407932503	734	Pfam	PF11739	Dicarboxylate transport	531	724	1.5E-41	T	24-06-2023	IPR021730	Dicarboxylate transport
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	SUPERFAMILY	SSF63737	Leukotriene A4 hydrolase N-terminal domain	13	204	3.79E-44	T	24-06-2023	IPR042097	Aminopeptidase N-like , N-terminal domain superfamliy
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	Gene3D	G3DSA:2.60.40.1730	tricorn interacting facor f3 domain	23	205	5.9E-58	T	24-06-2023	IPR042097	Aminopeptidase N-like , N-terminal domain superfamliy
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	Pfam	PF17432	Domain of unknown function (DUF3458_C) ARM repeats	569	895	6.2E-99	T	24-06-2023	IPR024601	Peptidase M1, alanyl aminopeptidase, C-terminal
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	Gene3D	G3DSA:1.25.50.10	-	566	896	6.2E-97	T	24-06-2023	IPR037144	Peptidase M1, alanyl aminopeptidase, C-terminal domain superfamily
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	Gene3D	G3DSA:2.60.40.1840	-	455	565	2.7E-26	T	24-06-2023	IPR038438	Alanyl aminopeptidase, Ig-like domain superfamily
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	FunFam	G3DSA:3.30.2010.30:FF:000002	Putative aminopeptidase N	207	290	1.8E-39	T	24-06-2023	-	-
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	SUPERFAMILY	SSF55486	Metalloproteases ("zincins"), catalytic domain	214	461	5.42E-79	T	24-06-2023	-	-
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	Pfam	PF17900	Peptidase M1 N-terminal domain	55	197	2.4E-17	T	24-06-2023	IPR045357	Aminopeptidase N-like , N-terminal domain
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	FunFam	G3DSA:2.60.40.1730:FF:000005	Aminopeptidase N	23	205	2.2E-71	T	24-06-2023	-	-
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	TIGRFAM	TIGR02414	pepN_proteo: aminopeptidase N	20	894	0.0	T	24-06-2023	IPR012779	Peptidase M1, alanyl aminopeptidase
SMWK01000164.1_orf29626	33024d9999648735ee0dec818519d45b	898	Gene3D	G3DSA:1.10.390.10	Neutral Protease Domain 2	291	454	6.9E-55	T	24-06-2023	IPR027268	Peptidase M4/M1, CTD superfamily
SMWK01000061.1_orf86355	b17e7b59c91862f5c911f3ba5ce27c8a	378	Gene3D	G3DSA:3.10.310.10	Diaminopimelate Epimerase; Chain A, domain 1	195	363	6.7E-93	T	24-06-2023	-	-
SMWK01000061.1_orf86355	b17e7b59c91862f5c911f3ba5ce27c8a	378	Pfam	PF04303	PrpF protein	32	376	1.6E-87	T	24-06-2023	IPR007400	PrpF protein
SMWK01000061.1_orf86355	b17e7b59c91862f5c911f3ba5ce27c8a	378	SUPERFAMILY	SSF54506	Diaminopimelate epimerase-like	199	377	2.3E-54	T	24-06-2023	-	-
SMWK01000061.1_orf86355	b17e7b59c91862f5c911f3ba5ce27c8a	378	PANTHER	PTHR43709	ACONITATE ISOMERASE-RELATED	30	377	5.0E-109	T	24-06-2023	IPR007400	PrpF protein
SMWK01000061.1_orf86355	b17e7b59c91862f5c911f3ba5ce27c8a	378	Gene3D	G3DSA:3.10.310.10	Diaminopimelate Epimerase; Chain A, domain 1	32	374	6.7E-93	T	24-06-2023	-	-
SMWK01000061.1_orf86355	b17e7b59c91862f5c911f3ba5ce27c8a	378	SUPERFAMILY	SSF54506	Diaminopimelate epimerase-like	31	195	1.02E-53	T	24-06-2023	-	-
SMWK01000061.1_orf86355	b17e7b59c91862f5c911f3ba5ce27c8a	378	Coils	Coil	Coil	248	268	-	T	24-06-2023	-	-
SMWK01000083.1_orf6225	549dc6ab396de077041c0ae65af0099f	458	MobiDBLite	mobidb-lite	consensus disorder prediction	1	18	-	T	24-06-2023	-	-
SMWK01000083.1_orf6225	549dc6ab396de077041c0ae65af0099f	458	MobiDBLite	mobidb-lite	consensus disorder prediction	1	33	-	T	24-06-2023	-	-
SMWK01000083.1_orf6225	549dc6ab396de077041c0ae65af0099f	458	Pfam	PF00144	Beta-lactamase	88	438	1.1E-64	T	24-06-2023	IPR001466	Beta-lactamase-related
SMWK01000083.1_orf6225	549dc6ab396de077041c0ae65af0099f	458	Gene3D	G3DSA:3.40.710.10	-	61	457	1.5E-124	T	24-06-2023	IPR012338	Beta-lactamase/transpeptidase-like
SMWK01000083.1_orf6225	549dc6ab396de077041c0ae65af0099f	458	PANTHER	PTHR43283	BETA-LACTAMASE-RELATED	65	440	5.2E-89	T	24-06-2023	-	-
SMWK01000083.1_orf6225	549dc6ab396de077041c0ae65af0099f	458	SUPERFAMILY	SSF56601	beta-lactamase/transpeptidase-like	76	445	4.47E-88	T	24-06-2023	IPR012338	Beta-lactamase/transpeptidase-like
SMWK01000317.1_orf76663	73d78de3ed24ab439133098953df2b36	461	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	51	215	1.74E-43	T	24-06-2023	IPR036291	NAD(P)-binding domain superfamily
SMWK01000317.1_orf76663	73d78de3ed24ab439133098953df2b36	461	Pfam	PF19051	Oxidoreductase family, C-terminal alpha/beta domain	217	281	1.9E-16	T	24-06-2023	IPR043906	Gfo/Idh/MocA-like oxidoreductase, bacterial type, C-terminal
SMWK01000317.1_orf76663	73d78de3ed24ab439133098953df2b36	461	Pfam	PF19051	Oxidoreductase family, C-terminal alpha/beta domain	386	457	1.4E-6	T	24-06-2023	IPR043906	Gfo/Idh/MocA-like oxidoreductase, bacterial type, C-terminal
SMWK01000317.1_orf76663	73d78de3ed24ab439133098953df2b36	461	PANTHER	PTHR43818	BCDNA.GH03377	37	442	3.4E-79	T	24-06-2023	-	-
SMWK01000317.1_orf76663	73d78de3ed24ab439133098953df2b36	461	Pfam	PF01408	Oxidoreductase family, NAD-binding Rossmann fold	60	183	1.2E-16	T	24-06-2023	IPR000683	Gfo/Idh/MocA-like oxidoreductase, N-terminal
SMWK01000317.1_orf76663	73d78de3ed24ab439133098953df2b36	461	Gene3D	G3DSA:3.30.360.10	Dihydrodipicolinate Reductase; domain 2	190	439	2.7E-30	T	24-06-2023	-	-
SMWK01000317.1_orf76663	73d78de3ed24ab439133098953df2b36	461	Gene3D	G3DSA:3.40.50.720	-	57	189	4.1E-35	T	24-06-2023	-	-
SMWK01000317.1_orf76663	73d78de3ed24ab439133098953df2b36	461	SUPERFAMILY	SSF55347	Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain	192	412	4.36E-23	T	24-06-2023	-	-
SMWK01000187.1_orf36747	2a0075e706aa3347ee232ff202874dbe	274	SUPERFAMILY	SSF51197	Clavaminate synthase-like	45	260	1.83E-31	T	24-06-2023	-	-
SMWK01000187.1_orf36747	2a0075e706aa3347ee232ff202874dbe	274	PANTHER	PTHR20883	PHYTANOYL-COA DIOXYGENASE DOMAIN CONTAINING 1	56	267	2.2E-11	T	24-06-2023	-	-
SMWK01000187.1_orf36747	2a0075e706aa3347ee232ff202874dbe	274	Gene3D	G3DSA:2.60.120.620	q2cbj1_9rhob like domain	46	272	8.0E-24	T	24-06-2023	-	-
SMWK01000187.1_orf36747	2a0075e706aa3347ee232ff202874dbe	274	Pfam	PF05721	Phytanoyl-CoA dioxygenase (PhyH)	174	269	1.9E-8	T	24-06-2023	IPR008775	Phytanoyl-CoA dioxygenase-like
SMWK01000196.1_orf38943	4b8b3f7d84374f240bdba3750d72f1a4	337	ProSitePatterns	PS01125	ROK family signature.	169	196	-	T	24-06-2023	IPR000600	ROK family
SMWK01000196.1_orf38943	4b8b3f7d84374f240bdba3750d72f1a4	337	Pfam	PF00480	ROK family	42	336	2.1E-74	T	24-06-2023	IPR000600	ROK family
SMWK01000196.1_orf38943	4b8b3f7d84374f240bdba3750d72f1a4	337	PANTHER	PTHR18964	ROK (REPRESSOR, ORF, KINASE) FAMILY	38	336	1.7E-60	T	24-06-2023	IPR000600	ROK family
SMWK01000196.1_orf38943	4b8b3f7d84374f240bdba3750d72f1a4	337	SUPERFAMILY	SSF53067	Actin-like ATPase domain	41	336	4.08E-60	T	24-06-2023	IPR043129	ATPase, nucleotide binding domain
SMWK01000196.1_orf38943	4b8b3f7d84374f240bdba3750d72f1a4	337	CDD	cd00012	NBD_sugar-kinase_HSP70_actin	42	165	2.81918E-9	T	24-06-2023	-	-
SMWK01000196.1_orf38943	4b8b3f7d84374f240bdba3750d72f1a4	337	Gene3D	G3DSA:3.30.420.40	-	158	327	1.4E-83	T	24-06-2023	-	-
SMWK01000196.1_orf38943	4b8b3f7d84374f240bdba3750d72f1a4	337	Gene3D	G3DSA:3.30.420.40	-	43	333	1.4E-83	T	24-06-2023	-	-
SMWK01000115.1_orf15891	dcbc91deaed5398ab0aebdad42809a14	404	FunFam	G3DSA:1.20.81.30:FF:000001	Type II secretion system protein F	53	170	1.8E-37	T	24-06-2023	-	-
SMWK01000115.1_orf15891	dcbc91deaed5398ab0aebdad42809a14	404	Coils	Coil	Coil	143	163	-	T	24-06-2023	-	-
SMWK01000115.1_orf15891	dcbc91deaed5398ab0aebdad42809a14	404	FunFam	G3DSA:1.20.81.30:FF:000001	Type II secretion system protein F	255	373	3.5E-34	T	24-06-2023	-	-
SMWK01000115.1_orf15891	dcbc91deaed5398ab0aebdad42809a14	404	PRINTS	PR00812	Bacterial general secretion pathway protein F signature	367	381	4.6E-17	T	24-06-2023	IPR003004	GspF/PilC family
SMWK01000115.1_orf15891	dcbc91deaed5398ab0aebdad42809a14	404	PRINTS	PR00812	Bacterial general secretion pathway protein F signature	163	191	4.6E-17	T	24-06-2023	IPR003004	GspF/PilC family
SMWK01000115.1_orf15891	dcbc91deaed5398ab0aebdad42809a14	404	PRINTS	PR00812	Bacterial general secretion pathway protein F signature	64	76	4.6E-17	T	24-06-2023	IPR003004	GspF/PilC family
SMWK01000115.1_orf15891	dcbc91deaed5398ab0aebdad42809a14	404	PRINTS	PR00812	Bacterial general secretion pathway protein F signature	383	402	4.6E-17	T	24-06-2023	IPR003004	GspF/PilC family
SMWK01000115.1_orf15891	dcbc91deaed5398ab0aebdad42809a14	404	Gene3D	G3DSA:1.20.81.30	Type II secretion system (T2SS), domain F	255	365	4.2E-29	T	24-06-2023	IPR042094	Type II secretion system GspF domain superfamily
SMWK01000115.1_orf15891	dcbc91deaed5398ab0aebdad42809a14	404	Pfam	PF00482	Type II secretion system (T2SS), protein F	272	394	1.8E-29	T	24-06-2023	IPR018076	Type II secretion system protein GspF domain
SMWK01000115.1_orf15891	dcbc91deaed5398ab0aebdad42809a14	404	Pfam	PF00482	Type II secretion system (T2SS), protein F	68	191	1.4E-35	T	24-06-2023	IPR018076	Type II secretion system protein GspF domain
SMWK01000115.1_orf15891	dcbc91deaed5398ab0aebdad42809a14	404	Coils	Coil	Coil	236	256	-	T	24-06-2023	-	-
SMWK01000115.1_orf15891	dcbc91deaed5398ab0aebdad42809a14	404	ProSitePatterns	PS00874	Bacterial type II secretion system protein F signature.	163	191	-	T	24-06-2023	IPR001992	T2SS_GspF/T4SS_PilC conserved site
SMWK01000115.1_orf15891	dcbc91deaed5398ab0aebdad42809a14	404	Gene3D	G3DSA:1.20.81.30	Type II secretion system (T2SS), domain F	57	170	5.8E-33	T	24-06-2023	IPR042094	Type II secretion system GspF domain superfamily
SMWK01000115.1_orf15891	dcbc91deaed5398ab0aebdad42809a14	404	PANTHER	PTHR30012	GENERAL SECRETION PATHWAY PROTEIN	6	402	2.2E-136	T	24-06-2023	IPR003004	GspF/PilC family
SMWK01000164.1_orf29178	93e703e193ee630a5d3037cc432ab265	613	SUPERFAMILY	SSF49742	PHM/PNGase F	478	603	2.56E-14	T	24-06-2023	IPR008977	PHM/PNGase F domain superfamily
SMWK01000164.1_orf29178	93e703e193ee630a5d3037cc432ab265	613	PANTHER	PTHR43640	OS07G0260300 PROTEIN	30	191	7.8E-14	T	24-06-2023	IPR047262	Peroxiredoxin-like 1
SMWK01000164.1_orf29178	93e703e193ee630a5d3037cc432ab265	613	SUPERFAMILY	SSF49742	PHM/PNGase F	330	464	1.91E-16	T	24-06-2023	IPR008977	PHM/PNGase F domain superfamily
SMWK01000164.1_orf29178	93e703e193ee630a5d3037cc432ab265	613	Pfam	PF03712	Copper type II ascorbate-dependent monooxygenase, C-terminal domain	494	598	3.0E-5	T	24-06-2023	IPR024548	Copper type II ascorbate-dependent monooxygenase, C-terminal
SMWK01000164.1_orf29178	93e703e193ee630a5d3037cc432ab265	613	Pfam	PF00578	AhpC/TSA family	45	152	1.7E-9	T	24-06-2023	IPR000866	Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant
SMWK01000164.1_orf29178	93e703e193ee630a5d3037cc432ab265	613	Gene3D	G3DSA:3.40.30.10	Glutaredoxin	33	205	1.2E-25	T	24-06-2023	-	-
SMWK01000164.1_orf29178	93e703e193ee630a5d3037cc432ab265	613	Gene3D	G3DSA:2.60.120.310	-	333	466	2.2E-10	T	24-06-2023	IPR036939	Copper type II, ascorbate-dependent monooxygenase, N-terminal domain superfamily
SMWK01000164.1_orf29178	93e703e193ee630a5d3037cc432ab265	613	Gene3D	G3DSA:2.60.120.230	-	472	612	9.5E-16	T	24-06-2023	IPR014784	Copper type II, ascorbate-dependent monooxygenase-like, C-terminal
SMWK01000164.1_orf29178	93e703e193ee630a5d3037cc432ab265	613	SUPERFAMILY	SSF52833	Thioredoxin-like	36	167	2.24E-16	T	24-06-2023	IPR036249	Thioredoxin-like superfamily
SMWK01000233.1_orf49025	92154f637f67ae8e1bfe48291f18cbca	312	MobiDBLite	mobidb-lite	consensus disorder prediction	284	312	-	T	24-06-2023	-	-
SMWK01000233.1_orf49025	92154f637f67ae8e1bfe48291f18cbca	312	Gene3D	G3DSA:3.20.20.30	-	1	300	1.9E-48	T	24-06-2023	IPR036661	Luciferase-like domain superfamily
SMWK01000233.1_orf49025	92154f637f67ae8e1bfe48291f18cbca	312	MobiDBLite	mobidb-lite	consensus disorder prediction	285	312	-	T	24-06-2023	-	-
SMWK01000233.1_orf49025	92154f637f67ae8e1bfe48291f18cbca	312	PANTHER	PTHR43244	-	12	255	4.0E-37	T	24-06-2023	-	-
SMWK01000233.1_orf49025	92154f637f67ae8e1bfe48291f18cbca	312	CDD	cd01097	Tetrahydromethanopterin_reductase	89	206	7.92875E-10	T	24-06-2023	-	-
SMWK01000233.1_orf49025	92154f637f67ae8e1bfe48291f18cbca	312	SUPERFAMILY	SSF51679	Bacterial luciferase-like	1	295	6.02E-51	T	24-06-2023	IPR036661	Luciferase-like domain superfamily
SMWK01000233.1_orf49025	92154f637f67ae8e1bfe48291f18cbca	312	TIGRFAM	TIGR03564	F420_MSMEG_4879: F420-dependent oxidoreductase, MSMEG_4879 family	19	280	1.4E-90	T	24-06-2023	IPR019910	Luciferase-like, F420-dependent oxidoreductase, MSMEG4879, predicted
SMWK01000233.1_orf49025	92154f637f67ae8e1bfe48291f18cbca	312	Pfam	PF00296	Luciferase-like monooxygenase	13	274	1.2E-43	T	24-06-2023	IPR011251	Luciferase-like domain
SMWK01000185.1_orf36477	dcbbaed47118fd62bd5ac06c5f663a75	190	MobiDBLite	mobidb-lite	consensus disorder prediction	31	82	-	T	24-06-2023	-	-
SMWK01000185.1_orf36477	dcbbaed47118fd62bd5ac06c5f663a75	190	MobiDBLite	mobidb-lite	consensus disorder prediction	37	69	-	T	24-06-2023	-	-
SMWK01000185.1_orf36477	dcbbaed47118fd62bd5ac06c5f663a75	190	MobiDBLite	mobidb-lite	consensus disorder prediction	135	161	-	T	24-06-2023	-	-
SMWK01000185.1_orf36477	dcbbaed47118fd62bd5ac06c5f663a75	190	MobiDBLite	mobidb-lite	consensus disorder prediction	125	173	-	T	24-06-2023	-	-
SMWK01000261.1_orf58043	9abc1cb1b273dfd463ee1a3ec954d8c8	236	Coils	Coil	Coil	208	228	-	T	24-06-2023	-	-
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	Gene3D	G3DSA:1.10.3210.10	Hypothetical protein af1432	433	568	1.7E-7	T	24-06-2023	-	-
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	Hamap	MF_00277	Bifunctional uridylyltransferase/uridylyl-removing enzyme [glnD].	1	890	272.463959	T	24-06-2023	IPR010043	Bifunctional uridylyltransferase/uridylyl-removing enzyme
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	PANTHER	PTHR47320	BIFUNCTIONAL URIDYLYLTRANSFERASE/URIDYLYL-REMOVING ENZYME	18	879	5.0E-269	T	24-06-2023	IPR010043	Bifunctional uridylyltransferase/uridylyl-removing enzyme
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	FunFam	G3DSA:1.10.3090.10:FF:000005	Bifunctional uridylyltransferase/uridylyl-removing enzyme	376	606	4.7E-104	T	24-06-2023	-	-
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	Pfam	PF08335	GlnD PII-uridylyltransferase	177	315	5.4E-33	T	24-06-2023	IPR013546	PII-uridylyltransferase/Glutamine-synthetase adenylyltransferase
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	SUPERFAMILY	SSF55021	ACT-like	806	865	3.09E-9	T	24-06-2023	IPR045865	ACT-like domain
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	CDD	cd04899	ACT_ACR-UUR-like_2	808	878	3.34409E-22	T	24-06-2023	-	-
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	CDD	cd00077	HDc	451	603	7.43519E-7	T	24-06-2023	IPR003607	HD/PDEase domain
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	Pfam	PF01966	HD domain	454	581	1.9E-12	T	24-06-2023	IPR006674	HD domain
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	ProSiteProfiles	PS51671	ACT domain profile.	699	786	10.225685	T	24-06-2023	IPR002912	ACT domain
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	TIGRFAM	TIGR01693	UTase_glnD: protein-P-II uridylyltransferase	39	878	1.3E-259	T	24-06-2023	IPR010043	Bifunctional uridylyltransferase/uridylyl-removing enzyme
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	CDD	cd05401	NT_GlnE_GlnD_like	22	166	1.8213E-20	T	24-06-2023	-	-
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	Pfam	PF01909	Nucleotidyltransferase domain	64	122	5.5E-6	T	24-06-2023	IPR002934	Polymerase, nucleotidyl transferase domain
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	CDD	cd04900	ACT_UUR-like_1	697	770	9.39065E-17	T	24-06-2023	-	-
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	ProSiteProfiles	PS51831	HD domain profile.	453	575	21.32349	T	24-06-2023	IPR006674	HD domain
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	SMART	SM00471	hd_13	449	596	3.8E-8	T	24-06-2023	IPR003607	HD/PDEase domain
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	ProSiteProfiles	PS51671	ACT domain profile.	809	891	14.402092	T	24-06-2023	IPR002912	ACT domain
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	SUPERFAMILY	SSF81301	Nucleotidyltransferase	52	172	1.12E-14	T	24-06-2023	IPR043519	Nucleotidyltransferase superfamily
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	SUPERFAMILY	SSF109604	HD-domain/PDEase-like	421	545	6.59E-14	T	24-06-2023	-	-
SMWK01000214.1_orf44115	dd91b287ab0fca923d4edb78e2c22738	893	SUPERFAMILY	SSF81593	Nucleotidyltransferase substrate binding subunit/domain	178	311	2.51E-8	T	24-06-2023	-	-
SMWK01000045.1_orf81744	fdcc6cd5792945b2a45d406fe468e0b2	289	Gene3D	G3DSA:2.40.160.50	membrane protein fhac: a member of the omp85/tpsb transporter family	158	281	3.3E-6	T	24-06-2023	-	-
SMWK01000205.1_orf42052	3cdffed590aa47e9110aec9195fcb482	224	Gene3D	G3DSA:3.40.47.10	-	26	224	2.4E-56	T	24-06-2023	IPR016039	Thiolase-like
SMWK01000205.1_orf42052	3cdffed590aa47e9110aec9195fcb482	224	Pfam	PF00108	Thiolase, N-terminal domain	30	222	1.9E-42	T	24-06-2023	IPR020616	Thiolase, N-terminal
SMWK01000205.1_orf42052	3cdffed590aa47e9110aec9195fcb482	224	SUPERFAMILY	SSF53901	Thiolase-like	26	220	1.27E-49	T	24-06-2023	IPR016039	Thiolase-like
