	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_027329.1_NC_027329.1_55	NC_027329.1	NC_027329.1	55	37912	39018	1	D										Phage major capsid protein E [PF03864.18]					0
NC_027329.1_NC_027329.1_56	NC_027329.1	NC_027329.1	56	39040	39489	1	E															0
NC_027329.1_NC_027329.1_57	NC_027329.1	NC_027329.1	57	39489	39971	1	E															0
NC_027329.1_NC_027329.1_58	NC_027329.1	NC_027329.1	58	39968	40369	1	E															0
NC_027329.1_NC_027329.1_59	NC_027329.1	NC_027329.1	59	40344	40943	1	E															0
NC_027329.1_NC_027329.1_60	NC_027329.1	NC_027329.1	60	40944	42296	1	D										Protein of unknown function (DUF3383) [PF11863.11]					0
NC_027329.1_NC_027329.1_61	NC_027329.1	NC_027329.1	61	42312	42758	1	D										Bacteriophage KPP10, Structural protein ORF10 [PF11681.11]					0
NC_027329.1_NC_027329.1_62	NC_027329.1	NC_027329.1	62	42832	43230	1	E															0
NC_027329.1_NC_027329.1_63	NC_027329.1	NC_027329.1	63	43233	43472	1	E															0
NC_027329.1_NC_027329.1_64	NC_027329.1	NC_027329.1	64	43472	45718	1	D										Tape measure protein [PF20155.2]					0
NC_027329.1_NC_027329.1_65	NC_027329.1	NC_027329.1	65	45718	46515	1	E															0
NC_027329.1_NC_027329.1_66	NC_027329.1	NC_027329.1	66	46515	46856	1	E															0
NC_027329.1_NC_027329.1_67	NC_027329.1	NC_027329.1	67	46856	47833	1	E															0
NC_027329.1_NC_027329.1_68	NC_027329.1	NC_027329.1	68	47833	48456	1	D										Phage protein Gp138 N-terminal domain [PF18352.4]					0
NC_027329.1_NC_027329.1_69	NC_027329.1	NC_027329.1	69	48456	48875	1	E															0
NC_027329.1_NC_027329.1_70	NC_027329.1	NC_027329.1	70	48875	50344	1	D										Baseplate J-like protein [PF04865.17]					0
NC_027329.1_NC_027329.1_71	NC_027329.1	NC_027329.1	71	50347	51204	1	E															0
NC_027329.1_NC_027329.1_72	NC_027329.1	NC_027329.1	72	51204	51506	1	E															0
NC_027329.1_NC_027329.1_73	NC_027329.1	NC_027329.1	73	51509	52675	1	E															0
NC_027329.1_NC_027329.1_74	NC_027329.1	NC_027329.1	74	52722	55064	1	D										Tail fibre protein gp37 C terminal [PF12604.11]					0
NC_027329.1_NC_027329.1_75	NC_027329.1	NC_027329.1	75	55339	55710	1	E															0
NC_027329.1_NC_027329.1_76	NC_027329.1	NC_027329.1	76	55750	56649	-1	C	K00560	thymidylate synthase [EC:2.1.1.45]								Thymidylate synthase [PF00303.22]					0
NC_027329.1_NC_027329.1_77	NC_027329.1	NC_027329.1	77	56651	57196	-1	C	K00287	dihydrofolate reductase [EC:1.5.1.3]								Dihydrofolate reductase [PF00186.22]					0
NC_027329.1_NC_027329.1_78	NC_027329.1	NC_027329.1	78	57193	57453	-1	E															0
NC_027329.1_NC_027329.1_79	NC_027329.1	NC_027329.1	79	57454	57969	-1	E															0
NC_027329.1_NC_027329.1_80	NC_027329.1	NC_027329.1	80	57983	58342	-1	E															0
NC_027329.1_NC_027329.1_81	NC_027329.1	NC_027329.1	81	58344	58643	-1	D										Helix-turn-helix [PF01381.25]; Helix-turn-helix domain [PF12844.10]; Helix-turn-helix domain [PF13744.9]; Helix-turn-helix domain [PF13560.9]					0
NC_027329.1_NC_027329.1_82	NC_027329.1	NC_027329.1	82	58636	58848	-1	E															0
NC_027329.1_NC_027329.1_83	NC_027329.1	NC_027329.1	83	58850	59233	-1	E															0
NC_027329.1_NC_027329.1_84	NC_027329.1	NC_027329.1	84	59664	60764	-1	D										ATP dependent DNA ligase domain [PF01068.24]					0
NC_027329.1_NC_027329.1_85	NC_027329.1	NC_027329.1	85	60761	60958	-1	E															0
NC_027329.1_NC_027329.1_86	NC_027329.1	NC_027329.1	86	60955	61161	-1	E															0
NC_027329.1_NC_027329.1_87	NC_027329.1	NC_027329.1	87	61588	61800	-1	E															0
NC_027329.1_NC_027329.1_88	NC_027329.1	NC_027329.1	88	61852	62364	-1	D										HNH endonuclease [PF13392.9]; AP2 domain [PF00847.23]					0
NC_027329.1_NC_027329.1_89	NC_027329.1	NC_027329.1	89	62364	65096	-1	D										DNA polymerase family A [PF00476.23]					0
NC_027329.1_NC_027329.1_90	NC_027329.1	NC_027329.1	90	65320	65742	1	E															0
NC_027329.1_NC_027329.1_91	NC_027329.1	NC_027329.1	91	65744	66556	1	E															0
NC_027329.1_NC_027329.1_92	NC_027329.1	NC_027329.1	92	66618	67361	1	E															0
NC_027329.1_NC_027329.1_93	NC_027329.1	NC_027329.1	93	67376	67570	1	E															0
NC_027329.1_NC_027329.1_94	NC_027329.1	NC_027329.1	94	67563	69548	1	D										DnaB-like helicase C terminal domain [PF03796.18]; Toprim-like [PF13155.9]					0
NC_027329.1_NC_027329.1_95	NC_027329.1	NC_027329.1	95	69523	69804	1	E															0
NC_027329.1_NC_027329.1_96	NC_027329.1	NC_027329.1	96	69801	69950	1	E															0
NC_027329.1_NC_027329.1_97	NC_027329.1	NC_027329.1	97	70023	70880	1	E															0
NC_027329.1_NC_027329.1_98	NC_027329.1	NC_027329.1	98	70943	71983	1	E															0
NC_027329.1_NC_027329.1_99	NC_027329.1	NC_027329.1	99	71973	72470	1	D										Putative endonuclease segE, GIY-YIG domain [PF19835.2]					0
NC_027329.1_NC_027329.1_100	NC_027329.1	NC_027329.1	100	72492	72740	1	E															0
NC_027329.1_NC_027329.1_101	NC_027329.1	NC_027329.1	101	72716	73471	1	E															0
NC_027329.1_NC_027329.1_102	NC_027329.1	NC_027329.1	102	73452	73775	1	E															0
NC_027329.1_NC_027329.1_103	NC_027329.1	NC_027329.1	103	73768	74106	1	E															0
NC_027329.1_NC_027329.1_104	NC_027329.1	NC_027329.1	104	74153	76387	1	D										Ribonucleotide reductase, barrel domain [PF02867.18]; Ribonucleotide reductase, all-alpha domain [PF00317.24]					0
NC_027329.1_NC_027329.1_105	NC_027329.1	NC_027329.1	105	76359	76700	1	E															0
NC_027329.1_NC_027329.1_106	NC_027329.1	NC_027329.1	106	76697	77770	1	D										Ribonucleotide reductase, small chain [PF00268.24]					0
NC_027329.1_NC_027329.1_107	NC_027329.1	NC_027329.1	107	77770	78012	1	D										Glutaredoxin [PF00462.27]					0
NC_027329.1_NC_027329.1_108	NC_027329.1	NC_027329.1	108	78005	78211	1	E															0
NC_027329.1_NC_027329.1_109	NC_027329.1	NC_027329.1	109	78260	79459	1	C	K21636	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]								Anaerobic ribonucleoside-triphosphate reductase [PF13597.9]; ATP cone domain [PF03477.19]					0
NC_027329.1_NC_027329.1_110	NC_027329.1	NC_027329.1	110	79572	80036	1	D										HNH endonuclease [PF13392.9]					0
NC_027329.1_NC_027329.1_111	NC_027329.1	NC_027329.1	111	80292	81146	1	C	K21636	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]								Anaerobic ribonucleoside-triphosphate reductase [PF13597.9]					1
NC_027329.1_NC_027329.1_112	NC_027329.1	NC_027329.1	112	81497	81892	1	E															0
NC_027329.1_NC_027329.1_113	NC_027329.1	NC_027329.1	113	81928	82413	1	C	K04068	anaerobic ribonucleoside-triphosphate reductase activating protein [EC:1.97.1.4]								4Fe-4S single cluster domain [PF13353.9]; 4Fe-4S single cluster domain [PF13394.9]; Radical SAM superfamily [PF04055.24]					0
NC_027329.1_NC_027329.1_114	NC_027329.1	NC_027329.1	114	82376	82753	1	E															0
NC_027329.1_NC_027329.1_115	NC_027329.1	NC_027329.1	115	82720	82977	1	E															0
NC_027329.1_NC_027329.1_116	NC_027329.1	NC_027329.1	116	82980	83300	1	E															0
NC_027329.1_NC_027329.1_117	NC_027329.1	NC_027329.1	117	83353	83868	1	E															0
NC_027329.1_NC_027329.1_118	NC_027329.1	NC_027329.1	118	83861	84139	1	E															0
NC_027329.1_NC_027329.1_119	NC_027329.1	NC_027329.1	119	84151	85032	1	C	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]								Phosphoribosyl synthetase-associated domain [PF14572.9]; Phosphoribosyl transferase domain [PF00156.30]					0
NC_027329.1_NC_027329.1_120	NC_027329.1	NC_027329.1	120	85061	86860	1	C	K03462	nicotinamide phosphoribosyltransferase [EC:2.4.2.12]								Nicotinate phosphoribosyltransferase (NAPRTase) family [PF04095.19]; Nicotinamide phosphoribosyltransferase, N-terminal domain [PF18127.4]					0
NC_027329.1_NC_027329.1_121	NC_027329.1	NC_027329.1	121	86914	87249	1	E															0
NC_027329.1_NC_027329.1_122	NC_027329.1	NC_027329.1	122	87436	87510	1	E															0
