	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
KC292026.1_11	KC292026	KC292026.1	11	8822	11488	1	E			YP_008059219.1	YP_008059219.1 prohead protease [Halogranum tailed virus 1]	True	0.921	1711.0	0.0									VOG26457	REFSEQ prohead protease; Xu	Xu	0	False	
KC292026.1_12	KC292026	KC292026.1	12	11506	11976	1	E			YP_008059220.1	YP_008059220.1 hypothetical protein M199_gp012 [Halogranum tailed virus 1]	False	0.938	309.0	4.476e-96												0	False	
KC292026.1_13	KC292026	KC292026.1	13	11995	12831	1	D			YP_008059221.1	YP_008059221.1 major head protein [Halogranum tailed virus 1]	True	0.931	544.0	4.536e-175								Phage capsid family [PF05065.16]	VOG14637	REFSEQ major capsid protein; Xu	Xu	0	False	
KC292026.1_14	KC292026	KC292026.1	14	12894	13319	1	E			YP_008059222.1	YP_008059222.1 hypothetical protein M199_gp014 [Halogranum tailed virus 1]	False	0.949	283.0	2.438e-87												0	False	
KC292026.1_15	KC292026	KC292026.1	15	13320	13838	1	E			YP_008059223.1	YP_008059223.1 hypothetical protein M199_gp015 [Halogranum tailed virus 1]	True	0.961	350.0	7.34e-110												0	False	
KC292026.1_16	KC292026	KC292026.1	16	13842	14402	1	E			YP_008059224.1	YP_008059224.1 hypothetical protein M199_gp016 [Halogranum tailed virus 1]	True	0.975	384.0	1.7150000000000002e-121												0	False	
KC292026.1_17	KC292026	KC292026.1	17	14463	15818	1	E			YP_008059225.1	YP_008059225.1 tail sheath [Halogranum tailed virus 1]	True	0.939	889.0	2.649e-291									VOG01001	sp|P85225|VPN1_BPPHE Putative tail sheath protein; Xs	Xs	0	False	V
KC292026.1_18	KC292026	KC292026.1	18	15830	16231	1	E			YP_008059226.1	YP_008059226.1 hypothetical protein M199_gp018 [Halogranum tailed virus 1]	False	0.949	267.0	5.071e-82												0	False	
KC292026.1_19	KC292026	KC292026.1	19	16397	16843	1	E			YP_008059227.1	YP_008059227.1 hypothetical protein M199_gp019 [Halogranum tailed virus 1]	False	0.918	286.0	2.729e-88												0	False	
KC292026.1_20	KC292026	KC292026.1	20	16852	17058	1	E			YP_008059228.1	YP_008059228.1 hypothetical protein M199_gp020 [Halogranum tailed virus 1]	False	0.947	138.0	3.117e-38												0	False	
KC292026.1_21	KC292026	KC292026.1	21	17062	20013	1	E			YP_008059229.1	YP_008059229.1 tape measure [Halogranum tailed virus 1]	True	0.894	1830.0	0.0												0	False	
KC292026.1_22	KC292026	KC292026.1	22	20021	20650	1	E			YP_008059230.1	YP_008059230.1 hypothetical protein M199_gp022 [Halogranum tailed virus 1]	True	0.931	410.0	6.364e-130												0	False	
KC292026.1_23	KC292026	KC292026.1	23	20650	21900	1	E			YP_008059231.1	YP_008059231.1 late control GPD [Halogranum tailed virus 1]	True	0.964	846.0	7.971e-277												0	False	
KC292026.1_24	KC292026	KC292026.1	24	21903	22565	1	E			YP_008059232.1	YP_008059232.1 baseplate V-like protein [Halogranum tailed virus 1]	True	0.935	433.0	8.877e-138												0	False	
KC292026.1_25	KC292026	KC292026.1	25	22649	23026	1	E			YP_008059233.1	YP_008059233.1 hypothetical protein M199_gp025 [Halogranum tailed virus 1]	False	0.946	250.0	2.725e-76												0	False	
KC292026.1_26	KC292026	KC292026.1	26	23023	24432	1	D			YP_008059234.1	YP_008059234.1 baseplate J-like protein [Halogranum tailed virus 1]	True	0.932	918.0	8.639e-301								Baseplate J-like protein [PF04865.17]	VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xs;Xh	0	False	V
KC292026.1_27	KC292026	KC292026.1	27	24433	25599	1	E			YP_008059235.1	YP_008059235.1 baseplate protein [Halogranum tailed virus 1]	True	0.926	754.0	1.198e-245												0	False	
KC292026.1_28	KC292026	KC292026.1	28	25651	26217	1	E			YP_008059236.1	YP_008059236.1 hypothetical protein M199_gp028 [Halogranum tailed virus 1]	True	0.936	371.0	6.267e-117									VOG11952	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292026.1_29	KC292026	KC292026.1	29	26256	27323	1	E			YP_008059237.1	YP_008059237.1 hypothetical protein M199_gp029 [Halogranum tailed virus 1]	True	0.944	705.0	2.389e-229									VOG03171	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292026.1_30	KC292026	KC292026.1	30	27362	27550	1	E			YP_008059238.1	YP_008059238.1 hypothetical protein M199_gp030 [Halogranum tailed virus 1]	False	0.857	113.0	1.077e-29												0	False	
KC292026.1_31	KC292026	KC292026.1	31	27560	28534	1	E			YP_008059239.1	YP_008059239.1 hypothetical protein M199_gp031 [Halogranum tailed virus 1]	True	0.933	635.0	9.387999999999999e-206									VOG03171	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292026.1_32	KC292026	KC292026.1	32	28531	29358	1	E			YP_008059240.1	YP_008059240.1 hypothetical protein M199_gp032 [Halogranum tailed virus 1]	True	0.986	574.0	1.551e-185												0	False	
KC292026.1_33	KC292026	KC292026.1	33	29361	30197	1	E			YP_008059241.1	YP_008059241.1 hypothetical protein M199_gp033 [Halogranum tailed virus 1]	True	0.98	577.0	1.967e-186												0	False	
KC292026.1_34	KC292026	KC292026.1	34	30256	30792	1	E			YP_008059242.1	YP_008059242.1 hypothetical protein M199_gp034 [Halogranum tailed virus 1]	True	1.0	379.0	7.072e-120									VOG01682	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292026.1_35	KC292026	KC292026.1	35	30785	31027	1	E			YP_008059243.1	YP_008059243.1 hypothetical protein M199_gp035 [Halogranum tailed virus 1]	False	0.856	144.0	2.608e-40												0	False	
KC292026.1_36	KC292026	KC292026.1	36	31024	31194	1	E			YP_008059244.1	YP_008059244.1 hypothetical protein M199_gp036 [Halogranum tailed virus 1]	False	1.0	124.0	1.107e-33												0	False	
KC292026.1_37	KC292026	KC292026.1	37	31200	31589	1	E			YP_008059245.1	YP_008059245.1 hypothetical protein M199_gp037 [Halogranum tailed virus 1]	False	0.859	232.0	9.248e-70												0	False	
KC292026.1_38	KC292026	KC292026.1	38	31623	32231	-1	D			YP_008059246.1	YP_008059246.1 RadA [Halogranum tailed virus 1]	True	0.867	365.0	1.376e-114								Helix-hairpin-helix domain [PF14520.9]				0	False	
KC292026.1_39	KC292026	KC292026.1	39	32330	33073	1	E			YP_008059247.1	YP_008059247.1 PD-(D/E)XK nuclease [Halogranum tailed virus 1]	True	0.986	516.0	5.541000000000002e-166									VOG01274	REFSEQ exonuclease; Xu	Xu	0	False	
KC292026.1_40	KC292026	KC292026.1	40	33063	33374	1	E			YP_008059248.1	YP_008059248.1 hypothetical protein M199_gp040 [Halogranum tailed virus 1]	False	0.995	219.0	8.858e-66												0	False	
KC292026.1_41	KC292026	KC292026.1	41	33401	34459	1	D			YP_008059249.1	YP_008059249.1 carbamoyl phosphate synthase small subunit [Halogranum tailed virus 1]	True	0.985	734.0	2.908e-239	MER0220032	C26	MER0220032 - family C26 unassigned peptidases (Halalkalicoccus jeotgali) [C26.UPW]#C26#{peptidase unit: 6-341}~source YP_003736437~	False	0.51	325.0	1.134e-97	Carbamoyl-phosphate synthase small chain, CPSase domain [PF00988.25]; Glutamine amidotransferase class-I [PF00117.31]; Peptidase C26 [PF07722.16]				0	False	P
KC292026.1_42	KC292026	KC292026.1	42	34444	35043	-1	E			YP_008059250.1	YP_008059250.1 holliday junction resolvase [Halogranum tailed virus 1]	True	0.99	399.0	1.98e-126									VOG05761	sp|Q98VP9|HJC_SIRV1 Holliday junction resolvase; Xr	Xr	0	False	V
KC292026.1_43	KC292026	KC292026.1	43	35019	35687	-1	C	K07503	endonuclease [EC:3.1.-.-]	YP_008059251.1	YP_008059251.1 RecB-like nuclease [Halogranum tailed virus 1]	True	0.986	464.0	2.024e-148								Endonuclease NucS [PF01939.19]				0	False	
KC292026.1_44	KC292026	KC292026.1	44	35680	36099	-1	E			YP_008059252.1	YP_008059252.1 hypothetical protein M199_gp044 [Halogranum tailed virus 1]	False	0.99	293.0	1.133e-90												0	False	
KC292026.1_45	KC292026	KC292026.1	45	36154	36516	-1	E			YP_008059253.1	YP_008059253.1 hypothetical protein M199_gp045 [Halogranum tailed virus 1]	False	0.974	248.0	1.037e-75												0	False	
KC292026.1_46	KC292026	KC292026.1	46	36524	36745	-1	E			YP_008059254.1	YP_008059254.1 hypothetical protein M199_gp046 [Halogranum tailed virus 1]	False	0.978	153.0	1.738e-43												0	False	
KC292026.1_47	KC292026	KC292026.1	47	36753	36947	-1	E			YP_008059255.1	YP_008059255.1 hypothetical protein M199_gp047 [Halogranum tailed virus 1]	False	0.839	113.0	6.321e-30												0	False	
KC292026.1_48	KC292026	KC292026.1	48	37147	40026	-1	D			YP_008059257.1	YP_008059257.1 DNA polymerase elongation subunit (family B) [Halogranum tailed virus 1]	True	0.981	1984.0	0.0								DNA polymerase family B [PF00136.24]; DNA polymerase family B, exonuclease domain [PF03104.22]	VOG00345	sp|Q38087|DPOL_BPR69 DNA-directed DNA polymerase; XhXr	Xr;Xh	0	False	V
KC292026.1_49	KC292026	KC292026.1	49	40035	40451	-1	D			YP_008059258.1	YP_008059258.1 homing endonuclease with LAGLIDADG motif [Halogranum tailed virus 1]	False	1.0	312.0	2.062e-97								LAGLIDADG DNA endonuclease family [PF03161.16]	VOG00409	sp|Q9F417|RECA_MYCCI Protein RecA (Fragment); XhXr	Xr;Xh	0	False	V
KC292026.1_50	KC292026	KC292026.1	50	41136	41585	-1	E			YP_008059260.1	YP_008059260.1 hypothetical protein M199_gp052 [Halogranum tailed virus 1]	False	0.992	314.0	5.282e-98												0	False	
KC292026.1_51	KC292026	KC292026.1	51	41582	41788	-1	E			YP_008059261.1	YP_008059261.1 hypothetical protein M199_gp053 [Halogranum tailed virus 1]	False	0.848	122.0	9.939e-33												0	False	
KC292026.1_52	KC292026	KC292026.1	52	41792	42220	-1	E			YP_008059262.1	YP_008059262.1 hypothetical protein M199_gp054 [Halogranum tailed virus 1]	False	0.966	291.0	4.6299999999999995e-90												0	False	
KC292026.1_53	KC292026	KC292026.1	53	42353	42607	-1	E			YP_008059263.1	YP_008059263.1 hypothetical protein M199_gp281 [Halogranum tailed virus 1]	False	1.0	173.0	2.148e-50												0	False	
KC292026.1_54	KC292026	KC292026.1	54	42885	43208	-1	E			YP_008059264.1	YP_008059264.1 hypothetical protein M199_gp280 [Halogranum tailed virus 1]	False	0.932	211.0	4.3680000000000004e-63												0	False	
KC292026.1_55	KC292026	KC292026.1	55	43249	43431	-1	E			YP_008059265.1	YP_008059265.1 hypothetical protein M199_gp279 [Halogranum tailed virus 1]	False	1.0	136.0	1.012e-37												0	False	
KC292026.1_56	KC292026	KC292026.1	56	43406	43648	-1	E			YP_008059266.1	YP_008059266.1 hypothetical protein M199_gp278 [Halogranum tailed virus 1]	False	1.0	179.0	1.5299999999999999e-52												0	False	
KC292026.1_57	KC292026	KC292026.1	57	43645	44151	-1	D			YP_008059267.1	YP_008059267.1 hypothetical protein M199_gp277 [Halogranum tailed virus 1]	True	1.0	363.0	1.3269999999999999e-114								5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C) [PF06941.15]				0	False	
KC292026.1_58	KC292026	KC292026.1	58	44129	44374	-1	E			YP_008059268.1	YP_008059268.1 hypothetical protein M199_gp276 [Halogranum tailed virus 1]	False	0.964	167.0	4.01e-48												0	False	
KC292026.1_59	KC292026	KC292026.1	59	44371	44673	-1	E			YP_008059269.1	YP_008059269.1 hypothetical protein M199_gp275 [Halogranum tailed virus 1]	False	0.952	202.0	4.457e-60												0	False	
KC292026.1_60	KC292026	KC292026.1	60	44675	44770	-1	E			YP_008059270.1	YP_008059270.1 hypothetical protein M199_gp274 [Halogranum tailed virus 1]	False	0.947	64.0	1.959e-13												0	False	
KC292026.1_61	KC292026	KC292026.1	61	44841	45401	-1	E			YP_008059271.1	YP_008059271.1 AdoMet-MTase [Halogranum tailed virus 1]	True	1.0	404.0	3.314e-128									VOG04426	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292026.1_62	KC292026	KC292026.1	62	45900	46415	-1	E			YP_008059272.1	YP_008059272.1 hypothetical protein M199_gp272 [Halogranum tailed virus 1]	False	0.955	303.0	1.037e-93												0	False	
KC292026.1_63	KC292026	KC292026.1	63	46465	46707	-1	E			YP_008059273.1	YP_008059273.1 hypothetical protein M199_gp271 [Halogranum tailed virus 1]	False	1.0	169.0	7.842e-49												0	False	
KC292026.1_64	KC292026	KC292026.1	64	46894	47412	-1	E			YP_008059274.1	YP_008059274.1 hypothetical protein M199_gp270 [Halogranum tailed virus 1]	True	0.986	360.0	2.007e-113												0	False	
KC292026.1_65	KC292026	KC292026.1	65	49346	49759	-1	E			YP_008059276.1	YP_008059276.1 HNH endonuclease [Halogranum tailed virus 1]	False	0.966	281.0	1.337e-86												1	False	
KC292026.1_66	KC292026	KC292026.1	66	50742	50951	-1	E			YP_008059277.1	YP_008059277.1 hypothetical protein M199_gp267 [Halogranum tailed virus 1]	False	0.99	147.0	2.252e-41												0	False	
KC292026.1_67	KC292026	KC292026.1	67	50948	51316	-1	E			YP_008059278.1	YP_008059278.1 hypothetical protein M199_gp266 [Halogranum tailed virus 1]	False	0.972	252.0	6.6600000000000004e-77												0	False	
KC292026.1_68	KC292026	KC292026.1	68	51342	51551	-1	E			YP_008059279.1	YP_008059279.1 hypothetical protein M199_gp265 [Halogranum tailed virus 1]	False	1.0	149.0	3.369e-42												0	False	
KC292026.1_69	KC292026	KC292026.1	69	51714	52079	-1	E			YP_008059280.1	YP_008059280.1 HNH endonuclease [Halogranum tailed virus 1]	False	0.986	254.0	1.307e-77												1	False	
KC292026.1_70	KC292026	KC292026.1	70	52408	52998	-1	D			YP_008059281.1	YP_008059281.1 LAGLIDADG endonuclease [Halogranum tailed virus 1]	True	0.964	400.0	1.252e-126								LAGLIDADG endonuclease [PF00961.22]				0	False	
KC292026.1_71	KC292026	KC292026.1	71	53450	54052	-1	C	K00943	dTMP kinase [EC:2.7.4.9]	YP_008059282.1	YP_008059282.1 thymidylate kinase [Halogranum tailed virus 1]	True	0.972	411.0	1.176e-130								Thymidylate kinase [PF02223.20]; Deoxynucleoside kinase [PF01712.22]	VOG00557	sp|P24425|KITH_EHV4 Thymidine kinase; XhXr	Xr;Xh	0	False	VMB
KC292026.1_72	KC292026	KC292026.1	72	54188	54736	1	C	K01494	dCTP deaminase [EC:3.5.4.13]	YP_008059283.1	YP_008059283.1 dCTP deaminase [Halogranum tailed virus 1]	True	0.969	374.0	7.095e-118								dUTPase [PF00692.22]; 2'-deoxycytidine 5'-triphosphate deaminase (DCD) [PF06559.14]	VOG36877	sp|Q02103|DCD_ACIAM dCTP deaminase; Xr	Xr	0	False	VMB
KC292026.1_73	KC292026	KC292026.1	73	54883	57198	1	C	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	YP_008059284.1	YP_008059284.1 ribonucleotide reductase [Halogranum tailed virus 1]	True	0.971	1579.0	0.0								Ribonucleotide reductase, barrel domain [PF02867.18]; Ribonucleotide reductase, all-alpha domain [PF00317.24]	VOG00122	sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha; Xh	Xh	0	False	MKEB
KC292026.1_74	KC292026	KC292026.1	74	57198	57290	1	E			YP_008059285.1	YP_008059285.1 hypothetical protein M199_gp259 [Halogranum tailed virus 1]	False	0.913	60.0	6.162e-12												0	False	
KC292026.1_75	KC292026	KC292026.1	75	57662	58156	-1	D			YP_008059288.1	YP_008059288.1 hypothetical protein M199_gp256 [Halogranum tailed virus 1]	False	0.991	346.0	1.61e-108								Protein of unknown function, DUF488 [PF04343.16]				0	False	
KC292026.1_76	KC292026	KC292026.1	76	58197	58607	-1	E			YP_008059289.1	YP_008059289.1 hypothetical protein M199_gp255 [Halogranum tailed virus 1]	False	0.962	278.0	1.593e-85												0	False	
KC292026.1_77	KC292026	KC292026.1	77	58604	58843	-1	E			YP_008059290.1	YP_008059290.1 hypothetical protein M199_gp254 [Halogranum tailed virus 1]	False	1.0	181.0	2.992e-53												0	False	
KC292026.1_78	KC292026	KC292026.1	78	58840	59145	-1	E			YP_008059291.1	YP_008059291.1 hypothetical protein M199_gp253 [Halogranum tailed virus 1]	False	1.0	216.0	1.006e-64												0	False	
KC292026.1_79	KC292026	KC292026.1	79	59145	59360	-1	E			YP_008059292.1	YP_008059292.1 hypothetical protein M199_gp252 [Halogranum tailed virus 1]	False	1.0	157.0	6.632e-45												0	False	
KC292026.1_80	KC292026	KC292026.1	80	59357	60160	-1	C	K03465	thymidylate synthase (FAD) [EC:2.1.1.148]	YP_008059293.1	YP_008059293.1 thymidylate synthase [Halogranum tailed virus 1]	True	0.998	565.0	1.498e-182								Thymidylate synthase complementing protein [PF02511.18]	VOG03899	sp|Q05259|THYX_BPML5 Probable flavin-dependent thymidylate synthase; XhXr	Xr;Xh	0	False	V
KC292026.1_81	KC292026	KC292026.1	81	60157	60420	-1	E			YP_008059294.1	YP_008059294.1 hypothetical protein M199_gp250 [Halogranum tailed virus 1]	False	0.92	170.0	4.296e-49												0	False	
KC292026.1_82	KC292026	KC292026.1	82	60459	60698	-1	E			YP_008059295.1	YP_008059295.1 hypothetical protein M199_gp249 [Halogranum tailed virus 1]	False	0.899	151.0	1.5670000000000002e-42												0	False	
KC292026.1_83	KC292026	KC292026.1	83	60727	60999	-1	E			YP_008059296.1	YP_008059296.1 hypothetical protein M199_gp248 [Halogranum tailed virus 1]	False	1.0	196.0	5.8780000000000004e-58												0	False	
KC292026.1_84	KC292026	KC292026.1	84	60996	61343	-1	D			YP_008059297.1	YP_008059297.1 hypothetical protein M199_gp247 [Halogranum tailed virus 1]	False	0.971	237.0	5.649000000000002e-72								Helix-hairpin-helix domain [PF14520.9]				0	False	
KC292026.1_85	KC292026	KC292026.1	85	61383	61817	-1	E			YP_008059298.1	YP_008059298.1 hypothetical protein M199_gp246 [Halogranum tailed virus 1]	False	1.0	309.0	3.447e-96												0	False	
KC292026.1_86	KC292026	KC292026.1	86	61948	62277	-1	E			YP_008059299.1	YP_008059299.1 hypothetical protein M199_gp245 [Halogranum tailed virus 1]	False	1.0	235.0	3.8480000000000004e-71												0	False	
KC292026.1_87	KC292026	KC292026.1	87	62277	64100	-1	E			YP_008059300.1	YP_008059300.1 hypothetical protein M199_gp244 [Halogranum tailed virus 1]	True	0.966	1236.0	0.0									VOG26459	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292026.1_88	KC292026	KC292026.1	88	64131	64574	-1	E			YP_008059301.1	YP_008059301.1 hypothetical protein M199_gp243 [Halogranum tailed virus 1]	False	1.0	316.0	9.895e-99												0	False	
KC292026.1_89	KC292026	KC292026.1	89	64543	65424	-1	C	K07074	uncharacterized protein	YP_008059302.1	YP_008059302.1 nucleotidyltransferase [Halogranum tailed virus 1]	True	0.985	611.0	4.902e-198								RNA repair pathway DNA polymerase beta family [PF10127.12]	VOG01053	sp|P39242|Y05G_BPT4 Uncharacterized 38.9 kDa protein in nrdC-mobD intergenic region; Xu	Xu	0	False	
KC292026.1_90	KC292026	KC292026.1	90	65450	65752	-1	E			YP_008059303.1	YP_008059303.1 hypothetical protein M199_gp241 [Halogranum tailed virus 1]	False	0.963	205.0	4.875e-61												0	False	
KC292026.1_91	KC292026	KC292026.1	91	65749	66069	-1	E			YP_008059304.1	YP_008059304.1 HNH endonuclease [Halogranum tailed virus 1]	False	1.0	236.0	9.384e-72												0	False	
KC292026.1_92	KC292026	KC292026.1	92	66069	67598	-1	C	K11089	60 kDa SS-A/Ro ribonucleoprotein	YP_008059305.1	YP_008059305.1 RNA-binding protein [Halogranum tailed virus 1]	True	0.968	1039.0	0.0								TROVE domain [PF05731.14]	VOG01467	sp|O08848|RO60_MOUSE RNA-binding protein Ro60; Xr	Xr	0	False	V
KC292026.1_93	KC292026	KC292026.1	93	67871	68227	-1	E			YP_008059307.1	YP_008059307.1 hypothetical protein M199_gp237 [Halogranum tailed virus 1]	False	0.983	247.0	3.33e-75												0	False	
KC292026.1_94	KC292026	KC292026.1	94	68447	68749	-1	E			YP_008059309.1	YP_008059309.1 hypothetical protein M199_gp235 [Halogranum tailed virus 1]	False	0.93	197.0	2.716e-58												0	False	
KC292026.1_95	KC292026	KC292026.1	95	68827	69825	-1	E			YP_008059310.1	YP_008059310.1 hypothetical protein M199_gp234 [Halogranum tailed virus 1]	True	0.956	669.0	3.175e-217												0	False	
KC292026.1_96	KC292026	KC292026.1	96	70053	70199	-1	E			YP_008059311.1	YP_008059311.1 hypothetical protein M199_gp233 [Halogranum tailed virus 1]	False	1.0	111.0	1.355e-29												0	False	
KC292026.1_97	KC292026	KC292026.1	97	70671	71060	-1	E			YP_008059312.1	YP_008059312.1 hypothetical protein M199_gp232 [Halogranum tailed virus 1]	False	0.996	274.0	2.671e-84												0	False	
KC292026.1_98	KC292026	KC292026.1	98	71053	71202	-1	E			YP_008059313.1	YP_008059313.1 hypothetical protein M199_gp231 [Halogranum tailed virus 1]	False	1.0	109.0	1.315e-28												0	False	
KC292026.1_99	KC292026	KC292026.1	99	71304	71675	-1	D			YP_008059314.1	YP_008059314.1 cysteine hydrolase [Halogranum tailed virus 1]	False	0.939	244.0	2.825e-74								Isochorismatase family [PF00857.23]				0	False	
KC292026.1_100	KC292026	KC292026.1	100	71725	73116	-1	C	K14415	tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase) [EC:6.5.1.8]	YP_008059315.1	YP_008059315.1 tRNA splicing ligase [Halogranum tailed virus 1]	True	0.98	958.0	7.258e-315								tRNA-splicing ligase RtcB [PF01139.20]				0	False	
KC292026.1_101	KC292026	KC292026.1	101	73235	73597	-1	D			YP_008059316.1	YP_008059316.1 GTP-binding domain [Halogranum tailed virus 1]	False	0.974	248.0	1.037e-75								YspA, cpYpsA-related SLOG family [PF10686.12]				0	False	
KC292026.1_102	KC292026	KC292026.1	102	73742	74392	-1	D			YP_008059318.1	YP_008059318.1 hypothetical protein M199_gp226 [Halogranum tailed virus 1]	True	0.997	457.0	3.243e-146								HD domain [PF01966.25]	VOG02545	REFSEQ HD domain-containing protein; Xu	Xu	0	False	
KC292026.1_103	KC292026	KC292026.1	103	74537	75004	-1	D			YP_008059320.1	YP_008059320.1 RNAse HI [Halogranum tailed virus 1]	False	0.977	321.0	2.402e-100								Reverse transcriptase-like [PF13456.9]				0	False	
KC292026.1_104	KC292026	KC292026.1	104	75001	75240	-1	E			YP_008059321.1	YP_008059321.1 hypothetical protein M199_gp223 [Halogranum tailed virus 1]	False	1.0	173.0	3.153e-50												0	False	
KC292026.1_105	KC292026	KC292026.1	105	75237	75545	-1	E			YP_008059322.1	YP_008059322.1 hypothetical protein M199_gp222 [Halogranum tailed virus 1]	False	1.0	226.0	2.0799999999999998e-68												0	False	
KC292026.1_106	KC292026	KC292026.1	106	75902	76225	-1	E			YP_008059324.1	YP_008059324.1 hypothetical protein M199_gp220 [Halogranum tailed virus 1]	False	1.0	208.0	7.509e-62												0	False	
KC292026.1_107	KC292026	KC292026.1	107	76185	76457	-1	E			YP_008059325.1	YP_008059325.1 hypothetical protein M199_gp219 [Halogranum tailed virus 1]	False	0.943	181.0	9.734e-53												0	False	
KC292026.1_108	KC292026	KC292026.1	108	76454	76795	-1	E			YP_008059326.1	YP_008059326.1 hypothetical protein M199_gp218 [Halogranum tailed virus 1]	False	0.914	218.0	2.715e-65												0	False	
KC292026.1_109	KC292026	KC292026.1	109	76804	77082	-1	E			YP_008059327.1	YP_008059327.1 hypothetical protein M199_gp217 [Halogranum tailed virus 1]	False	1.0	195.0	8.904e-58												0	False	
KC292026.1_110	KC292026	KC292026.1	110	77073	77579	-1	E			YP_008059328.1	YP_008059328.1 DNA binding protein [Halogranum tailed virus 1]	True	1.0	368.0	4.123e-116									VOG07327	REFSEQ DNA binding protein; Xu	Xu	0	False	
KC292026.1_111	KC292026	KC292026.1	111	77582	77812	-1	E			YP_008059329.1	YP_008059329.1 hypothetical protein M199_gp215 [Halogranum tailed virus 1]	False	0.961	156.0	1.606e-44												0	False	
KC292026.1_112	KC292026	KC292026.1	112	77809	78018	-1	E			YP_008059330.1	YP_008059330.1 hypothetical protein M199_gp214 [Halogranum tailed virus 1]	False	0.865	121.0	1.97e-32												0	False	
KC292026.1_113	KC292026	KC292026.1	113	77981	78295	-1	E			YP_008059331.1	YP_008059331.1 hypothetical protein M199_gp213 [Halogranum tailed virus 1]	False	0.985	218.0	1.2760000000000001e-65												0	False	
