JACQFO010000126.1_orf8889	6140484221ee7bf8a725c58fa78b5822	443	ProSiteProfiles	PS50850	Major facilitator superfamily (MFS) profile.	65	443	27.498711	T	24-06-2023	IPR020846	Major facilitator superfamily domain
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	357	376	-	T	24-06-2023	-	-
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	435	456	-	T	24-06-2023	-	-
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	221	237	-	T	24-06-2023	-	-
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	90	104	-	T	24-06-2023	-	-
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	558	671	-	T	24-06-2023	-	-
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	605	626	-	T	24-06-2023	-	-
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	1	59	-	T	24-06-2023	-	-
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	90	123	-	T	24-06-2023	-	-
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	154	290	-	T	24-06-2023	-	-
JACQFO010000122.1_orf7205	216e3f79d26ceec607a2edecfd99206b	754	MobiDBLite	mobidb-lite	consensus disorder prediction	313	341	-	T	24-06-2023	-	-
JACQFO010000125.1_orf7820	e9921f36eb328b8582211a5c8ebfd0e0	466	PANTHER	PTHR13356	OB FOLD NUCLEIC ACID BINDING PROTEIN-RELATED	17	173	2.0E-15	T	24-06-2023	-	-
JACQFO010000125.1_orf7820	e9921f36eb328b8582211a5c8ebfd0e0	466	CDD	cd04491	SoSSB_OBF	79	166	8.23126E-13	T	24-06-2023	-	-
JACQFO010000125.1_orf7820	e9921f36eb328b8582211a5c8ebfd0e0	466	Gene3D	G3DSA:2.40.50.140	-	183	287	5.0E-7	T	24-06-2023	IPR012340	Nucleic acid-binding, OB-fold
JACQFO010000125.1_orf7820	e9921f36eb328b8582211a5c8ebfd0e0	466	Gene3D	G3DSA:2.40.50.140	-	67	173	8.8E-19	T	24-06-2023	IPR012340	Nucleic acid-binding, OB-fold
JACQFO010000125.1_orf7820	e9921f36eb328b8582211a5c8ebfd0e0	466	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins	67	170	9.85E-14	T	24-06-2023	IPR012340	Nucleic acid-binding, OB-fold
JACQFO010000125.1_orf7820	e9921f36eb328b8582211a5c8ebfd0e0	466	Gene3D	G3DSA:2.40.50.140	-	363	463	3.2E-8	T	24-06-2023	IPR012340	Nucleic acid-binding, OB-fold
JACQFO010000125.1_orf7820	e9921f36eb328b8582211a5c8ebfd0e0	466	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins	364	460	3.17E-9	T	24-06-2023	IPR012340	Nucleic acid-binding, OB-fold
JACQFO010000002.1_orf20584	8fab65636891b87a842de9434a723f02	277	Gene3D	G3DSA:3.30.1380.20	Trafficking protein particle complex subunit 3	128	276	1.7E-22	T	24-06-2023	-	-
JACQFO010000002.1_orf20584	8fab65636891b87a842de9434a723f02	277	PANTHER	PTHR35090	DNA-DIRECTED RNA POLYMERASE SUBUNIT I	117	273	7.4E-10	T	24-06-2023	-	-
JACQFO010000002.1_orf20584	8fab65636891b87a842de9434a723f02	277	Pfam	PF02830	V4R domain	217	272	1.9E-8	T	24-06-2023	IPR004096	4-vinyl reductase, 4VR
JACQFO010000002.1_orf20584	8fab65636891b87a842de9434a723f02	277	SUPERFAMILY	SSF55021	ACT-like	39	78	7.05E-5	T	24-06-2023	IPR045865	ACT-like domain
JACQFO010000002.1_orf20584	8fab65636891b87a842de9434a723f02	277	SUPERFAMILY	SSF111126	Ligand-binding domain in the NO signalling and Golgi transport	140	272	1.36E-15	T	24-06-2023	IPR024096	NO signalling/Golgi transport ligand-binding domain superfamily
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	Coils	Coil	Coil	1246	1247	-	T	24-06-2023	-	-
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	MobiDBLite	mobidb-lite	consensus disorder prediction	29	44	-	T	24-06-2023	-	-
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	SUPERFAMILY	SSF51998	PFL-like glycyl radical enzymes	175	260	1.37E-12	T	24-06-2023	-	-
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	Gene3D	G3DSA:3.20.70.20	-	162	295	2.3E-14	T	24-06-2023	-	-
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	Pfam	PF02867	Ribonucleotide reductase, barrel domain	597	1067	4.1E-121	T	24-06-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	PRINTS	PR01183	Ribonucleotide reductase large chain signature	854	876	3.2E-28	T	24-06-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	PRINTS	PR01183	Ribonucleotide reductase large chain signature	882	905	3.2E-28	T	24-06-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	PRINTS	PR01183	Ribonucleotide reductase large chain signature	937	964	3.2E-28	T	24-06-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	PRINTS	PR01183	Ribonucleotide reductase large chain signature	670	689	3.2E-28	T	24-06-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	PRINTS	PR01183	Ribonucleotide reductase large chain signature	814	837	3.2E-28	T	24-06-2023	IPR000788	Ribonucleotide reductase large subunit, C-terminal
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	SUPERFAMILY	SSF51294	Hedgehog/intein (Hint) domain	253	598	3.92E-10	T	24-06-2023	IPR036844	Hint domain superfamily
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	MobiDBLite	mobidb-lite	consensus disorder prediction	1	44	-	T	24-06-2023	-	-
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	TIGRFAM	TIGR02504	NrdJ_Z: ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent	596	1073	1.3E-152	T	24-06-2023	IPR013344	Ribonucleotide reductase, adenosylcobalamin-dependent
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	ProSiteProfiles	PS50817	Intein N-terminal splicing motif profile.	253	345	11.365013	T	24-06-2023	IPR006141	Intein N-terminal splicing region
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	Coils	Coil	Coil	56	76	-	T	24-06-2023	-	-
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	Pfam	PF00317	Ribonucleotide reductase, all-alpha domain	175	246	4.6E-13	T	24-06-2023	IPR013509	Ribonucleotide reductase large subunit, N-terminal
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	Gene3D	G3DSA:3.20.70.20	-	549	1081	2.5E-165	T	24-06-2023	-	-
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	SMART	SM00305	HINTC_6	558	602	0.008	T	24-06-2023	IPR003586	Hint domain C-terminal
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	CDD	cd02888	RNR_II_dimer	596	1070	3.89292E-174	T	24-06-2023	IPR013344	Ribonucleotide reductase, adenosylcobalamin-dependent
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	PANTHER	PTHR43371	VITAMIN B12-DEPENDENT RIBONUCLEOTIDE REDUCTASE	596	1246	2.8E-178	T	24-06-2023	-	-
JACQFO010000102.1_orf3649	a84d1aadae297544fd63ff1dde1d4a59	1247	SUPERFAMILY	SSF51998	PFL-like glycyl radical enzymes	596	1072	6.41E-124	T	24-06-2023	-	-
JACQFO010000038.1_orf14991	477ad0cb9e1126f7a17c984d41334103	411	ProSitePatterns	PS00072	Acyl-CoA dehydrogenases signature 1.	153	165	-	T	24-06-2023	IPR006089	Acyl-CoA dehydrogenase, conserved site
JACQFO010000038.1_orf14991	477ad0cb9e1126f7a17c984d41334103	411	FunFam	G3DSA:2.40.110.10:FF:000009	Acyl-CoA dehydrogenase	151	263	2.2E-41	T	24-06-2023	-	-
JACQFO010000038.1_orf14991	477ad0cb9e1126f7a17c984d41334103	411	Gene3D	G3DSA:1.20.140.10	-	264	410	5.3E-53	T	24-06-2023	-	-
JACQFO010000038.1_orf14991	477ad0cb9e1126f7a17c984d41334103	411	FunFam	G3DSA:1.10.540.10:FF:000002	Acyl-CoA dehydrogenase FadE19	29	149	3.6E-35	T	24-06-2023	-	-
JACQFO010000038.1_orf14991	477ad0cb9e1126f7a17c984d41334103	411	Gene3D	G3DSA:1.10.540.10	-	11	147	1.0E-36	T	24-06-2023	IPR037069	Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily
JACQFO010000038.1_orf14991	477ad0cb9e1126f7a17c984d41334103	411	Gene3D	G3DSA:2.40.110.10	-	150	263	1.3E-42	T	24-06-2023	IPR046373	Acyl-CoA oxidase/dehydrogenase, middle domain superfamily
JACQFO010000038.1_orf14991	477ad0cb9e1126f7a17c984d41334103	411	FunFam	G3DSA:1.20.140.10:FF:000004	Acyl-CoA dehydrogenase FadE25	264	409	5.0E-54	T	24-06-2023	-	-
JACQFO010000038.1_orf14991	477ad0cb9e1126f7a17c984d41334103	411	SUPERFAMILY	SSF56645	Acyl-CoA dehydrogenase NM domain-like	31	270	7.07E-85	T	24-06-2023	IPR009100	Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily
JACQFO010000038.1_orf14991	477ad0cb9e1126f7a17c984d41334103	411	Pfam	PF00441	Acyl-CoA dehydrogenase, C-terminal domain	259	407	7.4E-46	T	24-06-2023	IPR009075	Acyl-CoA dehydrogenase/oxidase C-terminal
JACQFO010000038.1_orf14991	477ad0cb9e1126f7a17c984d41334103	411	Pfam	PF02770	Acyl-CoA dehydrogenase, middle domain	151	247	1.4E-27	T	24-06-2023	IPR006091	Acyl-CoA oxidase/dehydrogenase, middle domain
JACQFO010000038.1_orf14991	477ad0cb9e1126f7a17c984d41334103	411	SUPERFAMILY	SSF47203	Acyl-CoA dehydrogenase C-terminal domain-like	258	409	4.51E-55	T	24-06-2023	IPR036250	Acyl-CoA dehydrogenase-like, C-terminal
JACQFO010000038.1_orf14991	477ad0cb9e1126f7a17c984d41334103	411	PANTHER	PTHR43884	ACYL-COA DEHYDROGENASE	34	408	1.4E-134	T	24-06-2023	-	-
JACQFO010000038.1_orf14991	477ad0cb9e1126f7a17c984d41334103	411	Pfam	PF02771	Acyl-CoA dehydrogenase, N-terminal domain	35	147	3.3E-32	T	24-06-2023	IPR013786	Acyl-CoA dehydrogenase/oxidase, N-terminal
JACQFO010000022.1_orf16734	f195af457a9d78ab66b4b48d033ee08d	182	MobiDBLite	mobidb-lite	consensus disorder prediction	132	169	-	T	24-06-2023	-	-
JACQFO010000022.1_orf16734	f195af457a9d78ab66b4b48d033ee08d	182	MobiDBLite	mobidb-lite	consensus disorder prediction	1	182	-	T	24-06-2023	-	-
JACQFO010000022.1_orf16734	f195af457a9d78ab66b4b48d033ee08d	182	MobiDBLite	mobidb-lite	consensus disorder prediction	1	16	-	T	24-06-2023	-	-
JACQFO010000022.1_orf16734	f195af457a9d78ab66b4b48d033ee08d	182	MobiDBLite	mobidb-lite	consensus disorder prediction	28	56	-	T	24-06-2023	-	-
JACQFO010000077.1_orf25159	1804f6cc261bc7b6427c3588162f0678	489	PANTHER	PTHR42754	ENDOGLUCANASE	298	414	5.4E-20	T	24-06-2023	-	-
JACQFO010000077.1_orf25159	1804f6cc261bc7b6427c3588162f0678	489	MobiDBLite	mobidb-lite	consensus disorder prediction	422	449	-	T	24-06-2023	-	-
JACQFO010000077.1_orf25159	1804f6cc261bc7b6427c3588162f0678	489	SUPERFAMILY	SSF50998	Quinoprotein alcohol dehydrogenase-like	74	377	6.67E-5	T	24-06-2023	IPR011047	Quinoprotein alcohol dehydrogenase-like superfamily
JACQFO010000117.1_orf6155	eb24db79bbd8e262a805b945720a454c	275	MobiDBLite	mobidb-lite	consensus disorder prediction	211	225	-	T	24-06-2023	-	-
JACQFO010000117.1_orf6155	eb24db79bbd8e262a805b945720a454c	275	MobiDBLite	mobidb-lite	consensus disorder prediction	161	191	-	T	24-06-2023	-	-
JACQFO010000117.1_orf6155	eb24db79bbd8e262a805b945720a454c	275	MobiDBLite	mobidb-lite	consensus disorder prediction	259	275	-	T	24-06-2023	-	-
JACQFO010000117.1_orf6155	eb24db79bbd8e262a805b945720a454c	275	MobiDBLite	mobidb-lite	consensus disorder prediction	1	38	-	T	24-06-2023	-	-
JACQFO010000117.1_orf6155	eb24db79bbd8e262a805b945720a454c	275	MobiDBLite	mobidb-lite	consensus disorder prediction	78	127	-	T	24-06-2023	-	-
JACQFO010000117.1_orf6155	eb24db79bbd8e262a805b945720a454c	275	MobiDBLite	mobidb-lite	consensus disorder prediction	50	275	-	T	24-06-2023	-	-
JACQFO010000117.1_orf6155	eb24db79bbd8e262a805b945720a454c	275	MobiDBLite	mobidb-lite	consensus disorder prediction	9	34	-	T	24-06-2023	-	-
JACQFO010000030.1_orf14270	131e4b9afae8d872c1a36915d37a7a1f	237	MobiDBLite	mobidb-lite	consensus disorder prediction	1	167	-	T	24-06-2023	-	-
JACQFO010000030.1_orf14270	131e4b9afae8d872c1a36915d37a7a1f	237	MobiDBLite	mobidb-lite	consensus disorder prediction	202	221	-	T	24-06-2023	-	-
JACQFO010000030.1_orf14270	131e4b9afae8d872c1a36915d37a7a1f	237	MobiDBLite	mobidb-lite	consensus disorder prediction	1	37	-	T	24-06-2023	-	-
JACQFO010000030.1_orf14270	131e4b9afae8d872c1a36915d37a7a1f	237	MobiDBLite	mobidb-lite	consensus disorder prediction	198	237	-	T	24-06-2023	-	-
JACQFO010000034.1_orf14529	07ef6b7b1574505bb4659788cb63dcfc	684	Pfam	PF09826	Beta propeller domain	147	673	2.3E-127	T	24-06-2023	IPR019198	Beta propeller domain-containing family
JACQFO010000073.1_orf24817	325f322d42e35372deec5221d8f76ccf	807	Pfam	PF02516	Oligosaccharyl transferase STT3 subunit	35	587	8.1E-22	T	24-06-2023	IPR003674	Oligosaccharyl transferase, STT3 subunit
JACQFO010000073.1_orf24817	325f322d42e35372deec5221d8f76ccf	807	Gene3D	G3DSA:3.40.50.12610	-	538	658	3.2E-21	T	24-06-2023	-	-
JACQFO010000073.1_orf24817	325f322d42e35372deec5221d8f76ccf	807	PANTHER	PTHR13872	DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOSYLTRANSFERASE SUBUNIT	29	688	2.0E-88	T	24-06-2023	IPR003674	Oligosaccharyl transferase, STT3 subunit
JACQFO010000136.1_orf11069	9985e59927891140fcdc5cd5f486d363	242	MobiDBLite	mobidb-lite	consensus disorder prediction	20	34	-	T	24-06-2023	-	-
JACQFO010000136.1_orf11069	9985e59927891140fcdc5cd5f486d363	242	MobiDBLite	mobidb-lite	consensus disorder prediction	1	37	-	T	24-06-2023	-	-
JACQFO010000136.1_orf11069	9985e59927891140fcdc5cd5f486d363	242	MobiDBLite	mobidb-lite	consensus disorder prediction	54	100	-	T	24-06-2023	-	-
JACQFO010000136.1_orf11069	9985e59927891140fcdc5cd5f486d363	242	MobiDBLite	mobidb-lite	consensus disorder prediction	222	242	-	T	24-06-2023	-	-
JACQFO010000136.1_orf11069	9985e59927891140fcdc5cd5f486d363	242	MobiDBLite	mobidb-lite	consensus disorder prediction	54	79	-	T	24-06-2023	-	-
JACQFO010000073.1_orf24714	c0d3d7d6ebe78bda1eab5f7e9f3e2a47	627	ProSiteProfiles	PS51193	Superfamilies 1 and 2 helicase ATP-binding type-2 domain profile.	10	269	17.17692	T	24-06-2023	IPR014013	Helicase superfamily 1/2, ATP-binding domain, DinG/Rad3-type
JACQFO010000073.1_orf24714	c0d3d7d6ebe78bda1eab5f7e9f3e2a47	627	PANTHER	PTHR11472	DNA REPAIR DEAD HELICASE RAD3/XP-D SUBFAMILY MEMBER	364	617	1.9E-65	T	24-06-2023	IPR045028	Helicase superfamily 1/2, DinG/Rad3-like
JACQFO010000073.1_orf24714	c0d3d7d6ebe78bda1eab5f7e9f3e2a47	627	Gene3D	G3DSA:1.10.275.40	-	236	357	4.7E-58	T	24-06-2023	-	-
JACQFO010000073.1_orf24714	c0d3d7d6ebe78bda1eab5f7e9f3e2a47	627	Gene3D	G3DSA:3.40.50.300	-	408	610	1.2E-34	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
JACQFO010000073.1_orf24714	c0d3d7d6ebe78bda1eab5f7e9f3e2a47	627	ProSitePatterns	PS00690	DEAH-box subfamily ATP-dependent helicases signature.	216	225	-	T	24-06-2023	IPR002464	DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site
JACQFO010000073.1_orf24714	c0d3d7d6ebe78bda1eab5f7e9f3e2a47	627	Gene3D	G3DSA:1.10.30.20	Bacterial XPD DNA helicase, FeS cluster domain	103	177	4.7E-58	T	24-06-2023	IPR042493	Bacterial type XPD DNA helicase, FeS cluster domain
JACQFO010000073.1_orf24714	c0d3d7d6ebe78bda1eab5f7e9f3e2a47	627	Pfam	PF13307	Helicase C-terminal domain	439	603	2.0E-27	T	24-06-2023	IPR006555	ATP-dependent helicase, C-terminal
JACQFO010000073.1_orf24714	c0d3d7d6ebe78bda1eab5f7e9f3e2a47	627	Gene3D	G3DSA:3.40.50.300	-	32	391	4.7E-58	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
JACQFO010000073.1_orf24714	c0d3d7d6ebe78bda1eab5f7e9f3e2a47	627	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	35	584	1.68E-8	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
JACQFO010000073.1_orf24714	c0d3d7d6ebe78bda1eab5f7e9f3e2a47	627	SMART	SM00488	deadxpd	11	262	3.1E-9	T	24-06-2023	IPR006554	Helicase-like, DEXD box c2 type
JACQFO010000073.1_orf24714	c0d3d7d6ebe78bda1eab5f7e9f3e2a47	627	Pfam	PF06733	DEAD_2	72	241	1.2E-22	T	24-06-2023	IPR010614	DEAD2
JACQFO010000073.1_orf24714	c0d3d7d6ebe78bda1eab5f7e9f3e2a47	627	SMART	SM00491	Cxpdneu3	454	590	4.0E-16	T	24-06-2023	IPR006555	ATP-dependent helicase, C-terminal
JACQFO010000073.1_orf24714	c0d3d7d6ebe78bda1eab5f7e9f3e2a47	627	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	16	239	1.01E-13	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	TIGRFAM	TIGR01445	intein_Nterm: intein N-terminal splicing region	336	412	5.8E-8	T	24-06-2023	IPR006141	Intein N-terminal splicing region
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	CDD	cd00081	Hint	667	703	1.28829E-4	T	24-06-2023	-	-
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	ProSiteProfiles	PS50817	Intein N-terminal splicing motif profile.	336	412	11.390797	T	24-06-2023	IPR006141	Intein N-terminal splicing region
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	SMART	SM00350	mcm	102	844	9.2E-23	T	24-06-2023	IPR031327	Mini-chromosome maintenance protein
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	Pfam	PF14551	MCM N-terminal domain	8	97	9.9E-11	T	24-06-2023	IPR027925	MCM N-terminal domain
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	Gene3D	G3DSA:3.30.1640.10	-	2	100	3.0E-16	T	24-06-2023	-	-
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	ProSiteProfiles	PS50051	MCM family domain profile.	703	844	50.509277	T	24-06-2023	IPR001208	MCM domain
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	CDD	cd00081	Hint	336	437	6.04424E-10	T	24-06-2023	-	-
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	Pfam	PF00493	MCM P-loop domain	272	336	2.1E-13	T	24-06-2023	IPR001208	MCM domain
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	Pfam	PF00493	MCM P-loop domain	703	843	1.2E-54	T	24-06-2023	IPR001208	MCM domain
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	Gene3D	G3DSA:2.170.16.10	Hedgehog/Intein (Hint) domain	338	453	4.0E-19	T	24-06-2023	-	-
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	ProSiteProfiles	PS50051	MCM family domain profile.	282	335	18.44573	T	24-06-2023	IPR001208	MCM domain
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	Gene3D	G3DSA:3.40.50.300	-	700	844	2.9E-55	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	Gene3D	G3DSA:2.40.50.140	-	106	232	5.0E-35	T	24-06-2023	IPR012340	Nucleic acid-binding, OB-fold
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	Pfam	PF14528	LAGLIDADG-like domain	569	641	2.3E-16	T	24-06-2023	IPR004860	Homing endonuclease, LAGLIDADG
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	Pfam	PF14890	Intein splicing domain	380	703	2.3E-13	T	24-06-2023	-	-
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins	9	246	1.34E-50	T	24-06-2023	IPR012340	Nucleic acid-binding, OB-fold
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	SUPERFAMILY	SSF51294	Hedgehog/intein (Hint) domain	335	703	2.75E-28	T	24-06-2023	IPR036844	Hint domain superfamily
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	Pfam	PF17207	MCM OB domain	106	231	2.0E-31	T	24-06-2023	IPR033762	MCM OB domain
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	ProSiteProfiles	PS50819	Intein DOD-type homing endonuclease domain profile.	480	616	19.686861	T	24-06-2023	IPR004042	Intein DOD homing endonuclease
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	ProSiteProfiles	PS50818	Intein C-terminal splicing motif profile.	682	704	10.837364	T	24-06-2023	IPR030934	Intein C-terminal splicing region
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	SMART	SM00305	HINTC_6	661	709	5.1E-7	T	24-06-2023	IPR003586	Hint domain C-terminal
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	SMART	SM00306	hint_7	334	440	1.4E-10	T	24-06-2023	IPR003587	Hint domain N-terminal
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	Gene3D	G3DSA:3.10.28.10	Homing endonucleases	473	646	3.5E-19	T	24-06-2023	IPR027434	Homing endonuclease
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	PRINTS	PR00379	Intein signature	399	412	5.2E-18	T	24-06-2023	IPR006142	Intein
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	PRINTS	PR00379	Intein signature	572	584	5.2E-18	T	24-06-2023	IPR006142	Intein
JACQFO010000084.1_orf26002	7ba731492c42ee9c1c5502a3923ca4c8	844	PRINTS	PR00379	Intein signature	680	697	5.2E-18	T	24-06-2023	IPR006142	Intein
