pVOGs	Host Domain	Number of Sequences	Number of Genomes	Number of Virus Families	Number of Virus Genera	Protein Annotations	Mapping to POGs 2013
VOG0018	Bacteria+Archaea	495	494	3	17	24; ATP dependent DNA ligase; ATP dependent DNA ligase domain protein; ATP-dependent DNA ligase; ATP-dependent DNA ligase [Enterobacteria phage 9g]; ATP-dependent DNA ligase [Escherichia phage vB_EcoM_FFH2]; ATP-dependent DNA ligase-like protein; DNA Ligase; DNA ligase; DNA ligase (ATP); DNA ligase [Escherichia phage e11/2]; DNA ligase protein; DNA ligase, ATP-dependent; DNA ligase, phage-associated; DNA ligase-like protein; DNA ligase-product DNA complex - adenylate; DNA ligase; minimal catalytic domain; Gp30 DNA ligase; Phi92_gp091; Possible phage DNA ligase; Putative DNA ligase; adenylation DNA ligase-like protein; gp1.3; gp25; gp30 DNA ligase; gp32.95; hypothetical protein; hypothetical protein ORF048; ligase; p31; phage DNA ligase; phage-associated DNA ligase; possible DNA ligase; predicted DNA ligase; predicted phage DNA ligase; putative ATP-dependent DNA ligase; putative ATP-dependent DNA ligase protein; putative ATP-dependent polynucleotide ligase; putative DNA ligase; putative DNA ligase (ATP); putative DNA ligase (T4 gp30-like); putative DNA ligase gp30; putative DNA ligase-product DNA complex-adenylate; putative ligase; putative predicted product	Mapped to: POG0018
VOG0019	Bacteria	238	231	3	6	DNA directed RNA polymerase; DNA-dependent RNA polymerase; DNA-directed RNA polymerase; DNA-directed RNA polymerase RNAP2; DNA-directed RNA polymerase, phage-type; N4 RNAP2-like protein; N4 gp16-like protein; RNA polymerase; RNA polymerase 2; RNA polymerase RNAP2 subunit A; RNA polymerase large subunit; RNA polymerase subunit; RNA polymerase subunit 2; RNA polymerase subunit A; RNA polymerase-like protein; RNAP2; T3/T7-like RNA polymerase; T7 DNA-directed RNA polymerase; T7-like RNA polymerase; T7-like phage DNA-directed RNA polymerase; gp1; hypothetical protein; mitochondrial single-subunit RNA polymerase; phage-associated RNA polymerase; phage-specific RNA polymerase; predicted DNA-directed RNA polymerase; predicted RNA polymerase; predicted phage RNA Polymerase; putative DNA-dependent RNA polymerase; putative DNA-dependent RNA polymerase protein; putative DNA-directed RNA polymerase; putative DNA-directed RNA-polymerase; putative RNA polymerase; putative RNA polymerase subunit; putative RNAP2; putative phage RNA polymerase; putative predicted product; rNA polymerase	Complete union of: POG0019; POG2372
VOG0020	Bacteria	404	404	3	17	AAA domain protein; ABC transporter; ATP-binding protein; ATPase-like protein; Cof hydrolase; P-loop containing nucleoside triphosphate hydrolase; Putative dNMP kinase; Putative deoxynucleotide monophosphate kinase; adenylate kinase; adenylate kinase-like protein; dNMP kinase; deoxynucleoside monophosphate kinase; deoxynucleoside monophosphate kinase (dNMP kinase); deoxynucleoside-5'-monophosphate kinase; deoxynucleoside-5-monophosphate kinase; deoxynucleotide monophosphate kinase; deoxynucleotide monophosphate kinase #T4-like phage gp1 #T4 GC1586; deoxynucleotide monophosphate kinase [Enterobacteria phage ime09]; deoxynucleotide monopohosphate kinase; dephospho coA kinase; dephospho-CoA kinase; dephospho-CoA kinase-like protein; dephospho-coA kinase; desphospho-CoA kinase; gp1 dNMP kinase; gp1 deoxynucleoside monophosphate kinase; gp14; gp247; gp3 dNMP kinase; gp43; gp52; gp56; hyphothetical protein; hypothetical protein; hypothetical protein [Escherichia phage vB_EcoM_FFH2]; kinase; nucleoside hydrolase; nucleoside triphosphate hydrolase; p051; phage protein; predicted hydrolase; putative ATP-binding protein; putative adenylate kinase; putative adenylate kinase and related kinases; putative adenylate kinase-like protein; putative dNMP kinase; putative dNMP kinase gp1; putative deoxynucleoside monophosphate kinase; putative deoxynucleoside-5'-monophosphate kinase; putative deoxynucleotide monophosphate kinase; putative deoxynucleotide monophosphate kinase [Shigella phage Shfl2]; putative deoxynucleotide monophosphate kinase protein; putative dephospho-CoA kinase; putative hydrolase; putative predicted product; putative uncharacterised protein; virion structural protein	Complete union of: POG0020; POG1060
VOG0021	Bacteria	194	193	3	8	Bbp40; DNA binding protein; DNA-binding protein; ORF018; ORF019; ORF022; T7-like phage ssDNA-binding protein; T7-like ssDNA binding protein; conserved phage protein; gp09; gp2.5; gp41; helix-destabilizing protein; hypothetical protein; hypothetical protein RDJLphi1_gp34; ligase; phage ssDNA-binding protein; predicted helix-destabilizing protein; predicted single-stranded DNA-binding protein; putative DNA binding protein; putative DNA polymerase; putative phage single-stranded DNA-binding protein; putative predicted product; putative single-stand DNA-binding protein; putative single-stranded DNA-binding protein; putative ssDNA binding protein; putative ssDNA-binding protein; single stranded DNA binding protein; single-stranded DNA binding protein; single-stranded DNA-binding protein; ssDNA binding protein; ssDNA-binding protein	Complete union of: POG0021; POG1046; POG1385
VOG0024	Bacteria	5	5	2	1	hypothetical protein	Mapped to: POG0024
VOG0025	Bacteria+Archaea	1644	1247	3	32	(RecA-like) recombination and repair protein; -; 41 helicase; 4B; AB1gp52; ATP-dependent helicase 41; ATPase; Ban; D6 protein; DNA B helicase; DNA B-like helicase; DNA heicase; DNA helicase; DNA helicase DnaB; DNA helicase I; DNA helicase II; DNA helicase subunit of helicase-primase complex; DNA helicase-like protein; DNA primase; DNA primase / helicase; DNA primase subunit; DNA primase-helicase; DNA primase-helicase subunit; DNA primase-helicase subunit [Enterobacteria phage vB_EcoM_ACG-C40]; DNA primase/helicae; DNA primase/helicase; DNA primase/helicase protein; DNA primase/helicase, TOPRIM; DNA primase/helicase, phage-associated; DNA primase/helicase-like protein; DNA recombinase; DNA recombinase RecA; DNA recombination and repair protein; DNA recombination/repair protein; DNA repair protein; DNA repair, RadA-like protein; DNA replication protein; DNA replication protein P; DNA replicative helicase/primase; DNA replicative helicase/primase [Escherichia phage vB_EcoM_FFH2]; DNAB helicase; DNAB-like helicase; DNA_B Helicase; DhlB; Dna B-like helicase; DnaB; DnaB family replicative helicase; DnaB helicase; DnaB helicase C terminal domain protein; DnaB replicative DNA helicase; DnaB-like helicase; DnaB-like protein; DnaB-like replicative helicase; DnaC helicase; Gp12; Gp34; Gp41 DNA primase-helicase subunit; Gp55; Helicase; ORF007; ORF008; ORF009; ORF010; ORF014; ORF015; ORF019; P protein; P-loop NTPase; P-loop_NTPase; P47; Phage recombination protein; Phi92_gp161; Possible phage ATP-dependent primase-helicase; Primase/Helicase; Putative DNA helicase; Putative DnaB-like helicase; Putative DnaB-like replicative helicase; Putative phage DNA primase/helicase; RPprimase/helicase; RadA; Rec; Rec A-like recombinase; RecA; RecA protein; RecA recombinase; RecA recombination protein; RecA-like DNA recombinase; RecA-like protein; RecA-like recombinase; RecA-like recombinase protein; RecA-like recombinase protein UvsX; RecA-like recombinase, UvsX; RecA-like recombination protein; RecA-like recombination protein [Escherichia phage e11/2]; RecA/RadA recombinase; Replicative DNA helicase; T4-like DNA primase-helicase; T7-like phage primase/helicase protein; T7-like primase/helicase; UvsX; UvsX RecA-like; UvsX RecA-like protein; UvsX RecA-like recombination protein; UvsX recombination protein; VHS1074 protein; VHS1082 protein; conserved hypothetical phage protein; dnaB; dnaB-like helicase C terminal domain protein; dsDNA helicase; gene 44 protein; gene P protein; gp103; gp113; gp114; gp115; gp116; gp117; gp118; gp119; gp12; gp141; gp150; gp187; gp190; gp191; gp193; gp195; gp196; gp197; gp198; gp199; gp201; gp202; gp203; gp204; gp205; gp207; gp209; gp21.1; gp210; gp211; gp212; gp215; gp219; gp226; gp34; gp4; gp40; gp407; gp41 DNA primase-helicase; gp41 DNA primase-helicase subunit; gp41 helicase; gp41 replication and recombination DNA helicase; gp41 replication and recombination DNA helicase [Enterobacteria phage RB14]; gp41 replication and recombination DNA primase-helicase; gp44; gp46; gp4A; gp4B; gp4a; gp52; gp54; gp57; gp59; gp60; gp61; gp62; gp63; gp64; gp65; gp66; gp67; gp68; gp69; gp70; gp71; gp72; gp73; gp75; gp77; gp79; gp80; gp81; gp82; gp83; gp84; helicase; helicase DnaB; helicase gp45; helicase/primase; hypothetical protein; hypothetical protein ORF011; naB-like helicase C terminal domain protein; p41; phage recombination protein; phage-associated DNA primase helicase; phage-associated DNA primase/helicase; predicted DNA helicase; predicted DNA primase-helicase; predicted helicase; predicted phage DNA Helicase; predicted primase helicase; predicted primase/helicase; primase helicase; primase/helicase; primase/helicase protein; prophage replicative DNA helicase; protein RecA; putative ATPase; putative DNA B-like helicase; putative DNA helicase; putative DNA helicase 1; putative DNA helicase DnaB-like protein; putative DNA helicase I; putative DNA helicase subunit; putative DNA helicase, putative DNA repair protein; putative DNA polymerase III Delta prime subunit; putative DNA primase; putative DNA primase-helicase; putative DNA primase-helicase subunit; putative DNA primase-helicase subunit gp41; putative DNA primase/helicase; putative DNA primase/helicase protein; putative DNA primase\helicase; putative DNA recombination and repair protein RecA; putative DNA recombination protein RecA; putative DNA repair protein; putative DNA replication protein P; putative DNA replicative helicase/primase; putative DnaB-like helicase; putative DnaG-like primase; putative RecA; putative RecA protein; putative RecA-like DNA recombinase; putative RecA-like DNA recombination protein; putative RecA-like protein; putative RecA-like recombinase; putative RecA-like recombination protein; putative Replicative DNA helicase; putative UvsX RecA-like protein; putative UvsX protein; putative UvsX recA-like recombination protein; putative helicase; putative helicase 1; putative helicase/primase; putative phage DNA primase/helicase; putative phage helicase; putative phage replicative DNA helicase; putative predicted product; putative primase helicase; putative primase/helicase; putative primase/helicase (T4 gp41-like); putative primase/helicase protein; putative recA-like recombinase; putative recombinase; putative recombinase A; putative recombinase RecA; putative recombinase RecA-like protein; putative replication protein RepB; putative replicative DNA helicase; putative replicative helicase; recA bacterial DNA recombination family protein; recA recombinase; recA-like recombinase; recA-like recombination protein; recA-like recombination repair protein; recombinase; recombinase A; recombinase A-like protein; recombinasea; recombination and repair protein; recombination and repair protein UvsX; recombination protein; replication and recombination DNA helicase; replication protein P; replicative DNA helicase; replicative DNA helicase DnaB; replicative DNA helicase, DnaB-like; replicative helicase; replicative helicase of the DnaB family; replicative helicase, DnaB family; similar to DNA helicase; similar to P protein of bacteriophage HK022	Complete union of: POG0025; POG0097; POG1341; POG2316; POG1054; POG2396
VOG0026	Bacteria	997	942	3	25	13; 3'-5' exonuclease family protein; 5B protein; Bbp42; DNA directed DNA polymerase; DNA pol I; DNA polymerase; DNA polymerase 1; DNA polymerase 2; DNA polymerase A; DNA polymerase A domain protein; DNA polymerase A domain-like protein; DNA polymerase A, part A; DNA polymerase A, part B; DNA polymerase B family protein; DNA polymerase C-terminal; DNA polymerase I; DNA polymerase I family A; DNA polymerase I, thermostable; DNA polymerase II; DNA polymerase domain A; DNA polymerase family A; DNA polymerase lacking N-terminal exonuclease domain; DNA polymerase part II; DNA polymerase part III; DNA polymerase subunit; DNA polymerase-like protein; DNA polymerase1; DNA-directed DNA polymerase; DNA-directed DNA polymerase domain; DNA-directed DNA polymerase, family A; DNA-directed DNA polymerase-like protein; DNAP; DnaQ-like exonuclease domain-like protein; N4 gp39-like protein; ORF003; ORF004; ORF019; ORF019-like protein; P44; P45; P46; PolA; PolAn/PolAm/PolAc; Putative DNA polymerase; Putative DNA polymerase I; RP DNA pol; T7-like DNA polymerase; T7-like DNA polymerase nucleotidyl transferase; T7-like phage DNA Polymerase; T7-like phage DNA polymerase; VHS1103 protein; bifunctional 3'-5' exonuclease/DNA polymerase; gene 5B protein; gp11; gp12; gp138; gp14; gp140; gp141; gp31; gp37; gp38; gp39; gp41; gp42; gp43; gp44; gp44, DNA polymerase I; gp45; gp46; gp47; gp48; gp49; gp5; gp52; gp53; gp54; gp56; gp57; gp58; gp59; gp60; gp61; gp62; gp66; gp69; gp87; hypothetical protein; hypothetical protein ORF013; hypothetical protein ORF062; p39; phage encoded DNA polymerase I; phage polymerase; polymerase; possible DNA polymerase subunit; predicted DNA polymerase; predicted phage DNA Polymerase; puative DNA polymerase; putative DNA Pol I; putative DNA Polymerase; putative DNA directed DNA polymerase; putative DNA polymerase; putative DNA polymerase 1; putative DNA polymerase 2; putative DNA polymerase A; putative DNA polymerase A domain; putative DNA polymerase A.1; putative DNA polymerase I; putative DNA polymerase I/3'-5' exonuclease; putative DNA polymerase [Escherichia phage 2 JES-2013]; putative DNA polymerase lacking N-terminal exonuclase; putative DNA polymerase protein; putative DNA polymerase, part I; putative DNA polymerase/3'-5' exonuclease domain; putative DNA-directed DNA polymerase A; putative DNA-directed DNA polymerase protein; putative DNA-directed DNA polymerase protein, family A; putative T7-like Pol I DNA polymerase; putative dna polymerase; putative exonuclease; putative polymerase A; putative predicted product; truncated putative DNA polymerase A.2	Complete union of: POG0026; POG0871
VOG0028	Bacteria	477	477	3	13	20; 5 -3 exonuclease; 5' - 3' exonuclease; 5' to 3' exonuclease; 5' to 3' exonuclease-like protein; 5'-3' exonuclease; 5'-3' exonuclease-like protein; 5'-3'-exonuclease; 5'-3'exonuclease; 5'-exonuclease similar to N-terminal domains of DNA polymerase I; 5\'-3\' exonuclease-like protein; DNA exonuclease; DNA polymerase; DNA polymerase I; DNA polymerase I thermostable; P41; Phi92_gp085; Putative RnaseH ribonuclease; Putative exodeoxyribonuclease; Putative phage RNase H; RNase H; RNase H ribonuclease; RNase H-like 5'-3' exonuclease; RNaseH; RNaseH [Enterobacteria phage RB32]; RNaseH ribonuclease; RNaseH ribonuclease [Enterobacteria phage T4]; Rnase H; Rnase H ribonuclease; RnaseH; RnaseH ribonuclease; Rnh RNaseH; T7-like exonuclease; T7-like phage exonuclease; conserved hypothetical phage protein; endonuclease; exodeoxyribonuclease; exonuclease; exonuclease-like protein; exonucluease; exonulease; flap endonuclease; gp32.85; gp6; gp690; gp83; hypothetical protein; hypothetical protein ORF018; p37; phage ribonuclease H; predicted exonuclease; predicted phage DNA Exonuclease; putative 5' to 3' exonuclease; putative 5'-3' exonuclease; putative 5'-3' exonuclease protein; putative 5'-3'exonuclease; putative 5'-exodeoxyribonuclease; putative DNA exonuclease; putative DNA polymerase; putative DNA polymerase I; putative RNase H; putative RNaseH; putative RNaseH ribonuclease; putative RnaseH; putative dna polymerase; putative exodeoxyribonuclease; putative exodeoxyribonuclease [Escherichia phage vB_EcoM_FFH2]; putative exonuclease; putative phage DNA Exonuclease; putative predicted product; putative ribonuclease H; ribonuclease; ribonuclease H; ribonuclease RNaseH; rnaseH; rnh RNaseH; rnh RNaseH ribonuclease; similar to exonulease	Mapped to: POG0028
VOG0029	Bacteria	70	70	1	2	28; conserved phage virion protein; gp29; gp7.3; host rangep rotein; host specificity protein B; hypothetical protein; phage virion protein; putative predicted product; putative tail assembly protein; tail assembly protein; virion protein ejected into cell; virion structural protein	Complete union of: POG0029; POG1064
VOG0030	Bacteria	203	203	1	5	29; Head portal-like protein; Head-to-tail joining protein; Phage collar / T7-like phage head-to-tail joining protein; Putative head-tail connector; T7-like head-to-tail connector; bacteriophage head-to-tail connecting protein; collar / head-to-tail joining protein; collar protein; collar/head-to-tail joining protein; conserved hypothetical phage protein; gp8; head portal protein; head portal-like protein; head to tail connecting protein; head to tail connector; head to tail joining protein; head-tail connector; head-tail connector protein; head-tail joining protein; head-to-tail connecting protein; head-to-tail connector (portal); head-to-tail connector protein; head-to-tail joining protein; head/tail connector protein; hypothetical protein; phage collar; phage collar protein; phage head-tail connector protein; phage head-to-tail joining protein, podovirus-type; portal protein; predicted head to tail connector protein; predicted head to tail joining protein; predicted phage head-tail connector protein; putative collar protein; putative head portal protein; putative head portal-like protein; putative head to tail joining protein; putative head-tail connector; putative head-tail connector protein; putative head-to-tail joining protein; putative head-to-tail-connector; putative phage head-tail connector protein; putative phage-related head-to-tail joining protein; putative predicted product; virion structural protein	Mapped to: POG0030
VOG0031	Bacteria	171	171	1	3	30; Phage capsid and scaffold; Scaffolding-like protein; T7-like capsid assembly protein; capsid and scaffold protein; capsid assembly protein; capsid assembly protein (scaffold); capsid scaffolidng protein; conserved hypothetical phage protein; gp9; hypothetical protein; phage capsid and scaffold protein; phage capsid assembly protein; predicted capsid assembly protein; predicted phage capsid scaffolding protein; putative T7-like capsid assembly protein; putative capsid and scaffold protein; putative capsid assembly protein; putative predicted product; putative scaffold protein; putative scaffolding; putative scaffolding protein; putative scaffolding-like protein; scaffold protein; scaffold-like protein; scaffolding protein; scaffolding-like protein	Complete union of: POG0031; POG1079
VOG0034	Bacteria	175	174	1	3	33; Phage tail fiber protein / T7-like tail tubular protein B; T7-like tail tubular protein B; Tail tubular protein B; Tubular tail protein B; gp12; hypothetical protein; phage tail fiber protein; phage tail protein; predicted phage tail tubular protein B; predicted tail tube protein B; predicted tail tubular protein B; putative predicted product; putative tail tuber protein B; putative tail tubular B protein; putative tail tubular protein B; putative tail tubular protein B protein; tail fiber protein; tail fibers protein; tail hub B; tail protein; tail protein B; tail tube; tail tube B; tail tube protein B; tail tuber protein B; tail tubular B protein; tail tubular protein; tail tubular protein B; tail tubular protein B-like protein; tubular tail protein B; virion structural protein	Mapped to: POG0034
VOG0035	Bacteria	91	91	1	2	Hypothetical protein; Internal virion protein A; Phage internal (core) protein; Phage protein inside capsid A; gp13; gp42; hypothetical protein; internal (core) protein; internal core protein; internal virion protein; internal virion protein A; polyketide synthase; predicted internal virion protein A; protein inside capsid A; putative internal virion protein; putative internal virion protein A	Mapped to: POG0035
VOG0037	Bacteria	62	62	1	1	DNA injection channel protein B; DNA translocation protein; Phage internal (core) protein; Phage protein inside capsid C; gp15; hypothetical protein; internal (core) protein; internal core protein; internal virion protein; internal virion protein C; phage internal (core) protein; predicted internal virion protein C; protein inside capsid C; putative internal virion protein C; virion structural protein	Mapped to: POG0037
VOG0038	Bacteria	148	148	1	4	36; DNA injection channel protein C; DNA translocation protein; Phage internal (core) protein; Phage protein inside capsid D; gp16; hypothetical protein; internal (core) protein; internal core protein; internal head protein; internal virion protein; internal virion protein D; internal virion-like protein; lytic glycosylase; lytic transglycosylase, catalytic; methyl-accepting chemotaxis protein I; predicted internal virion protein D; predicted phage virion protein; protein inside capsid D; putative internal (core) protein; putative internal core protein; putative internal virion core protein; putative internal virion protein; putative internal virion protein 1; putative internal virion protein C; putative internal virion protein D; putative internal virion-like protein; putative transglycosylase; virion protein; virion structural protein	Mapped to: POG0038
VOG0040	Bacteria	87	87	2	3	38; Phage holin, class II; Phage holin, class II #T7-like gp17.5 # Type II holin with two transmembrane domains; class II holin; gp17.5; holin; holin class II; holin-like protein; hypothetical protein; lysin protein; lysis protein; phage holin class II; pinholin; predicted lysis protein; predicted lysis protein; holin; putative Class II holin; putative class II holin; putative holin; putative lysis protein; putative predicted product; putative type II holin; type II holin	Mapped to: POG0040
VOG0041	Bacteria	167	166	2	4	39; DNA maturase A; DNA maturation protein; DNA packaging protein; DNA packaging protein A; DNA packaging protein A, T7-like gp18; DNA packaging protein small subunit; DNA packaging protein, small subunit; DNA packaging/maturation protein A; TerS; TerS small terminase subunit-like protein; conserved hypothetical phage protein; gp18; hypothetical protein; maturase A; phage protein; predicted DNA packaging protein; predicted DNA packaging protein A; predicted DNA packaging protein A or DNA maturase A; predicted phage DNA maturase A; putative DNA maturase; putative DNA maturase A; putative DNA packaging/maturation protein A; putative packaging maturation protein A; putative predicted product; putative small terminase subunit; putative small terminase subunit-like protein; putative terminase protein small subunit; putative terminase small subunit; putative terminase, small subunit; small terminase; small terminase subunit; small terminase subunit protein; small terminase subunit-like protein; small terminase-like protein; terminase small subunit; terminase small subunit A	Complete union of: POG0041; POG1069
VOG0043	Bacteria	82	81	1	2	ORF048; gp134; gp165; gp168; gp36.2; gp96; hypothetical protein; putative predicted product	Mapped to: POG0043
VOG0044	Bacteria	199	167	3	10	77ORF036; DNA replication; Gp37 protein; ORF027; ORF029; ORF035; ORF041; ORF044; ORF046; ORF048; ORF085; YopX; YopX domain protein; YopX family protein; YopX protein; YopX protein I; YopX superfamily phage related protein; YopX superfamily protein; YopX-like domain containing protein; YopX-like protein; YpoX protein I; YpoX protein II; conserved hypothetical protein; gp11; gp117; gp118; gp251; gp34; gp50; gp52; hypothetical phage protein; hypothetical protein; phage protein; possible sensor protein; prophage Lp1 protein 30; putative YopX protein; putative predicted product; putative sensor protein; putative yopX protein; sensor protein; unknown; yopX family protein	Mapped to: POG0044
VOG0045	Bacteria	74	69	3	4	DUF2829 domain containing protein; DUF2829 domain-containing protein; gp168; gp169; gp34.65; gp49; gp59; gp64; hypothetical protein; phage related protein; phage related protein gp64; putative predicted product; tRNA (cytosine34-2-O-)-methyltransferase	Mapped to: POG0045
VOG0046	Bacteria	22	22	2	3	Gp17; Superinfection exclusion protein; hypothetical protein; putative major tail shaft protein; putative superinfection exclusion protein; superinfection exclusion protein	Mapped to: POG0046
VOG0047	Bacteria	13	11	2	1	gp34.55; hypothetical protein	Mapped to: POG0047
VOG0048	Bacteria+Archaea	21	21	2	3	gp19.1; hypothetical protein; putative Pectin lyase-like protein; putative pectin lyase-like protein; putative tail spike protein; tail fiber; tailspike; tailspike protein; tower	Mapped to: POG0048
VOG0049	Bacteria+Archaea	70	70	3	6	RNA ligase; RTCB-like protein; RctB RNA ligase; RtcB; RtcB-like protein; gp109; gp115; gp134; gp160; gp52; gp76; gp77; gp82; gp84; gp85; gp88; hedgehog/intein domain containing protein; hypothetical protein; putative RtcB protein; putative RtcB-like protein; putative predicted product; rtcB protein; similar to RTCB protein; tRNA processing protein; tRNA splicing ligase; tRNA-splicing ligase; uncharacterized protein family UPF0027	Mapped to: POG0049
VOG0050	Bacteria	333	327	3	10	CDP/dCDP deaminase,zinc-binding; CMP deaminase; CMP/dCMP deaminase; CMP/dCMP deaminase, zinc-binding; Cd allosteric enzyme; Cd dCMP deaminase; DCMP deaminase; ORF260; Putative dCMP deaminase; competence protein; cytidine and deoxycytidylate deaminase zinc-binding region; cytidine and deoxycytidylate deaminase zinc-binding region family protein; cytidine deaminase; dCMP deaminase; deaminase; deoxycytidylate deaminase; deoxycytidylate deaminase [Escherichia phage wV7]; deoxycytidylate deaminase domain like protein; gp075; gp077; gp20; gp21.8; gp31; gp317; gp32; gp33; gp34; gp35; gp36; gp36.1; gp37; gp38; gp40; gp41; hypothetical protein; hypothetical protein ORF049; hypothetical protein ORF065; nucleoside deaminase; putative CMP/dCMP deaminase; putative CMP/dCMP deaminase, zinc-binding; putative cytidine deaminase; putative dCMP deaminase; putative deaminase; putative deoxycitidylate deaminase; putative deoxycytidylate deaminase; putative predicted product; pyrimidine deaminase; riboflavin biosynthesis protein; tRNA-specific adenosine deaminase; zinc binding CMP, dCMP deaminase; zinc-binding CMP/dCMP deaminase	Mapped to: POG0050
VOG0051	Bacteria+Archaea	169	160	3	7	DNA packaging protein; DNA packaging protein; large terminase subunit; Lambda gpA homolog; ORF036; ORF059; ORF22; Putative large subunit (GpA homolog) of DNA packaging dimer; Ter; TerL; bacteriophage DNA packaging protein; terminase, large subunit; bacteriophage terminase, large subunit; gp02 protein; gp2; gp2.11; gp3; gp5; gp63; gp74; hypothetical protein; large terminase; large terminase subunit; packaging terminase large subunit gpA; phage terminase; phage terminase large subunit; phage terminase large subunit GpA putative structural protein; putative large terminase; putative large terminase subunit; putative phage terminase large subunit; putative predicted product; putative terminase; putative terminase large subunit; putative terminase large subunit I; putative terminase large subunit II; putative terminase, large subunit; terminase; terminase large subunit; terminase large subunit A; terminase large subunit TerL; terminase large subunit gpA; terminase large subunit-like protein; terminus large subunit	Complete union of: POG0051; POG4236
VOG0052	Bacteria	106	88	3	3	RNA Polymerase sigma-E factor; RNA polymerase sigma factor; RNA polymerase sigma factor RpoD; RNA polymerase sigma factor SigB; RNA polymerase sigma factor, putative; RNA polymerase sigma-70 factor; RNA polymerase sigma-70 factor sigma-B/F/G subfamily; RNA polymerase sigma-70 factor, sigma-B/F/G subfamily; RNA polymerase sigma-70 region 2; RNA polymerase sigma-F factor; RNA polymerase, SigF-like; RNA-polymerase sigma-factor; RNAP sigma factor; SigF-like RNA polymerase sigma factor; gp1; gp145; gp2.21; gp69; group 2 RNA polymerase sigma factor; group2 RNA polymerase sigma factor; hypothetical protein; putative DNA-directed RNA polymerase specialized sigma subunit; putative RNA polymerase sigma 28 subunit SigF; putative RNA polymerase sigma 28 subunit SigG; putative RNA polymerase sigma factor; putative RNA polymerase sigma factor G; putative RNA polymerase sigma factor SigF 1; putative RNA polymerase sigma factor SigF 2; putative RNA polymerase sigma subunit; putative RNA polymerase sigma-70 factor; putative RNA polymerase sigma-70 factor, sigma-B/F/G subfamily; putative predicted product; putative sigma factor; putative sporulation sigma factor; sigF-like RNA polymerase; sigF-like RNA polymerase sigma factor; sigma factor SigF; sigma-70; sigma70 factor; sigma70, RNA polymerase sigma factor; sporulation sigma factor SigF; sporulation sigma factor SigF-like protein; subfamily RNA polymerase sigma-70 subunit; type III RNAP sigma factor	Mapped to: POG0052
VOG0054	Bacteria	125	125	3	9	HOL; Hol; HolA; Holin, phage phi LC3 holin homolog; LysA; ORF026; ORF027; ORF028; ORF029; ORF031; ORF032; ORF033; ORF037; ORF061; ORF063; ORF176; ORF43; enterotoxin type A/P; gp22; holTW; holin; holin class II; holin1; hypothetical protein; orf27; phage holin; putative holin; putative holin class II; putative holin protein; putative phage holin; small integral membrane protein	Mapped to: POG0054
