	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
MK450543.1_30	MK450543	MK450543.1	30	22067	22651	1	E			YP_010078060.1	YP_010078060.1 uncharacterized protein KMC42_gp30 [Natrialba phage PhiCh1]	True	0.928	379.0	1.515e-119									VOG11952	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_31	MK450543	MK450543.1	31	22648	23256	1	E			YP_010078061.1	YP_010078061.1 uncharacterized protein KMC42_gp31 [Natrialba phage PhiCh1]	True	0.951	406.0	1.071e-128									VOG03171	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_32	MK450543	MK450543.1	32	23249	24619	1	E			YP_010078062.1	YP_010078062.1 repeat-containing tail fiber protein [Natrialba phage PhiCh1]	True	0.868	823.0	4.369e-268												0	False	T
MK450543.1_33	MK450543	MK450543.1	33	24624	24911	1	E			YP_010078063.1	YP_010078063.1 uncharacterized protein KMC42_gp33 [Natrialba phage PhiCh1]	False	0.931	188.0	4.1970000000000005e-55									VOG11961	REFSEQ uncharacterized protein; Xu	Xu	0	False	T
MK450543.1_34	MK450543	MK450543.1	34	24922	25596	-1	D			YP_010078064.1	YP_010078064.1 site-specific integrase [Natrialba phage PhiCh1]	True	0.974	462.0	1.077e-147								Phage integrase family [PF00589.25]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xh;Xr	0	False	VT
MK450543.1_35	MK450543	MK450543.1	35	25634	25915	-1	E			YP_010078065.1	YP_010078065.1 uncharacterized protein KMC42_gp35 [Natrialba phage PhiCh1]	False	0.929	183.0	1.233e-53									VOG11961	REFSEQ uncharacterized protein; Xu	Xu	0	False	T
MK450543.1_36	MK450543	MK450543.1	36	25919	27205	-1	E			YP_010078066.1	YP_010078066.1 repeat-containing tail fiber protein [Natrialba phage PhiCh1]	True	0.884	789.0	6.979e-257												0	False	T
MK450543.1_37	MK450543	MK450543.1	37	27239	27964	1	E			NP_665955.1	NP_665955.1 hypothetical protein PhiCh1p38 [Natrialba phage PhiCh1]	True	0.974	497.0	2.139e-159									VOG01682	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_38	MK450543	MK450543.1	38	27974	28249	-1	E			NP_665956.1	NP_665956.1 transcriptional regulator [Natrialba phage PhiCh1]	False	1.0	201.0	1.013e-59												0	False	T
MK450543.1_39	MK450543	MK450543.1	39	28296	28580	-1	E			NP_665957.1	NP_665957.1 hypothetical protein PhiCh1p40 [Natrialba phage PhiCh1]	False	0.945	189.0	1.548e-55									VOG11951	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_40	MK450543	MK450543.1	40	28577	29152	-1	D			NP_665958.1	NP_665958.1 putative glutaminase [Natrialba phage PhiCh1]	True	1.0	410.0	2.704e-130	MER0043662	C44	MER0043662 - family C44 non-peptidase homologues () [C44.UNW]#C44#{peptidase unit: 2-113}~source AAM88714~	False	243.0	4.3680000000000004e-72	1.0	Glutamine amidotransferase domain [PF13522.9]; Glutamine amidotransferases class-II [PF13230.9]	VOG25482	REFSEQ putative glutaminase; Xu	Xu	0	False	PT
MK450543.1_41	MK450543	MK450543.1	41	29157	30188	-1	E			YP_010078071.1	YP_010078071.1 uncharacterized protein KMC42_gp41 [Natrialba phage PhiCh1]	True	1.0	737.0	1.5299999999999998e-240									VOG25501	REFSEQ uncharacterized protein; Xu	Xu	0	False	T
MK450543.1_42	MK450543	MK450543.1	42	30414	30578	1	E			YP_010078072.1	YP_010078072.1 uncharacterized protein KMC42_gp42 [Natrialba phage PhiCh1]	False	0.935	108.0	2.342e-28									VOG25484	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_43	MK450543	MK450543.1	43	30575	30970	1	C	K07064	uncharacterized protein	YP_010078073.1	YP_010078073.1 PIN domain-containing protein [Natrialba phage PhiCh1]	False	0.937	259.0	2.548e-79								PIN domain [PF01850.24]	VOG25483	REFSEQ PIN domain-containing protein; Xu	Xu	0	False	T
MK450543.1_44	MK450543	MK450543.1	44	30967	31566	-1	D			YP_010078074.1	YP_010078074.1 tyrosine-type recombinase/integrase [Natrialba phage PhiCh1]	True	0.97	409.0	1.0200000000000001e-129								Phage integrase family [PF00589.25]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xh;Xr	0	False	VT
MK450543.1_45	MK450543	MK450543.1	45	31927	32697	1	C	K03496	chromosome partitioning protein	YP_010078075.1	YP_010078075.1 ParA-like partition protein [Natrialba phage PhiCh1]	True	0.947	511.0	5.107e-164								AAA domain [PF13614.9]; Cellulose biosynthesis protein BcsQ [PF06564.15]; VirC1 protein [PF07015.14]; NUBPL iron-transfer P-loop NTPase [PF10609.12]; ATPase MipZ [PF09140.14]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.26]	VOG01428	sp|P07620|PARA_ECOLX Plasmid partition protein A; Xh	Xh	0	False	T
MK450543.1_46	MK450543	MK450543.1	46	32690	33088	1	E			YP_010078076.1	YP_010078076.1 uncharacterized protein KMC42_gp46 [Natrialba phage PhiCh1]	False	0.872	241.0	5.4500000000000006e-73									VOG03264	REFSEQ uncharacterized protein; Xu	Xu	0	False	T
MK450543.1_47	MK450543	MK450543.1	47	33248	33586	-1	D			YP_010078077.1	YP_010078077.1 uncharacterized protein KMC42_gp47 [Natrialba phage PhiCh1]	False	0.985	235.0	3.249e-71								Family of unknown function (DUF6788) [PF20586.1]	VOG25500	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_48	MK450543	MK450543.1	48	33669	33926	-1	E			NP_665966.1	NP_665966.1 transcriptional regulator [Natrialba phage PhiCh1]	False	1.0	186.0	1.2449999999999999e-54									VOG01379	sp|P22562|VREP_BPPHH Putative repressor; Xu	Xu	0	False	T
MK450543.1_49	MK450543	MK450543.1	49	34794	37580	1	E			YP_010078080.1	YP_010078080.1 replication protein [Natrialba phage PhiCh1]	True	0.973	1903.0	0.0									VOG00337	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_50	MK450543	MK450543.1	50	37692	37919	-1	E			YP_010078081.1	YP_010078081.1 transcriptional regulator [Natrialba phage PhiCh1]	False	0.926	148.0	1.177e-41									VOG25486	REFSEQ transcriptional regulator; Xu	Xu	0	False	T
MK450543.1_51	MK450543	MK450543.1	51	38162	38683	1	E			YP_010078082.1	YP_010078082.1 helix-turn-helix transcriptional regulator [Natrialba phage PhiCh1]	True	0.985	362.0	5.9589999999999994e-114									VOG11953	REFSEQ helix-turn-helix transcriptional regulator; Xu	Xu	0	False	T
MK450543.1_52	MK450543	MK450543.1	52	38796	39236	1	E			YP_010078083.1	YP_010078083.1 HNH endonuclease [Natrialba phage PhiCh1]	False	1.0	316.0	1.773e-98												1	False	T
MK450543.1_53	MK450543	MK450543.1	53	39233	39862	1	E			NP_665976.1	NP_665976.1 hypothetical protein PhiCh1p59 [Natrialba phage PhiCh1]	True	0.913	401.0	8.997e-127									VOG05542	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_54	MK450543	MK450543.1	54	39859	39957	1	E																				0	False	T
MK450543.1_55	MK450543	MK450543.1	55	39978	40721	1	C	K04802	proliferating cell nuclear antigen	NP_665977.1	NP_665977.1 DNA polymerase sliding clamp [Natrialba phage PhiCh1]	True	0.928	482.0	3.309e-154								Proliferating cell nuclear antigen, C-terminal domain [PF02747.18]; Proliferating cell nuclear antigen, N-terminal domain [PF00705.21]	VOG00220	sp|Q7T6Y0|PCNA_MIMIV Probable DNA polymerase sliding clamp; Xr	Xr	0	False	VT
MK450543.1_56	MK450543	MK450543.1	56	40731	41162	1	E			YP_010078086.1	YP_010078086.1 uncharacterized protein KMC42_gp56 [Natrialba phage PhiCh1]	False	0.936	283.0	3.681e-87									VOG05699	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_57	MK450543	MK450543.1	57	41162	41377	1	E			NP_665979.1	NP_665979.1 hypothetical protein PhiCh1p62 [Natrialba phage PhiCh1]	False	1.0	158.0	3.521e-45									VOG25490	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_58	MK450543	MK450543.1	58	41355	41597	1	E			YP_010078088.1	YP_010078088.1 uncharacterized protein KMC42_gp58 [Natrialba phage PhiCh1]	False	0.925	157.0	7.584e-45												0	False	T
MK450543.1_59	MK450543	MK450543.1	59	41590	41892	1	E			YP_010078089.1	YP_010078089.1 uncharacterized protein KMC42_gp59 [Natrialba phage PhiCh1]	False	0.9	190.0	8.042e-56												0	False	T
MK450543.1_60	MK450543	MK450543.1	60	41882	42082	1	E			YP_010078090.1	YP_010078090.1 uncharacterized protein KMC42_gp60 [Natrialba phage PhiCh1]	False	0.975	138.0	2.053e-38												0	False	T
MK450543.1_61	MK450543	MK450543.1	61	42072	42299	1	E			YP_010078091.1	YP_010078091.1 uncharacterized protein KMC42_gp61 [Natrialba phage PhiCh1]	False	0.935	149.0	3.3190000000000004e-42									VOG25488	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_62	MK450543	MK450543.1	62	42299	42463	1	E			YP_010078092.1	YP_010078092.1 uncharacterized protein KMC42_gp62 [Natrialba phage PhiCh1]	False	0.913	106.0	2.157e-27												0	False	T
MK450543.1_63	MK450543	MK450543.1	63	42460	42876	1	E			YP_010078093.1	YP_010078093.1 CxxC motif protein [Natrialba phage PhiCh1]	False	0.979	287.0	8.975999999999999e-89									VOG25487	REFSEQ CxxC motif protein; Xu	Xu	0	False	T
MK450543.1_64	MK450543	MK450543.1	64	42866	43246	1	E			YP_010078094.1	YP_010078094.1 uncharacterized protein KMC42_gp64 [Natrialba phage PhiCh1]	False	0.93	248.0	2.609e-75									VOG25489	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_65	MK450543	MK450543.1	65	43236	44108	1	D			YP_010078095.1	YP_010078095.1 Gp37/Gp68 family protein [Natrialba phage PhiCh1]	True	1.0	630.0	1.141e-204								Protein of unknown function (DUF5131) [PF07505.14]	VOG04018	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_66	MK450543	MK450543.1	66	44098	44331	1	E			YP_010078096.1	YP_010078096.1 uncharacterized protein KMC42_gp66 [Natrialba phage PhiCh1]	False	1.0	166.0	8.486e-48									VOG25491	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_67	MK450543	MK450543.1	67	44328	44762	1	D			YP_010078097.1	YP_010078097.1 hypothetical protein KMC42_gp67 [Natrialba phage PhiCh1]	False	1.0	316.0	8.559e-99								Domain of unknown function (DUF4326) [PF14216.9]				0	False	T
MK450543.1_68	MK450543	MK450543.1	68	44755	45054	1	E			YP_010078098.1	YP_010078098.1 uncharacterized protein KMC42_gp68 [Natrialba phage PhiCh1]	False	0.967	204.0	1.198e-60												0	False	T
MK450543.1_69	MK450543	MK450543.1	69	45051	45488	1	E			YP_010078099.1	YP_010078099.1 CxxC motif protein [Natrialba phage PhiCh1]	False	1.0	309.0	3.618e-96									VOG25492	REFSEQ CxxC motif protein; Xu	Xu	0	False	T
MK450543.1_70	MK450543	MK450543.1	70	45475	45978	1	D			YP_010078100.1	YP_010078100.1 uncharacterized protein KMC42_gp70 [Natrialba phage PhiCh1]	False	0.993	348.0	2.042e-109								Nucleoside 2-deoxyribosyltransferase [PF05014.18]	VOG25495	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_71	MK450543	MK450543.1	71	45971	46591	1	E			YP_010078101.1	YP_010078101.1 ASCH domain-containing protein [Natrialba phage PhiCh1]	True	0.98	428.0	2.76e-136												0	False	T
MK450543.1_72	MK450543	MK450543.1	72	46581	46808	1	E			YP_010078102.1	YP_010078102.1 putative one transmembrane helix protein [Natrialba phage PhiCh1]	False	0.998	160.0	4.698e-46												0	False	T
MK450543.1_73	MK450543	MK450543.1	73	47070	47669	1	E			NP_665996.1	NP_665996.1 hypothetical protein PhiCh1p79 [Natrialba phage PhiCh1]	True	1.0	430.0	4.082e-137												0	False	T
MK450543.1_74	MK450543	MK450543.1	74	47666	48448	1	E			YP_010078105.1	YP_010078105.1 repressor protein [Natrialba phage PhiCh1]	True	1.0	557.0	8.071000000000001e-180												0	False	T
MK450543.1_75	MK450543	MK450543.1	75	48441	49292	1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	YP_010078106.1	YP_010078106.1 DNA methyltransferase [Natrialba phage PhiCh1]	True	0.996	597.0	1.893e-193								C-5 cytosine-specific DNA methylase [PF00145.20]	VOG00281	sp|P34877|MTSA_LACLC Type II methyltransferase M1.ScrFI; XhXp	Xp;Xh	0	False	MT
MK450543.1_76	MK450543	MK450543.1	76	49285	49605	1	E			YP_010078107.1	YP_010078107.1 uncharacterized protein KMC42_gp77 [Natrialba phage PhiCh1]	False	0.951	214.0	4.552e-64									VOG25493	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_77	MK450543	MK450543.1	77	49675	51054	1	C	K00590	site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]	YP_010078109.1	YP_010078109.1 DNA methyltransferase [Natrialba phage PhiCh1]	True	0.992	940.0	1.184e-308								DNA methylase [PF01555.21]				0	False	T
MK450543.1_78	MK450543	MK450543.1	78	51051	51626	1	E			YP_010078110.1	YP_010078110.1 uncharacterized protein KMC42_gp80 [Natrialba phage PhiCh1]	True	1.0	409.0	3.708e-130									VOG04426	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_79	MK450543	MK450543.1	79	51623	52387	1	E			YP_010078111.1	YP_010078111.1 uncharacterized protein KMC42_gp81 [Natrialba phage PhiCh1]	True	1.0	541.0	1.822e-174									VOG25494	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_80	MK450543	MK450543.1	80	52380	52595	1	E			YP_010078112.1	YP_010078112.1 uncharacterized protein KMC42_gp82 [Natrialba phage PhiCh1]	False	0.979	149.0	3.726000000000001e-42												0	False	T
MK450543.1_81	MK450543	MK450543.1	81	52588	52869	1	E			YP_010078113.1	YP_010078113.1 CxxC motif protein [Natrialba phage PhiCh1]	False	1.0	206.0	1.337e-61									VOG25497	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_82	MK450543	MK450543.1	82	52862	53221	1	E			YP_010078114.1	YP_010078114.1 uncharacterized protein KMC42_gp84 [Natrialba phage PhiCh1]	False	1.0	255.0	6.306e-78									VOG25496	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK450543.1_83	MK450543	MK450543.1	83	53214	53567	1	E			YP_010078115.1	YP_010078115.1 uncharacterized protein KMC42_gp85 [Natrialba phage PhiCh1]	False	0.982	244.0	2.111e-74									VOG25498	REFSEQ hypothetical protein; Xu	Xu	0	False	TF
MK450543.1_84	MK450543	MK450543.1	84	53850	54434	1	E			YP_010078116.1	YP_010078116.1 CxxC motif protein [Natrialba phage PhiCh1]	True	1.0	424.0	2.6609999999999998e-135									VOG11956	REFSEQ CxxC motif protein; Xu	Xu	0	False	TF
MK450543.1_85	MK450543	MK450543.1	85	54462	54836	1	E			NP_666008.1	NP_666008.1 hypothetical protein PhiCh1p91 [Natrialba phage PhiCh1]	False	1.0	265.0	1.5909999999999998e-81									VOG11954	REFSEQ hypothetical protein; Xu	Xu	0	False	TF
MK450543.1_86	MK450543	MK450543.1	86	55182	55436	1	E			NP_666010.1	NP_666010.1 putative one transmembrane helix protein [Natrialba phage PhiCh1]	False	0.862	153.0	4.123e-43									VOG11955	REFSEQ transmembrane domain protein; Xu	Xu	0	False	TF
MK450543.1_87	MK450543	MK450543.1	87	55420	55752	1	E			NP_666011.1	NP_666011.1 holin [Natrialba phage PhiCh1]	False	0.966	226.0	4.2229999999999995e-68									VOG11957	REFSEQ holin; Xu	Xu	0	False	TF
MK450543.1_88	MK450543	MK450543.1	88	55829	57088	1	C	K00571	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	YP_010078121.1	YP_010078121.1 DNA methyltransferase [Natrialba phage PhiCh1]	True	0.967	855.0	4.77e-280								DNA methylase [PF01555.21]; ParB/Sulfiredoxin domain [PF02195.21]	VOG00306	sp|P14243|MTC9_CITFR Type II methyltransferase M.Cfr9I; XhXp	Xp;Xh	0	False	TF
MK450543.1_89	MK450543	MK450543.1	89	57063	57617	1	E			YP_010078122.1	YP_010078122.1 uncharacterized protein KMC42_gp92 [Natrialba phage PhiCh1]	False	0.916	343.0	2.771e-107												0	False	TF
MK450543.1_90	MK450543	MK450543.1	90	57632	57970	1	D			YP_010078123.1	YP_010078123.1 DUF217 domain protein [Natrialba phage PhiCh1]	False	0.951	226.0	4.6549999999999996e-68								Putative antitoxin [PF02697.17]	VOG25499	REFSEQ DUF217 domain protein; Xu	Xu	0	False	TF
MK450543.1_91	MK450543	MK450543.1	91	58036	58245	1	E			YP_010078124.1	YP_010078124.1 CxxC motif protein [Natrialba phage PhiCh1]	False	1.0	153.0	1.421e-43									VOG11958	REFSEQ CxxC motif protein; Xu	Xu	0	False	TF
MK450543.1_92	MK450543	MK450543.1	92	58242	58487	1	E			YP_010078031.1	YP_010078031.1 HNH endonuclease [Natrialba phage PhiCh1]	False	1.0	189.0	5.916e-56									VOG02117	REFSEQ HNH endonuclease; Xu	Xu	1	False	TF
