KO	prodigal_RW1	prodigal_GIC31	prodigal_Rleg	prodigal_RW2	prodigal_DJ
K01768: E4.6.1.1; adenylate cyclase	8	28	96	28	96
K00758: deoA, TYMP; thymidine phosphorylase	3	3	3	3	3
K01955: carB, CPA2; carbamoyl-phosphate synthase large subunit	28	30	30	30	30
K13598: ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	18	27	27	27	27
K07718: yesM; two-component system, sensor histidine kinase YesM	30	36	36	36	36
K07638: envZ; two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ	20	20	20	20	20
K07704: lytS; two-component system, LytTR family, sensor histidine kinase LytS	42	42	42	42	42
K07709: zraS, hydH; two-component system, NtrC family, sensor histidine kinase HydH	63	72	72	72	72
K02844: waaG, rfaG; UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase	4	4	4	4	4
K07644: cusS, copS, silS; two-component system, OmpR family, heavy metal sensor histidine kinase CusS	108	112	112	112	112
K06861: lptB; lipopolysaccharide export system ATP-binding protein	2	2	2	2	2
K00130: betB, gbsA; betaine-aldehyde dehydrogenase	2	2	2	2	2
K07646: kdpD; two-component system, OmpR family, sensor histidine kinase KdpD	111	111	114	111	114
K02486: K02486; two-component system, sensor kinase	38	48	48	48	48
K07677: rcsC; two-component system, NarL family, capsular synthesis sensor histidine kinase RcsC	52	56	56	56	56
K07710: atoS; two-component system, NtrC family, sensor histidine kinase AtoS	66	72	72	72	72
K00480: E1.14.13.1; salicylate hydroxylase	3	3	3	3	3
K02554: mhpD; 2-keto-4-pentenoate hydratase	4	4	4	4	4
K00688: PYG, glgP; glycogen phosphorylase	6	6	6	6	6
K00971: manC, cpsB; mannose-1-phosphate guanylyltransferase	18	18	18	18	18
K01809: manA, MPI; mannose-6-phosphate isomerase	18	21	24	18	21
K00873: PK, pyk; pyruvate kinase	20	30	30	30	30
K00936: pdtaS; two-component system, sensor histidine kinase PdtaS	10	10	10	10	10
K01529: yjjX; inosine/xanthosine triphosphatase	2	8	8	8	8
K01895: ACSS1_2, acs; acetyl-CoA synthetase	21	21	21	21	21
K02000: proV; glycine betaine/proline transport system ATP-binding protein	4	4	4	4	4
K00529: hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component	2	14	18	14	18
K13490: wspE; two-component system, chemotaxis family, sensor histidine kinase and response regulator WspE	8	8	8	8	8
K13788: pta; phosphate acetyltransferase	25	25	25	25	25
K07651: resE; two-component system, OmpR family, sensor histidine kinase ResE	54	60	60	60	60
K07652: vicK; two-component system, OmpR family, sensor histidine kinase VicK	180	198	198	198	198
K13587: cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA	4	8	8	8	8
K11594: DDX3X, bel; ATP-dependent RNA helicase DDX3X	12	18	18	18	18
K12835: DDX42, SF3B125; ATP-dependent RNA helicase DDX42	4	10	10	10	10
K12858: DDX23, PRP28; ATP-dependent RNA helicase DDX23/PRP28	2	8	8	8	8
K12811: DDX46, PRP5; ATP-dependent RNA helicase DDX46/PRP5	2	14	14	14	14
K13982: DDX4, VASA; probable ATP-dependent RNA helicase DDX4	1	2	2	2	2
K13116: DDX41, ABS; ATP-dependent RNA helicase DDX41	1	4	4	4	4
K01711: gmd, GMDS; GDPmannose 4,6-dehydratase	6	6	6	6	6
K01571: oadA; oxaloacetate decarboxylase (Na+ extruding) subunit alpha	14	14	14	14	14
K01960: pycB; pyruvate carboxylase subunit B	30	36	36	36	36
K02489: hk1; two-component system, glycerol uptake and utilization sensor kinase	33	36	36	36	36
K05366: mrcA; penicillin-binding protein 1A	4	4	4	4	4
K01007: pps, ppsA; pyruvate, water dikinase	4	8	8	8	8
K02363: entE, dhbE, vibE, mxcE; 2,3-dihydroxybenzoate-AMP ligase	6	6	6	6	6
K01784: galE, GALE; UDP-glucose 4-epimerase	9	9	9	9	9
K00928: lysC; aspartate kinase	64	64	64	64	64
K09697: natA; sodium transport system ATP-binding protein	3	3	3	3	3
K11154: RDH16; retinol dehydrogenase 16	1	1	1	1	1
K00135: gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	35	35	35	35	35
K00966: GMPP; mannose-1-phosphate guanylyltransferase	12	12	12	10	12
K02052: ABC.SP.A; putative spermidine/putrescine transport system ATP-binding protein	8	8	8	8	8
K00362: nirB; nitrite reductase (NADH) large subunit	3	4	6	4	6
K02798: cmtB; mannitol PTS system EIIA component	27	33	27	33	27
K01995: livG; branched-chain amino acid transport system ATP-binding protein	15	15	15	15	15
K02017: modC; molybdate transport system ATP-binding protein	8	8	8	8	8
K00845: glk; glucokinase	12	12	12	12	12
K05816: ugpC; sn-glycerol 3-phosphate transport system ATP-binding protein	2	2	2	2	2
K02341: holB; DNA polymerase III subunit delta'	15	15	15	15	15
K01740: metY; O-acetylhomoserine (thiol)-lyase	1	1	1	1	1
K09810: lolD; lipoprotein-releasing system ATP-binding protein	6	6	6	6	6
K02806: ptsN; nitrogen PTS system EIIA component	34	34	34	34	34
K02480: K02480; two-component system, NarL family, sensor kinase	70	88	88	88	88
K00712: tagE; poly(glycerol-phosphate) alpha-glucosyltransferase	2	2	2	2	2
K02769: fruAb; fructose PTS system EIIB component	72	99	78	99	99
K02770: fruA; fructose PTS system EIIBC or EIIC component	63	78	63	78	78
K11202: fryB; fructose-like PTS system EIIB component	11	20	11	20	20
K00721: DPM1; dolichol-phosphate mannosyltransferase	4	4	4	4	4
K12990: rfbF, rhlC; rhamnosyltransferase	3	3	3	3	3
K02821: ulaC, sgaA; ascorbate PTS system EIIA or EIIAB component	15	18	21	21	15
K00847: E2.7.1.4, scrK; fructokinase	3	3	3	3	3
K01739: metB; cystathionine gamma-synthase	12	12	12	12	12
K00835: avtA; valine--pyruvate aminotransferase	2	2	2	2	2
K07636: phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR	285	312	312	312	312
K01588: purE; 5-(carboxyamino)imidazole ribonucleotide mutase	1	1	1	1	1
K00001: E1.1.1.1, adh; alcohol dehydrogenase	90	162	171	162	162
K00326: E1.6.2.2; cytochrome-b5 reductase	1	1	1	1	1
K03885: ndh; NADH:ubiquinone reductase (H+-translocating)	5	6	6	6	6
K01965: PCCA, pccA; propionyl-CoA carboxylase alpha chain	9	9	9	9	9
K01621: xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase	2	0	2	0	2
K00294: E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase	6	6	6	6	6
K00318: PRODH, fadM, putB; proline dehydrogenase	2	3	3	3	3
K13821: putA; RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase	6	6	6	6	6
K02018: modB; molybdate transport system permease protein	4	4	4	4	4
K02003: ABC.CD.A; putative ABC transport system ATP-binding protein	3	3	3	3	3
K00817: hisC; histidinol-phosphate aminotransferase	35	35	35	35	35
K00252: GCDH, gcdH; glutaryl-CoA dehydrogenase	4	4	4	4	4
K03843: ALG2; alpha-1,3/alpha-1,6-mannosyltransferase	3	3	3	3	3
K07708: glnL, ntrB; two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL	42	45	45	45	45
K07639: rstB; two-component system, OmpR family, sensor histidine kinase RstB	24	27	27	27	27
K05712: mhpA; 3-(3-hydroxy-phenyl)propionate hydroxylase	1	1	1	1	1
K08484: ptsP; phosphotransferase system, enzyme I, PtsP	12	12	12	12	12
K11201: frvA; fructose-like PTS system EIIA component	21	25	21	25	25
K00698: CHS1; chitin synthase	4	4	4	4	4
K12997: rgpB; rhamnosyltransferase	2	2	2	2	2
K02028: ABC.PA.A; polar amino acid transport system ATP-binding protein	23	24	24	24	24
K07676: rcsD; two-component system, NarL family, sensor histidine kinase RcsD	16	16	16	16	16
K07640: cpxA; two-component system, OmpR family, sensor histidine kinase CpxA	20	24	24	24	24
K00240: sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	48	44	36	44	36
K00245: frdB; fumarate reductase iron-sulfur subunit	72	60	54	60	54
K00235: SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit	121	110	77	110	55
K11633: yxdK; two-component system, OmpR family, sensor histidine kinase YxdK	9	9	9	9	9
K02535: lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	2	2	2	2	2
K07649: tctE; two-component system, OmpR family, sensor histidine kinase TctE	63	63	63	63	63
K10111: malK, mtlK, thuK; multiple sugar transport system ATP-binding protein	4	4	4	4	4
K00749: E2.4.1.183; alpha-1,3-glucan synthase	1	1	1	1	1
K11356: cikA; two-component system, sensor histidine kinase and response regulator	12	12	12	12	12
K10125: dctB; two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB	42	48	48	48	48
K00024: mdh; malate dehydrogenase	14	14	14	14	7
K01990: ABC-2.A; ABC-2 type transport system ATP-binding protein	5	5	5	5	5
K01992: ABC-2.P; ABC-2 type transport system permease protein	1	1	1	1	1
K02800: mtlA, cmtA; mannitol PTS system EIICBA or EIICB component	18	24	18	24	18
K07698: kinC; two-component system, sporulation sensor kinase C	18	18	18	18	18
K10942: flrB, fleS, flaL; two-component system, sensor histidine kinase FlrB	50	50	50	50	50
K00383: GSR, gor; glutathione reductase (NADPH)	3	3	3	3	3
K00031: IDH1, IDH2, icd; isocitrate dehydrogenase	5	5	5	5	5
K00666: K00666; fatty-acyl-CoA synthase	3	3	3	3	3
K07647: torS; two-component system, OmpR family, sensor histidine kinase TorS	51	51	51	51	51
K12984: waaE, kdtX; (heptosyl)LPS beta-1,4-glucosyltransferase	1	1	1	1	1
K04072: adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase	40	40	40	40	40
K00925: ackA; acetate kinase	10	5	10	5	10
K07653: mprB; two-component system, OmpR family, sensor histidine kinase MprB	54	57	57	57	57
K07654: mtrB; two-component system, OmpR family, sensor histidine kinase MtrB	51	57	57	57	57
K07641: creC; two-component system, OmpR family, sensor histidine kinase CreC	33	36	36	36	36
K07711: glrK, qseE; two-component system, NtrC family, sensor histidine kinase GlrK	76	76	76	76	76
K01762: ACS; 1-aminocyclopropane-1-carboxylate synthase	2	2	2	2	2
K02536: lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	6	10	16	10	12
K00696: E2.4.1.14; sucrose-phosphate synthase	1	1	1	1	1
K01958: PC, pyc; pyruvate carboxylase	15	21	21	21	21
K10441: rbsA; ribose transport system ATP-binding protein	98	98	98	98	98
K03820: lnt; apolipoprotein N-acyltransferase	1	0	1	0	1
K03431: glmM; phosphoglucosamine mutase	1	1	1	1	1
K01044: CES1; carboxylesterase 1	1	5	5	5	3
K01055: pcaD; 3-oxoadipate enol-lactonase	1	1	1	1	1
K01760: metC; cysteine-S-conjugate beta-lyase	10	10	10	10	10
K07679: evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS	68	80	80	80	80
K00278: nadB; L-aspartate oxidase	2	2	2	2	2
K00058: serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	20	20	20	20	20
K00812: aspB; aspartate aminotransferase	22	22	22	22	22
K00703: glgA; starch synthase	3	3	3	3	3
K01968: E6.4.1.4A; 3-methylcrotonyl-CoA carboxylase alpha subunit	2	2	2	2	2
K07673: narX; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX	60	78	78	78	78
K05396: dcyD; D-cysteine desulfhydrase	1	1	3	1	3
K08475: pgtB; two-component system, NtrC family, phosphoglycerate transport system sensor histidine kinase PgtB	15	15	15	15	15
K09903: pyrH; uridylate kinase	1	1	1	1	1
K00012: UGDH, ugd; UDPglucose 6-dehydrogenase	4	4	4	4	4
K01948: CPS1; carbamoyl-phosphate synthase (ammonia)	4	4	4	4	4
K00129: ALDH3; aldehyde dehydrogenase (NAD(P)+)	7	7	7	7	7
K14489: AHK2_3_4; arabidopsis histidine kinase 2/3/4 (cytokinin receptor)	7	7	7	7	7
K02491: kinA; two-component system, sporulation sensor kinase A	18	21	21	21	21
K01937: pyrG, CTPS; CTP synthase	1	1	1	1	1
K00253: IVD, ivd; isovaleryl-CoA dehydrogenase	2	2	2	2	2
K01576: mdlC; benzoylformate decarboxylase	1	1	1	1	1
K07680: comP; two-component system, NarL family, sensor histidine kinase ComP	20	36	36	36	36
K10206: E2.6.1.83; LL-diaminopimelate aminotransferase	6	6	6	6	6
K09820: ABC.MN.A; manganese/iron transport system ATP-binding protein	2	2	2	2	2
K00625: E2.3.1.8, pta; phosphate acetyltransferase	30	30	30	30	30
K07655: prrB; two-component system, OmpR family, sensor histidine kinase PrrB	3	6	6	6	6
K02035: ABC.PE.S; peptide/nickel transport system substrate-binding protein	4	4	4	4	4
K01754: E4.3.1.19, ilvA, tdcB; threonine dehydratase	4	4	4	4	4
K13237: DECR2, SPS19; 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], peroxisomal	1	1	1	1	1
K04103: ipdC; indolepyruvate decarboxylase	3	1	3	1	3
K03778: ldhA; D-lactate dehydrogenase	1	1	1	1	1
K07697: kinB; two-component system, sporulation sensor kinase B	6	6	6	6	6
K03388: hdrA2; heterodisulfide reductase subunit A2	2	2	12	7	12
K00567: ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase	1	7	7	7	6
K13896: yejF; microcin C transport system ATP-binding protein	2	2	2	2	2
K09693: tagH; teichoic acid transport system ATP-binding protein	2	2	2	2	2
K00020: HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	1	1	1	1	1
K13040: ttrS; two-component system, LuxR family, sensor histidine kinase TtrS	9	9	9	9	9
K01941: E6.3.4.6; urea carboxylase	14	16	16	16	16
K13668: pimB; phosphatidyl-myo-inositol dimannoside synthase	2	2	2	2	2
K08969: mtnE, mtnV; L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase	2	2	2	2	2
K01966: PCCB, pccB; propionyl-CoA carboxylase beta chain	15	12	15	12	15
K00246: frdC; fumarate reductase subunit C	42	42	18	42	6
K03390: hdrC2; heterodisulfide reductase subunit C2	3	3	0	3	1
K07675: uhpB; two-component system, NarL family, sensor histidine kinase UhpB	78	105	105	105	105
K00232: E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase	8	8	8	8	8
K14155: patB, malY; cysteine-S-conjugate beta-lyase	6	9	9	9	9
K00837: ISS1, VAS1; aromatic aminotransferase	26	26	26	26	26
K00039: rbtD; ribitol 2-dehydrogenase	1	1	1	1	1
K12983: waaV; UDP-glucose:(glucosyl)LPS beta-1,3-glucosyltransferase	2	2	2	2	2
K05367: pbpC; penicillin-binding protein 1C	3	3	3	3	3
K11328: nrsS, rppB; two-component system, OmpR family, Ni(II)-sensor and/or redox sensor kinase NrsS	18	18	18	18	18
K11912: ppkA; serine/threonine-protein kinase PpkA	8	16	16	16	16
K10542: mglA; methyl-galactoside transport system ATP-binding protein	36	36	36	36	36
K10017: hisP; histidine transport system ATP-binding protein	26	26	26	26	26
K10021: occP, nocP; octopine/nopaline transport system ATP-binding protein	28	28	28	28	28
K10025: aotP; arginine/ornithine transport system ATP-binding protein	24	24	24	24	24
K02029: ABC.PA.P; polar amino acid transport system permease protein	12	14	14	14	14
K07656: trcS; two-component system, OmpR family, sensor histidine kinase TrcS	21	21	21	21	21
K01489: cdd, CDA; cytidine deaminase	2	2	2	2	2
K01752: E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase	4	4	4	4	4
K01589: purK; 5-(carboxyamino)imidazole ribonucleotide synthase	1	1	1	1	1
K07535: badH; 2-hydroxycyclohexanecarboxyl-CoA dehydrogenase	1	1	1	1	1
K02793: manXa; mannose PTS system EIIA component	44	68	68	68	68
K02794: manX; mannose PTS system EIIAB component	44	68	60	68	68
K02795: manY; mannose PTS system EIIC component	40	64	44	64	64
K00634: ptb; phosphate butyryltransferase	1	1	1	1	1
K07778: desK; two-component system, NarL family, sensor histidine kinase DesK	48	57	57	57	57
K00860: cysC; adenylylsulfate kinase	4	12	18	14	28
K00955: cysNC; bifunctional enzyme CysN/CysC	4	20	24	24	32
K00956: cysN; sulfate adenylyltransferase subunit 1	4	24	24	24	32
K00151: hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase	1	1	1	1	1
K10217: dmpC, xylG, praB; aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase	6	6	6	6	6
K10715: rpfC; two-component system, sensor histidine kinase RpfC	36	36	36	36	36
K12995: wbdC, mtfC; O-antigen biosynthesis alpha-1,3-mannosyltransferase	1	1	1	1	1
K02773: gatA, sgcA; galactitol PTS system EIIA component	9	9	9	9	9
K04042: glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase	16	16	18	16	16
K01964: K01964; acetyl-CoA/propionyl-CoA carboxylase	12	12	12	12	12
K00016: LDH, ldh; L-lactate dehydrogenase	8	8	8	8	8
K11953: cmpD; bicarbonate transport system ATP-binding protein	2	2	2	2	2
K00826: E2.6.1.42, ilvE; branched-chain amino acid aminotransferase	6	6	6	6	6
K00029: E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)	3	3	3	3	3
K01697: CBS; cystathionine beta-synthase	4	4	4	4	4
K00301: E1.5.3.1; sarcosine oxidase	3	6	6	6	6
K13002: wbyL; glycosyltransferase	1	1	1	1	1
K03587: ftsI; cell division protein FtsI (penicillin-binding protein 3)	8	8	8	8	8
K00695: SUS; sucrose synthase	2	2	2	2	2
K03817: rimL; ribosomal-protein-serine acetyltransferase	2	3	2	3	2
K11623: ydfH; two-component system, NarL family, sensor histidine kinase YdfH	12	21	21	21	21
K12526: lysAC; bifunctional diaminopimelate decarboxylase / aspartate kinase	32	36	36	36	36
K12524: thrA; bifunctional aspartokinase / homoserine dehydrogenase 1	60	64	64	64	64
K07769: nblS; two-component system, OmpR family, sensor histidine kinase NblS	21	27	27	27	27
K00841: patA; aminotransferase	14	14	14	14	14
K00850: pfkA, PFK; 6-phosphofructokinase 1	13	26	26	26	13
K13533: kinE; two-component system, sporulation sensor kinase E	18	18	18	18	18
K07674: narQ; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ	15	30	30	30	30
K13005: rfbV; abequosyltransferase	1	1	1	1	1
K03787: surE; 5'-nucleotidase	3	0	3	0	3
K00825: AADAT, KAT2; kynurenine/2-aminoadipate aminotransferase	8	8	8	8	8
K07717: ycbA, glnK; two-component system, sensor histidine kinase YcbA	9	9	9	9	9
K09471: puuB, ordL; gamma-glutamylputrescine oxidase	1	1	1	1	1
K01557: FAHD1; acylpyruvate hydrolase	1	1	1	1	1
K00302: soxA; sarcosine oxidase, subunit alpha	2	2	2	2	2
K11614: yufL, malK; two-component system, CitB family, sensor histidine kinase MalK	42	48	48	48	48
K07701: dcuS; two-component system, CitB family, sensor histidine kinase DcuS	57	63	63	63	63
K00694: bcsA; cellulose synthase (UDP-forming)	6	6	6	6	6
K12992: rfbN; rhamnosyltransferase	2	2	2	2	2
K07716: pleC; two-component system, cell cycle sensor histidine kinase PleC	32	32	32	32	32
K11357: divJ; two-component system, cell cycle sensor histidine kinase DivJ	36	36	36	36	36
K10772: APEX2; AP endonuclease 2	4	0	4	0	4
K01741: E4.2.99.18; DNA-(apurinic or apyrimidinic site) lyase	3	4	7	4	7
K01710: rfbB, rmlB, rffG; dTDP-glucose 4,6-dehydratase	5	5	5	5	5
K02473: wbpP; UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase	2	2	2	2	2
K11520: manS; two-component system, OmpR family, manganese sensing sensor histidine kinase	12	12	12	12	12
K07768: senX3; two-component system, OmpR family, sensor histidine kinase SenX3	45	45	45	45	45
K11637: citS; two-component system, CitB family, sensor histidine kinase CitS	24	30	30	30	30
K00244: frdA; fumarate reductase flavoprotein subunit	18	18	18	18	18
K07682: devS; two-component system, NarL family, sensor histidine kinase DevS	27	27	27	27	27
K01509: ENTPD2; adenosinetriphosphatase	2	8	8	8	10
K00018: hprA; glycerate dehydrogenase	6	6	6	6	6
K00813: aspC; aspartate aminotransferase	11	11	11	11	11
K02428: rdgB; XTP/dITP diphosphohydrolase	1	1	1	1	1
K12999: rgpI; glucosyltransferase	1	1	1	1	1
K08281: pncA; nicotinamidase/pyrazinamidase	3	3	3	3	3
K00874: kdgK; 2-dehydro-3-deoxygluconokinase	1	1	1	1	1
K12732: ARO10; phenylpyruvate decarboxylase	2	0	2	0	2
K02472: wecC; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase	8	8	8	8	8
K11629: bceS; two-component system, OmpR family, bacitracin resistance sensor histidine kinase BceS	12	12	12	12	12
K04093: pheA1; chorismate mutase	1	20	48	20	44
K04518: pheA2; prephenate dehydratase	1	19	45	19	44
K10916: cqsS; two-component system, CAI-1 autoinducer sensor kinase/phosphatase CqsS	5	5	5	5	5
K02033: ABC.PE.P; peptide/nickel transport system permease protein	6	6	6	6	6
K00931: proB; glutamate 5-kinase	4	4	4	4	4
K02510: hpaI, hpcH; 4-hydroxy-2-oxoheptanedioate aldolase	1	1	1	1	1
K00138: aldB; aldehyde dehydrogenase	2	2	2	2	2
K11383: kinB; two-component system, NtrC family, sensor histidine kinase KinB	81	81	81	81	81
K10978: aksF; methanogen homoisocitrate dehydrogenase	2	2	2	2	2
K07637: phoQ; two-component system, OmpR family, sensor histidine kinase PhoQ	5	10	10	10	10
K12996: rgpA; rhamnosyltransferase	1	1	1	1	1
K10038: glnQ; glutamine transport system ATP-binding protein	10	10	10	10	10
K10010: tcyC, yecC; L-cystine transport system ATP-binding protein	14	14	14	14	14
K10676: tfdB; 2,4-dichlorophenol 6-monooxygenase	1	1	1	1	1
K02744: agaF; N-acetylgalactosamine PTS system EIIA component	3	3	9	3	3
K02812: sorF, sorA; sorbose PTS system EIIA component	3	3	6	3	3
K10896: FANCM; fanconi anemia group M protein	4	4	4	4	4
K14635: MPH1; ATP-dependent DNA helicase MPH1	1	1	1	1	1
K10681: saeS; two-component system, OmpR family, sensor histidine kinase SaeS	54	57	57	57	57
K13003: wbtG; glycosyltransferase WbtG	1	1	1	1	1
K00239: sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	15	15	15	15	15
K12989: lpcC; mannosyltransferase	1	1	1	1	1
K01457: atzF; allophanate hydrolase	12	18	18	18	18
K14541: DUR1; urea carboxylase / allophanate hydrolase	8	8	8	8	8
K10909: luxQ; two-component system, autoinducer 2 sensor kinase/phosphatase LuxQ	25	25	25	25	25
K11148: DHRS4L2; dehydrogenase/reductase SDR family member 4-like protein 2	1	1	1	1	1
K11607: sitB; manganese/iron transport system ATP-binding protein	2	2	2	2	2
K09811: ftsX; cell division transport system permease protein	3	3	3	3	3
K03844: ALG11; alpha-1,2-mannosyltransferase	3	3	3	3	3
K00713: waaD; UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase	2	2	2	2	2
K03280: waaK, rfaK; UDP-N-acetylglucosamine:(glucosyl)LPS alpha-1,2-N-acetylglucosaminyltransferase	4	4	4	4	4
K01556: KYNU, kynU; kynureninase	1	1	1	1	1
K00387: SUOX; sulfite oxidase	3	1	8	1	8
K01738: cysK; cysteine synthase	8	8	8	8	8
K12339: cysM; S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent)	3	3	3	3	3
K10150: cysO; cysteine synthase / O-phosphoserine sulfhydrylase / cystathionine beta-synthase	6	6	6	6	6
K00930: argB; acetylglutamate kinase	7	7	7	7	7
K12657: ALDH18A1, P5CS; delta-1-pyrroline-5-carboxylate synthetase	1	1	1	1	1
K10551: alsA; D-allose transport system ATP-binding protein	14	14	14	14	14
K03380: E1.14.13.7; phenol 2-monooxygenase (NADPH)	2	2	2	2	2
K11354: cph1; two-component system, chemotaxis family, sensor kinase Cph1	3	3	3	3	3
K00926: arcC; carbamate kinase	3	3	3	3	3
