	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_044941.1_11	NC_044941.1	NC_044941.1	11	7139	7297	-1	D			YP_009702253.1	YP_009702253.1 pMGF 110-11L [African swine fever virus]	False	1.0	123.0	1.236e-33								Viral family 110 [PF01639.20]				0	False	
NC_044941.1_12	NC_044941.1	NC_044941.1	12	8070	8546	-1	D			YP_009702255.1	YP_009702255.1 pMGF 110-13L [African swine fever virus]	False	1.0	346.0	6.418e-109								Viral family 110 [PF01639.20]	VOG36421	sp|P0C9J3|1101B_ASFWA Protein MGF 110-11L; Xu	Xu	0	False	
NC_044941.1_13	NC_044941.1	NC_044941.1	13	8513	8917	-1	D			YP_009702256.1	YP_009702256.1 pMGF 110-14L [African swine fever virus]	False	1.0	281.0	1.157e-86								Viral family 110 [PF01639.20]	VOG36421	sp|P0C9J3|1101B_ASFWA Protein MGF 110-11L; Xu	Xu	0	False	
NC_044941.1_14	NC_044941.1	NC_044941.1	14	9052	10212	-1	D			YP_009702257.1	YP_009702257.1 pMGF 360-4L [African swine fever virus]	True	0.976	796.0	4.68e-260								African swine fever virus multigene family 360 protein [PF01671.19]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_15	NC_044941.1	NC_044941.1	15	10282	10392	1	E																				0	False	
NC_044941.1_16	NC_044941.1	NC_044941.1	16	11041	12204	-1	D			YP_009702258.1	YP_009702258.1 pMGF 360-6L [African swine fever virus]	True	0.984	780.0	1.065e-254								African swine fever virus multigene family 360 protein [PF01671.19]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_17	NC_044941.1	NC_044941.1	17	13067	13276	1	E			YP_009703238.1	YP_009703238.1 pX69R [African swine fever virus]	False	0.966	143.0	5.342e-40									VOG36424	sp|P0CAJ3|VF69R_ASFP4 Uncharacterized membrane protein X69R; Xu	Xu	0	False	
NC_044941.1_18	NC_044941.1	NC_044941.1	18	13463	14269	-1	E			YP_009703239.1	YP_009703239.1 pMGF 300-1L [African swine fever virus]	True	0.984	559.0	2.436e-180									VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_19	NC_044941.1	NC_044941.1	19	15222	15416	1	E			YP_009702588.1	YP_009702588.1 pX64R [African swine fever virus]	False	0.994	137.0	4.797e-38									VOG36424	sp|P0CAJ3|VF69R_ASFP4 Uncharacterized membrane protein X69R; Xu	Xu	0	False	
NC_044941.1_20	NC_044941.1	NC_044941.1	20	15643	15759	1	E																				0	False	
NC_044941.1_21	NC_044941.1	NC_044941.1	21	15997	16479	1	E			YP_009702589.1	YP_009702589.1 pMGF 300-2R [African swine fever virus]	False	0.966	327.0	2.683e-102									VOG36425	sp|P0C9K8|3002R_ASFWA Protein MGF 300-2R; Xu	Xu	0	False	
NC_044941.1_22	NC_044941.1	NC_044941.1	22	16570	17334	-1	E			YP_009702590.1	YP_009702590.1 pMGF 300-4L [African swine fever virus]	True	1.0	543.0	2.748e-175									VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_23	NC_044941.1	NC_044941.1	23	17674	18633	-1	D			YP_009702591.1	YP_009702591.1 pMGF 360-8L [African swine fever virus]	True	1.0	679.0	4.759e-221								African swine fever virus multigene family 360 protein [PF01671.19]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_24	NC_044941.1	NC_044941.1	24	18795	19847	-1	D			YP_009703787.1	YP_009703787.1 hypothetical protein F8224_gp024 [African swine fever virus E75]	True	1.0	746.0	1.513e-243								African swine fever virus multigene family 360 protein [PF01671.19]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_25	NC_044941.1	NC_044941.1	25	19956	21026	-1	D			YP_009703788.1	YP_009703788.1 hypothetical protein F8224_gp025 [African swine fever virus E75]	True	1.0	755.0	1.4280000000000002e-246								African swine fever virus multigene family 360 protein [PF01671.19]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_26	NC_044941.1	NC_044941.1	26	21052	22113	-1	D			YP_009703789.1	YP_009703789.1 hypothetical protein F8224_gp026 [African swine fever virus E75]	True	1.0	752.0	1.542e-245								African swine fever virus multigene family 360 protein [PF01671.19]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_27	NC_044941.1	NC_044941.1	27	22149	22256	-1	E																				0	False	
NC_044941.1_28	NC_044941.1	NC_044941.1	28	22320	23915	1	D			YP_009702268.1	YP_009702268.1 pMGF 505-1R [African swine fever virus]	True	0.98	1099.0	0.0								Multigene family 530 protein [PF03158.16]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_29	NC_044941.1	NC_044941.1	29	23965	25017	-1	D			YP_009702428.1	YP_009702428.1 pBA71-A350L [African swine fever virus]	True	0.981	726.0	1.446e-236								African swine fever virus multigene family 360 protein [PF01671.19]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_30	NC_044941.1	NC_044941.1	30	25189	26250	-1	D			YP_009702429.1	YP_009702429.1 pBA71-A353LB [African swine fever virus]	True	0.995	744.0	6.147e-243								African swine fever virus multigene family 360 protein [PF01671.19]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_31	NC_044941.1	NC_044941.1	31	26422	27495	-1	D			YP_009702430.1	YP_009702430.1 pBA71-A357L [African swine fever virus]	True	0.99	748.0	3.1750000000000005e-244								African swine fever virus multigene family 360 protein [PF01671.19]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_32	NC_044941.1	NC_044941.1	32	27701	29281	1	D			YP_009703261.1	YP_009703261.1 pMGF 505-2R [African swine fever virus]	True	0.957	1060.0	0.0								Multigene family 530 protein [PF03158.16]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_33	NC_044941.1	NC_044941.1	33	29368	30210	1	D			NP_042721.1	NP_042721.1 pA280R [African swine fever virus]	True	0.997	592.0	1.356e-191								Multigene family 530 protein [PF03158.16]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_34	NC_044941.1	NC_044941.1	34	30375	31892	1	D			YP_009703635.1	YP_009703635.1 MGF 505-4R [African swine fever virus OURT 88/3]	True	0.97	1033.0	0.0								Multigene family 530 protein [PF03158.16]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_35	NC_044941.1	NC_044941.1	35	31885	33417	1	D			NP_042723.1	NP_042723.1 pA498R [African swine fever virus]	True	0.969	1017.0	0.0								Multigene family 530 protein [PF03158.16]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_36	NC_044941.1	NC_044941.1	36	33615	35201	1	D			YP_009703637.1	YP_009703637.1 MGF 505-7R [African swine fever virus OURT 88/3]	True	0.952	1057.0	0.0								Multigene family 530 protein [PF03158.16]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_37	NC_044941.1	NC_044941.1	37	35322	36908	1	D			YP_009702277.1	YP_009702277.1 pMGF 505-8R [African swine fever virus]	True	0.963	1072.0	0.0								Multigene family 530 protein [PF03158.16]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_38	NC_044941.1	NC_044941.1	38	37216	38736	1	D			YP_009703639.1	YP_009703639.1 MGF 505-9R [African swine fever virus OURT 88/3]	True	0.974	1041.0	0.0								Multigene family 530 protein [PF03158.16]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_39	NC_044941.1	NC_044941.1	39	39060	40688	1	D			NP_042726.1	NP_042726.1 pA542R [African swine fever virus]	True	0.966	1104.0	0.0								Multigene family 530 protein [PF03158.16]	VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_40	NC_044941.1	NC_044941.1	40	40804	41478	-1	D			NP_042727.1	NP_042727.1 IAP homolog [African swine fever virus]	True	1.0	490.0	2.032e-157	MER0176774	I32	MER0176774 - family I32 unassigned peptidase inhibitors () [I32.UPW]#I32#{inhibitor unit: 60-106}~source AAB58393~	False	1.0	114.0	4.629e-27	IAP-like protein p27 C-terminus [PF06556.14]; Inhibitor of Apoptosis domain [PF00653.24]				0	False	P
NC_044941.1_41	NC_044941.1	NC_044941.1	41	41840	42154	1	D			NP_042728.1	NP_042728.1 DNA binding protein [African swine fever virus]	False	0.929	205.0	8.134e-61								Bacterial DNA-binding protein [PF00216.24]	VOG02563	sp|P0A3H0|DBH_GEOSE DNA-binding protein HU; Xr	Xr	0	False	V
NC_044941.1_42	NC_044941.1	NC_044941.1	42	42151	42873	-1	D			NP_042729.1	NP_042729.1 thymidylate kinase [African swine fever virus]	True	0.971	493.0	3.485e-158								Thymidylate kinase [PF02223.20]	VOG00557	sp|P24425|KITH_EHV4 Thymidine kinase; XhXr	Xr;Xh	0	False	V
NC_044941.1_43	NC_044941.1	NC_044941.1	43	43171	43626	1	E			NP_042731.1	NP_042731.1 pA151R [African swine fever virus]	False	1.0	325.0	1.157e-101									VOG36426	sp|P0CA55|VF151_ASFK5 Protein A151R; Xh	Xh	0	False	
NC_044941.1_44	NC_044941.1	NC_044941.1	44	43971	44801	1	E			NP_042732.1	NP_042732.1 pA276R [African swine fever virus]	True	0.987	577.0	1.306e-186									VOG36420	sp|P0C9R7|36018_ASFP4 Protein MGF 360-18R; Xu	Xu	0	False	
NC_044941.1_45	NC_044941.1	NC_044941.1	45	45007	45714	-1	D			YP_009703492.1	YP_009703492.1 IkB-like protein [African swine fever virus Benin 97/1]	True	1.0	515.0	8.07e-166								Ankyrin repeats (3 copies) [PF12796.10]; Ankyrin repeats (many copies) [PF13637.9]; Ankyrin repeats (many copies) [PF13857.9]				0	False	
NC_044941.1_46	NC_044941.1	NC_044941.1	46	45763	48342	-1	D			NP_042734.1	NP_042734.1 helicase [African swine fever virus]	True	0.985	1787.0	0.0								Type III restriction enzyme, res subunit [PF04851.18]; Helicase conserved C-terminal domain [PF00271.34]; SNF2-related domain [PF00176.26]	VOG36427	sp|P0C8H0|VF859_ASFK5 Probable helicase A859L; Xh	Xh	0	False	
NC_044941.1_47	NC_044941.1	NC_044941.1	47	48344	48883	-1	D			YP_009927165.1	YP_009927165.1 hypothetical protein IM014_gp075 [African swine fever virus]	True	0.986	375.0	2.386e-118								Apoptosis regulator proteins, Bcl-2 family [PF00452.22]	VOG00178	sp|F5HGJ3|ARBH_HHV8P Apoptosis regulator Bcl-2 homolog; Xp	Xp	0	False	
NC_044941.1_48	NC_044941.1	NC_044941.1	48	49127	49540	1	E			NP_042736.1	NP_042736.1 structural protein p11.5 [African swine fever virus]	False	0.992	289.0	1.7639999999999998e-89									VOG36429	sp|P0CA44|VF137_ASFK5 Structural protein A137R; XhXs	Xs;Xh	0	False	V
NC_044941.1_49	NC_044941.1	NC_044941.1	49	49573	50511	-1	E			NP_042737.1	NP_042737.1 pF317L [African swine fever virus]	True	0.982	648.0	2.2300000000000003e-210									VOG36428	sp|P0CAD9|VF317_ASFK5 Uncharacterized protein F317L; XhXs	Xs;Xh	0	False	V
NC_044941.1_50	NC_044941.1	NC_044941.1	50	50551	51534	-1	C	K00526	ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	YP_009703100.1	YP_009703100.1 ribonucleotide reductase of class Ia beta subunit [African swine fever virus]	True	0.989	685.0	6.138e-223								Ribonucleotide reductase, small chain [PF00268.24]	VOG00527	sp|P69924|RIR2_ECOLI Ribonucleoside-diphosphate reductase 1 subunit beta; Xh	Xh	0	False	MKE
NC_044941.1_51	NC_044941.1	NC_044941.1	51	51576	53912	1	C	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	NP_042739.1	NP_042739.1 ribonucleotide reductase large subunit [African swine fever virus]	True	0.967	1586.0	0.0								Ribonucleotide reductase, barrel domain [PF02867.18]; Ribonucleotide reductase, all-alpha domain [PF00317.24]	VOG00122	sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha; Xh	Xh	0	False	MKE
NC_044941.1_52	NC_044941.1	NC_044941.1	52	53969	54442	1	E			YP_009703102.1	YP_009703102.1 F165R [African swine fever virus]	False	0.981	327.0	3.186e-102									VOG36430	sp|P0CA66|VF165_ASFK5 Uncharacterized protein F165R; Xh	Xh	0	False	
NC_044941.1_53	NC_044941.1	NC_044941.1	53	54429	57596	-1	D			YP_009703103.1	YP_009703103.1 replication [African swine fever virus]	True	0.971	2157.0	0.0								Origin of replication binding protein [PF02399.18]	VOG00070	sp|Q6QGH9|OBP_BPT5 Putative replication origin binding protein; Xh	Xh	0	False	
NC_044941.1_54	NC_044941.1	NC_044941.1	54	57765	58382	1	E			YP_009703104.1	YP_009703104.1 K205R [African swine fever virus]	True	0.916	395.0	8.449e-125									VOG36431	sp|P0CA97|VF205_ASFK5 Uncharacterized protein K205R; XhXp	Xp;Xh	0	False	
NC_044941.1_55	NC_044941.1	NC_044941.1	55	58471	58707	1	E			YP_009703292.1	YP_009703292.1 pK78R [African swine fever virus]	False	0.884	146.0	6.657e-41									VOG36432	sp|P0C9X7|P10_ASFK5 Structural DNA-binding protein p10; Xs	Xs	0	False	V
NC_044941.1_56	NC_044941.1	NC_044941.1	56	58704	59294	1	C	K00857	thymidine kinase [EC:2.7.1.21]	YP_009703819.1	YP_009703819.1 hypothetical protein F8224_gp057 [African swine fever virus E75]	True	0.992	413.0	3.774000000000001e-131								Thymidine kinase [PF00265.21]				0	False	
NC_044941.1_57	NC_044941.1	NC_044941.1	57	59310	59747	1	E			YP_009703820.1	YP_009703820.1 hypothetical protein F8224_gp058 [African swine fever virus E75]	False	0.958	294.0	4.28e-91									VOG36433	sp|P0CA48|VF145_ASFK5 Uncharacterized protein K145R; XhXs	Xs;Xh	0	False	V
NC_044941.1_58	NC_044941.1	NC_044941.1	58	59780	61045	1	E			NP_042746.1	NP_042746.1 pK421R [African swine fever virus]	True	0.976	867.0	3.002e-284									VOG36434	sp|P0CAG6|VF421_ASFK5 Uncharacterized protein K421R; XhXs	Xs;Xh	0	False	V
NC_044941.1_59	NC_044941.1	NC_044941.1	59	61064	64792	-1	C	K26373	Asfivirus DNA-directed RNA polymerase RPB2 [EC:2.7.7.6]	YP_009702300.1	YP_009702300.1 RNA polymerase subunit 2 [African swine fever virus]	True	0.969	2534.0	0.0	MER0195833	N11	MER0195833 - family N11 unassigned peptide lyases () [N11.UPW]#N11#{peptidase unit: 944-1048}~source YP_003970177~	False	0.442	86.0	3.991e-15	RNA polymerase Rpb2, domain 6 [PF00562.31]; RNA polymerase beta subunit [PF04563.18]; RNA polymerase Rpb2, domain 7 [PF04560.23]; RNA polymerase Rpb2, domain 4 [PF04566.16]; RNA polymerase Rpb2, domain 2 [PF04561.17]	VOG00359	sp|P30876|RPB2_HUMAN DNA-directed RNA polymerase II subunit RPB2; XhXr	Xr;Xh	0	False	VP
NC_044941.1_60	NC_044941.1	NC_044941.1	60	64871	65125	1	E			YP_009702460.1	YP_009702460.1 pEP84R [African swine fever virus]	False	0.876	155.0	4.499e-44									VOG36436	sp|P0CAL4|VF84_ASFK5 Transmembrane protein EP84R; XhXs	Xs;Xh	0	False	V
NC_044941.1_61	NC_044941.1	NC_044941.1	61	65161	66435	1	D			YP_009702461.1	YP_009702461.1 pEP424R [African swine fever virus]	True	0.987	885.0	2.404e-290								FtsJ-like methyltransferase [PF01728.22]				0	False	
NC_044941.1_62	NC_044941.1	NC_044941.1	62	67131	67376	1	E			YP_009702462.1	YP_009702462.1 pEP152R [African swine fever virus]	False	0.987	171.0	1.235e-49									VOG36435	sp|P0CA59|VF152_ASFK5 Uncharacterized protein EP152R; Xs	Xs	0	False	V
NC_044941.1_63	NC_044941.1	NC_044941.1	63	67379	67840	1	D			YP_009702463.1	YP_009702463.1 pEP153R [African swine fever virus]	False	1.0	326.0	6.7740000000000004e-102	MER0201358	I63	MER0201358 - family I63 unassigned peptidase inhibitors () [I63.UPW]#I63#{inhibitor unit: 67-106}~source AAY44918~	False	1.0	93.0	1.137e-20	UL45 protein, carbohydrate-binding C-type lectin-like [PF05473.15]				0	False	P
NC_044941.1_64	NC_044941.1	NC_044941.1	64	67940	69037	1	E			YP_009702305.1	YP_009702305.1 T-lymphocyte CD2 receptor-like protein [African swine fever virus]	True	0.906	692.0	1.709e-224									VOG36437	sp|P0C9V6|CD2H_ASFWA CD2 homolog; XhXs	Xs;Xh	0	False	V
NC_044941.1_65	NC_044941.1	NC_044941.1	65	69146	70240	1	D			YP_009703667.1	YP_009703667.1 pEP36R [African swine fever virus OURT 88/3]	True	0.954	732.0	2.466e-238								ERCC4 domain [PF02732.18]	VOG01108	sp|P0CAF6|VF364_ASFK5 ERCC4 domain-containing protein EP364R; XhXp	Xp;Xh	0	False	
NC_044941.1_66	NC_044941.1	NC_044941.1	66	70304	73627	-1	E			YP_009702307.1	YP_009702307.1 M1107L [African swine fever virus]	True	0.969	2258.0	0.0									VOG36438	sp|P0CAB3|M1249_ASFK5 Minor capsid protein M1249L; XhXpXs	Xs;Xp;Xh	1	False	V
NC_044941.1_67	NC_044941.1	NC_044941.1	67	73720	74052	-1	E			YP_009702308.1	YP_009702308.1 M110L [African swine fever virus]	False	0.949	222.0	1.3649999999999998e-66												0	False	
NC_044941.1_68	NC_044941.1	NC_044941.1	68	74092	75438	1	E			NP_042755.1	NP_042755.1 pM448R [African swine fever virus]	True	0.992	940.0	5.165e-309												0	False	
NC_044941.1_69	NC_044941.1	NC_044941.1	69	75525	75914	1	E			NP_042756.1	NP_042756.1 pC129R [African swine fever virus]	False	0.98	269.0	1.182e-82									VOG36440	sp|P0CA36|VF129_ASFK5 Uncharacterized protein C129R; XpXs	Xs;Xp	0	False	V
NC_044941.1_70	NC_044941.1	NC_044941.1	70	75961	76215	-1	E			NP_042757.1	NP_042757.1 pC84L [African swine fever virus]	False	0.942	168.0	1.313e-48									VOG36442	REFSEQ pC84L; Xu	Xu	0	False	
NC_044941.1_71	NC_044941.1	NC_044941.1	71	76639	78792	1	E			NP_042758.1	NP_042758.1 pC717R [African swine fever virus]	True	0.974	1472.0	0.0									VOG36439	sp|P0CAJ5|VF717_ASFK5 Uncharacterized protein C717R; XhXs	Xs;Xh	0	False	V
NC_044941.1_72	NC_044941.1	NC_044941.1	72	78776	79009	-1	E			YP_009703310.1	YP_009703310.1 hypothetical protein F8221_gp093 [African swine fever virus]	False	0.931	153.0	2.914e-43												0	False	
NC_044941.1_73	NC_044941.1	NC_044941.1	73	79190	79363	1	E																				0	False	
NC_044941.1_74	NC_044941.1	NC_044941.1	74	79495	80268	-1	E			YP_009703674.1	YP_009703674.1 pC257L [African swine fever virus OURT 88/3]	True	0.989	539.0	1.016e-173									VOG36443	sp|P0CAB7|VF257_ASFK5 Transmembrane protein C257L; XhXs	Xs;Xh	0	False	V
NC_044941.1_75	NC_044941.1	NC_044941.1	75	80247	81674	-1	D			NP_042761.1	NP_042761.1 pC475L [African swine fever virus]	True	0.979	983.0	4e-323								Poly(A) polymerase catalytic subunit [PF19244.2]	VOG36444	sp|P0C9D2|PAP1_ASFM2 Putative poly(A) polymerase catalytic subunit; XhXrXs	Xs;Xr;Xh	0	False	V
NC_044941.1_76	NC_044941.1	NC_044941.1	76	81727	82674	1	E			YP_009927192.1	YP_009927192.1 hypothetical protein IM014_gp102 [African swine fever virus]	True	0.951	631.0	1.44e-204									VOG05118	sp|Q5UPT1|TF2B_MIMIV Putative transcription initiation factor IIB-like protein; Xu	Xu	0	False	
NC_044941.1_77	NC_044941.1	NC_044941.1	77	82742	83185	-1	C	K26374	Asfivirus DNA-directed RNA polymerase RPB6	NP_042763.1	NP_042763.1 RNA polymerase subunit 6 [African swine fever virus]	False	0.908	281.0	2.161e-86									VOG09732	sp|Q5UQ32|RPO6_MIMIV DNA-directed RNA polymerase subunit 6; XhXr	Xr;Xh	0	False	V
NC_044941.1_78	NC_044941.1	NC_044941.1	78	83256	83570	1	E			YP_009703317.1	YP_009703317.1 hypothetical protein F8221_gp100 [African swine fever virus]	False	0.932	205.0	4.322e-61												0	False	
NC_044941.1_79	NC_044941.1	NC_044941.1	79	83615	86503	1	D			NP_042765.1	NP_042765.1 pC962R [African swine fever virus]	True	0.982	1995.0	0.0								D5 N terminal like [PF08706.14]	VOG00138	sp|Q5UQ22|YL207_MIMIV Putative helicase L207/L206; Xh	Xh	0	False	
NC_044941.1_80	NC_044941.1	NC_044941.1	80	86454	86612	-1	E			YP_009927196.1	YP_009927196.1 hypothetical protein IM014_gp106 [African swine fever virus]	False	0.932	104.0	6.919e-27												0	False	
NC_044941.1_81	NC_044941.1	NC_044941.1	81	86641	89529	-1	D			YP_009703680.1	YP_009703680.1 Helicase [African swine fever virus OURT 88/3]	True	0.976	1980.0	0.0								DEAD/DEAH box helicase [PF00270.32]				0	False	
NC_044941.1_82	NC_044941.1	NC_044941.1	82	89489	89848	-1	D			YP_009703324.1	YP_009703324.1 pB119L [African swine fever virus]	False	1.0	264.0	4.409999999999998e-81								Erv1 / Alr family [PF04777.16]	VOG05179	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_044941.1_83	NC_044941.1	NC_044941.1	83	89829	90785	-1	D			YP_009703326.1	YP_009703326.1 pB318L [African swine fever virus]	True	0.989	666.0	1.494e-216								Polyprenyl synthetase [PF00348.20]	VOG05737	sp|P0C9E0|TPRT_ASFP4 Trans-prenyltransferase; Xh	Xh	0	False	MK
NC_044941.1_84	NC_044941.1	NC_044941.1	84	90752	92068	-1	E			YP_009703132.1	YP_009703132.1 B438L [African swine fever virus]	True	0.984	912.0	3.148e-299									VOG36447	sp|P0C9Z5|P49_ASFWA Minor capsid protein p49; XhXs	Xs;Xh	0	False	V
NC_044941.1_85	NC_044941.1	NC_044941.1	85	92081	92590	-1	E			YP_009703133.1	YP_009703133.1 B169L [African swine fever virus]	False	0.945	337.0	1.5449999999999999e-105									VOG36446	sp|P0CA70|VF169_ASFK5 Transmembrane protein B169L; XhXs	Xs;Xh	0	False	V
NC_044941.1_86	NC_044941.1	NC_044941.1	86	92607	94034	-1	E			YP_009703134.1	YP_009703134.1 B475L [African swine fever virus]	True	0.932	929.0	1.687e-304									VOG36448	sp|P0CAH7|VF475_ASFK5 Uncharacterized protein B475L; Xh	Xh	0	False	
NC_044941.1_87	NC_044941.1	NC_044941.1	87	94171	95235	-1	D			YP_009703135.1	YP_009703135.1 B354L [African swine fever virus]	True	0.974	728.0	2.633e-237								Poxvirus A32 protein [PF04665.15]	VOG36449	sp|P0C752|VF354_ASFM2 Uncharacterized protein B354L; Xh	Xh	0	False	
NC_044941.1_88	NC_044941.1	NC_044941.1	88	95246	97018	-1	E			YP_009702327.1	YP_009702327.1 pB602L [African swine fever virus]	True	0.937	1161.0	0.0									VOG36450	sp|P0CAI0|VF602_ASFK5 Protein B602L; Xh	Xh	0	False	
NC_044941.1_89	NC_044941.1	NC_044941.1	89	97073	98230	1	D			YP_009703137.1	YP_009703137.1 B385R [African swine fever virus]	True	0.999	815.0	8.797e-267								Poxvirus Late Transcription Factor VLTF3 like [PF04947.17]; A2L zinc ribbon domain [PF08792.13]	VOG02945	sp|Q98544|Y494R_PBCV1 Putative transcription factor A494R; Xu	Xu	1	False	
NC_044941.1_90	NC_044941.1	NC_044941.1	90	98328	100268	-1	D			YP_009703851.1	YP_009703851.1 hypothetical protein F8224_gp089 [African swine fever virus E75]	True	1.0	1387.0	0.0								Large eukaryotic DNA virus major capsid protein [PF04451.15]; Major capsid protein N-terminus [PF16903.8]				0	False	
