NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	Pfam	PF18072	Formylglycinamide ribonucleotide amidotransferase linker domain	134	178	7.8E-15	T	24-06-2023	IPR041609	Phosphoribosylformylglycinamidine synthase, linker domain
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	Pfam	PF02769	AIR synthase related protein, C-terminal domain	708	853	2.5E-14	T	24-06-2023	IPR010918	PurM-like, C-terminal domain
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	Pfam	PF02769	AIR synthase related protein, C-terminal domain	334	486	4.8E-27	T	24-06-2023	IPR010918	PurM-like, C-terminal domain
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	SUPERFAMILY	SSF56042	PurM C-terminal domain-like	703	875	1.5E-33	T	24-06-2023	IPR036676	PurM-like, C-terminal domain superfamily
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	SUPERFAMILY	SSF56042	PurM C-terminal domain-like	330	560	2.84E-46	T	24-06-2023	IPR036676	PurM-like, C-terminal domain superfamily
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	CDD	cd02203	PurL_repeat1	163	495	2.84576E-157	T	24-06-2023	-	-
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	MobiDBLite	mobidb-lite	consensus disorder prediction	68	90	-	T	24-06-2023	-	-
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	Gene3D	G3DSA:3.30.1330.10	-	169	322	2.4E-118	T	24-06-2023	IPR036921	PurM-like, N-terminal domain superfamily
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	CDD	cd02204	PurL_repeat2	575	844	1.1785E-100	T	24-06-2023	-	-
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	Pfam	PF00586	AIR synthase related protein, N-terminal domain	217	318	1.5E-22	T	24-06-2023	IPR016188	PurM-like, N-terminal domain
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	Pfam	PF00586	AIR synthase related protein, N-terminal domain	574	693	1.1E-24	T	24-06-2023	IPR016188	PurM-like, N-terminal domain
NC_009603.1_orf500	b5d439fd6c7d6e9e9982e59e3fd2674e	885	FunFam	G3DSA:3.30.1330.10:FF:000004	Phosphoribosylformylglycinamidine synthase subunit PurL	169	323	1.8E-73	T	24-06-2023	-	-
NC_009603.1_orf604	890d5f9572040bb574ab17005db9c0e5	574	MobiDBLite	mobidb-lite	consensus disorder prediction	532	552	-	T	24-06-2023	-	-
NC_009603.1_orf841	ba45e0a09cbb56d891af34f70099c04d	663	MobiDBLite	mobidb-lite	consensus disorder prediction	587	606	-	T	24-06-2023	-	-
NC_009603.1_orf841	ba45e0a09cbb56d891af34f70099c04d	663	MobiDBLite	mobidb-lite	consensus disorder prediction	94	116	-	T	24-06-2023	-	-
NC_009603.1_orf841	ba45e0a09cbb56d891af34f70099c04d	663	MobiDBLite	mobidb-lite	consensus disorder prediction	628	663	-	T	24-06-2023	-	-
NC_009603.1_orf841	ba45e0a09cbb56d891af34f70099c04d	663	MobiDBLite	mobidb-lite	consensus disorder prediction	49	63	-	T	24-06-2023	-	-
NC_009603.1_orf841	ba45e0a09cbb56d891af34f70099c04d	663	MobiDBLite	mobidb-lite	consensus disorder prediction	630	655	-	T	24-06-2023	-	-
NC_009603.1_orf841	ba45e0a09cbb56d891af34f70099c04d	663	MobiDBLite	mobidb-lite	consensus disorder prediction	1	121	-	T	24-06-2023	-	-
NC_009603.1_orf841	ba45e0a09cbb56d891af34f70099c04d	663	MobiDBLite	mobidb-lite	consensus disorder prediction	10	36	-	T	24-06-2023	-	-
NC_009603.1_orf841	ba45e0a09cbb56d891af34f70099c04d	663	MobiDBLite	mobidb-lite	consensus disorder prediction	397	442	-	T	24-06-2023	-	-
NC_009603.1_orf719	27f6fd7ef55f6722cb2b90640a4f03e6	736	MobiDBLite	mobidb-lite	consensus disorder prediction	164	205	-	T	24-06-2023	-	-
NC_009603.1_orf719	27f6fd7ef55f6722cb2b90640a4f03e6	736	MobiDBLite	mobidb-lite	consensus disorder prediction	67	120	-	T	24-06-2023	-	-
NC_009603.1_orf719	27f6fd7ef55f6722cb2b90640a4f03e6	736	MobiDBLite	mobidb-lite	consensus disorder prediction	101	116	-	T	24-06-2023	-	-
NC_009603.1_orf719	27f6fd7ef55f6722cb2b90640a4f03e6	736	MobiDBLite	mobidb-lite	consensus disorder prediction	164	179	-	T	24-06-2023	-	-
NC_009603.1_orf719	27f6fd7ef55f6722cb2b90640a4f03e6	736	MobiDBLite	mobidb-lite	consensus disorder prediction	1	38	-	T	24-06-2023	-	-
NC_009603.1_orf719	27f6fd7ef55f6722cb2b90640a4f03e6	736	MobiDBLite	mobidb-lite	consensus disorder prediction	20	38	-	T	24-06-2023	-	-
NC_009603.1_orf281	ff81d66c209b28e4bbef050885eeacf5	654	MobiDBLite	mobidb-lite	consensus disorder prediction	59	82	-	T	24-06-2023	-	-
NC_009603.1_orf281	ff81d66c209b28e4bbef050885eeacf5	654	MobiDBLite	mobidb-lite	consensus disorder prediction	176	191	-	T	24-06-2023	-	-
NC_009603.1_orf281	ff81d66c209b28e4bbef050885eeacf5	654	MobiDBLite	mobidb-lite	consensus disorder prediction	320	413	-	T	24-06-2023	-	-
NC_009603.1_orf281	ff81d66c209b28e4bbef050885eeacf5	654	MobiDBLite	mobidb-lite	consensus disorder prediction	260	275	-	T	24-06-2023	-	-
NC_009603.1_orf281	ff81d66c209b28e4bbef050885eeacf5	654	MobiDBLite	mobidb-lite	consensus disorder prediction	1	42	-	T	24-06-2023	-	-
NC_009603.1_orf281	ff81d66c209b28e4bbef050885eeacf5	654	MobiDBLite	mobidb-lite	consensus disorder prediction	43	58	-	T	24-06-2023	-	-
NC_009603.1_orf281	ff81d66c209b28e4bbef050885eeacf5	654	MobiDBLite	mobidb-lite	consensus disorder prediction	91	175	-	T	24-06-2023	-	-
NC_009603.1_orf281	ff81d66c209b28e4bbef050885eeacf5	654	MobiDBLite	mobidb-lite	consensus disorder prediction	1	569	-	T	24-06-2023	-	-
NC_009603.1_orf281	ff81d66c209b28e4bbef050885eeacf5	654	MobiDBLite	mobidb-lite	consensus disorder prediction	192	259	-	T	24-06-2023	-	-
NC_009603.1_orf281	ff81d66c209b28e4bbef050885eeacf5	654	MobiDBLite	mobidb-lite	consensus disorder prediction	496	569	-	T	24-06-2023	-	-
NC_009603.1_orf281	ff81d66c209b28e4bbef050885eeacf5	654	MobiDBLite	mobidb-lite	consensus disorder prediction	425	474	-	T	24-06-2023	-	-
NC_009603.1_orf280	0ce2bae237c37d7029a25537efa9c595	1029	Coils	Coil	Coil	162	182	-	T	24-06-2023	-	-
NC_009603.1_orf280	0ce2bae237c37d7029a25537efa9c595	1029	MobiDBLite	mobidb-lite	consensus disorder prediction	992	1029	-	T	24-06-2023	-	-
NC_009603.1_orf280	0ce2bae237c37d7029a25537efa9c595	1029	TIGRFAM	TIGR02675	tape_meas_nterm: tape measure domain	471	541	1.4E-7	T	24-06-2023	IPR013491	Tape measure protein N-terminal
NC_009603.1_orf280	0ce2bae237c37d7029a25537efa9c595	1029	MobiDBLite	mobidb-lite	consensus disorder prediction	992	1016	-	T	24-06-2023	-	-
NC_009603.1_orf280	0ce2bae237c37d7029a25537efa9c595	1029	Pfam	PF20155	Tape measure protein	401	571	6.2E-14	T	24-06-2023	IPR013491	Tape measure protein N-terminal
NC_009603.1_orf207	fa61a598a30980bdab53e8b59a18bc26	576	MobiDBLite	mobidb-lite	consensus disorder prediction	549	563	-	T	24-06-2023	-	-
NC_009603.1_orf207	fa61a598a30980bdab53e8b59a18bc26	576	MobiDBLite	mobidb-lite	consensus disorder prediction	395	433	-	T	24-06-2023	-	-
NC_009603.1_orf207	fa61a598a30980bdab53e8b59a18bc26	576	MobiDBLite	mobidb-lite	consensus disorder prediction	290	446	-	T	24-06-2023	-	-
NC_009603.1_orf207	fa61a598a30980bdab53e8b59a18bc26	576	MobiDBLite	mobidb-lite	consensus disorder prediction	290	313	-	T	24-06-2023	-	-
NC_009603.1_orf207	fa61a598a30980bdab53e8b59a18bc26	576	MobiDBLite	mobidb-lite	consensus disorder prediction	367	382	-	T	24-06-2023	-	-
NC_009603.1_orf207	fa61a598a30980bdab53e8b59a18bc26	576	MobiDBLite	mobidb-lite	consensus disorder prediction	60	99	-	T	24-06-2023	-	-
NC_009603.1_orf207	fa61a598a30980bdab53e8b59a18bc26	576	MobiDBLite	mobidb-lite	consensus disorder prediction	339	353	-	T	24-06-2023	-	-
NC_009603.1_orf207	fa61a598a30980bdab53e8b59a18bc26	576	MobiDBLite	mobidb-lite	consensus disorder prediction	1	52	-	T	24-06-2023	-	-
NC_009603.1_orf207	fa61a598a30980bdab53e8b59a18bc26	576	MobiDBLite	mobidb-lite	consensus disorder prediction	465	576	-	T	24-06-2023	-	-
NC_009603.1_orf207	fa61a598a30980bdab53e8b59a18bc26	576	MobiDBLite	mobidb-lite	consensus disorder prediction	1	109	-	T	24-06-2023	-	-
NC_009603.1_orf301	7badb442ec36ce6fb32e21a20b7bfcea	625	MobiDBLite	mobidb-lite	consensus disorder prediction	196	251	-	T	24-06-2023	-	-
