	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
KC292026_KC292026.1_49	KC292026	KC292026.1	49	40035	40451	-1	D										LAGLIDADG DNA endonuclease family [PF03161.16]	0
KC292026_KC292026.1_50	KC292026	KC292026.1	50	41136	41585	-1	E											0
KC292026_KC292026.1_51	KC292026	KC292026.1	51	41582	41788	-1	E											0
KC292026_KC292026.1_52	KC292026	KC292026.1	52	41792	42220	-1	E											0
KC292026_KC292026.1_53	KC292026	KC292026.1	53	42353	42607	-1	E											0
KC292026_KC292026.1_54	KC292026	KC292026.1	54	42885	43208	-1	E											0
KC292026_KC292026.1_55	KC292026	KC292026.1	55	43249	43431	-1	E											0
KC292026_KC292026.1_56	KC292026	KC292026.1	56	43406	43648	-1	E											0
KC292026_KC292026.1_57	KC292026	KC292026.1	57	43645	44151	-1	D										5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C) [PF06941.15]	0
KC292026_KC292026.1_58	KC292026	KC292026.1	58	44129	44374	-1	E											0
KC292026_KC292026.1_59	KC292026	KC292026.1	59	44371	44673	-1	E											0
KC292026_KC292026.1_60	KC292026	KC292026.1	60	44675	44770	-1	E											0
KC292026_KC292026.1_61	KC292026	KC292026.1	61	44841	45401	-1	E											0
KC292026_KC292026.1_62	KC292026	KC292026.1	62	45900	46415	-1	E											0
KC292026_KC292026.1_63	KC292026	KC292026.1	63	46465	46707	-1	E											0
KC292026_KC292026.1_64	KC292026	KC292026.1	64	46894	47412	-1	E											0
KC292026_KC292026.1_65	KC292026	KC292026.1	65	49346	49759	-1	E											1
KC292026_KC292026.1_66	KC292026	KC292026.1	66	50742	50951	-1	E											0
KC292026_KC292026.1_67	KC292026	KC292026.1	67	50948	51316	-1	E											0
KC292026_KC292026.1_68	KC292026	KC292026.1	68	51342	51551	-1	E											0
KC292026_KC292026.1_69	KC292026	KC292026.1	69	51714	52079	-1	E											1
KC292026_KC292026.1_70	KC292026	KC292026.1	70	52408	52998	-1	D										LAGLIDADG endonuclease [PF00961.22]	0
KC292026_KC292026.1_71	KC292026	KC292026.1	71	53450	54052	-1	C	K00943	dTMP kinase [EC:2.7.4.9]								Thymidylate kinase [PF02223.20]; Deoxynucleoside kinase [PF01712.22]	0
KC292026_KC292026.1_72	KC292026	KC292026.1	72	54188	54736	1	C	K01494	dCTP deaminase [EC:3.5.4.13]								dUTPase [PF00692.22]; 2'-deoxycytidine 5'-triphosphate deaminase (DCD) [PF06559.14]	0
KC292026_KC292026.1_73	KC292026	KC292026.1	73	54883	57198	1	C	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]								Ribonucleotide reductase, barrel domain [PF02867.18]; Ribonucleotide reductase, all-alpha domain [PF00317.24]	0
KC292026_KC292026.1_74	KC292026	KC292026.1	74	57198	57290	1	E											0
KC292026_KC292026.1_75	KC292026	KC292026.1	75	57662	58156	-1	D										Protein of unknown function, DUF488 [PF04343.16]	0
KC292026_KC292026.1_76	KC292026	KC292026.1	76	58197	58607	-1	E											0
KC292026_KC292026.1_77	KC292026	KC292026.1	77	58604	58843	-1	E											0
KC292026_KC292026.1_78	KC292026	KC292026.1	78	58840	59145	-1	E											0
KC292026_KC292026.1_79	KC292026	KC292026.1	79	59145	59360	-1	E											0
KC292026_KC292026.1_80	KC292026	KC292026.1	80	59357	60160	-1	C	K03465	thymidylate synthase (FAD) [EC:2.1.1.148]								Thymidylate synthase complementing protein [PF02511.18]	0
KC292026_KC292026.1_81	KC292026	KC292026.1	81	60157	60420	-1	E											0
KC292026_KC292026.1_82	KC292026	KC292026.1	82	60459	60698	-1	E											0
KC292026_KC292026.1_83	KC292026	KC292026.1	83	60727	60999	-1	E											0
KC292026_KC292026.1_84	KC292026	KC292026.1	84	60996	61343	-1	D										Helix-hairpin-helix domain [PF14520.9]	0
KC292026_KC292026.1_85	KC292026	KC292026.1	85	61383	61817	-1	E											0
KC292026_KC292026.1_86	KC292026	KC292026.1	86	61948	62277	-1	E											0
KC292026_KC292026.1_87	KC292026	KC292026.1	87	62277	64100	-1	E											0
KC292026_KC292026.1_88	KC292026	KC292026.1	88	64131	64574	-1	E											0
KC292026_KC292026.1_89	KC292026	KC292026.1	89	64543	65424	-1	C	K07074	uncharacterized protein								RNA repair pathway DNA polymerase beta family [PF10127.12]	0
KC292026_KC292026.1_90	KC292026	KC292026.1	90	65450	65752	-1	E											0
KC292026_KC292026.1_91	KC292026	KC292026.1	91	65749	66069	-1	E											0
KC292026_KC292026.1_92	KC292026	KC292026.1	92	66069	67598	-1	C	K11089	60 kDa SS-A/Ro ribonucleoprotein								TROVE domain [PF05731.14]	0
KC292026_KC292026.1_93	KC292026	KC292026.1	93	67871	68227	-1	E											0
KC292026_KC292026.1_94	KC292026	KC292026.1	94	68447	68749	-1	E											0
KC292026_KC292026.1_95	KC292026	KC292026.1	95	68827	69825	-1	E											0
KC292026_KC292026.1_96	KC292026	KC292026.1	96	70053	70199	-1	E											0
KC292026_KC292026.1_97	KC292026	KC292026.1	97	70671	71060	-1	E											0
KC292026_KC292026.1_98	KC292026	KC292026.1	98	71053	71202	-1	E											0
KC292026_KC292026.1_99	KC292026	KC292026.1	99	71304	71675	-1	D										Isochorismatase family [PF00857.23]	0
KC292026_KC292026.1_100	KC292026	KC292026.1	100	71725	73116	-1	C	K14415	tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase) [EC:6.5.1.8]								tRNA-splicing ligase RtcB [PF01139.20]	0
KC292026_KC292026.1_101	KC292026	KC292026.1	101	73235	73597	-1	D										YspA, cpYpsA-related SLOG family [PF10686.12]	0
KC292026_KC292026.1_102	KC292026	KC292026.1	102	73742	74392	-1	D										HD domain [PF01966.25]	0
KC292026_KC292026.1_103	KC292026	KC292026.1	103	74537	75004	-1	D										Reverse transcriptase-like [PF13456.9]	0
KC292026_KC292026.1_104	KC292026	KC292026.1	104	75001	75240	-1	E											0
KC292026_KC292026.1_105	KC292026	KC292026.1	105	75237	75545	-1	E											0
KC292026_KC292026.1_106	KC292026	KC292026.1	106	75902	76225	-1	E											0
KC292026_KC292026.1_107	KC292026	KC292026.1	107	76185	76457	-1	E											0
KC292026_KC292026.1_108	KC292026	KC292026.1	108	76454	76795	-1	E											0
KC292026_KC292026.1_109	KC292026	KC292026.1	109	76804	77082	-1	E											0
KC292026_KC292026.1_110	KC292026	KC292026.1	110	77073	77579	-1	E											0
KC292026_KC292026.1_111	KC292026	KC292026.1	111	77582	77812	-1	E											0
KC292026_KC292026.1_112	KC292026	KC292026.1	112	77809	78018	-1	E											0
KC292026_KC292026.1_113	KC292026	KC292026.1	113	77981	78295	-1	E											0
KC292026_KC292026.1_114	KC292026	KC292026.1	114	78292	78630	-1	E											0
KC292026_KC292026.1_115	KC292026	KC292026.1	115	78701	78838	-1	E											0
KC292026_KC292026.1_116	KC292026	KC292026.1	116	78878	79201	-1	E											0
KC292026_KC292026.1_117	KC292026	KC292026.1	117	79230	79553	-1	E											0
KC292026_KC292026.1_118	KC292026	KC292026.1	118	79550	79906	-1	E											0
KC292026_KC292026.1_119	KC292026	KC292026.1	119	79908	80075	-1	E											0
KC292026_KC292026.1_120	KC292026	KC292026.1	120	80360	80890	-1	E											0
KC292026_KC292026.1_121	KC292026	KC292026.1	121	80890	81093	-1	E											0
KC292026_KC292026.1_122	KC292026	KC292026.1	122	81090	81323	-1	E											0
KC292026_KC292026.1_123	KC292026	KC292026.1	123	81310	81891	-1	D										LAGLIDADG DNA endonuclease family [PF03161.16]	0
KC292026_KC292026.1_124	KC292026	KC292026.1	124	81995	82777	-1	E											0
KC292026_KC292026.1_125	KC292026	KC292026.1	125	82809	83153	-1	E											0
KC292026_KC292026.1_126	KC292026	KC292026.1	126	83193	83507	-1	E											0
KC292026_KC292026.1_127	KC292026	KC292026.1	127	83447	83605	-1	E											0
KC292026_KC292026.1_128	KC292026	KC292026.1	128	83602	84255	-1	E											0
KC292026_KC292026.1_129	KC292026	KC292026.1	129	84276	85865	-1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF13589.9]	0
KC292026_KC292026.1_130	KC292026	KC292026.1	130	85894	86187	-1	E											0
KC292026_KC292026.1_131	KC292026	KC292026.1	131	86212	86478	-1	D										Thioredoxin [PF00085.23]; Thioredoxin [PF14595.9]; Redoxin [PF08534.13]; Thioredoxin domain [PF13192.9]	0
KC292026_KC292026.1_132	KC292026	KC292026.1	132	86505	86810	-1	E											0
KC292026_KC292026.1_133	KC292026	KC292026.1	133	86836	87066	-1	E											0
KC292026_KC292026.1_134	KC292026	KC292026.1	134	87152	87367	-1	E											0
KC292026_KC292026.1_135	KC292026	KC292026.1	135	87384	87668	-1	E											0
KC292026_KC292026.1_136	KC292026	KC292026.1	136	87694	88098	-1	D										Dual specificity phosphatase, catalytic domain [PF00782.23]	0
KC292026_KC292026.1_137	KC292026	KC292026.1	137	88138	89001	-1	E											0
KC292026_KC292026.1_138	KC292026	KC292026.1	138	89040	89633	-1	D										Restriction endonuclease EcoRV [PF09233.14]	0
KC292026_KC292026.1_139	KC292026	KC292026.1	139	89623	89928	-1	E											0
KC292026_KC292026.1_140	KC292026	KC292026.1	140	89925	90212	-1	E											0
KC292026_KC292026.1_141	KC292026	KC292026.1	141	90244	90534	-1	E											0
KC292026_KC292026.1_142	KC292026	KC292026.1	142	90565	90795	-1	E											0
KC292026_KC292026.1_143	KC292026	KC292026.1	143	90971	91315	-1	E											0
KC292026_KC292026.1_144	KC292026	KC292026.1	144	91513	91887	-1	D										PD-(D/E)XK nuclease superfamily [PF13366.9]	0
KC292026_KC292026.1_145	KC292026	KC292026.1	145	92332	92568	1	E											0
KC292026_KC292026.1_146	KC292026	KC292026.1	146	92601	92933	1	E											0
KC292026_KC292026.1_147	KC292026	KC292026.1	147	92930	93205	1	E											0
KC292026_KC292026.1_148	KC292026	KC292026.1	148	93237	93554	1	E											0
KC292026_KC292026.1_149	KC292026	KC292026.1	149	93602	93928	1	E											0
KC292026_KC292026.1_150	KC292026	KC292026.1	150	93946	95073	1	C	K04566	lysyl-tRNA synthetase, class I [EC:6.1.1.6]								tRNA synthetases class I (K) [PF01921.21]	0
KC292026_KC292026.1_151	KC292026	KC292026.1	151	95098	95406	1	E											0
KC292026_KC292026.1_152	KC292026	KC292026.1	152	95390	95665	1	E											0
KC292026_KC292026.1_153	KC292026	KC292026.1	153	95658	95888	1	E											0
KC292026_KC292026.1_154	KC292026	KC292026.1	154	95869	96576	1	D										ATP-grasp domain, R2K clade family 3 [PF14243.9]	0
KC292026_KC292026.1_155	KC292026	KC292026.1	155	96766	99378	1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF13589.9]	0
KC292026_KC292026.1_156	KC292026	KC292026.1	156	99663	100172	1	D										LAGLIDADG DNA endonuclease family [PF03161.16]	0
KC292026_KC292026.1_157	KC292026	KC292026.1	157	100220	100471	1	E											0
KC292026_KC292026.1_158	KC292026	KC292026.1	158	100513	101529	1	E											0
KC292026_KC292026.1_159	KC292026	KC292026.1	159	101568	102287	1	D										Calcineurin-like phosphoesterase superfamily domain [PF12850.10]; Calcineurin-like phosphoesterase [PF00149.31]	0
KC292026_KC292026.1_160	KC292026	KC292026.1	160	102284	102541	1	E											0
KC292026_KC292026.1_161	KC292026	KC292026.1	161	102531	102803	1	E											0
KC292026_KC292026.1_162	KC292026	KC292026.1	162	102865	103083	1	E											0
KC292026_KC292026.1_163	KC292026	KC292026.1	163	103094	103816	1	E											0
KC292026_KC292026.1_164	KC292026	KC292026.1	164	103818	104048	1	E											0
KC292026_KC292026.1_165	KC292026	KC292026.1	165	104102	104284	1	E											0
KC292026_KC292026.1_166	KC292026	KC292026.1	166	104316	104990	1	E											0
KC292026_KC292026.1_167	KC292026	KC292026.1	167	104990	105136	1	E											0
KC292026_KC292026.1_168	KC292026	KC292026.1	168	105172	106134	1	D										RNA ligase [PF09414.13]	0
KC292026_KC292026.1_169	KC292026	KC292026.1	169	106131	106391	1	E											0
KC292026_KC292026.1_170	KC292026	KC292026.1	170	106396	106815	1	E											0
KC292026_KC292026.1_171	KC292026	KC292026.1	171	106819	107265	1	E											0
KC292026_KC292026.1_172	KC292026	KC292026.1	172	107844	109271	1	D										ATP dependent DNA ligase domain [PF01068.24]; DNA ligase OB-like domain [PF14743.9]	0
KC292026_KC292026.1_173	KC292026	KC292026.1	173	109307	109486	1	E											0
KC292026_KC292026.1_174	KC292026	KC292026.1	174	109483	109617	1	E											0
KC292026_KC292026.1_175	KC292026	KC292026.1	175	109751	110017	1	E											0
KC292026_KC292026.1_176	KC292026	KC292026.1	176	110282	110683	1	E											0
KC292026_KC292026.1_177	KC292026	KC292026.1	177	110692	111594	1	D			MER0807874	I87	MER0807874 - family I87 unassigned peptidase inhibitors () [I87.UPW]#I87#{inhibitor unit: 26-260}~source R4TGX4~	True	0.89	437.0	2.037e-137	SPFH domain / Band 7 family [PF01145.28]	0
KC292026_KC292026.1_178	KC292026	KC292026.1	178	111681	111845	1	E											0
KC292026_KC292026.1_179	KC292026	KC292026.1	179	111881	112333	1	E											0
KC292026_KC292026.1_180	KC292026	KC292026.1	180	112330	112491	1	E											0
KC292026_KC292026.1_181	KC292026	KC292026.1	181	112501	113565	1	D										RNA ligase [PF09414.13]	1
KC292026_KC292026.1_182	KC292026	KC292026.1	182	113585	113716	1	E											0
KC292026_KC292026.1_183	KC292026	KC292026.1	183	113713	113985	1	E											0
KC292026_KC292026.1_184	KC292026	KC292026.1	184	113989	114933	1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]								C-5 cytosine-specific DNA methylase [PF00145.20]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13649.9]	0
KC292026_KC292026.1_185	KC292026	KC292026.1	185	114998	115144	1	E											0
KC292026_KC292026.1_186	KC292026	KC292026.1	186	115147	115398	1	E											0
KC292026_KC292026.1_187	KC292026	KC292026.1	187	115395	115589	1	E											0
KC292026_KC292026.1_188	KC292026	KC292026.1	188	115610	116092	1	E											0
KC292026_KC292026.1_189	KC292026	KC292026.1	189	116148	116897	1	D										SprT-like family [PF10263.12]	0
KC292026_KC292026.1_190	KC292026	KC292026.1	190	116873	118210	1	D										Poly A polymerase head domain [PF01743.23]; Probable RNA and SrmB- binding site of polymerase A [PF12627.10]	0
KC292026_KC292026.1_191	KC292026	KC292026.1	191	118232	118465	1	E											0
KC292026_KC292026.1_192	KC292026	KC292026.1	192	118475	119101	1	E											0
KC292026_KC292026.1_193	KC292026	KC292026.1	193	119218	119862	1	E											1
KC292026_KC292026.1_194	KC292026	KC292026.1	194	119884	120456	1	E											0
KC292026_KC292026.1_195	KC292026	KC292026.1	195	120606	121022	1	D										Helix-hairpin-helix domain [PF14520.9]	0
KC292026_KC292026.1_196	KC292026	KC292026.1	196	121047	121265	1	E											0
KC292026_KC292026.1_197	KC292026	KC292026.1	197	121266	121499	1	E											0
KC292026_KC292026.1_198	KC292026	KC292026.1	198	121525	121788	1	E											0
KC292026_KC292026.1_199	KC292026	KC292026.1	199	121862	122053	1	E											0
KC292026_KC292026.1_200	KC292026	KC292026.1	200	122050	122274	1	E											0
KC292026_KC292026.1_201	KC292026	KC292026.1	201	122309	122551	1	E											0
KC292026_KC292026.1_202	KC292026	KC292026.1	202	122551	122820	1	E											0
KC292026_KC292026.1_203	KC292026	KC292026.1	203	122855	123091	1	E											0
KC292026_KC292026.1_204	KC292026	KC292026.1	204	123091	123330	1	E											0
KC292026_KC292026.1_205	KC292026	KC292026.1	205	123361	123825	1	E											0
KC292026_KC292026.1_206	KC292026	KC292026.1	206	123864	124262	1	E											0
KC292026_KC292026.1_207	KC292026	KC292026.1	207	124528	124704	1	E											0
KC292026_KC292026.1_208	KC292026	KC292026.1	208	124704	124985	1	E											0
KC292026_KC292026.1_209	KC292026	KC292026.1	209	124927	125205	1	E											0
KC292026_KC292026.1_210	KC292026	KC292026.1	210	125230	125382	1	E											0
KC292026_KC292026.1_211	KC292026	KC292026.1	211	125445	125654	1	E											0
KC292026_KC292026.1_212	KC292026	KC292026.1	212	126438	126656	1	E											0
KC292026_KC292026.1_213	KC292026	KC292026.1	213	126695	126976	1	E											0
KC292026_KC292026.1_214	KC292026	KC292026.1	214	127022	127396	1	E											0
KC292026_KC292026.1_215	KC292026	KC292026.1	215	127533	127754	1	E											0
KC292026_KC292026.1_216	KC292026	KC292026.1	216	128372	128620	-1	E											0
KC292026_KC292026.1_217	KC292026	KC292026.1	217	128755	129183	-1	E											0
KC292026_KC292026.1_218	KC292026	KC292026.1	218	129226	129468	-1	E											0
KC292026_KC292026.1_219	KC292026	KC292026.1	219	129604	130365	-1	E											0
KC292026_KC292026.1_220	KC292026	KC292026.1	220	130462	130713	-1	E											0
KC292026_KC292026.1_221	KC292026	KC292026.1	221	130739	131074	-1	E											0
KC292026_KC292026.1_222	KC292026	KC292026.1	222	131421	131786	-1	E											0
KC292026_KC292026.1_223	KC292026	KC292026.1	223	132045	132311	-1	E											0
KC292026_KC292026.1_224	KC292026	KC292026.1	224	132449	132754	-1	E											0
KC292026_KC292026.1_225	KC292026	KC292026.1	225	132889	133302	-1	E											0
KC292026_KC292026.1_226	KC292026	KC292026.1	226	133597	133920	-1	E											0
KC292026_KC292026.1_227	KC292026	KC292026.1	227	134032	134178	-1	E											0
KC292026_KC292026.1_228	KC292026	KC292026.1	228	134175	134513	-1	E											0
KC292026_KC292026.1_229	KC292026	KC292026.1	229	134655	134870	-1	E											0
KC292026_KC292026.1_230	KC292026	KC292026.1	230	135168	135851	-1	D										HhH-GPD superfamily base excision DNA repair protein [PF00730.28]	0
KC292026_KC292026.1_231	KC292026	KC292026.1	231	135988	136401	-1	E											0
KC292026_KC292026.1_232	KC292026	KC292026.1	232	136567	137034	-1	E											0
KC292026_KC292026.1_233	KC292026	KC292026.1	233	137166	137558	-1	E											0
KC292026_KC292026.1_234	KC292026	KC292026.1	234	138080	138298	-1	E											0
KC292026_KC292026.1_235	KC292026	KC292026.1	235	138450	138887	-1	E											0
KC292026_KC292026.1_236	KC292026	KC292026.1	236	139137	139343	-1	E											0
KC292026_KC292026.1_237	KC292026	KC292026.1	237	139464	139673	-1	E											0
KC292026_KC292026.1_238	KC292026	KC292026.1	238	139834	140121	-1	E											0
KC292026_KC292026.1_239	KC292026	KC292026.1	239	140281	140463	-1	E											0
KC292026_KC292026.1_240	KC292026	KC292026.1	240	140592	140822	-1	E											0
KC292026_KC292026.1_241	KC292026	KC292026.1	241	140988	141239	-1	E											0
KC292026_KC292026.1_242	KC292026	KC292026.1	242	141425	141667	-1	E											0
KC292026_KC292026.1_243	KC292026	KC292026.1	243	142387	143091	-1	E											0
