L1	L2	L3	KO	Function	EC	Count
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343	1
Metabolism	Metabolism of other amino acids	Glutathione metabolism [PATH:ko00480]	K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343	1
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00042	garR, glxR; 2-hydroxy-3-oxopropionate reductase	1.1.1.60	1
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00046	idnO; gluconate 5-dehydrogenase	1.1.1.69	1
Metabolism	Carbohydrate metabolism	C5-Branched dibasic acid metabolism [PATH:ko00660]	K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase	1.1.1.85	1
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase	1.1.1.85	1
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K00053	ilvC; ketol-acid reductoisomerase	1.1.1.86	1
Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis [PATH:ko00770]	K00053	ilvC; ketol-acid reductoisomerase	1.1.1.86	1
Metabolism	Energy metabolism	Methane metabolism [PATH:ko00680]	K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	1.1.1.95 1.1.1.399	1
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	1.1.1.95 1.1.1.399	1
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	1.1.1.95 1.1.1.399	1
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	1.1.1.95 1.1.1.399	1
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00098	idnD; L-idonate 5-dehydrogenase	1.1.1.264	1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00116	mqo; malate dehydrogenase (quinone)	1.1.5.4	1
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00116	mqo; malate dehydrogenase (quinone)	1.1.5.4	1
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
Metabolism	Amino acid metabolism	Lysine biosynthesis [PATH:ko00300]	K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis [PATH:ko00261]	K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
Metabolism	Amino acid metabolism	Lysine degradation [PATH:ko00310]	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
Metabolism	Amino acid metabolism	Tyrosine metabolism [PATH:ko00350]	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism [PATH:ko00760]	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00221	E4.99.1.2; alkylmercury lyase	4.99.1.2	1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	1.3.5.1 1.3.5.4	1
Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	1.3.5.1 1.3.5.4	1
Metabolism	Energy metabolism	Oxidative phosphorylation [PATH:ko00190]	K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	1.3.5.1 1.3.5.4	1
Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes [PATH:ko00720]	K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	1.3.5.1 1.3.5.4	1
Human Diseases	Infectious disease: bacterial	Legionellosis [PATH:ko05134]	K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	1.3.5.1 1.3.5.4	1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	1.3.5.1 1.3.5.4	1
Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	1.3.5.1 1.3.5.4	1
Metabolism	Energy metabolism	Oxidative phosphorylation [PATH:ko00190]	K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	1.3.5.1 1.3.5.4	1
Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes [PATH:ko00720]	K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	1.3.5.1 1.3.5.4	1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit		1
Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit		1
Metabolism	Energy metabolism	Oxidative phosphorylation [PATH:ko00190]	K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit		1
Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes [PATH:ko00720]	K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit		1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit		1
Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit		1
Metabolism	Energy metabolism	Oxidative phosphorylation [PATH:ko00190]	K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit		1
Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes [PATH:ko00720]	K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit		1
Metabolism	Lipid metabolism	Fatty acid degradation [PATH:ko00071]	K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase	1.3.8.6	1
Metabolism	Amino acid metabolism	Lysine degradation [PATH:ko00310]	K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase	1.3.8.6	1
Metabolism	Amino acid metabolism	Tryptophan metabolism [PATH:ko00380]	K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase	1.3.8.6	1
Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation [PATH:ko00362]	K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase	1.3.8.6	1
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00344	qor, CRYZ; NADPH:quinone reductase	1.6.5.5	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	1
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	1
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	1
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	1
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	1
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	1
Metabolism	Amino acid metabolism	Lysine degradation [PATH:ko00310]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	1
Metabolism	Amino acid metabolism	Tryptophan metabolism [PATH:ko00380]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	1
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	1
Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation [PATH:ko00362]	K00446	dmpB, xylE; catechol 2,3-dioxygenase	1.13.11.2	1
Metabolism	Xenobiotics biodegradation and metabolism	Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]	K00446	dmpB, xylE; catechol 2,3-dioxygenase	1.13.11.2	1
Metabolism	Xenobiotics biodegradation and metabolism	Xylene degradation [PATH:ko00622]	K00446	dmpB, xylE; catechol 2,3-dioxygenase	1.13.11.2	1
Metabolism	Xenobiotics biodegradation and metabolism	Styrene degradation [PATH:ko00643]	K00446	dmpB, xylE; catechol 2,3-dioxygenase	1.13.11.2	1
Metabolism	Energy metabolism	Nitrogen metabolism [PATH:ko00910]	K00459	ncd2, npd; nitronate monooxygenase	1.13.12.16	1
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00520	merA; mercuric reductase	1.16.1.1	1
Brite Hierarchies	Protein families: metabolism	Lipid biosynthesis proteins [BR:ko01004]	K00666	K00666; fatty-acyl-CoA synthase	6.2.1.-	1
Metabolism	Nucleotide metabolism	Pyrimidine metabolism [PATH:ko00240]	K00758	deoA, TYMP; thymidine phosphorylase	2.4.2.4	1
Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes [PATH:ko00983]	K00758	deoA, TYMP; thymidine phosphorylase	2.4.2.4	1
Human Diseases	Cancer: specific types	Bladder cancer [PATH:ko05219]	K00758	deoA, TYMP; thymidine phosphorylase	2.4.2.4	1
Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism [PATH:ko00740]	K00793	ribE, RIB5; riboflavin synthase	2.5.1.9	1
Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism [PATH:ko00740]	K00794	ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase	2.5.1.78	1
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase	2.6.1.42	1
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase	2.6.1.42	1
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase	2.6.1.42	1
Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis [PATH:ko00770]	K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase	2.6.1.42	1
Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis [PATH:ko00966]	K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase	2.6.1.42	1
Brite Hierarchies	Protein families: metabolism	Amino acid related enzymes [BR:ko01007]	K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase	2.6.1.42	1
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:ko00051]	K00847	E2.7.1.4, scrK; fructokinase	2.7.1.4	1
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:ko00500]	K00847	E2.7.1.4, scrK; fructokinase	2.7.1.4	1
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K00847	E2.7.1.4, scrK; fructokinase	2.7.1.4	1
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	K00851	idnK, gntK; gluconokinase	2.7.1.12	1
Metabolism	Nucleotide metabolism	Pyrimidine metabolism [PATH:ko00240]	K00857	tdk, TK; thymidine kinase	2.7.1.21	1
Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes [PATH:ko00983]	K00857	tdk, TK; thymidine kinase	2.7.1.21	1
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:ko00051]	K00882	fruK; 1-phosphofructokinase	2.7.1.56	1
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS) [PATH:ko02060]	K00882	fruK; 1-phosphofructokinase	2.7.1.56	1
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00925	ackA; acetate kinase	2.7.2.1	1
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00925	ackA; acetate kinase	2.7.2.1	1
Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes [PATH:ko00720]	K00925	ackA; acetate kinase	2.7.2.1	1
Metabolism	Energy metabolism	Methane metabolism [PATH:ko00680]	K00925	ackA; acetate kinase	2.7.2.1	1
Metabolism	Metabolism of other amino acids	Taurine and hypotaurine metabolism [PATH:ko00430]	K00925	ackA; acetate kinase	2.7.2.1	1
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00928	lysC; aspartate kinase	2.7.2.4	1
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00928	lysC; aspartate kinase	2.7.2.4	1
Metabolism	Amino acid metabolism	Lysine biosynthesis [PATH:ko00300]	K00928	lysC; aspartate kinase	2.7.2.4	1
Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis [PATH:ko00261]	K00928	lysC; aspartate kinase	2.7.2.4	1
Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K00936	pdtaS; two-component system, sensor histidine kinase PdtaS	2.7.13.3	1
Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K00936	pdtaS; two-component system, sensor histidine kinase PdtaS	2.7.13.3	1
Metabolism	Nucleotide metabolism	Pyrimidine metabolism [PATH:ko00240]	K00943	tmk, DTYMK; dTMP kinase	2.7.4.9	1
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase	2.7.6.1	1
Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase	2.7.6.1	1
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:ko00051]	K00971	manC, cpsB; mannose-1-phosphate guanylyltransferase	2.7.7.13	1
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K00971	manC, cpsB; mannose-1-phosphate guanylyltransferase	2.7.7.13	1
Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K00971	manC, cpsB; mannose-1-phosphate guanylyltransferase	2.7.7.13	1
Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K00973	rfbA, rmlA, rffH; glucose-1-phosphate thymidylyltransferase	2.7.7.24	1
Metabolism	Metabolism of terpenoids and polyketides	Polyketide sugar unit biosynthesis [PATH:ko00523]	K00973	rfbA, rmlA, rffH; glucose-1-phosphate thymidylyltransferase	2.7.7.24	1
Metabolism	Biosynthesis of other secondary metabolites	Streptomycin biosynthesis [PATH:ko00521]	K00973	rfbA, rmlA, rffH; glucose-1-phosphate thymidylyltransferase	2.7.7.24	1
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis [PATH:ko00525]	K00973	rfbA, rmlA, rffH; glucose-1-phosphate thymidylyltransferase	2.7.7.24	1
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K01005	tagT_U_V; polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase	2.7.8.-	1
Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation [PATH:ko00362]	K01055	pcaD; 3-oxoadipate enol-lactonase	3.1.1.24	1
Brite Hierarchies	Protein families: genetic information processing	Translation factors [BR:ko03012]	K01056	PTH1, pth, spoVC; peptidyl-tRNA hydrolase, PTH1 family	3.1.1.29	1
Genetic Information Processing	Replication and repair	Base excision repair [PATH:ko03410]	K01142	E3.1.11.2, xthA; exodeoxyribonuclease III	3.1.11.2	1
Brite Hierarchies	Protein families: genetic information processing	DNA repair and recombination proteins [BR:ko03400]	K01142	E3.1.11.2, xthA; exodeoxyribonuclease III	3.1.11.2	1
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K01251	E3.3.1.1, ahcY; adenosylhomocysteinase	3.3.1.1	1
Brite Hierarchies	Protein families: metabolism	Protein phosphatases and associated proteins [BR:ko01009]	K01251	E3.3.1.1, ahcY; adenosylhomocysteinase	3.3.1.1	1
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K01251	E3.3.1.1, ahcY; adenosylhomocysteinase	3.3.1.1	1
Metabolism	Amino acid metabolism	Arginine and proline metabolism [PATH:ko00330]	K01259	pip; proline iminopeptidase	3.4.11.5	1
Brite Hierarchies	Protein families: metabolism	Peptidases and inhibitors [BR:ko01002]	K01259	pip; proline iminopeptidase	3.4.11.5	1
Not Included in Pathway or Brite	Poorly characterized	General function prediction only	K01421	yhgE; putative membrane protein		1
Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	K01488	add, ADA; adenosine deaminase	3.5.4.4	1
Human Diseases	Immune disease	Primary immunodeficiency [PATH:ko05340]	K01488	add, ADA; adenosine deaminase	3.5.4.4	1
Metabolism	Nucleotide metabolism	Pyrimidine metabolism [PATH:ko00240]	K01489	cdd, CDA; cytidine deaminase	3.5.4.5	1
Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes [PATH:ko00983]	K01489	cdd, CDA; cytidine deaminase	3.5.4.5	1
Metabolism	Energy metabolism	Nitrogen metabolism [PATH:ko00910]	K01501	E3.5.5.1; nitrilase	3.5.5.1	1
Metabolism	Amino acid metabolism	Tryptophan metabolism [PATH:ko00380]	K01501	E3.5.5.1; nitrilase	3.5.5.1	1
Metabolism	Metabolism of other amino acids	Cyanoamino acid metabolism [PATH:ko00460]	K01501	E3.5.5.1; nitrilase	3.5.5.1	1
Metabolism	Xenobiotics biodegradation and metabolism	Aminobenzoate degradation [PATH:ko00627]	K01501	E3.5.5.1; nitrilase	3.5.5.1	1
Metabolism	Xenobiotics biodegradation and metabolism	Styrene degradation [PATH:ko00643]	K01501	E3.5.5.1; nitrilase	3.5.5.1	1
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K01534	zntA; Zn2+/Cd2+-exporting ATPase	7.2.2.12 7.2.2.21	1
Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	K01588	purE; 5-(carboxyamino)imidazole ribonucleotide mutase	5.4.99.18	1
Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	K01589	purK; 5-(carboxyamino)imidazole ribonucleotide synthase	6.3.4.18	1
Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation [PATH:ko00362]	K01607	pcaC; 4-carboxymuconolactone decarboxylase	4.1.1.44	1
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	K01621	xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase	4.1.2.9 4.1.2.22	1
Metabolism	Energy metabolism	Carbon fixation in photosynthetic organisms [PATH:ko00710]	K01621	xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase	4.1.2.9 4.1.2.22	1
Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	2.2.1.6	1
Metabolism	Carbohydrate metabolism	C5-Branched dibasic acid metabolism [PATH:ko00660]	K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	2.2.1.6	1
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	2.2.1.6	1
Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis [PATH:ko00770]	K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	2.2.1.6	1
Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K01653	E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit	2.2.1.6	1
Metabolism	Carbohydrate metabolism	C5-Branched dibasic acid metabolism [PATH:ko00660]	K01653	E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit	2.2.1.6	1
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K01653	E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit	2.2.1.6	1
Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis [PATH:ko00770]	K01653	E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit	2.2.1.6	1
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K01687	ilvD; dihydroxy-acid dehydratase	4.2.1.9	1
Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis [PATH:ko00770]	K01687	ilvD; dihydroxy-acid dehydratase	4.2.1.9	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K01689	ENO, eno; enolase	4.2.1.11	1
Metabolism	Energy metabolism	Methane metabolism [PATH:ko00680]	K01689	ENO, eno; enolase	4.2.1.11	1
Genetic Information Processing	Folding, sorting and degradation	RNA degradation [PATH:ko03018]	K01689	ENO, eno; enolase	4.2.1.11	1
Environmental Information Processing	Signal transduction	HIF-1 signaling pathway [PATH:ko04066]	K01689	ENO, eno; enolase	4.2.1.11	1
Brite Hierarchies	Protein families: genetic information processing	Messenger RNA biogenesis [BR:ko03019]	K01689	ENO, eno; enolase	4.2.1.11	1
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K01689	ENO, eno; enolase	4.2.1.11	1
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K01697	CBS; cystathionine beta-synthase	4.2.1.22	1
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K01697	CBS; cystathionine beta-synthase	4.2.1.22	1
Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K01710	rfbB, rmlB, rffG; dTDP-glucose 4,6-dehydratase	4.2.1.46	1
Metabolism	Metabolism of terpenoids and polyketides	Polyketide sugar unit biosynthesis [PATH:ko00523]	K01710	rfbB, rmlB, rffG; dTDP-glucose 4,6-dehydratase	4.2.1.46	1
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of vancomycin group antibiotics [PATH:ko01055]	K01710	rfbB, rmlB, rffG; dTDP-glucose 4,6-dehydratase	4.2.1.46	1
Metabolism	Biosynthesis of other secondary metabolites	Streptomycin biosynthesis [PATH:ko00521]	K01710	rfbB, rmlB, rffG; dTDP-glucose 4,6-dehydratase	4.2.1.46	1
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis [PATH:ko00525]	K01710	rfbB, rmlB, rffG; dTDP-glucose 4,6-dehydratase	4.2.1.46	1
Metabolism	Energy metabolism	Sulfur metabolism [PATH:ko00920]	K01738	cysK; cysteine synthase	2.5.1.47	1
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K01738	cysK; cysteine synthase	2.5.1.47	1
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K01754	E4.3.1.19, ilvA, tdcB; threonine dehydratase	4.3.1.19	1
