L1	L2	L3	KO	Function	EC
Translation, ribosomal structure and biogenesis	Ribosomal protein S3		COG0092	RpsC:Ribosome 30S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein L14		COG0093	RplN:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein L5		COG0094	RplE:Ribosome 50S subunit	
Coenzyme transport and metabolism	Lipoate-protein ligase A		COG0095	LplA:Lipoate biosynthesis	
Translation, ribosomal structure and biogenesis	Ribosomal protein S8		COG0096	RpsH:Ribosome 30S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein L6P/L9E		COG0097	RplF:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein S5		COG0098	RpsE:Ribosome 30S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein S13		COG0099	RpsM:Ribosome 30S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein S11		COG0100	RpsK:Ribosome 30S subunit	
Translation, ribosomal structure and biogenesis	tRNA U38,U39,U40 pseudouridine synthase TruA		COG0101	TruA:tRNA modification	
Translation, ribosomal structure and biogenesis	Ribosomal protein L13		COG0102	RplM:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein S9		COG0103	RpsI:Ribosome 30S subunit	
Nucleotide transport and metabolism	Adenylosuccinate synthase		COG0104	PurA:Purine biosynthesis	
Nucleotide transport and metabolism	Nucleoside diphosphate kinase		COG0105	Ndk:Pyrimidine biosynthesis	
Amino acid transport and metabolism	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase		COG0106	HisA:Histidine biosynthesis	
Amino acid transport and metabolism	Imidazole glycerol phosphate synthase subunit HisF		COG0107	HisF:Histidine biosynthesis	
Coenzyme transport and metabolism	3,4-dihydroxy-2-butanone 4-phosphate synthase		COG0108	RibB:Riboflavin/FAD biosynthesis	
Coenzyme transport and metabolism	Polyprenyltransferase (heme O synthase)		COG0109	CyoE:	
Lipid transport and metabolism	Polyprenyltransferase (heme O synthase)		COG0109	CyoE:	
General function prediction only	Acetyltransferase, isoleucine patch superfamily		COG0110	WbbJ:	
Coenzyme transport and metabolism	Phosphoglycerate dehydrogenase or related dehydrogenase		COG0111	SerA:Serine biosynthesis	
Amino acid transport and metabolism	Glycine/serine hydroxymethyltransferase		COG0112	GlyA:Serine biosynthesis	
Coenzyme transport and metabolism	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase		COG0113	HemB:Heme biosynthesis	
Energy production and conversion	Fumarate hydratase class II		COG0114	FumC:TCA cycle	
Amino acid transport and metabolism	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase		COG0115	IlvE:Isoleucine, leucine, valine biosynthesis	
Coenzyme transport and metabolism	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase		COG0115	IlvE:Isoleucine, leucine, valine biosynthesis	
Translation, ribosomal structure and biogenesis	23S rRNA G2445 N2-methylase RlmL		COG0116	RlmL:23S rRNA modification	
Coenzyme transport and metabolism	Riboflavin biosynthesis protein RibD, pyrimidine deaminase domain		COG0117	RibD1:Riboflavin/FAD biosynthesis	
Amino acid transport and metabolism	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH		COG0118	HisH:Histidine biosynthesis	
Amino acid transport and metabolism	Isopropylmalate/homocitrate/citramalate synthases		COG0119	LeuA:Isoleucine, leucine, valine biosynthesis	
Carbohydrate transport and metabolism	Ribose 5-phosphate isomerase		COG0120	RpiA:Pentose phosphate pathway	
General function prediction only	Predicted glutamine amidotransferase YafJ		COG0121	YafJ:	
Replication, recombination and repair	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase		COG0122	AlkA:	
Secondary metabolites biosynthesis, transport and catabolism	Acetoin utilization deacetylase AcuC or a related deacetylase		COG0123	AcuC:	
Translation, ribosomal structure and biogenesis	Histidyl-tRNA synthetase		COG0124	HisS:Aminoacyl-tRNA synthetases	
Nucleotide transport and metabolism	Thymidylate kinase		COG0125	Tmk:Thymidylate biosynthesis	
Carbohydrate transport and metabolism	3-phosphoglycerate kinase		COG0126	Pgk:Glycolysis	
Nucleotide transport and metabolism	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family		COG0127	RdgB:	
Amino acid transport and metabolism	5-enolpyruvylshikimate-3-phosphate synthase		COG0128	AroA:Aromatic amino acid biosynthesis	
Amino acid transport and metabolism	Dihydroxyacid dehydratase/phosphogluconate dehydratase		COG0129	IlvD:Isoleucine, leucine, valine biosynthesis	
Carbohydrate transport and metabolism	Dihydroxyacid dehydratase/phosphogluconate dehydratase		COG0129	IlvD:Isoleucine, leucine, valine biosynthesis	
Translation, ribosomal structure and biogenesis	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA		COG0130	TruB:tRNA modification	
Amino acid transport and metabolism	Imidazoleglycerol phosphate dehydratase HisB		COG0131	HisB2:Histidine biosynthesis	
Coenzyme transport and metabolism	Dethiobiotin synthetase		COG0132	BioD:Biotin biosynthesis	
Amino acid transport and metabolism	Tryptophan synthase beta chain		COG0133	TrpB:Aromatic amino acid biosynthesis	
Amino acid transport and metabolism	Indole-3-glycerol phosphate synthase		COG0134	TrpC:Aromatic amino acid biosynthesis	
Amino acid transport and metabolism	Phosphoribosylanthranilate isomerase		COG0135	TrpF:Aromatic amino acid biosynthesis	
Amino acid transport and metabolism	Aspartate-semialdehyde dehydrogenase		COG0136	Asd:Lysine biosynthesis	
Amino acid transport and metabolism	Argininosuccinate synthase		COG0137	ArgG:Arginine biosynthesis	
Nucleotide transport and metabolism	AICAR transformylase/IMP cyclohydrolase PurH		COG0138	PurH:Purine biosynthesis	
Amino acid transport and metabolism	Phosphoribosyl-AMP cyclohydrolase		COG0139	HisI1:Histidine biosynthesis	
Amino acid transport and metabolism	Phosphoribosyl-ATP pyrophosphohydrolase		COG0140	HisI2:Histidine biosynthesis	
Amino acid transport and metabolism	Histidinol dehydrogenase		COG0141	HisD:Histidine biosynthesis	
Coenzyme transport and metabolism	Geranylgeranyl pyrophosphate synthase		COG0142	IspA:Isoprenoid biosynthesis	
Translation, ribosomal structure and biogenesis	Methionyl-tRNA synthetase		COG0143	MetG:Aminoacyl-tRNA synthetases	
Translation, ribosomal structure and biogenesis	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family		COG0144	RsmB:16S rRNA modification	
Amino acid transport and metabolism	N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit		COG0145	HyuA:	
Secondary metabolites biosynthesis, transport and catabolism	N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit		COG0145	HyuA:	
Amino acid transport and metabolism	N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit		COG0146	HyuB:	
Secondary metabolites biosynthesis, transport and catabolism	N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit		COG0146	HyuB:	
Amino acid transport and metabolism	Anthranilate/para-aminobenzoate synthases component I		COG0147	TrpE:Aromatic amino acid biosynthesis	
Coenzyme transport and metabolism	Anthranilate/para-aminobenzoate synthases component I		COG0147	TrpE:Aromatic amino acid biosynthesis	
Carbohydrate transport and metabolism	Enolase		COG0148	Eno:Glycolysis	
Carbohydrate transport and metabolism	Triosephosphate isomerase		COG0149	TpiA:Glycolysis	
Nucleotide transport and metabolism	Phosphoribosylaminoimidazole (AIR) synthetase		COG0150	PurM:Purine biosynthesis	
Nucleotide transport and metabolism	Phosphoribosylamine-glycine ligase		COG0151	PurD:Purine biosynthesis	
Nucleotide transport and metabolism	Phosphoribosylaminoimidazole-succinocarboxamide synthase		COG0152	PurC:Purine biosynthesis	
Carbohydrate transport and metabolism	Galactokinase		COG0153	GalK:	
Translation, ribosomal structure and biogenesis	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase		COG0154	GatA:Aminoacyl-tRNA synthetases	
Inorganic ion transport and metabolism	Sulfite reductase, beta subunit (hemoprotein)		COG0155	CysI:Cysteine biosynthesis	
Coenzyme transport and metabolism	7-keto-8-aminopelargonate synthetase or related enzyme		COG0156	BioF:Biotin biosynthesis	
Coenzyme transport and metabolism	Nicotinate-nucleotide pyrophosphorylase		COG0157	NadC:NAD biosynthesis	
Carbohydrate transport and metabolism	Fructose-1,6-bisphosphatase		COG0158	Fbp:Gluconeogenesis	
Amino acid transport and metabolism	Tryptophan synthase alpha chain		COG0159	TrpA:Aromatic amino acid biosynthesis	
Amino acid transport and metabolism	Acetylornithine aminotransferase/4-aminobutyrate aminotransferase		COG0160	ArgD:Arginine biosynthesis	
Coenzyme transport and metabolism	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase		COG0161	BioA:Biotin biosynthesis	
Translation, ribosomal structure and biogenesis	Tyrosyl-tRNA synthetase		COG0162	TyrS:Aminoacyl-tRNA synthetases	
Coenzyme transport and metabolism	Flavin prenyltransferase UbiX		COG0163	UbiX:Ubiquinone biosynthesis	
Replication, recombination and repair	Ribonuclease HII		COG0164	RnhB:	
Amino acid transport and metabolism	Argininosuccinate lyase		COG0165	ArgH:Arginine biosynthesis	
Carbohydrate transport and metabolism	Glucose-6-phosphate isomerase		COG0166	Pgi:Glycolysis	
Nucleotide transport and metabolism	Dihydroorotate dehydrogenase		COG0167	PyrD:Pyrimidine biosynthesis	
Inorganic ion transport and metabolism	Trk-type K+ transport system, membrane component		COG0168	TrkG:	
Amino acid transport and metabolism	Shikimate 5-dehydrogenase		COG0169	AroE:Aromatic amino acid biosynthesis	
Posttranslational modification, protein turnover, chaperones	Dolichol kinase		COG0170	SEC59:	
Cell wall/membrane/envelope biogenesis	Dolichol kinase		COG0170	SEC59:	
Coenzyme transport and metabolism	NH3-dependent NAD+ synthetase		COG0171	NadE:NAD biosynthesis	
Translation, ribosomal structure and biogenesis	Seryl-tRNA synthetase		COG0172	SerS:Aminoacyl-tRNA synthetases	
Translation, ribosomal structure and biogenesis	Aspartyl-tRNA synthetase		COG0173	AspS:Aminoacyl-tRNA synthetases	
Amino acid transport and metabolism	Glutamine synthetase		COG0174	GlnA:Glutamine biosynthesis	
Amino acid transport and metabolism	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme		COG0175	CysD:Cysteine biosynthesis	
Coenzyme transport and metabolism	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme		COG0175	CysD:Cysteine biosynthesis	
Carbohydrate transport and metabolism	Transaldolase/fructose-6-phosphate aldolase		COG0176	TalA:Pentose phosphate pathway	
Replication, recombination and repair	Endonuclease III		COG0177	Nth:	
Replication, recombination and repair	Excinuclease UvrABC ATPase subunit		COG0178	UvrA:	
Secondary metabolites biosynthesis, transport and catabolism	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)		COG0179	YcgM:	
Translation, ribosomal structure and biogenesis	Tryptophanyl-tRNA synthetase		COG0180	TrpS:Aminoacyl-tRNA synthetases	
Coenzyme transport and metabolism	Porphobilinogen deaminase		COG0181	HemC:Heme biosynthesis	
Amino acid transport and metabolism	5-methylthioribose/5-deoxyribulose 1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit		COG0182	MtnA:	
Lipid transport and metabolism	Acetyl-CoA acetyltransferase		COG0183	PaaJ:Fatty acid biosynthesis	
Translation, ribosomal structure and biogenesis	Ribosomal protein S15P/S13E		COG0184	RpsO:Ribosome 30S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein S19		COG0185	RpsS:Ribosome 30S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein S17		COG0186	RpsQ:Ribosome 30S subunit	
Replication, recombination and repair	DNA gyrase/topoisomerase IV, subunit B		COG0187	GyrB:	
Replication, recombination and repair	DNA gyrase/topoisomerase IV, subunit A		COG0188	GyrA:	
Amino acid transport and metabolism	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily		COG0189	LysX:Lysine biosynthesis	
Coenzyme transport and metabolism	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily		COG0189	LysX:Lysine biosynthesis	
Translation, ribosomal structure and biogenesis	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily		COG0189	LysX:Lysine biosynthesis	
Secondary metabolites biosynthesis, transport and catabolism	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily		COG0189	LysX:Lysine biosynthesis	
Coenzyme transport and metabolism	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase		COG0190	FolD:	
Carbohydrate transport and metabolism	Fructose/tagatose bisphosphate aldolase		COG0191	Fba:Glycolysis	
Coenzyme transport and metabolism	S-adenosylmethionine synthetase		COG0192	MetK:Methionine biosynthesis	
Translation, ribosomal structure and biogenesis	Peptidyl-tRNA hydrolase		COG0193	Pth:Translation factors	
Nucleotide transport and metabolism	Guanylate kinase		COG0194	Gmk:	
Transcription	Transcription antitermination factor NusA, contains S1 and KH domains		COG0195	NusA:	
Coenzyme transport and metabolism	FAD synthase		COG0196	RibF:Riboflavin/FAD biosynthesis	
Translation, ribosomal structure and biogenesis	Ribosomal protein L16/L10AE		COG0197	RplP:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein L24		COG0198	RplX:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein S14		COG0199	RpsN:Ribosome 30S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein L15		COG0200	RplO:Ribosome 50S subunit	
Intracellular trafficking, secretion, and vesicular transport	Preprotein translocase subunit SecY		COG0201	SecY:	
Transcription	DNA-directed RNA polymerase, alpha subunit/40 kD subunit		COG0202	RpoA:RNA polymerase	
Translation, ribosomal structure and biogenesis	Ribosomal protein L17		COG0203	RplQ:Ribosome 50S subunit	
Lipid transport and metabolism	1-acyl-sn-glycerol-3-phosphate acyltransferase		COG0204	PlsC:Phospholipid biosynthesis	
Carbohydrate transport and metabolism	6-phosphofructokinase		COG0205	PfkA:Glycolysis	
Cell cycle control, cell division, chromosome partitioning	Cell division GTPase FtsZ		COG0206	FtsZ:	
Nucleotide transport and metabolism	Thymidylate synthase		COG0207	ThyA:Thymidylate biosynthesis	
Nucleotide transport and metabolism	Ribonucleotide reductase beta subunit, ferritin-like domain		COG0208	NrdB:Pyrimidine salvage	
Nucleotide transport and metabolism	Ribonucleotide reductase alpha subunit		COG0209	NrdA:Pyrimidine salvage	
Replication, recombination and repair	Superfamily I DNA or RNA helicase		COG0210	UvrD:	
Translation, ribosomal structure and biogenesis	Ribosomal protein L27		COG0211	RpmA:Ribosome 50S subunit	
Coenzyme transport and metabolism	5-formyltetrahydrofolate cyclo-ligase		COG0212	FAU1:	
Nucleotide transport and metabolism	Thymidine phosphorylase		COG0213	DeoA:Pyrimidine salvage	
Coenzyme transport and metabolism	Pyridoxal 5'-phosphate synthase subunit PdxS		COG0214	PdxS:Pyridoxal phosphate biosynthesis	
Translation, ribosomal structure and biogenesis	Cysteinyl-tRNA synthetase		COG0215	CysS:Aminoacyl-tRNA synthetases	
Translation, ribosomal structure and biogenesis	Protein chain release factor RF1		COG0216	PrfA:Translation factors	
Transcription	Transcriptional and/or translational regulatory protein YebC/TACO1		COG0217	TACO1:	
Translation, ribosomal structure and biogenesis	Transcriptional and/or translational regulatory protein YebC/TACO1		COG0217	TACO1:	
Cell cycle control, cell division, chromosome partitioning	GTP-binding protein EngB required for normal cell division		COG0218	EngB:	
Translation, ribosomal structure and biogenesis	tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain		COG0219	TrmL:tRNA modification	
Translation, ribosomal structure and biogenesis	tRNA G46 N7-methylase TrmB		COG0220	TrmB:tRNA modification	
Energy production and conversion	Inorganic pyrophosphatase		COG0221	Ppa:	
Translation, ribosomal structure and biogenesis	Ribosomal protein L7/L12		COG0222	RplL:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Methionyl-tRNA formyltransferase		COG0223	Fmt:	
Energy production and conversion	FoF1-type ATP synthase, gamma subunit		COG0224	AtpG:FoF1-type ATP synthase	
Posttranslational modification, protein turnover, chaperones	Peptide methionine sulfoxide reductase MsrA		COG0225	MsrA:	
Inorganic ion transport and metabolism	ABC-type phosphate transport system, periplasmic component		COG0226	PstS:	
Translation, ribosomal structure and biogenesis	Ribosomal protein L28		COG0227	RpmB:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein S16		COG0228	RpsP:Ribosome 30S subunit	
Posttranslational modification, protein turnover, chaperones	Peptide methionine sulfoxide reductase MsrB		COG0229	MsrB:	
Translation, ribosomal structure and biogenesis	Ribosomal protein L34		COG0230	RpmH:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)		COG0231	Efp:Translation factors	
Nucleotide transport and metabolism	dGTP triphosphohydrolase		COG0232	Dgt:	
Translation, ribosomal structure and biogenesis	Ribosome recycling factor		COG0233	Frr:	
Posttranslational modification, protein turnover, chaperones	Co-chaperonin GroES (HSP10)		COG0234	GroES:	
