	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
NC_044941.1_NC_044941.1_40	NC_044941.1	NC_044941.1	40	40804	41478	-1	D			MER0176774	I32	MER0176774 - family I32 unassigned peptidase inhibitors () [I32.UPW]#I32#{inhibitor unit: 60-106}~source AAB58393~	False	1.0	114.0	4.629e-27	IAP-like protein p27 C-terminus [PF06556.14]; Inhibitor of Apoptosis domain [PF00653.24]	0
NC_044941.1_NC_044941.1_41	NC_044941.1	NC_044941.1	41	41840	42154	1	D										Bacterial DNA-binding protein [PF00216.24]	0
NC_044941.1_NC_044941.1_42	NC_044941.1	NC_044941.1	42	42151	42873	-1	D										Thymidylate kinase [PF02223.20]	0
NC_044941.1_NC_044941.1_43	NC_044941.1	NC_044941.1	43	43171	43626	1	E											0
NC_044941.1_NC_044941.1_44	NC_044941.1	NC_044941.1	44	43971	44801	1	E											0
NC_044941.1_NC_044941.1_45	NC_044941.1	NC_044941.1	45	45007	45714	-1	D										Ankyrin repeats (3 copies) [PF12796.10]; Ankyrin repeats (many copies) [PF13637.9]; Ankyrin repeats (many copies) [PF13857.9]	0
NC_044941.1_NC_044941.1_46	NC_044941.1	NC_044941.1	46	45763	48342	-1	D										Type III restriction enzyme, res subunit [PF04851.18]; Helicase conserved C-terminal domain [PF00271.34]; SNF2-related domain [PF00176.26]	0
NC_044941.1_NC_044941.1_47	NC_044941.1	NC_044941.1	47	48344	48883	-1	D										Apoptosis regulator proteins, Bcl-2 family [PF00452.22]	0
NC_044941.1_NC_044941.1_48	NC_044941.1	NC_044941.1	48	49127	49540	1	E											0
NC_044941.1_NC_044941.1_49	NC_044941.1	NC_044941.1	49	49573	50511	-1	E											0
NC_044941.1_NC_044941.1_50	NC_044941.1	NC_044941.1	50	50551	51534	-1	C	K00526	ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]								Ribonucleotide reductase, small chain [PF00268.24]	0
NC_044941.1_NC_044941.1_51	NC_044941.1	NC_044941.1	51	51576	53912	1	C	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]								Ribonucleotide reductase, barrel domain [PF02867.18]; Ribonucleotide reductase, all-alpha domain [PF00317.24]	0
NC_044941.1_NC_044941.1_52	NC_044941.1	NC_044941.1	52	53969	54442	1	E											0
NC_044941.1_NC_044941.1_53	NC_044941.1	NC_044941.1	53	54429	57596	-1	D										Origin of replication binding protein [PF02399.18]	0
NC_044941.1_NC_044941.1_54	NC_044941.1	NC_044941.1	54	57765	58382	1	E											0
NC_044941.1_NC_044941.1_55	NC_044941.1	NC_044941.1	55	58471	58707	1	E											0
NC_044941.1_NC_044941.1_56	NC_044941.1	NC_044941.1	56	58704	59294	1	C	K00857	thymidine kinase [EC:2.7.1.21]								Thymidine kinase [PF00265.21]	0
NC_044941.1_NC_044941.1_57	NC_044941.1	NC_044941.1	57	59310	59747	1	E											0
NC_044941.1_NC_044941.1_58	NC_044941.1	NC_044941.1	58	59780	61045	1	E											0
NC_044941.1_NC_044941.1_59	NC_044941.1	NC_044941.1	59	61064	64792	-1	C	K26373	Asfivirus DNA-directed RNA polymerase RPB2 [EC:2.7.7.6]	MER0195833	N11	MER0195833 - family N11 unassigned peptide lyases () [N11.UPW]#N11#{peptidase unit: 944-1048}~source YP_003970177~	False	0.442	86.0	3.991e-15	RNA polymerase Rpb2, domain 6 [PF00562.31]; RNA polymerase beta subunit [PF04563.18]; RNA polymerase Rpb2, domain 7 [PF04560.23]; RNA polymerase Rpb2, domain 4 [PF04566.16]; RNA polymerase Rpb2, domain 2 [PF04561.17]	0
NC_044941.1_NC_044941.1_60	NC_044941.1	NC_044941.1	60	64871	65125	1	E											0
NC_044941.1_NC_044941.1_61	NC_044941.1	NC_044941.1	61	65161	66435	1	D										FtsJ-like methyltransferase [PF01728.22]	0
NC_044941.1_NC_044941.1_62	NC_044941.1	NC_044941.1	62	67131	67376	1	E											0
NC_044941.1_NC_044941.1_63	NC_044941.1	NC_044941.1	63	67379	67840	1	D			MER0201358	I63	MER0201358 - family I63 unassigned peptidase inhibitors () [I63.UPW]#I63#{inhibitor unit: 67-106}~source AAY44918~	False	1.0	93.0	1.137e-20	UL45 protein, carbohydrate-binding C-type lectin-like [PF05473.15]	0
NC_044941.1_NC_044941.1_64	NC_044941.1	NC_044941.1	64	67940	69037	1	E											0
NC_044941.1_NC_044941.1_65	NC_044941.1	NC_044941.1	65	69146	70240	1	D										ERCC4 domain [PF02732.18]	0
NC_044941.1_NC_044941.1_66	NC_044941.1	NC_044941.1	66	70304	73627	-1	E											1
NC_044941.1_NC_044941.1_67	NC_044941.1	NC_044941.1	67	73720	74052	-1	E											0
NC_044941.1_NC_044941.1_68	NC_044941.1	NC_044941.1	68	74092	75438	1	E											0
NC_044941.1_NC_044941.1_69	NC_044941.1	NC_044941.1	69	75525	75914	1	E											0
NC_044941.1_NC_044941.1_70	NC_044941.1	NC_044941.1	70	75961	76215	-1	E											0
NC_044941.1_NC_044941.1_71	NC_044941.1	NC_044941.1	71	76639	78792	1	E											0
NC_044941.1_NC_044941.1_72	NC_044941.1	NC_044941.1	72	78776	79009	-1	E											0
NC_044941.1_NC_044941.1_73	NC_044941.1	NC_044941.1	73	79190	79363	1	E											0
NC_044941.1_NC_044941.1_74	NC_044941.1	NC_044941.1	74	79495	80268	-1	E											0
NC_044941.1_NC_044941.1_75	NC_044941.1	NC_044941.1	75	80247	81674	-1	D										Poly(A) polymerase catalytic subunit [PF19244.2]	0
NC_044941.1_NC_044941.1_76	NC_044941.1	NC_044941.1	76	81727	82674	1	E											0
NC_044941.1_NC_044941.1_77	NC_044941.1	NC_044941.1	77	82742	83185	-1	C	K26374	Asfivirus DNA-directed RNA polymerase RPB6									0
NC_044941.1_NC_044941.1_78	NC_044941.1	NC_044941.1	78	83256	83570	1	E											0
NC_044941.1_NC_044941.1_79	NC_044941.1	NC_044941.1	79	83615	86503	1	D										D5 N terminal like [PF08706.14]	0
NC_044941.1_NC_044941.1_80	NC_044941.1	NC_044941.1	80	86454	86612	-1	E											0
NC_044941.1_NC_044941.1_81	NC_044941.1	NC_044941.1	81	86641	89529	-1	D										DEAD/DEAH box helicase [PF00270.32]	0
NC_044941.1_NC_044941.1_82	NC_044941.1	NC_044941.1	82	89489	89848	-1	D										Erv1 / Alr family [PF04777.16]	0
NC_044941.1_NC_044941.1_83	NC_044941.1	NC_044941.1	83	89829	90785	-1	D										Polyprenyl synthetase [PF00348.20]	0
NC_044941.1_NC_044941.1_84	NC_044941.1	NC_044941.1	84	90752	92068	-1	E											0
NC_044941.1_NC_044941.1_85	NC_044941.1	NC_044941.1	85	92081	92590	-1	E											0
NC_044941.1_NC_044941.1_86	NC_044941.1	NC_044941.1	86	92607	94034	-1	E											0
NC_044941.1_NC_044941.1_87	NC_044941.1	NC_044941.1	87	94171	95235	-1	D										Poxvirus A32 protein [PF04665.15]	0
NC_044941.1_NC_044941.1_88	NC_044941.1	NC_044941.1	88	95246	97018	-1	E											0
NC_044941.1_NC_044941.1_89	NC_044941.1	NC_044941.1	89	97073	98230	1	D										Poxvirus Late Transcription Factor VLTF3 like [PF04947.17]; A2L zinc ribbon domain [PF08792.13]	1
NC_044941.1_NC_044941.1_90	NC_044941.1	NC_044941.1	90	98328	100268	-1	D										Large eukaryotic DNA virus major capsid protein [PF04451.15]; Major capsid protein N-terminus [PF16903.8]	0
NC_044941.1_NC_044941.1_91	NC_044941.1	NC_044941.1	91	100308	100685	1	E											0
NC_044941.1_NC_044941.1_92	NC_044941.1	NC_044941.1	92	100658	101011	-1	E											0
NC_044941.1_NC_044941.1_93	NC_044941.1	NC_044941.1	93	101018	102241	-1	E											0
NC_044941.1_NC_044941.1_94	NC_044941.1	NC_044941.1	94	102269	102796	-1	E											1
NC_044941.1_NC_044941.1_95	NC_044941.1	NC_044941.1	95	102843	103634	1	E											0
NC_044941.1_NC_044941.1_96	NC_044941.1	NC_044941.1	96	103631	103831	-1	E											0
NC_044941.1_NC_044941.1_97	NC_044941.1	NC_044941.1	97	103837	107859	-1	E											0
NC_044941.1_NC_044941.1_98	NC_044941.1	NC_044941.1	98	107900	111535	1	C	K26379	Asfivirus DNA polymerase beta [EC:2.7.7.7]								DNA polymerase family B [PF00136.24]; DNA polymerase family B, exonuclease domain [PF03104.22]	0
NC_044941.1_NC_044941.1_99	NC_044941.1	NC_044941.1	99	111532	111903	-1	E											0
NC_044941.1_NC_044941.1_100	NC_044941.1	NC_044941.1	100	112012	119439	-1	E											0
NC_044941.1_NC_044941.1_101	NC_044941.1	NC_044941.1	101	119543	120127	-1	E											0
NC_044941.1_NC_044941.1_102	NC_044941.1	NC_044941.1	102	120158	121750	1	E											0
NC_044941.1_NC_044941.1_103	NC_044941.1	NC_044941.1	103	121753	121995	1	C	K26376	Asfivirus DNA-directed RNA polymerase RPB10								RNA polymerases N / 8 kDa subunit [PF01194.20]	0
NC_044941.1_NC_044941.1_104	NC_044941.1	NC_044941.1	104	122022	122960	1	E											0
NC_044941.1_NC_044941.1_105	NC_044941.1	NC_044941.1	105	122981	123505	-1	C	K26378	Asfivirus repair DNA polymerase X [EC:2.7.7.7]								DNA polymerase beta thumb [PF14791.9]	0
NC_044941.1_NC_044941.1_106	NC_044941.1	NC_044941.1	106	123790	128142	-1	D										RNA polymerase Rpb1, domain 2 [PF00623.23]; RNA polymerase Rpb1, domain 1 [PF04997.15]; RNA polymerase Rpb1, domain 5 [PF04998.20]; RNA polymerase Rpb1, domain 3 [PF04983.21]; RNA polymerase Rpb1, domain 4 [PF05000.20]; RNA polymerase Rpb1, domain 7 [PF04990.15]	0
NC_044941.1_NC_044941.1_107	NC_044941.1	NC_044941.1	107	128225	129484	-1	D										ATP dependent DNA ligase domain [PF01068.24]	0
NC_044941.1_NC_044941.1_108	NC_044941.1	NC_044941.1	108	129549	132155	1	D										mRNA capping enzyme [PF03291.19]; mRNA capping enzyme, catalytic domain [PF01331.22]	0
NC_044941.1_NC_044941.1_109	NC_044941.1	NC_044941.1	109	132212	132964	1	D										NUDIX domain [PF00293.31]	0
NC_044941.1_NC_044941.1_110	NC_044941.1	NC_044941.1	110	133145	133534	-1	E											0
NC_044941.1_NC_044941.1_111	NC_044941.1	NC_044941.1	111	133607	133846	-1	E											0
NC_044941.1_NC_044941.1_112	NC_044941.1	NC_044941.1	112	133915	134934	-1	E											0
NC_044941.1_NC_044941.1_113	NC_044941.1	NC_044941.1	113	135067	138468	-1	D										Helicase conserved C-terminal domain [PF00271.34]; Nucleoside triphosphatase I C-terminal [PF08469.13]	0
NC_044941.1_NC_044941.1_114	NC_044941.1	NC_044941.1	114	138506	138664	-1	E											0
NC_044941.1_NC_044941.1_115	NC_044941.1	NC_044941.1	115	138699	139052	-1	E											0
NC_044941.1_NC_044941.1_116	NC_044941.1	NC_044941.1	116	139115	139726	1	D										RNA polymerase Rpb5, C-terminal domain [PF01191.22]	0
NC_044941.1_NC_044941.1_117	NC_044941.1	NC_044941.1	117	139753	140790	-1	D										YqaJ-like viral recombinase domain [PF09588.13]	0
NC_044941.1_NC_044941.1_118	NC_044941.1	NC_044941.1	118	140790	141341	-1	E											0
NC_044941.1_NC_044941.1_119	NC_044941.1	NC_044941.1	119	141402	142223	1	D			MER0027602	C63	MER0027602 - African swine fever virus processing peptidase () [C63.001]#C63#{peptidase unit: 168-269}~source VPRT_ASFB7~	False	1.0	224.0	6.779e-64		0
NC_044941.1_NC_044941.1_120	NC_044941.1	NC_044941.1	120	142258	145836	1	C	K03164	DNA topoisomerase II [EC:5.6.2.2]								DNA gyrase/topoisomerase IV, subunit A [PF00521.23]; C-terminal associated domain of TOPRIM [PF16898.8]	0
NC_044941.1_NC_044941.1_121	NC_044941.1	NC_044941.1	121	145867	146946	-1	C	K26377	Asfivirus DNA-directed RNA polymerase RPB3-11								RNA polymerase Rpb3/Rpb11 dimerisation domain [PF13656.9]	0
NC_044941.1_NC_044941.1_122	NC_044941.1	NC_044941.1	122	146981	147496	1	E											0
NC_044941.1_NC_044941.1_123	NC_044941.1	NC_044941.1	123	147536	147910	1	E											0
NC_044941.1_NC_044941.1_124	NC_044941.1	NC_044941.1	124	147932	148951	1	E											0
NC_044941.1_NC_044941.1_125	NC_044941.1	NC_044941.1	125	148963	149289	1	E											0
NC_044941.1_NC_044941.1_126	NC_044941.1	NC_044941.1	126	149249	149950	1	E											0
NC_044941.1_NC_044941.1_127	NC_044941.1	NC_044941.1	127	150104	150787	1	E											0
NC_044941.1_NC_044941.1_128	NC_044941.1	NC_044941.1	128	150784	151680	-1	D										Protein kinase domain [PF00069.28]; Protein tyrosine and serine/threonine kinase [PF07714.20]; Lipopolysaccharide kinase (Kdo/WaaP) family [PF06293.17]; Fungal protein kinase [PF17667.4]	0
NC_044941.1_NC_044941.1_129	NC_044941.1	NC_044941.1	129	151655	153775	-1	D										SNF2-related domain [PF00176.26]; Helicase conserved C-terminal domain [PF00271.34]; Type III restriction enzyme, res subunit [PF04851.18]	0
NC_044941.1_NC_044941.1_130	NC_044941.1	NC_044941.1	130	153733	155337	-1	D										Type III restriction enzyme, res subunit [PF04851.18]; SNF2-related domain [PF00176.26]	0
NC_044941.1_NC_044941.1_131	NC_044941.1	NC_044941.1	131	155378	156403	1	E											0
NC_044941.1_NC_044941.1_132	NC_044941.1	NC_044941.1	132	156351	156905	-1	E											0
NC_044941.1_NC_044941.1_133	NC_044941.1	NC_044941.1	133	156949	157500	-1	D										African swine fever virus J13L protein [PF05568.14]	0
NC_044941.1_NC_044941.1_134	NC_044941.1	NC_044941.1	134	157531	158802	1	E											0
NC_044941.1_NC_044941.1_135	NC_044941.1	NC_044941.1	135	158955	159860	1	E											0
NC_044941.1_NC_044941.1_136	NC_044941.1	NC_044941.1	136	159894	160334	-1	E											0
NC_044941.1_NC_044941.1_137	NC_044941.1	NC_044941.1	137	160518	161117	-1	E											0
NC_044941.1_NC_044941.1_138	NC_044941.1	NC_044941.1	138	161145	161642	1	C	K01520	dUTP diphosphatase [EC:3.6.1.23]								dUTPase [PF00692.22]	0
NC_044941.1_NC_044941.1_139	NC_044941.1	NC_044941.1	139	161665	162411	1	D										Lipid membrane protein of large eukaryotic DNA viruses [PF02442.20]	0
NC_044941.1_NC_044941.1_140	NC_044941.1	NC_044941.1	140	162395	162814	1	E											0
NC_044941.1_NC_044941.1_141	NC_044941.1	NC_044941.1	141	162844	163734	1	D										Xylose isomerase-like TIM barrel [PF01261.27]	0
NC_044941.1_NC_044941.1_142	NC_044941.1	NC_044941.1	142	163737	164072	1	E											0
NC_044941.1_NC_044941.1_143	NC_044941.1	NC_044941.1	143	164297	165100	-1	E											0
NC_044941.1_NC_044941.1_144	NC_044941.1	NC_044941.1	144	165081	165212	-1	E											0
NC_044941.1_NC_044941.1_145	NC_044941.1	NC_044941.1	145	165258	165932	1	E											0
NC_044941.1_NC_044941.1_146	NC_044941.1	NC_044941.1	146	165929	166660	-1	D										Transcription factor S-II (TFIIS) [PF01096.21]	0
NC_044941.1_NC_044941.1_147	NC_044941.1	NC_044941.1	147	167202	168191	-1	E											0
NC_044941.1_NC_044941.1_148	NC_044941.1	NC_044941.1	148	168499	169146	-1	D										Ubiquitin-conjugating enzyme [PF00179.29]	0
NC_044941.1_NC_044941.1_149	NC_044941.1	NC_044941.1	149	169184	169717	-1	E											0
NC_044941.1_NC_044941.1_150	NC_044941.1	NC_044941.1	150	169710	170300	-1	E											0
NC_044941.1_NC_044941.1_151	NC_044941.1	NC_044941.1	151	170395	171069	-1	E											0
NC_044941.1_NC_044941.1_152	NC_044941.1	NC_044941.1	152	171438	172217	1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
NC_044941.1_NC_044941.1_153	NC_044941.1	NC_044941.1	153	172423	174069	-1	D										Multigene family 530 protein [PF03158.16]	0
NC_044941.1_NC_044941.1_154	NC_044941.1	NC_044941.1	154	174170	174595	-1	E											0
NC_044941.1_NC_044941.1_155	NC_044941.1	NC_044941.1	155	174814	175254	-1	E											0
NC_044941.1_NC_044941.1_156	NC_044941.1	NC_044941.1	156	175352	175588	-1	E											0
NC_044941.1_NC_044941.1_157	NC_044941.1	NC_044941.1	157	175883	176194	-1	E											0
NC_044941.1_NC_044941.1_158	NC_044941.1	NC_044941.1	158	176387	176683	1	E											0
NC_044941.1_NC_044941.1_159	NC_044941.1	NC_044941.1	159	176756	177268	-1	E											0
NC_044941.1_NC_044941.1_160	NC_044941.1	NC_044941.1	160	177693	177881	1	E											0
NC_044941.1_NC_044941.1_161	NC_044941.1	NC_044941.1	161	177973	178737	1	E											0
NC_044941.1_NC_044941.1_162	NC_044941.1	NC_044941.1	162	178720	178935	-1	D										Phosphatase-1 catalytic subunit binding region [PF10488.12]	0
NC_044941.1_NC_044941.1_163	NC_044941.1	NC_044941.1	163	179031	179321	1	D										Virulence determinant [PF02512.17]	0
NC_044941.1_NC_044941.1_164	NC_044941.1	NC_044941.1	164	179390	179515	-1	E											0
NC_044941.1_NC_044941.1_165	NC_044941.1	NC_044941.1	165	179934	180767	1	D										African swine fever virus multigene family 360 protein [PF01671.19]	0
