	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
MK002701_MK002701.1_67	MK002701	MK002701.1	67	44231	44656	1	E				0
MK002701_MK002701.1_68	MK002701	MK002701.1	68	44646	45026	1	E				0
MK002701_MK002701.1_69	MK002701	MK002701.1	69	45038	45646	1	D			HNH endonuclease [PF13392.9]	0
MK002701_MK002701.1_70	MK002701	MK002701.1	70	45639	45926	1	E				0
MK002701_MK002701.1_71	MK002701	MK002701.1	71	45919	46350	1	D			Domain of unknown function (DUF4326) [PF14216.9]	0
MK002701_MK002701.1_72	MK002701	MK002701.1	72	46343	46441	1	E				0
MK002701_MK002701.1_73	MK002701	MK002701.1	73	46438	46884	1	E				0
MK002701_MK002701.1_74	MK002701	MK002701.1	74	46865	47038	1	E				0
MK002701_MK002701.1_75	MK002701	MK002701.1	75	47031	47447	1	E				0
MK002701_MK002701.1_76	MK002701	MK002701.1	76	47431	47739	1	E				0
MK002701_MK002701.1_77	MK002701	MK002701.1	77	47732	49618	1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	C-5 cytosine-specific DNA methylase [PF00145.20]	0
MK002701_MK002701.1_78	MK002701	MK002701.1	78	49611	49931	1	E				0
MK002701_MK002701.1_79	MK002701	MK002701.1	79	50001	51452	1	C	K00590	site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]	DNA methylase [PF01555.21]	0
MK002701_MK002701.1_80	MK002701	MK002701.1	80	51449	52024	1	E				0
MK002701_MK002701.1_81	MK002701	MK002701.1	81	52021	52791	1	E				0
MK002701_MK002701.1_82	MK002701	MK002701.1	82	52784	53152	1	E				0
MK002701_MK002701.1_83	MK002701	MK002701.1	83	53145	53504	1	E				0
MK002701_MK002701.1_84	MK002701	MK002701.1	84	53788	54369	1	E				0
MK002701_MK002701.1_85	MK002701	MK002701.1	85	54403	54771	1	E				0
MK002701_MK002701.1_86	MK002701	MK002701.1	86	55144	55401	1	E				0
MK002701_MK002701.1_87	MK002701	MK002701.1	87	55394	55729	1	E				0
MK002701_MK002701.1_88	MK002701	MK002701.1	88	55794	57053	1	C	K00571	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	DNA methylase [PF01555.21]; ParB/Sulfiredoxin domain [PF02195.21]	0
MK002701_MK002701.1_89	MK002701	MK002701.1	89	57028	57564	1	E				0
MK002701_MK002701.1_90	MK002701	MK002701.1	90	57621	57830	1	E				0
MK002701_MK002701.1_91	MK002701	MK002701.1	91	57827	58072	1	E				1
