	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
AM419438_AM419438.1_33	AM419438	AM419438.1	33	18055	18519	1	E								0
AM419438_AM419438.1_34	AM419438	AM419438.1	34	18512	18817	1	E								0
AM419438_AM419438.1_35	AM419438	AM419438.1	35	18814	19074	1	E								0
AM419438_AM419438.1_36	AM419438	AM419438.1	36	19234	19806	1	E								1
AM419438_AM419438.1_37	AM419438	AM419438.1	37	19803	19982	1	E								0
AM419438_AM419438.1_38	AM419438	AM419438.1	38	20365	21843	1	E								0
AM419438_AM419438.1_39	AM419438	AM419438.1	39	21840	21998	1	E								0
AM419438_AM419438.1_40	AM419438	AM419438.1	40	22108	22416	1	E								0
AM419438_AM419438.1_41	AM419438	AM419438.1	41	22416	22577	1	E								0
AM419438_AM419438.1_42	AM419438	AM419438.1	42	22574	23083	1	E								0
AM419438_AM419438.1_43	AM419438	AM419438.1	43	23080	24423	1	C	K06909	phage terminase large subunit	Terminase RNAseH like domain [PF17288.5]					0
AM419438_AM419438.1_44	AM419438	AM419438.1	44	24427	26382	1	D			Phage portal protein [PF04860.15]; KTSC domain [PF13619.9]					0
AM419438_AM419438.1_45	AM419438	AM419438.1	45	26461	26586	1	E								0
AM419438_AM419438.1_46	AM419438	AM419438.1	46	26590	27933	1	D			Putative phage serine protease XkdF [PF14550.9]					0
AM419438_AM419438.1_47	AM419438	AM419438.1	47	27949	29031	1	E								0
AM419438_AM419438.1_48	AM419438	AM419438.1	48	29040	29219	1	E								0
AM419438_AM419438.1_49	AM419438	AM419438.1	49	29222	29572	1	E								0
AM419438_AM419438.1_50	AM419438	AM419438.1	50	29576	30451	1	E								0
AM419438_AM419438.1_51	AM419438	AM419438.1	51	30444	30761	1	E								0
AM419438_AM419438.1_52	AM419438	AM419438.1	52	30758	31210	1	E								0
AM419438_AM419438.1_53	AM419438	AM419438.1	53	31207	31734	1	E								0
AM419438_AM419438.1_54	AM419438	AM419438.1	54	31766	32680	1	D			Phage tail tube protein [PF18906.3]					0
AM419438_AM419438.1_55	AM419438	AM419438.1	55	32680	33177	1	E								0
AM419438_AM419438.1_56	AM419438	AM419438.1	56	33281	34408	1	E								0
AM419438_AM419438.1_57	AM419438	AM419438.1	57	34444	34731	1	E								0
AM419438_AM419438.1_58	AM419438	AM419438.1	58	34771	35439	1	E								0
AM419438_AM419438.1_59	AM419438	AM419438.1	59	35446	36633	1	E								0
AM419438_AM419438.1_60	AM419438	AM419438.1	60	36634	38226	1	E								0
AM419438_AM419438.1_61	AM419438	AM419438.1	61	38229	40979	1	E								0
AM419438_AM419438.1_62	AM419438	AM419438.1	62	41023	41400	1	E								0
AM419438_AM419438.1_63	AM419438	AM419438.1	63	41403	41843	1	E								0
AM419438_AM419438.1_64	AM419438	AM419438.1	64	41840	42151	1	E								0
