	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
MZ334526.1_49	MZ334526	MZ334526.1	49	24578	25033	1	D			YP_010358425.1	YP_010358425.1 nucleoside deoxyribosyltransferase [Halorubrum tailed virus 29]	False	0.992	319	1.806e-99	Nucleoside 2-deoxyribosyltransferase [PF05014.18]					VOG25495	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_50	MZ334526	MZ334526.1	50	25179	25364	1	E			YP_010358426.1	YP_010358426.1 hypothetical protein M1M40_gp52 [Halorubrum tailed virus 29]	False	1.0	145	3.876e-41						VOG26471	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_51	MZ334526	MZ334526.1	51	25405	25827	1	E			YP_010358427.1	YP_010358427.1 hypothetical protein M1M40_gp53 [Halorubrum tailed virus 29]	False	0.956	284	1.6950000000000002e-87						VOG14645	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_52	MZ334526	MZ334526.1	52	25832	26134	1	E			YP_010358428.1	YP_010358428.1 hypothetical protein M1M40_gp54 [Halorubrum tailed virus 29]	False	0.99	211	3.1010000000000003e-63									0	False	
MZ334526.1_53	MZ334526	MZ334526.1	53	26134	26556	1	E			YP_010358429.1	YP_010358429.1 Mu gpG-like protein [Halorubrum tailed virus 29]	False	0.993	296	9.512e-92						VOG00130	REFSEQ tail completion or Neck1 protein; Xu	Xu	0	False	
MZ334526.1_54	MZ334526	MZ334526.1	54	26590	27084	1	D			YP_010358430.1	YP_010358430.1 endonuclease [Halorubrum tailed virus 29]	False	0.995	347	4.557e-109	HNH endonuclease [PF13392.9]; Zinc-binding loop region of homing endonuclease [PF05551.14]					VOG00678	REFSEQ HNH endonuclease; Xu	Xu	0	False	
MZ334526.1_55	MZ334526	MZ334526.1	55	27074	27331	1	E			YP_010358431.1	YP_010358431.1 hypothetical protein M1M40_gp57 [Halorubrum tailed virus 29]	False	0.951	172	5.832e-50						VOG14647	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_56	MZ334526	MZ334526.1	56	27368	27910	1	E			YP_010358432.1	YP_010358432.1 SPP1 gp17-like tail completion protein [Halorubrum tailed virus 29]	True	1.0	387	1.4140000000000002e-122						VOG14648	REFSEQ SPP1 gp17-like tail completion protein; Xu	Xu	0	False	
MZ334526.1_57	MZ334526	MZ334526.1	57	27944	28333	1	E			YP_010358433.1	YP_010358433.1 hypothetical protein M1M40_gp59 [Halorubrum tailed virus 29]	False	0.934	255	1.024e-77						VOG00907	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_58	MZ334526	MZ334526.1	58	28336	29439	1	D			YP_010358434.1	YP_010358434.1 DUF2961 [Halorubrum tailed virus 29]	True	0.982	762	8.233999999999998e-249	Protein of unknown function (DUF2961) [PF11175.11]	GH172	GH172 difructose-anhydride-I synthase (EC 4.2.1.179 (old 3.2.1.134)); alpha-D-Arabinofuranosidase (EC 3.2.1.-); alpha-D-Fructofuranosidase (EC 3.2.1.-)	4.2.1.179,3.2.1.-	GH172.hmm				0	False	
MZ334526.1_59	MZ334526	MZ334526.1	59	29653	29880	1	E			YP_010358435.1	YP_010358435.1 hypothetical protein M1M40_gp61 [Halorubrum tailed virus 29]	False	0.924	147	1.6159999999999999e-41						VOG14650	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_60	MZ334526	MZ334526.1	60	29918	30388	1	E			YP_010358436.1	YP_010358436.1 tail tube [Halorubrum tailed virus 29]	False	0.939	310	3.264e-96						VOG14651	REFSEQ tail tube; Xu	Xu	0	False	
MZ334526.1_61	MZ334526	MZ334526.1	61	30391	30876	1	E			YP_010358438.1	YP_010358438.1 tail assembly chaperone [Halorubrum tailed virus 29]	False	0.899	304	3.4379999999999995e-94						VOG14652	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334526.1_62	MZ334526	MZ334526.1	62	31081	31233	1	E			YP_010358439.1	YP_010358439.1 hypothetical protein M1M40_gp65 [Halorubrum tailed virus 29]	False	0.935	100	1.084e-25									0	False	
MZ334526.1_63	MZ334526	MZ334526.1	63	31235	32332	1	E			YP_010358440.1	YP_010358440.1 tail tape measure protein [Halorubrum tailed virus 29]	True	0.86	652	8.213000000000001e-211						VOG14653	REFSEQ phate tail tape measure protein; Xu	Xu	0	False	F
MZ334526.1_64	MZ334526	MZ334526.1	64	32333	33184	1	E			YP_010358441.1	YP_010358441.1 hypothetical protein M1M40_gp67 [Halorubrum tailed virus 29]	True	0.941	561	1.021e-180						VOG14654	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334526.1_65	MZ334526	MZ334526.1	65	33224	35998	1	E			YP_010358442.1	YP_010358442.1 baseplate hub [Halorubrum tailed virus 29]	True	0.935	1811	0.0						VOG01754	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334526.1_66	MZ334526	MZ334526.1	66	35995	36294	-1	C	K06218	mRNA interferase RelE/StbE	YP_010358443.1	YP_010358443.1 RelE-like toxin [Halorubrum tailed virus 29]	False	0.911	191	4.0690000000000003e-56						VOG11888	REFSEQ RelE-like toxin; Xu	Xu	0	False	F
MZ334526.1_67	MZ334526	MZ334526.1	67	36423	36602	1	E			YP_010358445.1	YP_010358445.1 hypothetical protein M1M40_gp71 [Halorubrum tailed virus 29]	False	0.99	126	2.648e-34									0	False	F
