L1	L2	L3	KO	Function	EC	Count
Amino acid transport and metabolism	Glutamate synthase domain 3		COG0070	GltB3:Glutamine biosynthesis		1
Posttranslational modification, protein turnover, chaperones	Small heat shock protein IbpA, HSP20 family		COG0071	IbpA:		1
Translation, ribosomal structure and biogenesis	Phenylalanyl-tRNA synthetase beta subunit		COG0072	PheT:Aminoacyl-tRNA synthetases		1
Energy production and conversion	Succinyl-CoA synthetase, alpha subunit		COG0074	SucD:TCA cycle		1
Amino acid transport and metabolism	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG		COG0075	PucG:Serine biosynthesis		1
Nucleotide transport and metabolism	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG		COG0075	PucG:Serine biosynthesis		1
Amino acid transport and metabolism	Ornithine carbamoyltransferase		COG0078	ArgF:Arginine biosynthesis		1
Amino acid transport and metabolism	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase		COG0079	HisC:Cobalamine/B12 biosynthesis		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L11		COG0080	RplK:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L1		COG0081	RplA:Ribosome 50S subunit		1
Amino acid transport and metabolism	Chorismate synthase		COG0082	AroC:Aromatic amino acid biosynthesis		1
Cell motility	3'->5' ssDNA/RNA exonuclease TatD		COG0084	TatD:		1
Transcription	DNA-directed RNA polymerase, beta subunit/140 kD subunit		COG0085	RpoB:RNA polymerase		1
Transcription	DNA-directed RNA polymerase, beta' subunit/160 kD subunit		COG0086	RpoC:RNA polymerase		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L3		COG0087	RplC:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L4		COG0088	RplD:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L23		COG0089	RplW:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L2		COG0090	RplB:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L22		COG0091	RplV:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S3		COG0092	RpsC:Ribosome 30S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L14		COG0093	RplN:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L5		COG0094	RplE:Ribosome 50S subunit		1
Coenzyme transport and metabolism	Lipoate-protein ligase A		COG0095	LplA:Lipoate biosynthesis		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S8		COG0096	RpsH:Ribosome 30S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L6P/L9E		COG0097	RplF:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S5		COG0098	RpsE:Ribosome 30S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S13		COG0099	RpsM:Ribosome 30S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S11		COG0100	RpsK:Ribosome 30S subunit		1
Translation, ribosomal structure and biogenesis	tRNA U38,U39,U40 pseudouridine synthase TruA		COG0101	TruA:tRNA modification		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L13		COG0102	RplM:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S9		COG0103	RpsI:Ribosome 30S subunit		1
Nucleotide transport and metabolism	Adenylosuccinate synthase		COG0104	PurA:Purine biosynthesis		1
Nucleotide transport and metabolism	Nucleoside diphosphate kinase		COG0105	Ndk:Pyrimidine biosynthesis		1
Amino acid transport and metabolism	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase		COG0106	HisA:Histidine biosynthesis		1
Amino acid transport and metabolism	Imidazole glycerol phosphate synthase subunit HisF		COG0107	HisF:Histidine biosynthesis		1
Coenzyme transport and metabolism	Polyprenyltransferase (heme O synthase)		COG0109	CyoE:		1
Lipid transport and metabolism	Polyprenyltransferase (heme O synthase)		COG0109	CyoE:		1
General function prediction only	Acetyltransferase, isoleucine patch superfamily		COG0110	WbbJ:		1
Coenzyme transport and metabolism	Phosphoglycerate dehydrogenase or related dehydrogenase		COG0111	SerA:Serine biosynthesis		1
Amino acid transport and metabolism	Glycine/serine hydroxymethyltransferase		COG0112	GlyA:Serine biosynthesis		1
Coenzyme transport and metabolism	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase		COG0113	HemB:Heme biosynthesis		1
Energy production and conversion	Fumarate hydratase class II		COG0114	FumC:TCA cycle		1
Amino acid transport and metabolism	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase		COG0115	IlvE:Isoleucine, leucine, valine biosynthesis		1
Coenzyme transport and metabolism	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase		COG0115	IlvE:Isoleucine, leucine, valine biosynthesis		1
Translation, ribosomal structure and biogenesis	23S rRNA G2445 N2-methylase RlmL		COG0116	RlmL:23S rRNA modification		1
Amino acid transport and metabolism	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH		COG0118	HisH:Histidine biosynthesis		1
Replication, recombination and repair	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase		COG0122	AlkA:		1
Secondary metabolites biosynthesis, transport and catabolism	Acetoin utilization deacetylase AcuC or a related deacetylase		COG0123	AcuC:		1
Translation, ribosomal structure and biogenesis	Histidyl-tRNA synthetase		COG0124	HisS:Aminoacyl-tRNA synthetases		1
Nucleotide transport and metabolism	Thymidylate kinase		COG0125	Tmk:Thymidylate biosynthesis		1
Carbohydrate transport and metabolism	3-phosphoglycerate kinase		COG0126	Pgk:Glycolysis		1
Nucleotide transport and metabolism	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family		COG0127	RdgB:		1
Amino acid transport and metabolism	5-enolpyruvylshikimate-3-phosphate synthase		COG0128	AroA:Aromatic amino acid biosynthesis		1
Translation, ribosomal structure and biogenesis	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA		COG0130	TruB:tRNA modification		1
Amino acid transport and metabolism	Imidazoleglycerol phosphate dehydratase HisB		COG0131	HisB2:Histidine biosynthesis		1
Amino acid transport and metabolism	Tryptophan synthase beta chain		COG0133	TrpB:Aromatic amino acid biosynthesis		1
Amino acid transport and metabolism	Indole-3-glycerol phosphate synthase		COG0134	TrpC:Aromatic amino acid biosynthesis		1
Amino acid transport and metabolism	Phosphoribosylanthranilate isomerase		COG0135	TrpF:Aromatic amino acid biosynthesis		1
Amino acid transport and metabolism	Aspartate-semialdehyde dehydrogenase		COG0136	Asd:Lysine biosynthesis		1
Amino acid transport and metabolism	Argininosuccinate synthase		COG0137	ArgG:Arginine biosynthesis		1
Nucleotide transport and metabolism	AICAR transformylase/IMP cyclohydrolase PurH		COG0138	PurH:Purine biosynthesis		1
Amino acid transport and metabolism	Phosphoribosyl-AMP cyclohydrolase		COG0139	HisI1:Histidine biosynthesis		1
Amino acid transport and metabolism	Phosphoribosyl-ATP pyrophosphohydrolase		COG0140	HisI2:Histidine biosynthesis		1
Amino acid transport and metabolism	Histidinol dehydrogenase		COG0141	HisD:Histidine biosynthesis		1
Coenzyme transport and metabolism	Geranylgeranyl pyrophosphate synthase		COG0142	IspA:Isoprenoid biosynthesis		1
Translation, ribosomal structure and biogenesis	Methionyl-tRNA synthetase		COG0143	MetG:Aminoacyl-tRNA synthetases		1
Translation, ribosomal structure and biogenesis	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family		COG0144	RsmB:16S rRNA modification		1
Amino acid transport and metabolism	Anthranilate/para-aminobenzoate synthases component I		COG0147	TrpE:Aromatic amino acid biosynthesis		1
Coenzyme transport and metabolism	Anthranilate/para-aminobenzoate synthases component I		COG0147	TrpE:Aromatic amino acid biosynthesis		1
Carbohydrate transport and metabolism	Enolase		COG0148	Eno:Glycolysis		1
Carbohydrate transport and metabolism	Triosephosphate isomerase		COG0149	TpiA:Glycolysis		1
Nucleotide transport and metabolism	Phosphoribosylaminoimidazole (AIR) synthetase		COG0150	PurM:Purine biosynthesis		1
Nucleotide transport and metabolism	Phosphoribosylamine-glycine ligase		COG0151	PurD:Purine biosynthesis		1
Nucleotide transport and metabolism	Phosphoribosylaminoimidazole-succinocarboxamide synthase		COG0152	PurC:Purine biosynthesis		1
Carbohydrate transport and metabolism	Galactokinase		COG0153	GalK:		1
Translation, ribosomal structure and biogenesis	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase		COG0154	GatA:Aminoacyl-tRNA synthetases		1
Coenzyme transport and metabolism	7-keto-8-aminopelargonate synthetase or related enzyme		COG0156	BioF:Biotin biosynthesis		1
Coenzyme transport and metabolism	Nicotinate-nucleotide pyrophosphorylase		COG0157	NadC:NAD biosynthesis		1
Amino acid transport and metabolism	Tryptophan synthase alpha chain		COG0159	TrpA:Aromatic amino acid biosynthesis		1
Translation, ribosomal structure and biogenesis	Tyrosyl-tRNA synthetase		COG0162	TyrS:Aminoacyl-tRNA synthetases		1
Replication, recombination and repair	Ribonuclease HII		COG0164	RnhB:		1
Amino acid transport and metabolism	Argininosuccinate lyase		COG0165	ArgH:Arginine biosynthesis		1
Carbohydrate transport and metabolism	Glucose-6-phosphate isomerase		COG0166	Pgi:Glycolysis		1
Nucleotide transport and metabolism	Dihydroorotate dehydrogenase		COG0167	PyrD:Pyrimidine biosynthesis		1
Inorganic ion transport and metabolism	Trk-type K+ transport system, membrane component		COG0168	TrkG:		1
Amino acid transport and metabolism	Shikimate 5-dehydrogenase		COG0169	AroE:Aromatic amino acid biosynthesis		1
Posttranslational modification, protein turnover, chaperones	Dolichol kinase		COG0170	SEC59:		1
Cell wall/membrane/envelope biogenesis	Dolichol kinase		COG0170	SEC59:		1
Coenzyme transport and metabolism	NH3-dependent NAD+ synthetase		COG0171	NadE:NAD biosynthesis		1
Translation, ribosomal structure and biogenesis	Seryl-tRNA synthetase		COG0172	SerS:Aminoacyl-tRNA synthetases		1
Translation, ribosomal structure and biogenesis	Aspartyl-tRNA synthetase		COG0173	AspS:Aminoacyl-tRNA synthetases		1
Amino acid transport and metabolism	Glutamine synthetase		COG0174	GlnA:Glutamine biosynthesis		1
Amino acid transport and metabolism	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme		COG0175	CysD:Cysteine biosynthesis		1
Coenzyme transport and metabolism	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme		COG0175	CysD:Cysteine biosynthesis		1
Carbohydrate transport and metabolism	Transaldolase/fructose-6-phosphate aldolase		COG0176	TalA:Pentose phosphate pathway		1
Replication, recombination and repair	Endonuclease III		COG0177	Nth:		1
Replication, recombination and repair	Excinuclease UvrABC ATPase subunit		COG0178	UvrA:		1
Secondary metabolites biosynthesis, transport and catabolism	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)		COG0179	YcgM:		1
Translation, ribosomal structure and biogenesis	Tryptophanyl-tRNA synthetase		COG0180	TrpS:Aminoacyl-tRNA synthetases		1
Coenzyme transport and metabolism	Porphobilinogen deaminase		COG0181	HemC:Heme biosynthesis		1
Amino acid transport and metabolism	5-methylthioribose/5-deoxyribulose 1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit		COG0182	MtnA:		1
Lipid transport and metabolism	Acetyl-CoA acetyltransferase		COG0183	PaaJ:Fatty acid biosynthesis		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S15P/S13E		COG0184	RpsO:Ribosome 30S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S19		COG0185	RpsS:Ribosome 30S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S17		COG0186	RpsQ:Ribosome 30S subunit		1
Replication, recombination and repair	DNA gyrase/topoisomerase IV, subunit B		COG0187	GyrB:		1
Replication, recombination and repair	DNA gyrase/topoisomerase IV, subunit A		COG0188	GyrA:		1
Amino acid transport and metabolism	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily		COG0189	LysX:Lysine biosynthesis		1
Coenzyme transport and metabolism	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily		COG0189	LysX:Lysine biosynthesis		1
Translation, ribosomal structure and biogenesis	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily		COG0189	LysX:Lysine biosynthesis		1
Secondary metabolites biosynthesis, transport and catabolism	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily		COG0189	LysX:Lysine biosynthesis		1
Coenzyme transport and metabolism	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase		COG0190	FolD:		1
Carbohydrate transport and metabolism	Fructose/tagatose bisphosphate aldolase		COG0191	Fba:Glycolysis		1
Coenzyme transport and metabolism	S-adenosylmethionine synthetase		COG0192	MetK:Methionine biosynthesis		1
Translation, ribosomal structure and biogenesis	Peptidyl-tRNA hydrolase		COG0193	Pth:Translation factors		1
Nucleotide transport and metabolism	Guanylate kinase		COG0194	Gmk:		1
Transcription	Transcription antitermination factor NusA, contains S1 and KH domains		COG0195	NusA:		1
Coenzyme transport and metabolism	FAD synthase		COG0196	RibF:Riboflavin/FAD biosynthesis		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L16/L10AE		COG0197	RplP:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L24		COG0198	RplX:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S14		COG0199	RpsN:Ribosome 30S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L15		COG0200	RplO:Ribosome 50S subunit		1
Intracellular trafficking, secretion, and vesicular transport	Preprotein translocase subunit SecY		COG0201	SecY:		1
Transcription	DNA-directed RNA polymerase, alpha subunit/40 kD subunit		COG0202	RpoA:RNA polymerase		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L17		COG0203	RplQ:Ribosome 50S subunit		1
Lipid transport and metabolism	1-acyl-sn-glycerol-3-phosphate acyltransferase		COG0204	PlsC:Phospholipid biosynthesis		1
Carbohydrate transport and metabolism	6-phosphofructokinase		COG0205	PfkA:Glycolysis		1
Cell cycle control, cell division, chromosome partitioning	Cell division GTPase FtsZ		COG0206	FtsZ:		1
Nucleotide transport and metabolism	Thymidylate synthase		COG0207	ThyA:Thymidylate biosynthesis		1
Nucleotide transport and metabolism	Ribonucleotide reductase beta subunit, ferritin-like domain		COG0208	NrdB:Pyrimidine salvage		1
Nucleotide transport and metabolism	Ribonucleotide reductase alpha subunit		COG0209	NrdA:Pyrimidine salvage		1
Replication, recombination and repair	Superfamily I DNA or RNA helicase		COG0210	UvrD:		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L27		COG0211	RpmA:Ribosome 50S subunit		1
Coenzyme transport and metabolism	5-formyltetrahydrofolate cyclo-ligase		COG0212	FAU1:		1
Nucleotide transport and metabolism	Thymidine phosphorylase		COG0213	DeoA:Pyrimidine salvage		1
Coenzyme transport and metabolism	Pyridoxal 5'-phosphate synthase subunit PdxS		COG0214	PdxS:Pyridoxal phosphate biosynthesis		1
Translation, ribosomal structure and biogenesis	Cysteinyl-tRNA synthetase		COG0215	CysS:Aminoacyl-tRNA synthetases		1
Translation, ribosomal structure and biogenesis	Protein chain release factor RF1		COG0216	PrfA:Translation factors		1
Transcription	Transcriptional and/or translational regulatory protein YebC/TACO1		COG0217	TACO1:		1
Translation, ribosomal structure and biogenesis	Transcriptional and/or translational regulatory protein YebC/TACO1		COG0217	TACO1:		1
Cell cycle control, cell division, chromosome partitioning	GTP-binding protein EngB required for normal cell division		COG0218	EngB:		1
Translation, ribosomal structure and biogenesis	tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain		COG0219	TrmL:tRNA modification		1
Translation, ribosomal structure and biogenesis	tRNA G46 N7-methylase TrmB		COG0220	TrmB:tRNA modification		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L7/L12		COG0222	RplL:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Methionyl-tRNA formyltransferase		COG0223	Fmt:		1
Energy production and conversion	FoF1-type ATP synthase, gamma subunit		COG0224	AtpG:FoF1-type ATP synthase		1
Inorganic ion transport and metabolism	ABC-type phosphate transport system, periplasmic component		COG0226	PstS:		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L28		COG0227	RpmB:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S16		COG0228	RpsP:Ribosome 30S subunit		1
Posttranslational modification, protein turnover, chaperones	Peptide methionine sulfoxide reductase MsrB		COG0229	MsrB:		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L34		COG0230	RpmH:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)		COG0231	Efp:Translation factors		1
Translation, ribosomal structure and biogenesis	Ribosome recycling factor		COG0233	Frr:		1
Posttranslational modification, protein turnover, chaperones	Co-chaperonin GroES (HSP10)		COG0234	GroES:		1
Amino acid transport and metabolism	5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation)		COG0235	AraD:Urea cycle		1
Carbohydrate transport and metabolism	5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation)		COG0235	AraD:Urea cycle		1
Coenzyme transport and metabolism	Dephospho-CoA kinase		COG0237	CoaE:Pantothenate/CoA biosynthesis		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S18		COG0238	RpsR:Ribosome 30S subunit		1
Cell cycle control, cell division, chromosome partitioning	Fluoride ion exporter CrcB/FEX, affects chromosome condensation		COG0239	CrcB:		1
Inorganic ion transport and metabolism	Fluoride ion exporter CrcB/FEX, affects chromosome condensation		COG0239	CrcB:		1
Energy production and conversion	Glycerol-3-phosphate dehydrogenase		COG0240	GpsA:Isoprenoid biosynthesis		1
Translation, ribosomal structure and biogenesis	Peptide deformylase		COG0242	Def:		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L10		COG0244	RplJ:Ribosome 50S subunit		1
Lipid transport and metabolism	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase		COG0245	IspF:Isoprenoid biosynthesis		1
Carbohydrate transport and metabolism	Mannitol-1-phosphate/altronate dehydrogenases		COG0246	MtlD:		1
Nucleotide transport and metabolism	Exopolyphosphatase/pppGpp-phosphohydrolase		COG0248	GppA:		1
Signal transduction mechanisms	Exopolyphosphatase/pppGpp-phosphohydrolase		COG0248	GppA:		1
Replication, recombination and repair	DNA mismatch repair ATPase MutS		COG0249	MutS:		1
Transcription	Transcription termination/antitermination protein NusG		COG0250	NusG:		1
Translation, ribosomal structure and biogenesis	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D		COG0252	AnsA:		1
Amino acid transport and metabolism	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D		COG0252	AnsA:		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L31		COG0254	RpmE:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L29		COG0255	RpmC:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L18		COG0256	RplR:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L36		COG0257	RpmJ:Ribosome 50S subunit		1
Replication, recombination and repair	5'-3' exonuclease Xni/ExoIX (flap endonuclease)		COG0258	ExoIX:		1
Amino acid transport and metabolism	Leucyl aminopeptidase		COG0260	PepB:		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L21		COG0261	RplU:Ribosome 50S subunit		1
Coenzyme transport and metabolism	Dihydrofolate reductase		COG0262	FolA:Folate biosynthesis		1
Translation, ribosomal structure and biogenesis	Translation elongation factor EF-Ts		COG0264	Tsf:Translation factors		1
Posttranslational modification, protein turnover, chaperones	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain		COG0265	DegQ:		1
Replication, recombination and repair	Formamidopyrimidine-DNA glycosylase		COG0266	Nei:		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L33		COG0267	RpmG:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S20		COG0268	RpsT:Ribosome 30S subunit		1
Replication, recombination and repair	NAD-dependent DNA ligase		COG0272	Lig:		1
Nucleotide transport and metabolism	Deoxyribose-phosphate aldolase		COG0274	DeoC:		1
Translation, ribosomal structure and biogenesis	16S rRNA C1402 N4-methylase RsmH		COG0275	RmsH:16S rRNA modification		1
Coenzyme transport and metabolism	Protoheme ferro-lyase (ferrochelatase)		COG0276	HemH:Heme biosynthesis		1
Energy production and conversion	FAD/FMN-containing lactate dehydrogenase/glycolate oxidase		COG0277	GlcD:		1
Posttranslational modification, protein turnover, chaperones	Glutaredoxin-related protein		COG0278	GrxD:		1
Energy production and conversion	Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase)		COG0280	Pta:		1
Energy production and conversion	Malic enzyme		COG0281	SfcA:Urea cycle		1
Energy production and conversion	Acetate kinase		COG0282	AckA:		1
Nucleotide transport and metabolism	Cytidylate kinase		COG0283	Cmk:		1
Nucleotide transport and metabolism	Orotidine-5'-phosphate decarboxylase		COG0284	PyrF:Pyrimidine biosynthesis		1
Coenzyme transport and metabolism	Folylpolyglutamate synthase/Dihydropteroate synthase		COG0285	FolC:Folate biosynthesis		1
Defense mechanisms	Type I restriction-modification system, DNA methylase subunit		COG0286	HsdM:		1
Inorganic ion transport and metabolism	Carbonic anhydrase		COG0288	CynT:		1
