L1	L2	ID	Function	Gene
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF033078.2	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase	aac(6')
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF000140.3	cryptic aminoglycoside N-acetyltransferase AAC(6')-Iy/Iaa	aac(6')
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF000021.4	aminoglycoside 6'-N-acetyltransferase	aac(6')
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF033075.0	aminoglycoside 6'-N-acetyltransferase	aac(6')
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF000225.3	aminoglycoside 6'-N-acetyltransferase	aac(6')
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF033076.0	aminoglycoside 6'-N-acetyltransferase	aac(6')
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF000050.2	aminoglycoside 6'-N-acetyltransferase AAC(6')-29	aac(6')-29
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF033077.0	aminoglycoside 6'-N-acetyltransferase AAC(6')-30	aac(6')-30
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF000118.3	aminoglycoside N-acetyltransferase AAC(6')-31	aac(6')-31
AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	NF000224.3	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase	aac(6')-I
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF000165.3	aminoglycoside N-acetyltransferase AAC(6')-Ii	aac(6')-I
AMINOGLYCOSIDE	TOBRAMYCIN	NF038102.1	tobramycin N-acetyltransferase AAC(6')-III	aac(6')-III
AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	NF000135.2	aminoglycoside N-acetyltransferase AAC(6')-IIc	aac(6')-IIc
AMINOGLYCOSIDE	AMIKACIN/TOBRAMYCIN	NF000115.2	aminoglycoside N-acetyltransferase AAC(6')-Iad	aac(6')-Iad
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF000497.1	aminoglycoside N-acetyltransferase AAC(6')-Iak	aac(6')-Iak
AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	NF000431.1	aminoglycoside N-acetyltransferase AAC(6')-Ian	aac(6')-Ian
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF033074.0	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	aac(6')-Ib
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF033374.6	aminoglycoside N-acetyltransferase AAC(6')-Id	aac(6')-Id
AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	NF000507.1	aminoglycoside N-acetyltransferase AAC(6')-Ie	aac(6')-Ie
AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	NF033693.0	AAC(6')-Ie family aminoglycoside N-acetyltransferase	aac(6')-Ie
AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	NF000110.2	aminoglycoside N-acetyltransferase AAC(6')-If	aac(6')-If
AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	NF000158.2	aminoglycoside N-acetyltransferase AAC(6')-Il	aac(6')-Il
AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	NF000016.1	aminoglycoside N-acetyltransferase AAC(6')-Im	aac(6')-Im
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF000486.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-Ip	aac(6')-Ip
AMINOGLYCOSIDE	TOBRAMYCIN	NF000138.1	aminoglycoside N-acetyltransferase AAC(6')-Iz	aac(6')-Iz
AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	NF033151.0	AAC(6')-I family aminoglycoside 6'-N-acetyltransferase	aacA10
AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	NF000123.2	aminoglycoside 6'-N-acetyltransferase AacA34	aacA34
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF000152.2	aminoglycoside 6'-N-acetyltransferase AacA37	aacA37
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF000048.1	aminoglycoside 6'-N-acetyltransferase AacA40	aacA40
AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	NF033130.1	AacA48 family aminoglycoside 6'-N-acetyltransferase	aacA48
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF033150.1	aminoglycoside 6'-N-acetyltransferase AacA49	aacA49
AMINOGLYCOSIDE	STREPTOMYCIN	NF033126.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	aadA1
AMINOGLYCOSIDE	STREPTOMYCIN	NF033127.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3	aadA3
AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	NF000181.1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	aadD1
AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	NF000079.1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ib	aadD2
AMINOGLYCOSIDE	STREPTOMYCIN	NF000312.1	aminoglycoside 6-adenylyltransferase AadK	aadK
AMINOGLYCOSIDE	STREPTOMYCIN	NF033387.1	AadS family aminoglycoside 6-adenylyltransferase	aadS
MACROLIDE	MACROLIDE	NF000355.3	ABC-F type ribosomal protection protein	abc-f
MACROLIDE	MACROLIDE	NF000171.1	TlrC/CarA/OleB/SrmB family ABC-F type ribosomal protection protein	abc-f
EFFLUX	EFFLUX	NF033142.1	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC	adeC
BETA-LACTAM	BETA-LACTAM	NF012173.1	CMY2/MIR/ACT/EC family class C beta-lactamase	ampC
BETA-LACTAM	CEPHALOSPORIN	NF041666.1	CMY2-MIR-ACT-EC family cephalosporin-hydrolyzing class C beta-lactamase	ampC
BETA-LACTAM	CEPHALOSPORIN	NF041662.1	CMY2-MIR-ACT-EC family cephalosporin-hydrolyzing class C beta-lactamase	ampC
BETA-LACTAM	CEPHALOSPORIN	NF041663.1	cephalosporin-hydrolyzing class C beta-lactamase	ampC
BETA-LACTAM	BETA-LACTAM	NF033085.1	class C beta-lactamase	ampC
BETA-LACTAM	BETA-LACTAM	NF012172.1	FOX/MOX family class C beta-lactamase	ampC
AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	NF000064.3	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	ant(2'')-Ia
AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	NF012157.0	AadA family aminoglycoside 3''-O-nucleotidyltransferase	ant(3'')
AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	NF033220.1	ANT(3'')-II family aminoglycoside nucleotidyltransferase	ant(3'')-II
AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	NF028535.0	ANT(4')-II family aminoglycoside nucleotidyltransferase	ant(4')
AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	NF033061.1	ANT(4')-I family aminoglycoside nucleotidyltransferase	ant(4')-I
AMINOGLYCOSIDE	STREPTOMYCIN	NF033084.2	aminoglycoside 6-adenylyltransferase	ant(6)
AMINOGLYCOSIDE	SPECTINOMYCIN	NF012212.0	aminoglycoside nucleotidyltransferase ANT(9)	ant(9)
AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	NF000076.3	APH(2'')-Ie/IVa family aminoglycoside O-phosphotransferase	aph(2'')
AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	NF033692.1	APH(2'')-Ia/If/Ih family aminoglycoside O-phosphotransferase	aph(2'')-I
AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	NF000498.2	APH(2'')-If/Ih family aminoglycoside O-phosphotransferase	aph(2'')-I
AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	NF000044.2	aminoglycoside O-phosphotransferase APH(2'')-IIIa	aph(2'')-IIIa
AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	NF000015.3	aminoglycoside O-phosphotransferase APH(2'')-IIa	aph(2'')-IIa
AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	NF000508.1	aminoglycoside O-phosphotransferase APH(2'')-Ia	aph(2'')-Ia
AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	NF000132.2	aminoglycoside O-phosphotransferase APH(2'')-Ig	aph(2'')-Ig
AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	NF041446.1	aminoglycoside O-phosphotransferase APH(2'')-Ii	aph(2'')-Ii
AMINOGLYCOSIDE	STREPTOMYCIN	NF032896.1	APH(3'') family aminoglycoside O-phosphotransferase	aph(3'')
AMINOGLYCOSIDE	STREPTOMYCIN	NF032894.1	aminoglycoside O-phosphotransferase APH(3'')-Ia	aph(3'')-Ia
AMINOGLYCOSIDE	STREPTOMYCIN	NF032895.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	aph(3'')-Ib
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF033068.1	APH(3') family aminoglycoside O-phosphotransferase	aph(3')
AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase	aph(3')-I
AMINOGLYCOSIDE	KANAMYCIN	NF032898.1	APH(3')-II family aminoglycoside O-phosphotransferase	aph(3')-II
AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	NF033064.0	aminoglycoside O-phosphotransferase APH(3')-IIIa	aph(3')-IIIa
AMINOGLYCOSIDE	KANAMYCIN	NF033065.0	aminoglycoside O-phosphotransferase APH(3')-IVa	aph(3')-IVa
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF032897.1	APH(3')-V family aminoglycoside O-phosphotransferase	aph(3')-V
AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	NF033062.0	APH(3')-VI family aminoglycoside O-phosphotransferase	aph(3')-VI
AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	NF033066.0	aminoglycoside O-phosphotransferase APH(3')-VIII	aph(3')-VIII
AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	NF033067.1	aminoglycoside O-phosphotransferase APH(3')-VIIa	aph(3')-VIIa
AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	NF033063.0	aminoglycoside O-phosphotransferase APH(3')-XV	aph(3')-XV
AMINOGLYCOSIDE	HYGROMYCIN	NF000107.2	aminoglycoside O-phosphotransferase APH(4)-Ia	aph(4)-Ia
AMINOGLYCOSIDE	AMINOGLYCOSIDE	NF012160.0	APH(6) family putative aminoglycoside O-phosphotransferase	aph(6)
AMINOGLYCOSIDE	STREPTOMYCIN	NF012171.0	APH(6)-I family aminoglycoside O-phosphotransferase	aph(6)-I
AMINOGLYCOSIDE	STREPTOMYCIN	NF033614.1	APH(6)-I family aminoglycoside O-phosphotransferase	aph(6)-I
AMINOGLYCOSIDE	STREPTOMYCIN	NF000011.2	aminoglycoside O-phosphotransferase APH(6)-Ic	aph(6)-Ic
AMINOGLYCOSIDE	HYGROMYCIN	NF000137.2	aminoglycoside O-phosphotransferase APH(7'')-Ia	aph(7'')-Ia
AMINOGLYCOSIDE	SPECTINOMYCIN	NF000052.4	aminoglycoside O-phosphotransferase APH(9)-Ia	aph(9)-Ia
AMINOGLYCOSIDE	SPECTINOMYCIN	NF000029.2	aminoglycoside O-phosphotransferase APH(9)-Ib	aph(9)-Ib
AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	NF033112.0	aminoglycoside 3'-O-phosphotransferase AphA16	aphA16
AMINOGLYCOSIDE	APRAMYCIN	NF000084.1	aminocyclitol acetyltransferase ApmA	apmA
RIFAMYCIN	RIFAMYCIN	NF033144.1	NAD(+)--rifampin ADP-ribosyltransferase	arr
RIFAMYCIN	RIFAMYCIN	NF000066.1	NAD(+)--rifampin ADP-ribosyltransferase	arr
RIFAMYCIN	RIFAMYCIN	NF000318.1	NAD(+)--rifampin ADP-ribosyltransferase	arr
ARSENIC	ARSENITE	NF033877.0	arsenite efflux transporter membrane subunit ArsB	arsB
ARSENIC	ARSENATE	NF007456.1	glutaredoxin-dependent arsenate reductase	arsC
ARSENIC	ARSENITE	NF033727.1	arsenite efflux transporter metallochaperone ArsD	arsD
ARSENIC	ARSENIC	NF040503.1	arsinothricin resistance N-acetyltransferase ArsN1 family A	arsN1
ARSENIC	ARSENIC	NF040504.1	arsinothricin resistance N-acetyltransferase ArsN1 family B	arsN1
ARSENIC	ARSENIC	NF040501.1	arsenic resistance N-acetyltransferase ArsN2	arsN2
		NF033636.1	acid resistance repetitive basic protein Asr	asr
		NF033646.1	heat-stable enterotoxin EAST1	astA
BACITRACIN	BACITRACIN	NF033469.1	quaternary ammonium compound efflux SMR transporter BcrB	bcrB
BACITRACIN	BACITRACIN	NF033470.1	quaternary ammonium compound efflux SMR transporter BcrC	bcrC
BETA-LACTAM	BETA-LACTAM	NF033103.1	class A beta-lactamase	bla
BETA-LACTAM	BETA-LACTAM	NF012099.1	class A beta-lactamase, subclass A2	bla
BETA-LACTAM	CARBAPENEM	NF000538.0	carbapenem-hydrolyzing class A beta-lactamase	bla
BETA-LACTAM	BETA-LACTAM	NF012167.0	class A beta-lactamase	bla
BETA-LACTAM	BETA-LACTAM	NF012229.1	metallo-beta-lactamase	bla
BETA-LACTAM	BETA-LACTAM	NF033088.2	subclass B1 metallo-beta-lactamase	bla
BETA-LACTAM	CARBAPENEM	NF041269.1	subclass B1 metallo-beta-lactamase, long type	bla
BETA-LACTAM	BETA-LACTAM	NF033087.1	subclass B2 metallo-beta-lactamase	bla
BETA-LACTAM	BETA-LACTAM	NF033105.1	subclass B3 metallo-beta-lactamase	bla
BETA-LACTAM	BETA-LACTAM	NF033096.1	class A beta-lactamase Bla1	bla
BETA-LACTAM	BETA-LACTAM	NF012146.1	BlaB/IND/MUS family subclass B1 metallo-beta-lactamase	bla
BETA-LACTAM	BETA-LACTAM	NF033626.2	BKC/GPC family carbapenem-hydrolyzing class A beta-lactamase	bla
BETA-LACTAM	BETA-LACTAM	NF012137.0	MUS/TUS/MOC family subclass B1 metallo-beta-lactamase	bla
BETA-LACTAM	BETA-LACTAM	NF000275.2	PLA/ORN/TER family class A beta-lactamase	bla
BETA-LACTAM	BETA-LACTAM	NF012225.0	SFH-related subclass B2 metallo-beta-lactamase	bla
BETA-LACTAM	BETA-LACTAM	NF033141.0	BlaZ-like penicillin-hydrolyzing class A beta-lactamase	bla
BETA-LACTAM	BETA-LACTAM	NF000447.2	CGA/CIA family class A beta-lactamase	bla-A
BETA-LACTAM	CARBAPENEM	NF000450.2	subclass B1 metallo-beta-lactamase	bla-B1-FLAV
BETA-LACTAM	CARBAPENEM	NF033095.1	BcII family subclass B1 metallo-beta-lactamase	bla2
BETA-LACTAM	BETA-LACTAM	NF033099.1	Exo family class A beta-lactamase	bla2a
BETA-LACTAM	BETA-LACTAM	NF033152.0	class A beta-lactamase BlaA	blaA
BETA-LACTAM	BETA-LACTAM	NF038195.1	AAK family class A beta-lactamase	blaAAK
BETA-LACTAM	CEPHALOSPORIN	NF000397.2	ACC family cephalosporin-hydrolyzing class C beta-lactamase	blaACC
BETA-LACTAM	CEPHALOSPORIN	NF000448.2	ACI family class A beta-lactamase	blaACI
BETA-LACTAM	CEPHALOSPORIN	NF000385.4	ACT family cephalosporin-hydrolyzing class C beta-lactamase	blaACT
BETA-LACTAM	CEPHALOSPORIN	NF000425.2	ADC family extended-spectrum class C beta-lactamase	blaADC
BETA-LACTAM	CARBAPENEM	NF033736.1	AFM family subclass B1 metallo-beta-lactamase	blaAFM
BETA-LACTAM	CARBAPENEM	NF000439.2	AIM family subclass B3 metallo-beta-lactamase	blaAIM
BETA-LACTAM	CARBAPENEM	NF033582.2	ALI family subclass B1 metallo-beta-lactamase	blaALI
BETA-LACTAM	CEPHALOSPORIN	NF041741.1	AMZ family class C beta-lactamase	blaAMZ
BETA-LACTAM	BETA-LACTAM	NF033467.0	AQU family class C beta-lactamase	blaAQU
BETA-LACTAM	BETA-LACTAM	NF033386.1	ARL family class A beta-lactamase	blaARL
BETA-LACTAM	CARBAPENEM	NF033929.1	AXC family carbapenem-hydrolyzing class A beta-lactamase	blaAXC
BETA-LACTAM	CARBAPENEM	NF033107.1	BlaB family subclass B1 metallo-beta-lactamase	blaB
BETA-LACTAM	CARBAPENEM	NF000453.2	PEDO-3 family subclass B1 metallo-beta-lactamase	blaB1PEDO
BETA-LACTAM	CARBAPENEM	NF000457.2	PEDO-1 family subclass B3 metallo-beta-lactamase	blaB3PEDO
BETA-LACTAM	CARBAPENEM	NF000458.2	PEDO-2 family subclass B3 metallo-beta-lactamase	blaB3PEDO
BETA-LACTAM	BETA-LACTAM	NF033714.1	BBI family class A beta-lactamase	blaBBI
BETA-LACTAM	BETA-LACTAM	NF033060.0	BCL family class A beta-lactamase	blaBCL
BETA-LACTAM	CEPHALOSPORIN	NF000398.2	BEL family extended-spectrum class A beta-lactamase	blaBEL
BETA-LACTAM	CEPHALOSPORIN	NF000451.2	BES family class A beta-lactamase	blaBES
BETA-LACTAM	CARBAPENEM	NF000449.2	BIC family carbapenem-hydrolyzing class A beta-lactamase	blaBIC
BETA-LACTAM	CARBAPENEM	NF041846.1	BIM family subclass B1 metallo-beta-lactamase	blaBIM
BETA-LACTAM	CARBAPENEM	NF012140.0	BJP family subclass B3 metallo-beta-lactamase	blaBJP
BETA-LACTAM	CARBAPENEM	NF000413.2	BKC family carbapenem-hydrolyzing class A beta-lactamase	blaBKC
BETA-LACTAM	BETA-LACTAM	NF040659.1	BOR family class A beta-lactamase	blaBOR
BETA-LACTAM	BETA-LACTAM	NF012098.1	BPU family class D beta-lactamase	blaBPU
BETA-LACTAM	BETA-LACTAM	NF038238.1	BUT family class C beta-lactamase	blaBUT
BETA-LACTAM	BETA-LACTAM	NF041154.1	class A beta-lactamase BlaC	blaC
BETA-LACTAM	CEPHALOSPORIN	NF041590.1	CAE family broad-spectrum class A beta-lactamase	blaCAE
BETA-LACTAM	CARBAPENEM	NF033895.1	CAM family subclass B1 metallo-beta-lactamase	blaCAM
BETA-LACTAM	CARBAPENEM	NF000469.2	CAR family subclass B3 metallo-beta-lactamase	blaCAR
BETA-LACTAM	BETA-LACTAM	NF000188.2	CARB family carbenicillin-hydrolyzing class A beta-lactamase	blaCARB
BETA-LACTAM	BETA-LACTAM	NF000481.1	CARB/PSE/RTG family carbenicillin-hydrolyzing class A beta-lactamase	blaCARB
BETA-LACTAM	CARBAPENEM	NF000427.2	CAU/MBL1b family subclass B3 metallo-beta-lactamase	blaCAU
BETA-LACTAM	BETA-LACTAM	NF000517.2	CBP family penicillin-hydrolyzing class A beta-lactamase	blaCBP
BETA-LACTAM	BETA-LACTAM	NF033866.1	CDD family class D beta-lactamase	blaCDD
BETA-LACTAM	CARBAPENEM	NF041758.1	CHM family subclass B1 metallo-beta-lactamase	blaCHM
BETA-LACTAM	CEPHALOSPORIN	NF000446.2	CIA family extended-spectrum class A beta-lactamase	blaCIA
BETA-LACTAM	CARBAPENEM	NF041441.1	CIM family subclass B1 metallo-beta-lactamase	blaCIB
BETA-LACTAM	CEPHALOTHIN	NF033700.1	CMA family class C beta-lactamase	blaCMA
BETA-LACTAM	CEPHALOSPORIN	NF000511.2	CME family extended-spectrum class A beta-lactamase	blaCME
BETA-LACTAM	BETA-LACTAM	NF000419.2	CMH family class C beta-lactamase	blaCMH
BETA-LACTAM	CEPHALOSPORIN	NF000191.1	CMY-2 family class C beta-lactamase	blaCMY
BETA-LACTAM	CARBAPENEM	NF000454.2	CPS family subclass B3 metallo-beta-lactamase	blaCPS
BETA-LACTAM	CARBAPENEM	NF033211.1	CRH family carbapenem-hydrolyzing class A beta-lactamase	blaCRH
BETA-LACTAM	CARBAPENEM	NF040548.1	CRP family carbapenem-hydrolyzing class A beta-lactamase	blaCRP
BETA-LACTAM	CEPHALOTHIN	NF033698.1	CSA family class C beta-lactamase	blaCSA
BETA-LACTAM	CEPHALOSPORIN	NF033089.1	CTX-M family extended-spectrum class A beta-lactamase	blaCTX-M
BETA-LACTAM	CARBAPENEM	NF038046.1	CVI family subclass B2 metallo-beta-lactamase	blaCVI
BETA-LACTAM	CEPHALOSPORIN	NF012102.1	DHA family class C beta-lactamase	blaDHA
BETA-LACTAM	CARBAPENEM	NF000445.2	DIM family subclass B1 metallo-beta-lactamase	blaDIM
BETA-LACTAM	CARBAPENEM	NF012145.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	blaDIM
BETA-LACTAM	CEPHALOSPORIN	NF040470.1	EAM family subclass B3 metallo-beta-lactamase	blaEAM
BETA-LACTAM	CARBAPENEM	NF000444.3	EBR family subclass B1 metallo-beta-lactamase	blaEBR
BETA-LACTAM	BETA-LACTAM	NF000185.2	BlaEC family class C beta-lactamase	blaEC
BETA-LACTAM	CEPHALOSPORIN	NF040468.1	ECM family subclass B3 metallo-beta-lactamase	blaECM
BETA-LACTAM	CARBAPENEM	NF040469.1	EFM family subclass B3 metallo-beta-lactamase	blaEFM
BETA-LACTAM	CARBAPENEM	NF000455.2	ESP-1 family subclass B3 metallo-beta-lactamase	blaESP
BETA-LACTAM	CARBAPENEM	NF000216.2	FEZ family subclass B3 metallo-beta-lactamase	blaFEZ
BETA-LACTAM	CARBAPENEM	NF000437.2	FIM family subclass B1 metallo-beta-lactamase	blaFIM
BETA-LACTAM	BETA-LACTAM	NF000323.2	FONA family class A beta-lactamase	blaFONA
BETA-LACTAM	CEPHALOSPORIN	NF000399.2	FOX family cephalosporin-hydrolyzing class C beta-lactamase	blaFOX
BETA-LACTAM	CARBAPENEM	NF000428.4	FRI family carbapenem-hydrolyzing class A beta-lactamase	blaFRI
BETA-LACTAM	BETA-LACTAM	NF000513.2	FTU family class A beta-lactamase	blaFTU
BETA-LACTAM	CEPHALOSPORIN	NF012103.0	GES family class A beta-lactamase	blaGES
BETA-LACTAM	BETA-LACTAM	NF000505.2	GIL family class A beta-lactamase	blaGIL
BETA-LACTAM	CARBAPENEM	NF000396.3	GIM family subclass B1 metallo-beta-lactamase	blaGIM
BETA-LACTAM	BETA-LACTAM	NF040812.1	GMA family class A beta-lactamase	blaGMA
BETA-LACTAM	CARBAPENEM	NF038103.1	GMB family subclass B1 metallo-beta-lactamase	blaGMB
BETA-LACTAM	CARBAPENEM	NF012101.1	GOB family subclass B3 metallo-beta-lactamase	blaGOB
BETA-LACTAM	BETA-LACTAM	NF040780.1	HBL family class A beta-lactamase	blaHBL
BETA-LACTAM	BETA-LACTAM	NF040940.1	HER family class A beta-lactamase	blaHER
BETA-LACTAM	CARBAPENEM	NF041161.1	HMB family subclass B1 metallo-beta-lactamase	blaHMB
BETA-LACTAM	BETA-LACTAM	NF000186.1	penicillinase repressor BlaI	blaI
BETA-LACTAM	BETA-LACTAM	NF038069.1	IDC family class C beta-lactamase	blaIDC
BETA-LACTAM	BETA-LACTAM	NF041270.1	class A beta-lactamase BlaIII	blaIII
BETA-LACTAM	CARBAPENEM	NF000400.2	IMI family carbapenem-hydrolyzing class A beta-lactamase	blaIMI
BETA-LACTAM	CARBAPENEM	NF012147.1	IMP family subclass B1 metallo-beta-lactamase	blaIMP
BETA-LACTAM	CARBAPENEM	NF012149.0	IND family subclass B1 metallo-beta-lactamase	blaIND
BETA-LACTAM	BETA-LACTAM	NF041189.1	KBL family class A beta-lactamase	blaKBL
BETA-LACTAM	CARBAPENEM	NF041632.1	KHM family subclass B1 metallo-beta-lactamase	blaKHM
BETA-LACTAM	CARBAPENEM	NF012148.0	KHM/HMB family subclass B1 metallo-beta-lactamase	blaKHM-HMB
BETA-LACTAM	CEPHALOSPORIN	NF000452.2	KLUC family extended-spectrum class A beta-lactamase	blaKLUC
BETA-LACTAM	CARBAPENEM	NF012141.0	KPC family carbapenem-hydrolyzing class A beta-lactamase	blaKPC
BETA-LACTAM	BETA-LACTAM	NF033101.0	BlaL family class A beta-lactamase	blaL
BETA-LACTAM	CARBAPENEM	NF033106.1	L1 family subclass B3 metallo-beta-lactamase	blaL1
BETA-LACTAM	BETA-LACTAM	NF000383.2	LAP family class A beta-lactamase	blaLAP
BETA-LACTAM	BETA-LACTAM	NF040478.1	LAQ family class C beta-lactamase	blaLAQ
BETA-LACTAM	BETA-LACTAM	NF000233.2	LEN family class A beta-lactamase	blaLEN
BETA-LACTAM	BETA-LACTAM	NF033569.1	LHK family class C beta-lactamase	blaLHK
BETA-LACTAM	CEPHALOSPORIN	NF000324.2	LUT family class A beta-lactamase	blaLUT
BETA-LACTAM	CARBAPENEM	NF041113.1	MAB family class A beta-lactamase	blaMAB
BETA-LACTAM	BETA-LACTAM	NF033406.1	MCA family class C beta-lactamase	blaMCA
BETA-LACTAM	CEPHALOSPORIN	NF000187.3	MIR family cephalosporin-hydrolyzing class C beta-lactamase	blaMIR
BETA-LACTAM	CEPHALOSPORIN	NF000239.3	CMY-1/MOX family class C beta-lactamase	blaMOX
BETA-LACTAM	CARBAPENEM	NF000456.2	MSI-1 family subclass B3 metallo-beta-lactamase	blaMSI
