NC_048100_orf126	a8010cbecb92cd80232a2df5ec4c2074	715	Pfam	PF10145	Phage-related minor tail protein	104	288	1.4E-10	T	24-06-2023	IPR010090	Phage tail tape measure protein
NC_048100_orf331	bafece2e4631673b23c461c8df3c2f16	522	PRINTS	PR00508	S21 class N4 adenine-specific DNA methyltransferase signature	139	159	7.1E-20	T	24-06-2023	IPR001091	Restriction/modification DNA-methyltransferase
NC_048100_orf331	bafece2e4631673b23c461c8df3c2f16	522	PRINTS	PR00508	S21 class N4 adenine-specific DNA methyltransferase signature	489	509	7.1E-20	T	24-06-2023	IPR001091	Restriction/modification DNA-methyltransferase
NC_048100_orf331	bafece2e4631673b23c461c8df3c2f16	522	ProSitePatterns	PS00092	N-6 Adenine-specific DNA methylases signature.	88	94	-	T	24-06-2023	IPR002052	DNA methylase, N-6 adenine-specific, conserved site
NC_048100_orf331	bafece2e4631673b23c461c8df3c2f16	522	SUPERFAMILY	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	61	509	4.53E-41	T	24-06-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
NC_048100_orf331	bafece2e4631673b23c461c8df3c2f16	522	Pfam	PF01555	DNA methylase	418	505	6.6E-16	T	24-06-2023	IPR002941	DNA methylase N-4/N-6
NC_048100_orf698	4b9d3bae7320bd82ef46e6fec001de9e	757	MobiDBLite	mobidb-lite	consensus disorder prediction	1	55	-	T	24-06-2023	-	-
NC_048100_orf698	4b9d3bae7320bd82ef46e6fec001de9e	757	MobiDBLite	mobidb-lite	consensus disorder prediction	580	601	-	T	24-06-2023	-	-
NC_048100_orf698	4b9d3bae7320bd82ef46e6fec001de9e	757	MobiDBLite	mobidb-lite	consensus disorder prediction	94	127	-	T	24-06-2023	-	-
NC_048100_orf698	4b9d3bae7320bd82ef46e6fec001de9e	757	MobiDBLite	mobidb-lite	consensus disorder prediction	461	480	-	T	24-06-2023	-	-
NC_048100_orf698	4b9d3bae7320bd82ef46e6fec001de9e	757	MobiDBLite	mobidb-lite	consensus disorder prediction	99	125	-	T	24-06-2023	-	-
NC_048100_orf698	4b9d3bae7320bd82ef46e6fec001de9e	757	MobiDBLite	mobidb-lite	consensus disorder prediction	491	506	-	T	24-06-2023	-	-
NC_048100_orf698	4b9d3bae7320bd82ef46e6fec001de9e	757	MobiDBLite	mobidb-lite	consensus disorder prediction	461	531	-	T	24-06-2023	-	-
NC_048100_orf698	4b9d3bae7320bd82ef46e6fec001de9e	757	MobiDBLite	mobidb-lite	consensus disorder prediction	572	601	-	T	24-06-2023	-	-
NC_048100_orf698	4b9d3bae7320bd82ef46e6fec001de9e	757	MobiDBLite	mobidb-lite	consensus disorder prediction	37	55	-	T	24-06-2023	-	-
NC_048100_orf698	4b9d3bae7320bd82ef46e6fec001de9e	757	MobiDBLite	mobidb-lite	consensus disorder prediction	507	528	-	T	24-06-2023	-	-
NC_048100_orf47	0a7cafe142e4f5138cc045b94464fc08	652	TIGRFAM	TIGR01537	portal_HK97: phage portal protein, HK97 family	50	390	2.8E-41	T	24-06-2023	IPR006427	Phage portal protein, HK97
NC_048100_orf47	0a7cafe142e4f5138cc045b94464fc08	652	Pfam	PF04860	Phage portal protein	50	384	1.3E-74	T	24-06-2023	IPR006944	Bacteriophage/Gene transfer agent portal protein
NC_048100_orf563	27b4497e95f308793913f7d0f75e1af8	749	MobiDBLite	mobidb-lite	consensus disorder prediction	1	39	-	T	24-06-2023	-	-
NC_048100_orf563	27b4497e95f308793913f7d0f75e1af8	749	MobiDBLite	mobidb-lite	consensus disorder prediction	537	577	-	T	24-06-2023	-	-
NC_048100_orf563	27b4497e95f308793913f7d0f75e1af8	749	MobiDBLite	mobidb-lite	consensus disorder prediction	616	634	-	T	24-06-2023	-	-
NC_048100_orf563	27b4497e95f308793913f7d0f75e1af8	749	MobiDBLite	mobidb-lite	consensus disorder prediction	679	699	-	T	24-06-2023	-	-
NC_048100_orf563	27b4497e95f308793913f7d0f75e1af8	749	MobiDBLite	mobidb-lite	consensus disorder prediction	679	696	-	T	24-06-2023	-	-
NC_048100_orf563	27b4497e95f308793913f7d0f75e1af8	749	MobiDBLite	mobidb-lite	consensus disorder prediction	239	261	-	T	24-06-2023	-	-
NC_048100_orf563	27b4497e95f308793913f7d0f75e1af8	749	MobiDBLite	mobidb-lite	consensus disorder prediction	614	661	-	T	24-06-2023	-	-
NC_048100_orf563	27b4497e95f308793913f7d0f75e1af8	749	MobiDBLite	mobidb-lite	consensus disorder prediction	242	257	-	T	24-06-2023	-	-
NC_048100_orf823	07ca6d1032e414167c4f435c7aa96a24	588	MobiDBLite	mobidb-lite	consensus disorder prediction	442	465	-	T	24-06-2023	-	-
NC_048100_orf823	07ca6d1032e414167c4f435c7aa96a24	588	MobiDBLite	mobidb-lite	consensus disorder prediction	528	544	-	T	24-06-2023	-	-
NC_048100_orf823	07ca6d1032e414167c4f435c7aa96a24	588	MobiDBLite	mobidb-lite	consensus disorder prediction	493	588	-	T	24-06-2023	-	-
NC_048100_orf823	07ca6d1032e414167c4f435c7aa96a24	588	MobiDBLite	mobidb-lite	consensus disorder prediction	170	195	-	T	24-06-2023	-	-
NC_048100_orf823	07ca6d1032e414167c4f435c7aa96a24	588	MobiDBLite	mobidb-lite	consensus disorder prediction	1	21	-	T	24-06-2023	-	-
