L1	ID	Function	EC	UNIPROT ID
Function unknown	VOG00080	hypothetical protein		
Virus protein with function beneficial for the host	VOG00081	Probable glucosamine 6-phosphate N-acetyltransferase		GNA1_MIMIV
Function unknown	VOG00082	nucleotidyltransferase		
Virus protein with function beneficial for the host	VOG00083	Probable RNA 2'-phosphotransferase		KPTA_FUSNN
Virus protein with function beneficial for the host | Virus replication	VOG00084	Integrase		INTR_SACER
Virus protein with function beneficial for the host | Virus structure	VOG00085	Protein OPG162		PG162_MONPV
Function unknown	VOG00086	hypothetical protein		
Function unknown	VOG00087	hypothetical protein		
Function unknown	VOG00088	hypothetical protein		
Function unknown	VOG00089	hypothetical protein		
Function unknown	VOG00090	Protein ea22		EA22_LAMBD
Function unknown	VOG00091	hypothetical protein		
Virus protein with function beneficial for the host	VOG00092	Leucine-rich repeat protein lrrA		LRRA_DICDI
Virus protein with function beneficial for the host	VOG00093	Putative serine/threonine-protein kinase L232		YL232_MIMIV
Virus protein with function beneficial for the host	VOG00094	Uncoating factor OPG117		PG117_VACCW
Function unknown	VOG00095	Uncharacterized HNH endonuclease L245		YL245_MIMIV
Function unknown	VOG00096	Protein ninG		NING_LAMBD
Virus protein with function beneficial for the host | Virus structure	VOG00097	Matrix protein		MATRX_BEFVB
Virus protein with function beneficial for the host	VOG00098	3 beta-hydroxysteroid dehydrogenase type 7		3BHS7_MOUSE
Function unknown	VOG00099	Membrane protein US13		US13_HCMVM
Virus protein with function beneficial for the host	VOG00100	Soluble TNF receptor II		CRMB_CAMPM
Virus structure	VOG00101	Movement protein TGBp3		TGB3_ICRSV
Virus protein with function beneficial for the host | Virus replication	VOG00102	Replication protein E1		VE1_HPV04
Function unknown	VOG00103	head closure Hc1		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00104	Polynucleotide kinase		KIPN_BPT4
Function unknown	VOG00105	Gene 5.5 protein		V55_BPT3
Function unknown	VOG00106	Gene 22 protein		VG22_BPMD2
Function unknown	VOG00107	Protein ADP-ribose pyrophosphatase ORF38		ADPP_NPVAC
Virus protein with function beneficial for the host	VOG00108	Vesicle-fusing ATPase		NSF_CRIGR
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00109	Portal protein		PORTL_BPT5
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00110	Probable tail fiber protein		FIB31_BPHC1
Function unknown	VOG00111	8.4 kDa cro protein		RCRO_BPHK0
Function unknown	VOG00112	Uncharacterized 52.7 kDa protein		Y030_NPVOP
Function unknown	VOG00113	tail protein		
Function unknown	VOG00114	hypothetical protein		
Function unknown	VOG00115	Uncharacterized ORF3 protein		ORF3_TTVG1
Virus protein with function beneficial for the host | Virus structure	VOG00116	Late L2 mu core protein		L2MU_ADE12
Virus replication	VOG00117	Terminase large subunit		TERL_BPLP2
Function unknown	VOG00118	replication initiation protein		
Function unknown	VOG00119	hypothetical protein		
Function unknown	VOG00120	Uncharacterized protein UL6		UL06_HCMVA
Virus protein with function beneficial for the host	VOG00121	RNA polymerase sigma-G factor		RPSG_CLOAB
Function unknown	VOG00122	tail fiber protein		
Function unknown	VOG00123	hypothetical protein		
Virus protein with function beneficial for the virus | Virus structure	VOG00124	Depolymerase 1, capsule K47-specific		DPOL1_BPKIM
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00125	Type II methyltransferase M.Cfr9I		MTC9_CITFR
Function unknown	VOG00126	Uncharacterized 17.1 kDa protein in Gp30-rIII intergenic region		Y12G_BPT4
Function unknown	VOG00127	Uncharacterized immunity region protein 2		YIM2_BPPH1
Virus protein with function beneficial for the host | Virus replication	VOG00128	Terminase, large subunit		TERL_BPT4
Virus protein with function beneficial for the host	VOG00129	Probable transglycosylase IsaA		ISAA_STAXY
Virus protein with function beneficial for the host | Virus replication	VOG00130	Sliding-clamp-loader large subunit		LOADL_BPT4
Function unknown	VOG00131	hypothetical protein		
Function unknown	VOG00132	hypothetical protein		
Virus protein with function beneficial for the host	VOG00133	Intron-associated endonuclease 2		TEV2_BPT4
Function unknown	VOG00134	hypothetical protein		
Function unknown	VOG00135	hypothetical protein		
Function unknown	VOG00136	tail protein		
Function unknown	VOG00137	G protein-coupled receptor-6		
Function unknown	VOG00138	hypothetical protein		
Function unknown	VOG00139	Uncharacterized 14.7 kDa protein in frd-Gp32 intergenic region		Y14D_BPT4
Function unknown	VOG00140	hypothetical protein		
Function unknown	VOG00141	hypothetical protein		
Function unknown	VOG00142	Regulatory protein mnt		RMNT_BPP22
Function unknown	VOG00143	head scaffolding protein		
Function unknown	VOG00144	Uncharacterized 7.8 kDa protein in ral-gp17 intergenic region		Y7K8_BPP22
Function unknown	VOG00145	holin		
Function unknown	VOG00146	hypothetical protein		
Virus protein with function beneficial for the virus | Virus structure	VOG00147	Depolymerase, capsule K2-specific		DEPOL_BPKB1
Function unknown	VOG00148	tail assembly chaperone		
Virus protein with function beneficial for the host	VOG00149	4''-mycarosyl isovaleryl-CoA transferase		CARE_STRTH
Function unknown	VOG00150	Uncharacterized 11.0 kDa protein in Gp24-hoc intergenic region		Y10B_BPT4
Function unknown	VOG00151	hypothetical protein		
Function unknown	VOG00152	head maturation protease		
Function unknown	VOG00153	Uncharacterized protein R156		YR156_MIMIV
Virus structure	VOG00154	Capsid protein		CAPSD_BPPRR
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00155	Exonuclease subunit 2		EXO2_BPT4
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00156	G-protein coupled receptor homolog UL33		UL33_HCMVM
Virus protein with function beneficial for the host | Virus replication	VOG00157	Protein rIIA		VR2A_BPT4
Function unknown	VOG00158	Rz-like spanin		
Function unknown	VOG00159	homing endonuclease		
Virus protein with function beneficial for the host | Virus replication	VOG00160	ATP-dependent target DNA activator B		TARGB_BPMU
Virus protein with function beneficial for the host	VOG00161	Carboxy-S-adenosyl-L-methionine synthase		CMOA_METCA
Function unknown	VOG00162	DNA primase		
Virus replication	VOG00163	RNA silencing suppressor		VSR_HELVS
Function unknown	VOG00164	hypothetical protein		
Virus protein with function beneficial for the virus	VOG00165	Apoptosis regulator Bcl-2 homolog		ARBH_HHV8P
Function unknown	VOG00166	virion structural protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00167	Short tail fiber protein gp12		FIB12_BPT4
Function unknown	VOG00168	hypothetical protein		
Function unknown	VOG00169	3B		
Function unknown	VOG00170	Uncharacterized protein PD_1186		Y1186_XYLFT
Function unknown	VOG00171	hypothetical protein		
Function unknown	VOG00172	hypothetical protein		
Function unknown	VOG00173	HNH endonuclease		
Function unknown	VOG00174	Uncharacterized protein 207		Y207_SIRV1
Function unknown	VOG00175	HNH endonuclease		
Function unknown	VOG00176	hypothetical protein		
Function unknown	VOG00177	pectate lyase		
Function unknown	VOG00178	replication initiation protein		
Function unknown	VOG00179	hypothetical protein		
Function unknown	VOG00180	tail assembly chaperone		
Function unknown	VOG00181	Putative nuclease p44		VP44_BPAPS
Virus protein with function beneficial for the virus | Virus structure	VOG00182	Depolymerase, capsule K21-specific		DPO13_BPK64
Function unknown	VOG00183	hypothetical protein		
Function unknown	VOG00184	coat protein		
Function unknown	VOG00185	tail length tape measure protein		
Function unknown	VOG00186	maturation protein		
Function unknown	VOG00187	Minor tail protein Gp26		VG26_BPMD2
Function unknown	VOG00188	Uncharacterized 7.5 kDa protein in denB-rIIB intergenic region		Y16Q_BPT4
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00189	Internal virion protein gp14		GP14_BPT7
Function unknown	VOG00190	hypothetical protein		
Virus protein with function beneficial for the host | Virus structure	VOG00191	Probable FAD-linked sulfhydryl oxidase OPG072		PG072_VAR67
Virus protein with function beneficial for the host	VOG00192	Putative non-heme haloperoxidase		PRXH_BPMD2
Virus protein with function beneficial for the host	VOG00193	Glucose-1-phosphate thymidylyltransferase		RMLA_YEREN
Function unknown	VOG00194	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG00195	Sliding-clamp-loader large subunit		LOADL_BPR69
Virus protein with function beneficial for the host	VOG00196	Mitochondrial chaperone BCS1		BCS1_YEAST
Virus protein with function beneficial for the host	VOG00197	Apoptosis inhibitor IAP		IAP_GVCPM
Function unknown	VOG00198	Uncharacterized 7.1 kDa protein in tk-vs intergenic region		Y06B_BPT4
Virus protein with function beneficial for the host | Virus structure	VOG00199	Collagen-like protein 6		COLL6_MIMIV
Function unknown	VOG00200	Uncharacterized protein L509		YL509_MIMIV
Virus protein with function beneficial for the host	VOG00201	Putative serine/threonine-protein kinase 019R		019R_FRG3G
Function unknown	VOG00202	Prehead core component PIP		VPIP_BPT4
Function unknown	VOG00203	hypothetical protein		
Function unknown	VOG00204	Putative sel1-like repeat-containing protein R815		YR815_MIMIV
Function unknown	VOG00205	HNH endonuclease		
Function unknown	VOG00206	membrane protein		
Function unknown	VOG00207	hypothetical protein		
Function unknown	VOG00208	hypothetical protein		
Function unknown	VOG00209	hypothetical protein		
Function unknown	VOG00210	hypothetical protein		
Function unknown	VOG00211	hypothetical protein		
Function unknown	VOG00212	Uncharacterized protein R69		YR069_MIMIV
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00213	Orphan methyltransferase M.SPRI		MTBS_BPSPR
Virus protein with function beneficial for the virus | Virus structure	VOG00214	Capsid protein		CAPSD_PCV2
Function unknown	VOG00215	hypothetical protein		
Function unknown	VOG00216	Gene 37 protein		VG37_BPML5
Virus protein with function beneficial for the host | Virus replication	VOG00217	Replication-associated protein		REP_CLVN
Virus protein with function beneficial for the virus	VOG00218	Protein A52		A52_VACCC
Function unknown	VOG00219	Uncharacterized protein HI_1422		Y1422_HAEIN
Function unknown	VOG00220	hypothetical protein		
Function unknown	VOG00221	Uncharacterized protein PST_2887		Y2887_STUS1
Virus protein with function beneficial for the host | Virus replication	VOG00222	DNA helicase/primase		HELIC_BPT7
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00223	Portal protein		PORTL_BPMD2
Function unknown	VOG00224	hypothetical protein		
Function unknown	VOG00225	hypothetical protein		
Function unknown	VOG00226	Uncharacterized protein YfdT		YFDT_SHIFL
Function unknown	VOG00227	hypothetical protein		
Function unknown	VOG00228	hypothetical protein		
Function unknown	VOG00229	hypothetical protein		
Function unknown	VOG00230	Uncharacterized protein YqbB		YQBB_BACSU
Virus protein with function beneficial for the host | Virus replication	VOG00231	Protein rIIA		VR2A_BPT4
Function unknown	VOG00232	hypothetical protein		
Function unknown	VOG00233	hypothetical protein		
Function unknown	VOG00234	hypothetical protein		
Function unknown	VOG00235	Uncharacterized protein A-45		A45_SSV1
Virus protein with function beneficial for the host | Virus structure	VOG00236	Cytochrome P450-like protein L532		YL532_MIMIV
Function unknown	VOG00237	SPbeta prophage-derived uncharacterized protein YomP		YOMP_BACSU
Virus protein with function beneficial for the virus | Virus structure	VOG00238	Capsid protein		CAPSD_TLCVA
Function unknown	VOG00239	hypothetical protein		
Function unknown	VOG00240	Mu-like prophage FluMu protein gp29		VG29_HAEIN
Function unknown	VOG00241	hypothetical protein		
Function unknown	VOG00242	Uncharacterized 17.0 kDa protein		Y053_NPVOP
Virus protein with function beneficial for the host	VOG00243	Probable ATP-dependent helicase 25		HELI_ICHVA
Function unknown	VOG00244	Uncharacterized protein XF_1581/XF_1686		Y1581_XYLFA
Virus protein with function beneficial for the virus | Virus structure	VOG00245	65 kDa phosphoprotein		PP65_HCMVA
Function unknown	VOG00246	Uncharacterized HNH endonuclease L245		YL245_MIMIV
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00247	Holin		HOLIN_BPT1
Function unknown	VOG00248	hypothetical protein		
Function unknown	VOG00249	SPbeta prophage-derived uncharacterized protein YomH		YOMH_BACSU
Function unknown	VOG00250	Uncharacterized protein 105R		VF359_IIV3
Function unknown	VOG00251	SPbeta prophage-derived uncharacterized protein YonU		YONU_BACSU
Function unknown	VOG00252	hypothetical protein		
Function unknown	VOG00253	baseplate protein		
Virus protein with function beneficial for the host | Virus replication	VOG00254	RNA-splicing ligase RtcB		RTCB_ECOLI
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00255	Spanin, inner membrane subunit		SPAN1_BPT3
Function unknown	VOG00256	hypothetical protein		
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00257	Tail sheath protein		TSP_BPT4
Virus protein with function beneficial for the host | Virus replication	VOG00258	DNA polymerase		DPOL_BPSP2
Function unknown	VOG00259	hypothetical protein		
Function unknown	VOG00260	Uncharacterized protein 356		Y356_SIRV1
Function unknown	VOG00261	hypothetical protein		
Virus replication	VOG00262	Suppressor of silencing P0		P0_PLRVW
Virus protein with function beneficial for the virus | Virus structure	VOG00263	Tail fiber protein p36		VG36_BPK3
Virus protein with function beneficial for the host | Virus replication	VOG00264	DNA ligase		DNLI_BPT4
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00265	Viral interleukin-8 homolog		IL8H_GAHVM
Function unknown	VOG00266	Uncharacterized 10.2 kDa protein in GpA 5'region		YO83_BPP2
Function unknown	VOG00267	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG00268	DNA polymerase		DPOL_BPMD2
Virus replication	VOG00269	Single-stranded DNA-binding protein		SSB_BPT3
Function unknown	VOG00270	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00271	Endolysin		ENLYS_LAMBD
Function unknown	VOG00272	tail fiber protein		
Virus protein with function beneficial for the virus | Virus structure	VOG00273	Long tail fiber protein Gp37		FIB37_BPAR1
Function unknown	VOG00274	Transcriptional activator rinA		RINA_BPPHA
Function unknown	VOG00275	tail fiber protein		
Virus protein with function beneficial for the host	VOG00276	Transcriptional regulator WhiB2		WHIB2_MYCS2
Function unknown	VOG00277	tail fiber protein		
Function unknown	VOG00278	holin		
Function unknown	VOG00279	hypothetical protein		
Function unknown	VOG00280	hypothetical protein		
Function unknown	VOG00281	hypothetical protein		
Function unknown	VOG00282	virion structural protein		
Function unknown	VOG00283	minor tail protein		
Function unknown	VOG00284	hypothetical protein		
Function unknown	VOG00285	Uncharacterized protein 59		Y59_SIRV1
Function unknown	VOG00286	radical SAM domain-containing protein		
Function unknown	VOG00287	hypothetical protein		
Function unknown	VOG00288	SPbeta prophage-derived uncharacterized protein YonJ		YONJ_BACSU
Function unknown	VOG00289	replication initiation protein		
Function unknown	VOG00290	replication initiation protein		
Function unknown	VOG00291	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00292	Tail spike protein		FIBER_BPSFV
Virus protein with function beneficial for the host | Virus replication	VOG00293	Replicative DNA helicase		DNAB_ECO57
Function unknown	VOG00294	Uncharacterized protein YfdT		YFDT_SHIFL
Function unknown	VOG00295	Insertion element IS401 uncharacterized 12.4 kDa protein		YISX_BURM1
Function unknown	VOG00296	Uncharacterized protein YqaN		YQAN_BACSU
Function unknown	VOG00297	terminase small subunit		
Function unknown	VOG00298	tail spike protein		
Function unknown	VOG00299	hypothetical protein		
Virus protein with function beneficial for the host	VOG00300	S-Adenosylmethionine lyase		ADOM_BPT3
Function unknown	VOG00301	holin		
Function unknown	VOG00302	virion structural protein		
Function unknown	VOG00303	Protein 5.3		Y53_BPT7
Function unknown	VOG00304	hypothetical protein		
Function unknown	VOG00305	Uncharacterized 21.1 kDa protein in mobD-ri intergenic region		Y05I_BPT4
Function unknown	VOG00306	minor tail protein		
Function unknown	VOG00307	virion structural protein		
Function unknown	VOG00308	tail protein		
Virus structure	VOG00309	Tail completion protein gp17		COMPL_BPSPP
Function unknown	VOG00310	Uncharacterized protein 007R		007R_IIV3
Function unknown	VOG00311	HNH endonuclease		
Virus protein with function beneficial for the host | Virus replication	VOG00312	DNA-directed DNA polymerase		DPOL_BPR69
Virus protein with function beneficial for the host	VOG00313	Uncharacterized glycosyltransferase L373		YL373_MIMIV
Virus protein with function beneficial for the host	VOG00314	E3 ubiquitin-protein ligase RNF12-A		RF12A_XENLA
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00315	Putative apoptosis inhibitor 021L		VF193_IIV3
Function unknown	VOG00316	hypothetical protein		
Function unknown	VOG00317	Gene 77 protein		VG77_BPML5
Function unknown	VOG00318	Uncharacterized protein R252		YR252_MIMIV
Virus protein with function beneficial for the host | Virus replication	VOG00319	Probable RNA-directed RNA polymerase		RDRP_HV19S
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00320	Putative apoptosis inhibitor 021L		VF193_IIV3
Function unknown	VOG00321	Uncharacterized protein YqbI		YQBI_BACSU
Virus protein with function beneficial for the host	VOG00322	RNA ligase 2		RLIG2_BPT4
Virus protein with function beneficial for the host	VOG00323	Quaternary ammonium compound-resistance protein QacE		QACE_ECOLX
Virus replication	VOG00324	Probable DNA polymerase sliding clamp 1		PCNA1_PBCV1
Function unknown	VOG00325	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG00326	Initiator protein NS1		NS1_HBOC3
Function unknown	VOG00327	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG00328	DNA polymerase		DPOL_ADE07
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG00329	P3N-PIPO polyprotein		MVP_BCMNN
Virus structure	VOG00330	Capsid protein		CAPSD_LORDV
Function unknown	VOG00331	minor coat protein		
Function unknown	VOG00332	DNA polymerase/primase		
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00333	Portal protein		PORTL_BPT7
Virus protein with function beneficial for the host | Virus replication	VOG00334	RNA-directed RNA polymerase		RDRP_SCV23
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00335	Host range factor p28		PG021_VACC8
Virus protein with function beneficial for the host | Virus replication	VOG00336	Genome polyprotein		POLG_LORDV
Function unknown	VOG00337	hypothetical protein		
Function unknown	VOG00338	Uncharacterized protein R898		YR898_MIMIV
Virus protein with function beneficial for the virus | Virus structure	VOG00339	Long tail fiber protein Gp37		FIB37_BPT2
Function unknown	VOG00340	tail fiber protein		
Virus protein with function beneficial for the host | Virus replication	VOG00341	DNA-directed DNA polymerase		DPOL_BPE32
Function unknown	VOG00342	hypothetical protein		
Function unknown	VOG00343	minor tail protein		
Function unknown	VOG00344	hypothetical protein		
Function unknown	VOG00345	tail fiber protein		
Virus protein with function beneficial for the host	VOG00346	Uncharacterized glycosyltransferase 335		Y335_SIRV1
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00347	Minor capsid protein VP2		VP2_POVLY
Function unknown	VOG00348	Protein P78/83		P78_NPVAC
Function unknown	VOG00349	hypothetical protein		
Function unknown	VOG00350	tail terminator		
Virus structure	VOG00351	Uncharacterized protein R706		YR706_MIMIV
Function unknown	VOG00352	hypothetical protein		
Function unknown	VOG00353	tail fiber protein		
Function unknown	VOG00354	Uncharacterized protein R11		YR011_MIMIV
Function unknown	VOG00355	hypothetical protein		
Function unknown	VOG00356	tail length tape measure protein		
Function unknown	VOG00357	Uncharacterized 19.7 kDa protein in motB-dexA intergenic region		Y00F_BPT4
Virus protein with function beneficial for the host | Virus structure	VOG00358	Baseplate protein X		BPX_BPP2
Virus protein with function beneficial for the virus | Virus structure	VOG00359	Tail spike protein		FIBER_BPK5
Virus replication | Virus structure	VOG00360	Tail assembly protein Gp25		TAP25_BPMD2
Virus protein with function beneficial for the host	VOG00361	SaV protein		SAV_BPLP2
Function unknown	VOG00362	HTH DNA binding protein		
Function unknown	VOG00363	Gene 55 protein		VG55_BPML5
Function unknown	VOG00364	Uncharacterized protein YqaS		YQAS_BACSU
Function unknown	VOG00365	tail length tape measure protein		
Virus protein with function beneficial for the virus | Virus structure	VOG00366	Depolymerase 1, capsule K30/K69-specific		DPOL1_BPK52
Function unknown	VOG00367	peptidase HslV family		
Function unknown	VOG00368	hypothetical protein		
Function unknown	VOG00369	Uncharacterized 10.3 kDa protein in GP2-GP6 intergenic region		YOR5_BPSPP
Virus protein with function beneficial for the virus | Virus structure	VOG00370	Probable tail fiber protein		FIBER_BPT1
Function unknown	VOG00371	hypothetical protein		
Function unknown	VOG00372	hypothetical protein		
Function unknown	VOG00373	hypothetical protein		
Function unknown	VOG00374	outer membrane protein		
Virus structure	VOG00375	Structural protein 3		STRU3_BPPAJ
Function unknown	VOG00376	hypothetical protein		
Function unknown	VOG00377	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00378	Spanin, outer lipoprotein subunit		SPAN2_BPP21
Function unknown	VOG00379	hypothetical protein		
Function unknown	VOG00380	hypothetical protein		
Function unknown	VOG00381	hypothetical protein		
Function unknown	VOG00382	ead/Ea22-like family protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00383	Spanin, outer lipoprotein subunit		SPAN2_BPT4
Virus protein with function beneficial for the host | Virus structure	VOG00384	Capsid assembly protein Gp31		VG31_BPT4
Function unknown	VOG00385	hypothetical protein		
Function unknown	VOG00386	hypothetical protein		
Function unknown	VOG00387	hypothetical protein		
Function unknown	VOG00388	Uncharacterized 36.3 kDa protein in nrdC-mobD intergenic region		Y04O_BPT4
Function unknown	VOG00389	minor tail protein		
Function unknown	VOG00390	Uncharacterized 14.1 kDa protein in imm-Gp43 intergenic region		Y02D_BPT4
Function unknown	VOG00391	hypothetical protein		
Virus structure	VOG00392	Capsid assembly scaffolding protein		SCAF_BPT3
Function unknown	VOG00393	hypothetical protein		
