	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
JQ010983.1_15	GCA_000896815.1	JQ010983.1	15	8284	8553	1	E	YP_005271237.1	YP_005271237.1 membrane protein [Thermococcus prieurii virus 1]	False	0.938	177.0	1.164e-51					0	False	
JQ010983.1_16	GCA_000896815.1	JQ010983.1	16	8599	8883	1	E	YP_005271238.1	YP_005271238.1 putative integral membrane protein [Thermococcus prieurii virus 1]	False	0.884	164.0	5.076e-47					0	False	
JQ010983.1_17	GCA_000896815.1	JQ010983.1	17	8876	9331	1	E	YP_005271239.1	YP_005271239.1 hypothetical protein TPV1_gp17 [Thermococcus prieurii virus 1]	False	0.948	303.0	5.498999999999999e-94					0	False	
JQ010983.1_18	GCA_000896815.1	JQ010983.1	18	9334	10227	1	E	YP_005271240.1	YP_005271240.1 membrane protein [Thermococcus prieurii virus 1]	True	0.915	547.0	8.844e-176					0	False	
JQ010983.1_19	GCA_000896815.1	JQ010983.1	19	10224	10664	1	E	YP_005271241.1	YP_005271241.1 hypothetical protein TPV1_gp19 [Thermococcus prieurii virus 1]	False	0.923	284.0	1.2020000000000002e-87					0	False	
JQ010983.1_20	GCA_000896815.1	JQ010983.1	20	10661	11437	1	E	YP_005271242.1	YP_005271242.1 ATP-binding protein [Thermococcus prieurii virus 1]	True	0.965	526.0	2.566e-169					0	False	
JQ010983.1_21	GCA_000896815.1	JQ010983.1	21	11437	14091	1	E	YP_005271243.1	YP_005271243.1 hypothetical protein TPV1_gp21 [Thermococcus prieurii virus 1]	True	0.952	1769.0	0.0					0	False	
JQ010983.1_22	GCA_000896815.1	JQ010983.1	22	14048	14338	1	E											0	False	
JQ010983.1_23	GCA_000896815.1	JQ010983.1	23	14339	16207	1	E	YP_005271244.1	YP_005271244.1 concanavalin A-lectin/glucanase domain protein [Thermococcus prieurii virus 1]	True	0.957	1253.0	0.0					0	False	
JQ010983.1_24	GCA_000896815.1	JQ010983.1	24	16209	16556	1	E											0	False	
JQ010983.1_25	GCA_000896815.1	JQ010983.1	25	16556	18622	1	D	YP_005271245.1	YP_005271245.1 concanavalin A-lectin/glucanase domain protein [Thermococcus prieurii virus 1]	True	0.945	1366.0	0.0	Concanavalin A-like lectin/glucanases superfamily [PF13385.9]	VOG04272	REFSEQ minor tail protein; Xu	Xu	0	False	MKF
JQ010983.1_26	GCA_000896815.1	JQ010983.1	26	18634	18885	1	D							Family of unknown function (DUF5771) [PF19075.3]				0	False	F
JQ010983.1_27	GCA_000896815.1	JQ010983.1	27	18892	19095	1	E											0	False	F
JQ010983.1_28	GCA_000896815.1	JQ010983.1	28	19183	19728	1	E	YP_005271247.1	YP_005271247.1 hypothetical protein TPV1_gp25 [Thermococcus prieurii virus 1]	True	0.941	359.0	5.796e-113					0	False	F
JQ010983.1_29	GCA_000896815.1	JQ010983.1	29	19874	20608	-1	E	YP_005271248.1	YP_005271248.1 nuclease [Thermococcus prieurii virus 1]	True	0.888	433.0	3.745e-137					0	False	F
JQ010983.1_30	GCA_000896815.1	JQ010983.1	30	20714	20962	-1	D	YP_005271249.1	YP_005271249.1 zinc-finger domain protein [Thermococcus prieurii virus 1]	False	1.0	178.0	4.367e-52	C2H2-type zinc finger [PF13894.9]				0	False	F
JQ010983.1_31	GCA_000896815.1	JQ010983.1	31	21033	21353	-1	D	YP_005271250.1	YP_005271250.1 AbrB/MazE/SpoVT family DNA-binding domain-containing protein [Thermococcus prieurii virus 1]	False	0.92	206.0	2.532e-61	prlF antitoxin for toxin YhaV_toxin [PF15937.8]; Antidote-toxin recognition MazE, bacterial antitoxin [PF04014.21]				0	False	F
