	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
KC292027.1_20	KC292027	KC292027.1	20	7112	7429	1	E			YP_008059065.1	YP_008059065.1 hypothetical protein M200_gp023 [Halovirus HCTV-5]	False	1.0	239.0	9.781e-73						VOG04363	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_21	KC292027	KC292027.1	21	7419	7811	1	E			YP_008059066.1	YP_008059066.1 hypothetical protein M200_gp024 [Halovirus HCTV-5]	False	1.0	278.0	1.192e-85						VOG00723	sp|Q91FU6|226R_IIV6 Uncharacterized protein 226R; Xu	Xu	0	False	
KC292027.1_22	KC292027	KC292027.1	22	7814	10792	1	C	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	YP_008059067.1	YP_008059067.1 ribonucleotide reductase [Halovirus HCTV-5]	True	0.964	2014.0	0.0	Ribonucleotide reductase, barrel domain [PF02867.18]; TSCPD domain [PF12637.10]; Ribonucleotide reductase, all-alpha domain [PF00317.24]					VOG00122	sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha; Xh	Xh	0	False	MKE
KC292027.1_23	KC292027	KC292027.1	23	10861	11298	1	E			YP_008059068.1	YP_008059068.1 hypothetical protein M200_gp026 [Halovirus HCTV-5]	False	0.919	281.0	1.964e-86									0	False	
KC292027.1_24	KC292027	KC292027.1	24	11344	11790	1	E			YP_008059069.1	YP_008059069.1 hypothetical protein M200_gp027 [Halovirus HCTV-5]	False	0.955	299.0	8.159e-93						VOG26440	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_25	KC292027	KC292027.1	25	11783	12055	1	E			YP_008059070.1	YP_008059070.1 hypothetical protein M200_gp028 [Halovirus HCTV-5]	False	0.903	172.0	1.024e-49						VOG26228	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_26	KC292027	KC292027.1	26	12310	13494	1	D			YP_008059072.1	YP_008059072.1 hypothetical protein M200_gp030 [Halovirus HCTV-5]	True	0.95	788.0	2.708e-257	Family of unknown function (DUF6744) [PF20529.1]					VOG14411	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_27	KC292027	KC292027.1	27	13638	14957	1	E			YP_008059073.1	YP_008059073.1 hypothetical protein M200_gp031 [Halovirus HCTV-5]	True	0.876	801.0	9.127e-261						VOG14412	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_28	KC292027	KC292027.1	28	15094	15504	1	E			YP_008059074.1	YP_008059074.1 hypothetical protein M200_gp032 [Halovirus HCTV-5]	False	0.971	280.0	1.747e-86						VOG02926	sp|Q5UPS0|YR785_MIMIV Uncharacterized protein R785; Xu	Xu	0	False	
KC292027.1_29	KC292027	KC292027.1	29	15504	15647	1	E			YP_008059075.1	YP_008059075.1 hypothetical protein M200_gp033 [Halovirus HCTV-5]	False	1.0	104.0	3.881e-27						VOG14414	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_30	KC292027	KC292027.1	30	15644	15898	1	E			YP_008059076.1	YP_008059076.1 hypothetical protein M200_gp034 [Halovirus HCTV-5]	False	0.985	177.0	1.246e-51						VOG14413	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_31	KC292027	KC292027.1	31	16016	17245	1	E			YP_008059077.1	YP_008059077.1 exonuclease [Halovirus HCTV-5]	True	0.97	838.0	3.134e-274						VOG02246	sp|O31948|YONJ_BACSU SPbeta prophage-derived uncharacterized protein YonJ; Xu	Xu	0	False	
KC292027.1_32	KC292027	KC292027.1	32	17305	17688	-1	E			YP_007378941.1	YP_007378941.1 hypothetical protein HVTV1_35 [Haloarcula vallismortis tailed virus 1]	False	0.993	269.0	1.471e-82						VOG26229	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_33	KC292027	KC292027.1	33	17690	18271	-1	D			YP_008059079.1	YP_008059079.1 hypothetical protein M200_gp037 [Halovirus HCTV-5]	True	0.98	401.0	3.074e-127	5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C) [PF06941.15]								0	False	
KC292027.1_34	KC292027	KC292027.1	34	18268	18993	-1	D			YP_007378943.1	YP_007378943.1 endonuclease [Haloarcula vallismortis tailed virus 1]	True	0.971	495.0	7.552e-159	Phage endonuclease I [PF05367.14]					VOG00809	REFSEQ endonuclease; Xu	Xu	0	False	
KC292027.1_35	KC292027	KC292027.1	35	19032	19799	-1	C	K03465	thymidylate synthase (FAD) [EC:2.1.1.148]	YP_008059081.1	YP_008059081.1 thymidylate synthase [Halovirus HCTV-5]	True	0.96	517.0	4.304e-166	Thymidylate synthase complementing protein [PF02511.18]								0	False	
KC292027.1_36	KC292027	KC292027.1	36	20163	20903	-1	E			YP_008059082.1	YP_008059082.1 hypothetical protein M200_gp040 [Halovirus HCTV-5]	True	1.0	523.0	2.483e-168						VOG14416	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_37	KC292027	KC292027.1	37	20906	21478	-1	E			YP_008059083.1	YP_008059083.1 hypothetical protein M200_gp041 [Halovirus HCTV-5]	True	0.988	398.0	2.425e-126						VOG14415	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_38	KC292027	KC292027.1	38	21480	21962	-1	D			YP_008059084.1	YP_008059084.1 endonuclease [Halovirus HCTV-5]	False	1.0	346.0	7.068000000000002e-109	Zinc-binding loop region of homing endonuclease [PF05551.14]					VOG00678	REFSEQ HNH endonuclease; Xu	Xu	0	False	
KC292027.1_39	KC292027	KC292027.1	39	21946	22257	-1	D			YP_008059085.1	YP_008059085.1 pyrophosphatase [Halovirus HCTV-5]	False	0.917	200.0	3.439e-59	MazG nucleotide pyrophosphohydrolase domain [PF03819.20]					VOG01359	REFSEQ pyrophosphatase; Xu	Xu	0	False	
KC292027.1_40	KC292027	KC292027.1	40	22250	22393	-1	E			YP_008059086.1	YP_008059086.1 hypothetical protein M200_gp044 [Halovirus HCTV-5]	False	0.97	98.0	4.532e-25									0	False	
KC292027.1_41	KC292027	KC292027.1	41	22390	23850	-1	C	K14415	tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase) [EC:6.5.1.8]	YP_008059087.1	YP_008059087.1 tRNA splicing ligase [Halovirus HCTV-5]	True	0.989	1017.0	0.0	tRNA-splicing ligase RtcB [PF01139.20]								0	False	
KC292027.1_42	KC292027	KC292027.1	42	23843	24073	-1	E			YP_008059088.1	YP_008059088.1 hypothetical protein M200_gp046 [Halovirus HCTV-5]	False	0.924	149.0	3.4890000000000004e-42									0	False	
KC292027.1_43	KC292027	KC292027.1	43	24070	24240	-1	D			YP_008059089.1	YP_008059089.1 HNH endonuclease [Halovirus HCTV-5]	False	0.945	113.0	4.2050000000000005e-30	Helix-hairpin-helix motif [PF12826.10]; Helix-hairpin-helix domain [PF14520.9]								0	False	
KC292027.1_44	KC292027	KC292027.1	44	24224	25132	-1	C	K06223	DNA adenine methylase [EC:2.1.1.72]	YP_008059090.1	YP_008059090.1 DNA methyltransferase [Halovirus HCTV-5]	True	0.956	609.0	4.9620000000000004e-197	D12 class N6 adenine-specific DNA methyltransferase [PF02086.18]					VOG03703	REFSEQ DNA methyltransferase; Xu	Xu	0	False	
KC292027.1_45	KC292027	KC292027.1	45	25125	26303	-1	D			YP_008059091.1	YP_008059091.1 HNH endonuclease [Halovirus HCTV-5]	True	0.965	798.0	9.356999999999999e-261	Helix-hairpin-helix motif [PF12826.10]; Zinc-binding loop region of homing endonuclease [PF05551.14]					VOG01108	sp|P0CAF6|VF364_ASFK5 ERCC4 domain-containing protein EP364R; XhXp	Xp;Xh	0	False	
KC292027.1_46	KC292027	KC292027.1	46	26300	26437	-1	E			YP_008059092.1	YP_008059092.1 hypothetical protein M200_gp050 [Halovirus HCTV-5]	False	0.881	85.0	1.994e-20						VOG26230	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_47	KC292027	KC292027.1	47	26572	26832	-1	E			YP_008059094.1	YP_008059094.1 hypothetical protein M200_gp052 [Halovirus HCTV-5]	False	0.924	169.0	1.056e-48						VOG14417	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_48	KC292027	KC292027.1	48	26825	27082	-1	E			YP_008059095.1	YP_008059095.1 hypothetical protein M200_gp053 [Halovirus HCTV-5]	False	0.985	179.0	2.693e-52						VOG14418	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_49	KC292027	KC292027.1	49	27079	27543	-1	E			YP_008059096.1	YP_008059096.1 hypothetical protein M200_gp054 [Halovirus HCTV-5]	False	0.934	304.0	3.3769999999999995e-94						VOG14419	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_50	KC292027	KC292027.1	50	27536	27925	-1	E			YP_007378958.1	YP_007378958.1 hypothetical protein HVTV1_52 [Haloarcula vallismortis tailed virus 1]	False	0.996	274.0	2.671e-84						VOG14420	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_51	KC292027	KC292027.1	51	27925	28404	-1	D			YP_008059098.1	YP_008059098.1 endonuclease [Halovirus HCTV-5]	False	1.0	336.0	1.7989999999999998e-105	Zinc-binding loop region of homing endonuclease [PF05551.14]; HNH endonuclease [PF13392.9]					VOG00678	REFSEQ HNH endonuclease; Xu	Xu	0	False	
KC292027.1_52	KC292027	KC292027.1	52	28404	28838	-1	E			YP_008059099.1	YP_008059099.1 hypothetical protein M200_gp060 [Halovirus HCTV-5]	False	0.968	296.0	1.154e-91						VOG14421	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_53	KC292027	KC292027.1	53	29049	29210	-1	E			YP_008059100.1	YP_008059100.1 hypothetical protein M200_gp166 [Halovirus HCTV-5]	False	0.973	111.0	2.415e-29									0	False	
KC292027.1_54	KC292027	KC292027.1	54	29210	31441	-1	D			YP_008059101.1	YP_008059101.1 hypothetical protein M200_gp165 [Halovirus HCTV-5]	True	0.92	1431.0	0.0	von Willebrand factor type A domain [PF00092.31]					VOG01459	REFSEQ cobalamin biosynthesis protein; Xu	Xu	0	False	
KC292027.1_55	KC292027	KC292027.1	55	31513	31701	-1	E			YP_008059102.1	YP_008059102.1 hypothetical protein M200_gp164 [Halovirus HCTV-5]	False	0.928	123.0	2.836e-33						VOG26231	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_56	KC292027	KC292027.1	56	31729	33066	-1	D			YP_008059103.1	YP_008059103.1 porphyrin biosynthesis [Halovirus HCTV-5]	True	0.982	923.0	3.432e-303	AAA domain (dynein-related subfamily) [PF07728.17]					VOG02489	sp|P04526|LOADL_BPT4 Sliding-clamp-loader large subunit; XhXr	Xr;Xh	0	False	V
KC292027.1_57	KC292027	KC292027.1	57	33140	33541	-1	E			YP_008059104.1	YP_008059104.1 hypothetical protein M200_gp162 [Halovirus HCTV-5]	False	0.962	271.0	2.156e-83						VOG14422	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_58	KC292027	KC292027.1	58	33579	34001	-1	E			YP_008059105.1	YP_008059105.1 hypothetical protein M200_gp161 [Halovirus HCTV-5]	False	0.973	289.0	2.039e-89						VOG14423	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_59	KC292027	KC292027.1	59	33998	34444	-1	E			YP_008059106.1	YP_008059106.1 hypothetical protein M200_gp160 [Halovirus HCTV-5]	False	0.973	306.0	5.225e-95						VOG14425	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_60	KC292027	KC292027.1	60	34502	35107	-1	D			YP_008059107.1	YP_008059107.1 hypothetical protein M200_gp159 [Halovirus HCTV-5]	True	1.0	438.0	8.174999999999999e-140	SprT-like family [PF10263.12]					VOG14424	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_61	KC292027	KC292027.1	61	35235	35438	-1	E			YP_008059108.1	YP_008059108.1 hypothetical protein M200_gp158 [Halovirus HCTV-5]	False	0.962	138.0	2.159e-38						VOG26234	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_62	KC292027	KC292027.1	62	35454	36569	-1	D			YP_008059109.1	YP_008059109.1 hypothetical protein M200_gp157 [Halovirus HCTV-5]	True	1.0	792.0	3.945e-259	Family of unknown function (DUF6610) [PF20314.1]					VOG05008	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_63	KC292027	KC292027.1	63	36571	37200	-1	C	K01495	GTP cyclohydrolase IA [EC:3.5.4.16]	YP_008059110.1	YP_008059110.1 GTP cyclohydrolase [Halovirus HCTV-5]	True	0.952	420.0	1.7469999999999999e-133	GTP cyclohydrolase I [PF01227.25]					VOG02430	sp|A4J5D0|GCH1_DESRM GTP cyclohydrolase 1; Xh	Xh	0	False	MK
KC292027.1_64	KC292027	KC292027.1	64	37213	37392	-1	E			YP_008059111.1	YP_008059111.1 hypothetical protein M200_gp155 [Halovirus HCTV-5]	False	0.982	124.0	6.851e-34						VOG14426	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_65	KC292027	KC292027.1	65	37385	37507	-1	E			YP_008059112.1	YP_008059112.1 hypothetical protein M200_gp154 [Halovirus HCTV-5]	False	1.0	94.0	7.478e-24									0	False	
KC292027.1_66	KC292027	KC292027.1	66	37510	38295	-1	C	K10026	7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]	YP_008059113.1	YP_008059113.1 QueE-like radical SAM domain [Halovirus HCTV-5]	True	0.99	548.0	1.193e-176	4Fe-4S single cluster domain [PF13394.9]; Radical SAM superfamily [PF04055.24]; 4Fe-4S single cluster domain [PF13353.9]					VOG11337	sp|Q9ZCV2|QUEE_RICPR 7-carboxy-7-deazaguanine synthase; Xh	Xh	0	False	
KC292027.1_67	KC292027	KC292027.1	67	38292	38735	-1	E			YP_008059114.1	YP_008059114.1 hypothetical protein M200_gp152 [Halovirus HCTV-5]	False	0.987	308.0	5.463e-96						VOG26441	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_68	KC292027	KC292027.1	68	38728	38862	-1	E			YP_008059115.1	YP_008059115.1 hypothetical protein M200_gp151 [Halovirus HCTV-5]	False	0.849	80.0	1.178e-18						VOG26442	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_69	KC292027	KC292027.1	69	38862	39320	-1	C	K01737	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	YP_008059116.1	YP_008059116.1 QueD-like 6-pyruvoyl-tetrahydropterin synthase [Halovirus HCTV-5]	False	0.965	311.0	1.045e-96	6-pyruvoyl tetrahydropterin synthase [PF01242.22]					VOG02682	sp|Q1RHI6|QUED_RICBR 6-carboxy-5,6,7,8-tetrahydropterin synthase; Xh	Xh	0	False	MK
KC292027.1_70	KC292027	KC292027.1	70	39317	40081	-1	C	K06920	7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	YP_008059117.1	YP_008059117.1 QueC-like queuosine biosynthesis [Halovirus HCTV-5]	True	0.987	531.0	4.83e-171	Queuosine biosynthesis protein QueC [PF06508.16]					VOG00380	sp|Q4JBY3|QUEC_SULAC 7-cyano-7-deazaguanine synthase; Xh	Xh	0	False	MK
KC292027.1_71	KC292027	KC292027.1	71	40139	40573	-1	D			YP_008059118.1	YP_008059118.1 HNH endonuclease [Halovirus HCTV-5]	False	1.0	319.0	1.288e-99	HNH endonuclease [PF13392.9]					VOG01254	sp|P34081|HMUI_BPSP1 DNA endonuclease I-HmuI; Xh	Xh	0	False	
KC292027.1_72	KC292027	KC292027.1	72	40634	41050	-1	E			YP_008059119.1	YP_008059119.1 hypothetical protein M200_gp147 [Halovirus HCTV-5]	False	0.934	273.0	1.064e-83						VOG14427	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_73	KC292027	KC292027.1	73	41050	41265	-1	E			YP_008059120.1	YP_008059120.1 hypothetical protein M200_gp146 [Halovirus HCTV-5]	False	0.961	146.0	4.691e-41						VOG26235	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_74	KC292027	KC292027.1	74	41270	41611	-1	E			YP_008059121.1	YP_008059121.1 hypothetical protein M200_gp145 [Halovirus HCTV-5]	False	0.915	218.0	1.9790000000000002e-65						VOG26236	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_75	KC292027	KC292027.1	75	41611	42072	-1	D			YP_008059122.1	YP_008059122.1 GTP cyclohydrolase [Halovirus HCTV-5]	False	0.979	318.0	3.738e-99	QueF-like protein [PF14489.9]					VOG14428	sp|B9MPS5|QUEF_CALBD NADPH-dependent 7-cyano-7-deazaguanine reductase; Xh	Xh	0	False	MK
KC292027.1_76	KC292027	KC292027.1	76	42116	42700	-1	D			YP_008059123.1	YP_008059123.1 homing endonuclease with LAGLIDADG motif [Halovirus HCTV-5]	True	1.0	355.0	4.723e-111	LAGLIDADG DNA endonuclease family [PF03161.16]					VOG00409	sp|Q9F417|RECA_MYCCI Protein RecA (Fragment); XhXr	Xr;Xh	0	False	V
KC292027.1_77	KC292027	KC292027.1	77	43038	43892	-1	C	K06223	DNA adenine methylase [EC:2.1.1.72]	YP_008059125.1	YP_008059125.1 DNA methyltransferase [Halovirus HCTV-5]	True	0.993	597.0	1.984e-193	D12 class N6 adenine-specific DNA methyltransferase [PF02086.18]					VOG03703	REFSEQ DNA methyltransferase; Xu	Xu	0	False	
KC292027.1_78	KC292027	KC292027.1	78	43895	45139	-1	D			YP_008059126.1	YP_008059126.1 clamp loader of DNA polymerase [Halovirus HCTV-5]	True	0.964	842.0	1.695e-275	Rad17 P-loop domain [PF03215.18]; ATPase family associated with various cellular activities (AAA) [PF00004.32]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]; AAA domain (Cdc48 subfamily) [PF07724.17]; AAA domain (dynein-related subfamily) [PF07728.17]					VOG02490	sp|Q58294|RFCL_METJA Replication factor C large subunit; XhXr	Xr;Xh	0	False	V
KC292027.1_79	KC292027	KC292027.1	79	45132	45329	-1	E			YP_008059127.1	YP_008059127.1 hypothetical protein M200_gp139 [Halovirus HCTV-5]	False	0.867	119.0	5.723000000000001e-32						VOG26456	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_80	KC292027	KC292027.1	80	45332	45829	-1	D			YP_008059128.1	YP_008059128.1 hypothetical protein M200_gp138 [Halovirus HCTV-5]	False	0.958	334.0	1.163e-104	Acetyltransferase (GNAT) domain [PF13673.10]; Acetyltransferase (GNAT) family [PF00583.28]					VOG14429	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_81	KC292027	KC292027.1	81	45823	48564	-1	D			YP_008059129.1	YP_008059129.1 DNA polymerase elongation subunit (family B) [Halovirus HCTV-5]	True	0.979	1886.0	0.0	DNA polymerase family B [PF00136.24]; DNA polymerase family B, exonuclease domain [PF03104.22]					VOG00345	sp|Q38087|DPOL_BPR69 DNA-directed DNA polymerase; XhXr	Xr;Xh	0	False	V
KC292027.1_82	KC292027	KC292027.1	82	48586	49197	-1	E			YP_008059130.1	YP_008059130.1 HNH endonuclease [Halovirus HCTV-5]	True	1.0	457.0	2.389e-146						VOG00093	sp|P69175|NING_BPVT2 Protein ninG; Xu	Xu	0	False	
KC292027.1_83	KC292027	KC292027.1	83	49197	49994	-1	D			YP_008059131.1	YP_008059131.1 exonuclease [Halovirus HCTV-5]	True	1.0	580.0	6.226e-188	PD-(D/E)XK nuclease superfamily [PF12705.10]					VOG00510	sp|O64262|VG69_BPMD2 Gene 69 protein; Xu	Xu	0	False	
KC292027.1_84	KC292027	KC292027.1	84	49987	50223	-1	E			YP_008059132.1	YP_008059132.1 hypothetical protein M200_gp134 [Halovirus HCTV-5]	False	0.97	162.0	2.112e-46						VOG14430	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_85	KC292027	KC292027.1	85	50306	50494	-1	E			YP_008059133.1	YP_008059133.1 hypothetical protein M200_gp133 [Halovirus HCTV-5]	False	0.952	126.0	1.637e-34						VOG14431	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_86	KC292027	KC292027.1	86	50491	51474	-1	D			YP_008059134.1	YP_008059134.1 clamp loader of DNA polymerase [Halovirus HCTV-5]	True	0.957	660.0	3.531e-214	Replication factor C C-terminal domain [PF08542.14]; DNA polymerase III, delta subunit [PF13177.9]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]; Rad17 P-loop domain [PF03215.18]; Bacterial dnaA  protein [PF00308.21]; ATPase family associated with various cellular activities (AAA) [PF00004.32]					VOG00428	sp|B6YUE9|CDC6_THEON ORC1-type DNA replication protein; XhXr	Xr;Xh	0	False	V
KC292027.1_87	KC292027	KC292027.1	87	51541	52131	-1	C	K00943	dTMP kinase [EC:2.7.4.9]	YP_008059135.1	YP_008059135.1 thymidylate kinase [Halovirus HCTV-5]	True	0.959	398.0	6.064e-126	Thymidylate kinase [PF02223.20]; Deoxynucleoside kinase [PF01712.22]					VOG00557	sp|P24425|KITH_EHV4 Thymidine kinase; XhXr	Xr;Xh	0	False	VM
KC292027.1_88	KC292027	KC292027.1	88	52134	52586	-1	E			YP_008059136.1	YP_008059136.1 hypothetical protein M200_gp130 [Halovirus HCTV-5]	False	0.976	311.0	9.497e-97						VOG14432	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_89	KC292027	KC292027.1	89	52588	53739	-1	E			YP_008059137.1	YP_008059137.1 hypothetical protein M200_gp129 [Halovirus HCTV-5]	True	0.972	786.0	5.7100000000000005e-257						VOG05098	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_90	KC292027	KC292027.1	90	53754	54611	-1	E			YP_008059138.1	YP_008059138.1 hypothetical protein M200_gp128 [Halovirus HCTV-5]	True	0.946	568.0	2.81e-183						VOG14433	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292027.1_91	KC292027	KC292027.1	91	54604	55101	-1	D			YP_008059139.1	YP_008059139.1 RadA [Halovirus HCTV-5]	False	0.919	319.0	1.878e-99	Helix-hairpin-helix domain [PF14520.9]					VOG14434	REFSEQ RadA; Xu	Xu	0	False	
KC292027.1_92	KC292027	KC292027.1	92	55094	56614	-1	D			YP_008059140.1	YP_008059140.1 hypothetical protein M200_gp126 [Halovirus HCTV-5]	True	0.936	994.0	0.0	AAA domain [PF13479.9]					VOG14435	REFSEQ hypothetical protein; Xu	Xu	0	False	
