index	L1	L2	L3	KO	Function	EC	Count
74	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
566	Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:ko00053]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
900	Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
2345	Metabolism	Lipid metabolism	Fatty acid degradation [PATH:ko00071]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
2487	Metabolism	Lipid metabolism	Glycerolipid metabolism [PATH:ko00561]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
3336	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
3543	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
3636	Metabolism	Amino acid metabolism	Lysine degradation [PATH:ko00310]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
3817	Metabolism	Amino acid metabolism	Arginine and proline metabolism [PATH:ko00330]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
3924	Metabolism	Amino acid metabolism	Histidine metabolism [PATH:ko00340]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
4135	Metabolism	Amino acid metabolism	Tryptophan metabolism [PATH:ko00380]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
4268	Metabolism	Metabolism of other amino acids	beta-Alanine metabolism [PATH:ko00410]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
53538	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00155	LNAA, LNBA; L-tyrosine reductase	1.2.1.101	4
10762	Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	10
17794	Cellular Processes	Cell motility	Bacterial chemotaxis [PATH:ko02030]	K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	10
34659	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	10
48171	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	10
48251	Brite Hierarchies	Protein families: signaling and cellular processes	Bacterial motility proteins [BR:ko02035]	K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	10
34658	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K02482	flgS; two-component system, NtrC family, sensor kinase	2.7.13.3	27
48169	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K02482	flgS; two-component system, NtrC family, sensor kinase	2.7.13.3	27
10811	Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K11711	dctS; two-component system, LuxR family, sensor histidine kinase DctS	2.7.13.3	25
34671	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K11711	dctS; two-component system, LuxR family, sensor histidine kinase DctS	2.7.13.3	25
48203	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K11711	dctS; two-component system, LuxR family, sensor histidine kinase DctS	2.7.13.3	25
4002	Metabolism	Amino acid metabolism	Tyrosine metabolism [PATH:ko00350]	K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
86	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K01835	pgm; phosphoglucomutase	5.4.2.2	5
194	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	K01835	pgm; phosphoglucomutase	5.4.2.2	5
457	Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:ko00052]	K01835	pgm; phosphoglucomutase	5.4.2.2	5
682	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:ko00500]	K01835	pgm; phosphoglucomutase	5.4.2.2	5
796	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K01835	pgm; phosphoglucomutase	5.4.2.2	5
2900	Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	K01835	pgm; phosphoglucomutase	5.4.2.2	5
7084	Metabolism	Biosynthesis of other secondary metabolites	Streptomycin biosynthesis [PATH:ko00521]	K01835	pgm; phosphoglucomutase	5.4.2.2	5
10704	Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K07683	nreB; two-component system, NarL family, sensor histidine kinase NreB	2.7.13.3	6
34626	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K07683	nreB; two-component system, NarL family, sensor histidine kinase NreB	2.7.13.3	6
48107	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K07683	nreB; two-component system, NarL family, sensor histidine kinase NreB	2.7.13.3	6
10689	Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K07777	degS; two-component system, NarL family, sensor histidine kinase DegS	2.7.13.3	18
34621	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K07777	degS; two-component system, NarL family, sensor histidine kinase DegS	2.7.13.3	18
48097	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K07777	degS; two-component system, NarL family, sensor histidine kinase DegS	2.7.13.3	18
10447	Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K07642	baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS	2.7.13.3	24
34577	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K07642	baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS	2.7.13.3	24
48007	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K07642	baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS	2.7.13.3	24
54852	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K01537	ATP2C; P-type Ca2+ transporter type 2C	7.2.2.10	7
34640	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K02476	K02476; two-component system, CitB family, sensor kinase	2.7.13.3	25
48132	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K02476	K02476; two-component system, CitB family, sensor kinase	2.7.13.3	25
7884	Metabolism	Xenobiotics biodegradation and metabolism	Caprolactam degradation [PATH:ko00930]	K14519	aldH; NADP-dependent aldehyde dehydrogenase	1.2.1.4	2
4031	Metabolism	Amino acid metabolism	Phenylalanine metabolism [PATH:ko00360]	K00146	feaB; phenylacetaldehyde dehydrogenase	1.2.1.39	4
7837	Metabolism	Xenobiotics biodegradation and metabolism	Styrene degradation [PATH:ko00643]	K00146	feaB; phenylacetaldehyde dehydrogenase	1.2.1.39	4
4324	Metabolism	Metabolism of other amino acids	Phosphonate and phosphinate metabolism [PATH:ko00440]	K00206	phnY; phosphonoacetaldehyde dehydrogenase	1.2.1.-	2
3164	Metabolism	Nucleotide metabolism	Pyrimidine metabolism [PATH:ko00240]	K00756	pdp; pyrimidine-nucleoside phosphorylase	2.4.2.2	1
10601	Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K07700	dpiB, citA; two-component system, CitB family, cit operon sensor histidine kinase CitA	2.7.13.3	2
34635	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K07700	dpiB, citA; two-component system, CitB family, cit operon sensor histidine kinase CitA	2.7.13.3	2
48122	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K07700	dpiB, citA; two-component system, CitB family, cit operon sensor histidine kinase CitA	2.7.13.3	2
1273	Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	2.2.1.6	2
1280	Metabolism	Carbohydrate metabolism	C5-Branched dibasic acid metabolism [PATH:ko00660]	K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	2.2.1.6	2
3571	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	2.2.1.6	2
5324	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis [PATH:ko00770]	K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	2.2.1.6	2
34611	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K02484	K02484; two-component system, OmpR family, sensor kinase	2.7.13.3	134
48077	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K02484	K02484; two-component system, OmpR family, sensor kinase	2.7.13.3	134
10466	Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K07645	qseC; two-component system, OmpR family, sensor histidine kinase QseC	2.7.13.3	38
17292	Cellular Processes	Cellular community - prokaryotes	Quorum sensing [PATH:ko02024]	K07645	qseC; two-component system, OmpR family, sensor histidine kinase QseC	2.7.13.3	38
34580	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K07645	qseC; two-component system, OmpR family, sensor histidine kinase QseC	2.7.13.3	38
48013	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K07645	qseC; two-component system, OmpR family, sensor histidine kinase QseC	2.7.13.3	38
4372	Metabolism	Metabolism of other amino acids	Selenocompound metabolism [PATH:ko00450]	K00384	trxB, TRR; thioredoxin reductase (NADPH)	1.8.1.9	1
10737	Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	2.7.13.3	26
34652	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	2.7.13.3	26
48156	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	2.7.13.3	26
48354	Brite Hierarchies	Protein families: signaling and cellular processes	Bacterial motility proteins [BR:ko02035]	K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	2.7.13.3	26
931	Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K12972	ghrA; glyoxylate/hydroxypyruvate reductase	1.1.1.79 1.1.1.81	1
1020	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K12972	ghrA; glyoxylate/hydroxypyruvate reductase	1.1.1.79 1.1.1.81	1
3293	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K12972	ghrA; glyoxylate/hydroxypyruvate reductase	1.1.1.79 1.1.1.81	1
10674	Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K07678	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA	2.7.13.3	24
17598	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Vibrio cholerae [PATH:ko05111]	K07678	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA	2.7.13.3	24
17662	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	K07678	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA	2.7.13.3	24
17752	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli [PATH:ko02026]	K07678	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA	2.7.13.3	24
34618	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K07678	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA	2.7.13.3	24
48090	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K07678	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA	2.7.13.3	24
34695	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K11527	K11527; two-component system, sensor histidine kinase and response regulator	2.7.13.3	22
48250	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K11527	K11527; two-component system, sensor histidine kinase and response regulator	2.7.13.3	22
34647	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K02478	K02478; two-component system, LytTR family, sensor kinase	2.7.13.3	11
48146	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K02478	K02478; two-component system, LytTR family, sensor kinase	2.7.13.3	11
2995	Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	K01768	E4.6.1.1; adenylate cyclase	4.6.1.1	2
16065	Cellular Processes	Cell growth and death	Meiosis - yeast [PATH:ko04113]	K01768	E4.6.1.1; adenylate cyclase	4.6.1.1	2
17639	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	K01768	E4.6.1.1; adenylate cyclase	4.6.1.1	2
23524	Organismal Systems	Aging	Longevity regulating pathway - multiple species [PATH:ko04213]	K01768	E4.6.1.1; adenylate cyclase	4.6.1.1	2
3186	Metabolism	Nucleotide metabolism	Pyrimidine metabolism [PATH:ko00240]	K00758	deoA, TYMP; thymidine phosphorylase	2.4.2.4	1
8096	Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes [PATH:ko00983]	K00758	deoA, TYMP; thymidine phosphorylase	2.4.2.4	1
26205	Human Diseases	Cancer: specific types	Bladder cancer [PATH:ko05219]	K00758	deoA, TYMP; thymidine phosphorylase	2.4.2.4	1
3107	Metabolism	Nucleotide metabolism	Pyrimidine metabolism [PATH:ko00240]	K01955	carB, CPA2; carbamoyl-phosphate synthase large subunit	6.3.5.5	14
3268	Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K01955	carB, CPA2; carbamoyl-phosphate synthase large subunit	6.3.5.5	14
10718	Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
34649	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
