	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_048179_NC_048179_50	NC_048179	NC_048179	50	37720	38088	-1	E															0
NC_048179_NC_048179_51	NC_048179	NC_048179	51	38316	38408	-1	E															0
NC_048179_NC_048179_52	NC_048179	NC_048179	52	38405	38830	-1	E															0
NC_048179_NC_048179_53	NC_048179	NC_048179	53	38983	39315	1	E															0
NC_048179_NC_048179_54	NC_048179	NC_048179	54	39290	41824	1	D										Protein of unknown function (DUF3987) [PF13148.9]					0
NC_048179_NC_048179_55	NC_048179	NC_048179	55	42319	42747	1	E															0
NC_048179_NC_048179_56	NC_048179	NC_048179	56	42740	42928	-1	E															0
NC_048179_NC_048179_57	NC_048179	NC_048179	57	42925	43122	-1	E															0
NC_048179_NC_048179_58	NC_048179	NC_048179	58	43119	43367	-1	E															0
NC_048179_NC_048179_59	NC_048179	NC_048179	59	43357	43479	-1	E															0
NC_048179_NC_048179_60	NC_048179	NC_048179	60	43541	43846	-1	E															0
NC_048179_NC_048179_61	NC_048179	NC_048179	61	43901	44101	-1	E															0
NC_048179_NC_048179_62	NC_048179	NC_048179	62	44092	44328	-1	E															0
NC_048179_NC_048179_63	NC_048179	NC_048179	63	44394	44582	-1	E															0
NC_048179_NC_048179_64	NC_048179	NC_048179	64	44564	44827	-1	E															0
NC_048179_NC_048179_65	NC_048179	NC_048179	65	44890	45456	-1	E															0
NC_048179_NC_048179_66	NC_048179	NC_048179	66	45549	45698	-1	E															0
NC_048179_NC_048179_67	NC_048179	NC_048179	67	46532	47068	1	E															0
NC_048179_NC_048179_68	NC_048179	NC_048179	68	47061	47330	1	E															0
NC_048179_NC_048179_69	NC_048179	NC_048179	69	47327	47998	1	D										Dihydrofolate reductase [PF00186.22]					0
NC_048179_NC_048179_70	NC_048179	NC_048179	70	47995	48495	1	E															0
NC_048179_NC_048179_71	NC_048179	NC_048179	71	48492	49295	1	E															0
NC_048179_NC_048179_72	NC_048179	NC_048179	72	49295	49582	1	E															0
NC_048179_NC_048179_73	NC_048179	NC_048179	73	49759	50055	1	E															0
NC_048179_NC_048179_74	NC_048179	NC_048179	74	50055	51503	1	C	K06909	phage terminase large subunit								Phage terminase large subunit [PF04466.16]					0
NC_048179_NC_048179_75	NC_048179	NC_048179	75	51505	53067	1	D										Domain of unknown function (DUF4055) [PF13264.9]					0
NC_048179_NC_048179_76	NC_048179	NC_048179	76	53246	53962	1	E															0
