	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
MH674343.1_25	MH674343	MH674343.1	25	19407	20417	1	E			YP_010355868.1	YP_010355868.1 virion structural protein [Methanobacterium virus Drs3]	True	0.95	672	3.077e-218									VOG01409	sp|P25477|CAPSD_BPP2 Capsid proteins; XhXs	Xh;Xs	0	False	V
MH674343.1_26	MH674343	MH674343.1	26	20609	21031	1	E			YP_010355869.1	YP_010355869.1 hypothetical protein M1M16_gp26 [Methanobacterium virus Drs3]	False	0.975	290	1.084e-89												0	False	
MH674343.1_27	MH674343	MH674343.1	27	21037	21480	1	D			YP_010355870.1	YP_010355870.1 tail completion or Neck1 protein [Methanobacterium virus Drs3]	False	0.948	295	2.506e-91								Bacteriophage HK97-gp10, putative tail-component [PF04883.15]	VOG00648	REFSEQ hypothetical protein; Xu	Xu	0	False	
MH674343.1_28	MH674343	MH674343.1	28	21477	21998	1	E			YP_010355871.1	YP_010355871.1 hypothetical protein M1M16_gp28 [Methanobacterium virus Drs3]	True	0.97	355	9.287e-112												0	False	
MH674343.1_29	MH674343	MH674343.1	29	22039	23148	1	D			YP_010355872.1	YP_010355872.1 hypothetical protein M1M16_gp29 [Methanobacterium virus Drs3]	True	0.966	752	1.741e-245								Phage tail tube protein [PF18906.3]	VOG00339	REFSEQ hypothetical protein; Xu	Xu	0	False	
MH674343.1_30	MH674343	MH674343.1	30	23208	23657	1	E			YP_010355873.1	YP_010355873.1 hypothetical protein M1M16_gp30 [Methanobacterium virus Drs3]	False	0.935	294	5.185e-91												0	False	
MH674343.1_31	MH674343	MH674343.1	31	23909	28120	1	E			YP_010355874.1	YP_010355874.1 prominin [Methanobacterium virus Drs3]	True	0.925	2716	0.0												0	False	
MH674343.1_32	MH674343	MH674343.1	32	28117	28302	1	E			YP_010355875.1	YP_010355875.1 hypothetical protein M1M16_gp32 [Methanobacterium virus Drs3]	False	0.964	126	2.136e-34												0	False	
MH674343.1_33	MH674343	MH674343.1	33	28310	31612	1	E			YP_010355876.1	YP_010355876.1 tail protein [Methanobacterium virus Drs3]	True	0.959	2219	0.0												0	False	
MH674343.1_34	MH674343	MH674343.1	34	31619	33487	1	E			YP_010355877.1	YP_010355877.1 hypothetical protein M1M16_gp34 [Methanobacterium virus Drs3]	True	0.977	1283	0.0												0	False	F
MH674343.1_35	MH674343	MH674343.1	35	33520	34422	1	D			YP_010355878.1	YP_010355878.1 pseudomurein-binding repeat protein [Methanobacterium virus Drs3]	True	0.982	623	3.89e-202	MER0317656	C110	MER0317656 - family C110 unassigned peptidases (Methanobacterium sp. AL-21) [C110.UPW]#C110#{peptidase unit: 288-390}~source YP_004291000~	False	84.0	3.721e-16	0.466	Transglutaminase-like superfamily [PF01841.22]; Pseudomurein-binding repeat [PF09373.13]				0	False	MF
MH674343.1_36	MH674343	MH674343.1	36	34942	35475	-1	E			YP_010355879.1	YP_010355879.1 hypothetical protein M1M16_gp36 [Methanobacterium virus Drs3]	True	0.959	359	6.568e-113												0	False	F
MH674343.1_37	MH674343	MH674343.1	37	35845	36165	-1	E			YP_010355880.1	YP_010355880.1 hypothetical protein M1M16_gp37 [Methanobacterium virus Drs3]	False	0.975	220	3.976e-66												0	False	F
MH674343.1_38	MH674343	MH674343.1	38	36416	36709	-1	E			YP_010355881.1	YP_010355881.1 hypothetical protein M1M16_gp38 [Methanobacterium virus Drs3]	False	0.93	191	2.6900000000000003e-56												0	False	F
MH674343.1_39	MH674343	MH674343.1	39	36745	36993	-1	E			YP_010355882.1	YP_010355882.1 hypothetical protein M1M16_gp39 [Methanobacterium virus Drs3]	False	0.929	162	1.878e-46												0	False	F
