	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_004065.1_11	NC_004065.1	NC_004065.1	11	11686	12504	1	D			YP_214020.1	YP_214020.1 Glycoprotein family m02 [Murid betaherpesvirus 1]	True	0.942	540.0	1.097e-173								Immune evasion protein [PF12216.11]				0	False	
NC_004065.1_12	NC_004065.1	NC_004065.1	12	13085	13990	1	D			YP_214022.1	YP_214022.1 Glycoprotein family m02 [Murid betaherpesvirus 1]	True	0.95	602.0	7.335e-195								Immune evasion protein [PF12216.11]				0	False	
NC_004065.1_13	NC_004065.1	NC_004065.1	13	14085	15065	1	E			YP_214023.1	YP_214023.1 Glycoprotein family m02 [Murid betaherpesvirus 1]	True	0.932	638.0	8.284e-207												0	False	
NC_004065.1_14	NC_004065.1	NC_004065.1	14	15095	15676	1	D			YP_214024.1	YP_214024.1 Glycoprotein family m02 [Murid betaherpesvirus 1]	True	0.925	376.0	1.803e-118								Immune evasion protein [PF12216.11]				0	False	
NC_004065.1_15	NC_004065.1	NC_004065.1	15	15749	16951	-1	D			YP_214025.1	YP_214025.1 Member of MGP family m145 (right end) [Murid betaherpesvirus 1]	True	1.0	850.0	1.613e-278								MHC class I-like protein M157 [PF11624.11]	VOG05444	REFSEQ Member of MGP family m145; Xu	Xu	0	False	
NC_004065.1_16	NC_004065.1	NC_004065.1	16	17071	20193	-1	E			YP_214026.1	YP_214026.1 hypothetical protein MuHV1_gp018 [Murid betaherpesvirus 1]	True	0.889	1924.0	0.0												0	False	
NC_004065.1_17	NC_004065.1	NC_004065.1	17	20579	20770	-1	E																				0	False	
NC_004065.1_18	NC_004065.1	NC_004065.1	18	20802	23045	-1	E			YP_214028.1	YP_214028.1 hypothetical protein MuHV1_gp020 [Murid betaherpesvirus 1]	True	0.989	1562.0	0.0									VOG24885	REFSEQ e20; Xu	Xu	0	False	
NC_004065.1_19	NC_004065.1	NC_004065.1	19	23778	24953	-1	E			YP_214031.1	YP_214031.1 US22 family homolog [Murid betaherpesvirus 1]	True	0.965	796.0	4.316e-260												0	False	
NC_004065.1_20	NC_004065.1	NC_004065.1	20	25148	26119	-1	D			YP_214033.1	YP_214033.1 US22 family homolog [Murid betaherpesvirus 1]	True	0.999	684.0	1.309e-222								US22 like [PF02393.19]				0	False	
NC_004065.1_21	NC_004065.1	NC_004065.1	21	26300	28813	1	D			YP_214034.1	YP_214034.1 UL25 family homolog [Murid betaherpesvirus 1]	True	0.92	1612.0	0.0								Herpesvirus phosphoprotein 85 (HHV6-7 U14/HCMV UL25) [PF04637.15]	VOG05848	sp|F5HGJ4|PP85_HCMVM Phosphoprotein 85; Xs	Xs	0	False	V
NC_004065.1_22	NC_004065.1	NC_004065.1	22	28998	30281	-1	D			YP_214036.1	YP_214036.1 US22 family homolog [Murid betaherpesvirus 1]	True	0.975	879.0	4.278e-288								US22 like [PF02393.19]				0	False	
NC_004065.1_23	NC_004065.1	NC_004065.1	23	30245	31216	-1	D			YP_214038.1	YP_214038.1 hypothetical protein MuHV1_gp030 [Murid betaherpesvirus 1]	True	0.968	661.0	1.558e-214								US22 like [PF02393.19]				0	False	
NC_004065.1_24	NC_004065.1	NC_004065.1	24	31347	31925	-1	E			YP_214039.1	YP_214039.1 hypothetical protein MuHV1_gp031 [Murid betaherpesvirus 1]	True	1.0	414.0	1.21e-131									VOG05678	sp|F5HGG3|UL26_HCMVM Tegument protein UL26; Xs	Xs	0	False	V
NC_004065.1_25	NC_004065.1	NC_004065.1	25	32247	34295	-1	D			YP_214040.1	YP_214040.1 hypothetical protein MuHV1_gp032 [Murid betaherpesvirus 1]	True	0.959	1376.0	0.0								Herpesvirus U5-like family [PF05999.14]	VOG03062	sp|P16763|UL27_HCMVA Protein UL27; Xu	Xu	0	False	
NC_004065.1_26	NC_004065.1	NC_004065.1	26	34486	35778	-1	E			YP_214041.1	YP_214041.1 hypothetical protein MuHV1_gp033 [Murid betaherpesvirus 1]	True	0.959	869.0	1.296e-284									VOG00026	sp|C0H677|UL298_HCMVA Protein UL29/UL28; XhXs	Xh;Xs	0	False	V
NC_004065.1_27	NC_004065.1	NC_004065.1	27	36109	36660	-1	E			YP_214043.1	YP_214043.1 hypothetical protein MuHV1_gp035 [Murid betaherpesvirus 1]	False	0.885	339.0	6.198e-106									VOG08615	REFSEQ e29.1; Xu	Xu	0	False	
NC_004065.1_28	NC_004065.1	NC_004065.1	28	37279	38829	1	D			YP_214045.1	YP_214045.1 hypothetical protein MuHV1_gp037 [Murid betaherpesvirus 1]	True	0.967	1052.0	0.0								Protein of unknown function (DUF570) [PF04489.16]	VOG08549	sp|P52524|VU10_HHV7J U10 protein; Xu	Xu	0	False	
NC_004065.1_29	NC_004065.1	NC_004065.1	29	39280	41436	-1	D			YP_214046.1	YP_214046.1 Tegument protein of HCMV [Murid betaherpesvirus 1]	True	0.958	1448.0	0.0								Herpesvirus large structural phosphoprotein UL32 [PF06070.14]	VOG03003	REFSEQ pR32; Xu	Xu	0	False	
NC_004065.1_30	NC_004065.1	NC_004065.1	30	41701	42780	1	D			YP_007016437.1	YP_007016437.1 E33 [Murid betaherpesvirus 8]	True	0.734	509.0	2.746e-161								7 transmembrane receptor (rhodopsin family) [PF00001.24]	VOG00177	sp|P16849|UL33_HCMVA G-protein coupled receptor homolog UL33; XhXpXs	Xh;Xs;Xp	0	False	V
NC_004065.1_31	NC_004065.1	NC_004065.1	31	43728	45647	1	E			YP_214047.1	YP_214047.1 hypothetical protein MuHV1_gp039 [Murid betaherpesvirus 1]	True	0.922	1234.0	0.0									VOG08553	sp|B9VXK4|UL34_HCMVT Transcriptional regulator UL34; Xu	Xu	0	False	
NC_004065.1_32	NC_004065.1	NC_004065.1	32	45987	47468	1	D			YP_214048.1	YP_214048.1 UL25 family homolog [Murid betaherpesvirus 1]	True	0.956	993.0	0.0								Herpesvirus phosphoprotein 85 (HHV6-7 U14/HCMV UL25) [PF04637.15]	VOG08552	sp|F5HE12|UL35_HCMVM Tegument protein UL35; XpXs	Xs;Xp	0	False	V
NC_004065.1_33	NC_004065.1	NC_004065.1	33	47618	48883	-1	D			YP_007016440.1	YP_007016440.1 E36 [Murid betaherpesvirus 8]	True	0.644	533.0	1.408e-168								US22 like [PF02393.19]				0	False	
NC_004065.1_34	NC_004065.1	NC_004065.1	34	48938	49387	-1	E			YP_007016440.1	YP_007016440.1 E36 [Murid betaherpesvirus 8]	False	0.535	71.0	1.631e-13												0	False	
NC_004065.1_35	NC_004065.1	NC_004065.1	35	49441	50430	-1	D			YP_214049.1	YP_214049.1 Glycoprotein present at IE times [Murid betaherpesvirus 1]	True	0.976	679.0	1.044e-220								Betaherpesvirus immediate-early glycoprotein UL37 [PF07413.14]	VOG05736	sp|Q6SW94|VGLI_HCMVM UL37 immediate early glycoprotein; Xp	Xp	0	False	
NC_004065.1_36	NC_004065.1	NC_004065.1	36	50462	51955	-1	E			YP_214050.1	YP_214050.1 hypothetical protein MuHV1_gp042 [Murid betaherpesvirus 1]	True	0.958	1003.0	0.0									VOG08554	sp|F5HG98|UL38_HCMVM Apoptosis inhibitor UL38; Xp	Xp	0	False	
NC_004065.1_37	NC_004065.1	NC_004065.1	37	52484	53200	-1	E			YP_214051.1	YP_214051.1 hypothetical protein MuHV1_gp043 [Murid betaherpesvirus 1]	True	0.98	494.0	1.687e-158									VOG26193	REFSEQ e39; Xu	Xu	0	False	
NC_004065.1_38	NC_004065.1	NC_004065.1	38	53265	53630	-1	E			YP_214052.1	YP_214052.1 hypothetical protein MuHV1_gp044 [Murid betaherpesvirus 1]	False	0.947	243.0	9.072e-74									VOG24886	REFSEQ e40; Xu	Xu	0	False	
NC_004065.1_39	NC_004065.1	NC_004065.1	39	53783	54055	-1	E			YP_214053.1	YP_214053.1 hypothetical protein MuHV1_gp045 [Murid betaherpesvirus 1]	False	0.917	175.0	8.154999999999999e-51									VOG24888	REFSEQ e41; Xu	Xu	0	False	
NC_004065.1_40	NC_004065.1	NC_004065.1	40	54352	54843	-1	E			YP_214054.1	YP_214054.1 Possible glycoprotein [Murid betaherpesvirus 1]	False	0.879	300.0	8.876e-93												0	False	
NC_004065.1_41	NC_004065.1	NC_004065.1	41	54864	54989	-1	E																				0	False	
NC_004065.1_42	NC_004065.1	NC_004065.1	42	55351	57015	-1	D			YP_214055.1	YP_214055.1 US22 family homolog [Murid betaherpesvirus 1]	True	0.976	1141.0	0.0								US22 like [PF02393.19]	VOG00026	sp|C0H677|UL298_HCMVA Protein UL29/UL28; XhXs	Xh;Xs	0	False	V
NC_004065.1_43	NC_004065.1	NC_004065.1	43	57885	59120	-1	D			YP_214056.1	YP_214056.1 DNA binding protein [Murid betaherpesvirus 1]	True	0.941	813.0	1.047e-265								Herpesvirus polymerase accessory protein [PF03325.16]	VOG08555	sp|P52439|VPAP_HHV6U DNA polymerase processivity factor; Xr	Xr	0	False	V
NC_004065.1_44	NC_004065.1	NC_004065.1	44	59515	61797	-1	D			YP_214057.2	YP_214057.2 viral inhibitor of RIP activation [Murid betaherpesvirus 1]	True	0.972	1558.0	0.0								Ribonucleotide reductase, barrel domain [PF02867.18]	VOG00122	sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha; Xh	Xh	0	False	MKE
NC_004065.1_45	NC_004065.1	NC_004065.1	45	61764	62975	-1	E			YP_214058.1	YP_214058.1 hypothetical protein MuHV1_gp050 [Murid betaherpesvirus 1]	True	0.863	723.0	1.539e-234												0	False	
NC_004065.1_46	NC_004065.1	NC_004065.1	46	63040	63897	-1	D			YP_214059.1	YP_214059.1 Minor capsid protein [Murid betaherpesvirus 1]	True	0.968	583.0	2.418e-188								Herpesvirus capsid shell protein VP19C [PF03327.17]	VOG01844	sp|Q01051|TRX1_SHV21 Triplex capsid protein 1; Xs	Xs	0	False	V
NC_004065.1_47	NC_004065.1	NC_004065.1	47	63923	67045	1	D			NP_064153.1	NP_064153.1 pR47 [rat cytomegalovirus strain Maastricht]	True	0.561	1090.0	0.0								Herpes virus tegument protein U30 [PF04523.16]	VOG02901	sp|Q01055|ITP_SHV21 Inner tegument protein; Xs	Xs	0	False	V
NC_004065.1_48	NC_004065.1	NC_004065.1	48	67042	73491	1	D			YP_007016454.1	YP_007016454.1 E48 [Murid betaherpesvirus 8]	True	0.537	2142.0	0.0	MER0166059	C76	MER0166059 - family C76 (general) () [C76.UPW]#C76#{peptidase unit: 15-181}~source ACE95234~	False	0.978	346.0	1.274e-93	Herpesvirus tegument protein, N-terminal conserved region [PF04843.15]	VOG05493	sp|A8E1C4|LTP_MUHVK Large tegument protein deneddylase; XhXpXs	Xh;Xs;Xp	0	False	VP
NC_004065.1_49	NC_004065.1	NC_004065.1	49	73571	73867	-1	D			YP_214061.1	YP_214061.1 hypothetical protein MuHV1_gp053 [Murid betaherpesvirus 1]	False	0.819	168.0	4.909e-48								Small capsid protein of Herpesviridae [PF17086.8]	VOG05826	sp|F5HEN7|SCP_HCMVM Small capsomere-interacting protein; Xs	Xs	0	False	V
NC_004065.1_50	NC_004065.1	NC_004065.1	50	73919	75529	-1	D			YP_214062.1	YP_214062.1 hypothetical protein MuHV1_gp054 [Murid betaherpesvirus 1]	True	0.994	1127.0	0.0								UL49 family [PF03117.17]	VOG08556	sp|P52441|UL49_HHV6U Protein U33; Xu	Xu	0	False	
NC_004065.1_51	NC_004065.1	NC_004065.1	51	75501	76451	-1	D			YP_214063.1	YP_214063.1 hypothetical protein MuHV1_gp055 [Murid betaherpesvirus 1]	True	0.956	637.0	1.8299999999999998e-206								Herpesvirus virion protein U34 [PF04541.16]	VOG08560	sp|F5HA27|NEC2_HHV8P Nuclear egress protein 2; Xh	Xh	0	False	
NC_004065.1_52	NC_004065.1	NC_004065.1	52	76515	76895	-1	D			YP_214064.1	YP_214064.1 hypothetical protein MuHV1_gp056 [Murid betaherpesvirus 1]	False	0.98	263.0	1.6000000000000001e-80								Herpesvirus UL33-like protein [PF03581.16]	VOG07864	sp|P28953|TRM2_EHV1B Tripartite terminase subunit 2; Xr	Xr	0	False	V
NC_004065.1_53	NC_004065.1	NC_004065.1	53	76915	78468	1	D			YP_214065.1	YP_214065.1 hypothetical protein MuHV1_gp057 [Murid betaherpesvirus 1]	True	0.959	1044.0	0.0								Herpesvirus putative major envelope glycoprotein [PF01673.21]	VOG07858	sp|P09282|UL32_VZVD Packaging protein UL32; Xu	Xu	1	False	
NC_004065.1_54	NC_004065.1	NC_004065.1	54	78551	79462	1	D			YP_214066.1	YP_214066.1 hypothetical protein MuHV1_gp058 [Murid betaherpesvirus 1]	True	0.941	600.0	7.316000000000001e-194								Herpesvirus UL31-like protein [PF02718.17]	VOG07871	sp|P10215|NEC1_HHV11 Nuclear egress protein 1; Xu	Xu	0	False	
NC_004065.1_55	NC_004065.1	NC_004065.1	55	79701	82994	-1	C	K18964	Herpesviridae DNA polymerase catalytic subunit [EC:2.7.7.7]	YP_007016461.1	YP_007016461.1 E54 [Murid betaherpesvirus 8]	True	0.714	1511.0	0.0								DNA polymerase family B [PF00136.24]; DNA polymerase family B, exonuclease domain [PF03104.22]	VOG00345	sp|Q38087|DPOL_BPR69 DNA-directed DNA polymerase; XhXr	Xh;Xr	0	False	V
NC_004065.1_56	NC_004065.1	NC_004065.1	56	83003	85768	-1	C	K19255	Herpesviridae envelope glycoprotein B	YP_214067.1	YP_214067.1 Glycoprotein B [Murid betaherpesvirus 1]	True	0.948	1834.0	0.0								Herpesvirus Glycoprotein B [PF17416.5]; Herpesvirus Glycoprotein B ectodomain [PF00606.21]; Herpesvirus Glycoprotein B PH-like domain [PF17417.5]	VOG07843	sp|O36362|GB_ALHV1 Envelope glycoprotein B; XpXs	Xs;Xp	0	False	V
NC_004065.1_57	NC_004065.1	NC_004065.1	57	85716	88106	-1	D			YP_214068.1	YP_214068.1 HSV ICP18.5 homolog [Murid betaherpesvirus 1]	True	0.953	1596.0	0.0								Herpesvirus processing and transport protein [PF01366.21]	VOG07865	sp|P12835|TRM1_HHV1A Tripartite terminase subunit 1; XhXr	Xh;Xr	0	False	V
NC_004065.1_58	NC_004065.1	NC_004065.1	58	88319	91894	-1	D			YP_007016464.1	YP_007016464.1 E57 [Murid betaherpesvirus 8]	True	0.712	1702.0	0.0								ssDNA binding protein [PF00747.20]	VOG07860	sp|P24910|DNBI_SHV21 Major DNA-binding protein; Xr	Xr	0	False	V
NC_004065.1_59	NC_004065.1	NC_004065.1	59	93241	94263	1	E			YP_214070.1	YP_214070.1 hypothetical protein MuHV1_gp062 [Murid betaherpesvirus 1]	True	0.949	680.0	6.796e-221												0	False	
NC_004065.1_60	NC_004065.1	NC_004065.1	60	96193	98721	-1	D			YP_214071.1	YP_214071.1 Similar to HCMV transactivator [Murid betaherpesvirus 1]	True	0.922	1625.0	0.0								Herpesvirus transcriptional regulator family [PF05459.15]	VOG24887	sp|Q69154|ICP27_MUHVS mRNA export factor ICP27 homolog; Xs	Xs	0	False	V
NC_004065.1_61	NC_004065.1	NC_004065.1	61	99010	101904	-1	E			YP_214073.1	YP_214073.1 hypothetical protein MuHV1_gp065 [Murid betaherpesvirus 1]	True	0.979	1990.0	0.0									VOG07869	sp|P84401|PRIM_EHV1V DNA primase; Xr	Xr	0	False	V
NC_004065.1_62	NC_004065.1	NC_004065.1	62	101906	102802	1	D			YP_214074.1	YP_214074.1 hypothetical protein MuHV1_gp066 [Murid betaherpesvirus 1]	True	0.925	579.0	7.592e-187								Herpes virus U44 protein [PF04533.16]	VOG01802	sp|P0CK49|TEG7_EBVB9 Tegument protein UL51 homolog; XhXs	Xh;Xs	0	False	V
NC_004065.1_63	NC_004065.1	NC_004065.1	63	103031	104350	-1	E			YP_214075.1	YP_214075.1 hypothetical protein MuHV1_gp067 [Murid betaherpesvirus 1]	True	0.959	810.0	4.7599999999999995e-264												0	False	
NC_004065.1_64	NC_004065.1	NC_004065.1	64	104496	105812	-1	D			YP_214077.1	YP_214077.1 Putative glycoprotein [Murid betaherpesvirus 1]	True	0.95	876.0	6.485e-287								Herpes UL74 glycoproteins [PF07982.15]	VOG08558	sp|F5HGP1|GO_HCMVM Envelope glycoprotein O; Xs	Xs	0	False	V
NC_004065.1_65	NC_004065.1	NC_004065.1	65	105904	106092	-1	E																				0	False	
NC_004065.1_66	NC_004065.1	NC_004065.1	66	106110	108287	-1	D			YP_214078.1	YP_214078.1 Glycoprotein H [Murid betaherpesvirus 1]	True	0.944	1437.0	0.0								Herpesvirus glycoprotein H main domain [PF02489.19]; Herpesvirus glycoprotein H C-terminal domain [PF17488.5]	VOG05910	sp|Q66625|GH_EHV2 Envelope glycoprotein H; XhXpXs	Xh;Xs;Xp	0	False	V
NC_004065.1_67	NC_004065.1	NC_004065.1	67	108420	108926	-1	E																				0	False	
NC_004065.1_68	NC_004065.1	NC_004065.1	68	108931	110817	1	D			YP_214080.1	YP_214080.1 Pyruvoyl decarboxylase homolog [Murid betaherpesvirus 1]	True	0.947	1250.0	0.0								Herpesvirus UL25 family [PF01499.19]	VOG07855	sp|P28928|CVC2_EHV1B Capsid vertex component 2; XpXrXs	Xr;Xs;Xp	0	False	V
NC_004065.1_69	NC_004065.1	NC_004065.1	69	110989	112404	1	E			YP_214081.1	YP_214081.1 GCR homolog [Murid betaherpesvirus 1]	True	0.949	940.0	1.511e-308									VOG05321	sp|F5HET1|UL78_HCMVM Protein UL78; Xh	Xh	0	False	
NC_004065.1_70	NC_004065.1	NC_004065.1	70	112639	113415	-1	D			YP_214082.1	YP_214082.1 hypothetical protein MuHV1_gp074 [Murid betaherpesvirus 1]	True	0.95	517.0	4.9580000000000005e-166								UL79 family [PF03049.17]	VOG08561	sp|O36368|UL79_ALHV1 Gene 18 protein; Xu	Xu	0	False	
NC_004065.1_71	NC_004065.1	NC_004065.1	71	113453	115507	1	D			YP_214083.1	YP_214083.1 Assembly protein, protease [Murid betaherpesvirus 1]	True	0.931	1335.0	0.0	MER1327995	S21	MER1327995 - family S21 unassigned peptidases () [S21.UPW]#S21#{peptidase unit: 1-269}~source CAP08120~	True	0.942	508.0	6.310000000000001e-155	Assemblin (Peptidase family S21) [PF00716.20]	VOG07859	sp|P28936|SCAF_EHV1B Capsid scaffolding protein; XhXs	Xh;Xs	0	False	VP
NC_004065.1_72	NC_004065.1	NC_004065.1	72	115711	117507	-1	D			YP_214084.1	YP_214084.1 Upper matrix phosphoprotein [Murid betaherpesvirus 1]	True	0.971	1225.0	0.0								Betaherpesvirus UL82/83 protein N terminus [PF05784.14]	VOG00836	sp|P06725|PP65_HCMVA 65 kDa phosphoprotein; XpXs	Xs;Xp	0	False	V
NC_004065.1_73	NC_004065.1	NC_004065.1	73	117614	120043	-1	D			YP_214085.1	YP_214085.1 Lower matrix phosphoprotein [Murid betaherpesvirus 1]	True	0.907	1532.0	0.0								Betaherpesvirus UL82/83 protein N terminus [PF05784.14]	VOG05283	sp|P24434|VU54_HHV6U Protein U54; Xu	Xu	0	False	
NC_004065.1_74	NC_004065.1	NC_004065.1	74	120082	121845	-1	D			YP_214086.1	YP_214086.1 Early nuclear nonstructural protein [Murid betaherpesvirus 1]	True	0.958	1184.0	0.0								Betaherpesvirus UL82/83 protein N terminus [PF05784.14]	VOG00836	sp|P06725|PP65_HCMVA 65 kDa phosphoprotein; XpXs	Xs;Xp	0	False	V
NC_004065.1_75	NC_004065.1	NC_004065.1	75	122189	123124	-1	D			YP_214087.1	YP_214087.1 hypothetical protein MuHV1_gp079 [Murid betaherpesvirus 1]	True	0.936	612.0	6.078e-198								Herpesvirus VP23 like capsid protein [PF01802.20]	VOG07853	sp|P28921|TRX2_EHV1B Triplex capsid protein 2; Xs	Xs	0	False	V
NC_004065.1_76	NC_004065.1	NC_004065.1	76	123199	127260	-1	D			YP_007016483.1	YP_007016483.1 E86 [Murid betaherpesvirus 8]	True	0.801	2218.0	0.0								Herpes virus major capsid protein [PF03122.17]	VOG07851	sp|P28920|MCP_EHV1B Major capsid protein; Xs	Xs	0	False	V
NC_004065.1_77	NC_004065.1	NC_004065.1	77	127383	130163	1	D			YP_214088.1	YP_214088.1 hypothetical protein MuHV1_gp080 [Murid betaherpesvirus 1]	True	0.949	1846.0	0.0								Herpesvirus UL87 family [PF03043.17]; Protein of unknown function (DUF587) [PF04532.15]	VOG08562	sp|F5HFD2|ORF24_HHV8P Protein ORF24; Xu	Xu	0	False	
NC_004065.1_78	NC_004065.1	NC_004065.1	78	130243	131523	1	D			YP_214089.1	YP_214089.1 hypothetical protein MuHV1_gp081 [Murid betaherpesvirus 1]	True	0.952	854.0	2.332e-279								Herpesvirus U59 protein [PF04529.15]	VOG05803	sp|P0C734|BTRF1_EBVG Uncharacterized protein BTRF1; Xu	Xu	0	False	
NC_004065.1_79	NC_004065.1	NC_004065.1	79	131646	132797	-1	D			YP_007016486.1	YP_007016486.1 E89 [Murid betaherpesvirus 8]	True	0.893	702.0	1.494e-227								Probable DNA packing protein, C-terminus [PF02499.18]	VOG00641	sp|Q01020|TRM3_SHV21 Tripartite terminase subunit 3; Xr	Xr	0	False	V
NC_004065.1_80	NC_004065.1	NC_004065.1	80	132920	133831	-1	E			YP_214090.1	YP_214090.1 Potential MGP [Murid betaherpesvirus 1]	True	0.958	612.0	4.178e-198									VOG08616	REFSEQ e90; Xu	Xu	0	False	
NC_004065.1_81	NC_004065.1	NC_004065.1	81	134189	134767	1	D			YP_214092.1	YP_214092.1 hypothetical protein MuHV1_gp084 [Murid betaherpesvirus 1]	True	0.985	401.0	2.931e-127								UL92 family [PF03048.17]	VOG08563	sp|O36380|UL92_ALHV1 Gene 31 protein; Xu	Xu	1	False	
NC_004065.1_82	NC_004065.1	NC_004065.1	82	134733	136280	1	D			YP_214093.1	YP_214093.1 hypothetical protein MuHV1_gp085 [Murid betaherpesvirus 1]	True	0.993	1081.0	0.0								Herpesvirus UL17 protein [PF04559.15]	VOG02829	sp|P89440|CVC1_HHV2H Capsid vertex component 1; XhXrXs	Xh;Xs;Xr	0	False	V
NC_004065.1_83	NC_004065.1	NC_004065.1	83	136306	137271	1	D			YP_214094.1	YP_214094.1 hypothetical protein MuHV1_gp086 [Murid betaherpesvirus 1]	True	0.979	664.0	6.069e-216								Herpesvirus UL16/UL94 family [PF03044.17]	VOG07854	sp|P0CK53|CEP2_EBVB9 Cytoplasmic envelopment protein 2; XhXpXs	Xh;Xs;Xp	0	False	V
NC_004065.1_84	NC_004065.1	NC_004065.1	84	137243	138283	-1	D			YP_214095.1	YP_214095.1 Conserved herpesvirus spliced gene [Murid betaherpesvirus 1]	True	0.988	624.0	2.425e-201								Probable DNA packing protein, N-terminus [PF02500.18]	VOG00641	sp|Q01020|TRM3_SHV21 Tripartite terminase subunit 3; Xr	Xr	0	False	V
NC_004065.1_85	NC_004065.1	NC_004065.1	85	138408	139535	1	D			YP_214096.1	YP_214096.1 hypothetical protein MuHV1_gp088 [Murid betaherpesvirus 1]	True	0.972	769.0	3.0080000000000007e-251								UL95 family [PF03038.17]	VOG08565	sp|O36383|UL95_ALHV1 Gene 34 protein; Xu	Xu	0	False	
NC_004065.1_86	NC_004065.1	NC_004065.1	86	139535	139924	1	D			YP_214097.1	YP_214097.1 hypothetical protein MuHV1_gp089 [Murid betaherpesvirus 1]	False	0.889	241.0	6.473e-73								Protein of unknown function (DUF2664) [PF10867.11]	VOG01792	sp|Q66639|UL96_EHV2 Gene 35 protein; Xu	Xu	0	False	
NC_004065.1_87	NC_004065.1	NC_004065.1	87	140024	142072	1	D			YP_214098.1	YP_214098.1 Phosphotransferase [Murid betaherpesvirus 1]	True	0.959	1299.0	0.0								UL97 [PF06734.15]	VOG00820	sp|Q66640|VG36_EHV2 Probable inactive protein kinase 38; Xu	Xu	0	False	
NC_004065.1_88	NC_004065.1	NC_004065.1	88	142137	143786	1	D			YP_214099.1	YP_214099.1 Exonuclease [Murid betaherpesvirus 1]	True	0.961	1112.0	0.0								Viral alkaline exonuclease [PF01771.20]; YqaJ-like viral recombinase domain [PF09588.13]	VOG05665	sp|Q01013|AN_SHV21 Shutoff alkaline exonuclease; Xu	Xu	0	False	
NC_004065.1_89	NC_004065.1	NC_004065.1	89	143807	144061	1	D			YP_214100.1	YP_214100.1 Phosphoprotein [Murid betaherpesvirus 1]	False	0.902	160.0	7.354e-46								Tegument protein UL11 homolog [PF17474.5]				0	False	
