	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_054791.1_NC_054791.1_48	NC_054791.1	NC_054791.1	48	33097	33864	-1	D			Calcineurin-like phosphoesterase superfamily domain [PF12850.10]					0
NC_054791.1_NC_054791.1_49	NC_054791.1	NC_054791.1	49	33861	34055	-1	E								0
NC_054791.1_NC_054791.1_50	NC_054791.1	NC_054791.1	50	34052	34558	-1	D			Protein of unknwon function (DUF3310) [PF11753.11]					0
NC_054791.1_NC_054791.1_51	NC_054791.1	NC_054791.1	51	34551	34835	-1	E								0
NC_054791.1_NC_054791.1_52	NC_054791.1	NC_054791.1	52	34857	35450	-1	D			Toprim-like [PF13155.9]; Toprim domain [PF13362.9]					0
NC_054791.1_NC_054791.1_53	NC_054791.1	NC_054791.1	53	35729	35869	-1	E								0
NC_054791.1_NC_054791.1_54	NC_054791.1	NC_054791.1	54	35877	36038	-1	E								0
NC_054791.1_NC_054791.1_55	NC_054791.1	NC_054791.1	55	36038	36199	-1	E								0
NC_054791.1_NC_054791.1_56	NC_054791.1	NC_054791.1	56	36225	36524	-1	D			Recombination endonuclease VII [PF02945.18]					0
NC_054791.1_NC_054791.1_57	NC_054791.1	NC_054791.1	57	36664	36819	-1	E								0
NC_054791.1_NC_054791.1_58	NC_054791.1	NC_054791.1	58	36816	36959	-1	E								0
NC_054791.1_NC_054791.1_59	NC_054791.1	NC_054791.1	59	36956	37123	-1	E								0
NC_054791.1_NC_054791.1_60	NC_054791.1	NC_054791.1	60	37120	37380	-1	E								0
NC_054791.1_NC_054791.1_61	NC_054791.1	NC_054791.1	61	37377	37799	-1	D			YspA, cpYpsA-related SLOG family [PF10686.12]					0
NC_054791.1_NC_054791.1_62	NC_054791.1	NC_054791.1	62	37787	37930	-1	D			Gene product 63 [PF17471.5]					0
NC_054791.1_NC_054791.1_63	NC_054791.1	NC_054791.1	63	37957	38619	-1	E								0
NC_054791.1_NC_054791.1_64	NC_054791.1	NC_054791.1	64	38666	39043	-1	E								0
NC_054791.1_NC_054791.1_65	NC_054791.1	NC_054791.1	65	39123	39869	-1	D			DnaB-like helicase C terminal domain [PF03796.18]; AAA domain [PF13481.9]					0
NC_054791.1_NC_054791.1_66	NC_054791.1	NC_054791.1	66	39935	40150	-1	E								0
NC_054791.1_NC_054791.1_67	NC_054791.1	NC_054791.1	67	40147	40422	-1	D			Gp68-like predicted RNA polymerase component [PF17469.5]					0
NC_054791.1_NC_054791.1_68	NC_054791.1	NC_054791.1	68	40406	40654	-1	E								0
NC_054791.1_NC_054791.1_69	NC_054791.1	NC_054791.1	69	40682	41512	-1	C	K07465	putative RecB family exonuclease	PD-(D/E)XK nuclease superfamily [PF12705.10]; Domain of unknown function DUF83 [PF01930.20]					0
NC_054791.1_NC_054791.1_70	NC_054791.1	NC_054791.1	70	41564	41899	-1	D			Gene product 70 [PF17429.5]					0
NC_054791.1_NC_054791.1_71	NC_054791.1	NC_054791.1	71	41872	42375	-1	E								0
NC_054791.1_NC_054791.1_72	NC_054791.1	NC_054791.1	72	42735	43043	-1	E								0
NC_054791.1_NC_054791.1_73	NC_054791.1	NC_054791.1	73	43040	43252	-1	E								0
NC_054791.1_NC_054791.1_74	NC_054791.1	NC_054791.1	74	43249	43476	-1	E								0
NC_054791.1_NC_054791.1_75	NC_054791.1	NC_054791.1	75	43529	43801	-1	E								0
NC_054791.1_NC_054791.1_76	NC_054791.1	NC_054791.1	76	43803	43991	-1	E								0
NC_054791.1_NC_054791.1_77	NC_054791.1	NC_054791.1	77	44003	44293	-1	E								0
NC_054791.1_NC_054791.1_78	NC_054791.1	NC_054791.1	78	44290	44574	-1	E								0
NC_054791.1_NC_054791.1_79	NC_054791.1	NC_054791.1	79	44695	45138	-1	E								0
NC_054791.1_NC_054791.1_80	NC_054791.1	NC_054791.1	80	45142	45327	-1	E								0
NC_054791.1_NC_054791.1_81	NC_054791.1	NC_054791.1	81	45327	45467	-1	E								0
NC_054791.1_NC_054791.1_82	NC_054791.1	NC_054791.1	82	45479	45670	-1	D			Protein of unknown function (DUF2510) [PF10708.12]					0
NC_054791.1_NC_054791.1_83	NC_054791.1	NC_054791.1	83	45667	45891	-1	E								0
NC_054791.1_NC_054791.1_84	NC_054791.1	NC_054791.1	84	45904	46509	-1	E								0
NC_054791.1_NC_054791.1_85	NC_054791.1	NC_054791.1	85	46521	47060	-1	D			Antirestriction protein (ArdA) [PF07275.14]					0
NC_054791.1_NC_054791.1_86	NC_054791.1	NC_054791.1	86	47162	47959	-1	E								0
NC_054791.1_NC_054791.1_87	NC_054791.1	NC_054791.1	87	48041	48286	-1	E								0
NC_054791.1_NC_054791.1_88	NC_054791.1	NC_054791.1	88	48290	48412	-1	E								0
NC_054791.1_NC_054791.1_89	NC_054791.1	NC_054791.1	89	48416	48649	-1	E								0
NC_054791.1_NC_054791.1_90	NC_054791.1	NC_054791.1	90	48646	48828	-1	E								0
NC_054791.1_NC_054791.1_91	NC_054791.1	NC_054791.1	91	48830	49024	-1	E								0
NC_054791.1_NC_054791.1_92	NC_054791.1	NC_054791.1	92	49035	49379	-1	E								0
