	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
MK310226.1_65	MK310226	MK310226.1	65	43621	44127	1	E			YP_010078013.1	YP_010078013.1 uncharacterized protein KMC41_gp68 [Halobacterium phage ChaoS9]	False	0.92	325.0	1.905e-101												0	False	T
MK310226.1_66	MK310226	MK310226.1	66	44124	44255	1	E			YP_010078014.1	YP_010078014.1 CxxC motif protein [Halobacterium phage ChaoS9]	False	1.0	105.0	1.666e-27												0	False	T
MK310226.1_67	MK310226	MK310226.1	67	44312	45400	1	D			YP_010078015.1	YP_010078015.1 Orc1-type DNA replication protein [Halobacterium phage ChaoS9]	True	0.955	709.0	1.943e-230								AAA domain [PF13401.9]; Bacterial TniB protein [PF05621.14]	VOG00428	sp|B6YUE9|CDC6_THEON ORC1-type DNA replication protein; XhXr	Xr;Xh	0	False	VT
MK310226.1_68	MK310226	MK310226.1	68	45482	45709	-1	E			YP_010078016.1	YP_010078016.1 uncharacterized protein KMC41_gp71 [Halobacterium phage ChaoS9]	False	0.901	143.0	3.832e-40												0	False	T
MK310226.1_69	MK310226	MK310226.1	69	45837	45992	1	E			YP_010078017.1	YP_010078017.1 uncharacterized protein KMC41_gp72 [Halobacterium phage ChaoS9]	False	0.912	100.0	2.155e-25									VOG05954	REFSEQ hypothetical protein; Xu	Xu	0	False	T
MK310226.1_70	MK310226	MK310226.1	70	46369	46905	1	E			YP_010078018.1	YP_010078018.1 uncharacterized protein KMC41_gp73 [Halobacterium phage ChaoS9]	True	0.941	353.0	5.709e-111												0	False	T
MK310226.1_71	MK310226	MK310226.1	71	46902	47177	1	E			YP_010078019.1	YP_010078019.1 uncharacterized protein KMC41_gp74 [Halobacterium phage ChaoS9]	False	0.921	178.0	9.359e-52												0	False	T
MK310226.1_72	MK310226	MK310226.1	72	47179	47979	1	E			YP_010078020.1	YP_010078020.1 HNH endonuclease [Halobacterium phage ChaoS9]	True	1.0	565.0	1.042e-182												0	False	T
MK310226.1_73	MK310226	MK310226.1	73	47976	48068	1	E																				0	False	T
MK310226.1_74	MK310226	MK310226.1	74	48394	51690	1	D			YP_010078023.1	YP_010078023.1 replication protein [Halobacterium phage ChaoS9]	True	0.959	2214.0	0.0								Domain of unknown function (DUF5817) [PF19134.3]	VOG00337	REFSEQ hypothetical protein; Xu	Xu	0	False	TF
MK310226.1_75	MK310226	MK310226.1	75	51683	51925	1	E			YP_010078024.1	YP_010078024.1 MarR family transcription regulator [Halobacterium phage ChaoS9]	False	0.952	162.0	1.239e-46												0	False	TF
MK310226.1_76	MK310226	MK310226.1	76	51932	52591	1	E			YP_010078025.1	YP_010078025.1 CxxC motif protein [Halobacterium phage ChaoS9]	True	0.986	458.0	1.99e-146												0	False	TF
MK310226.1_77	MK310226	MK310226.1	77	53208	53453	1	E			YP_010078026.1	YP_010078026.1 transmembrane domain protein [Halobacterium phage ChaoS9]	False	0.88	151.0	1.7299999999999997e-42									VOG11955	REFSEQ transmembrane domain protein; Xu	Xu	0	False	TF
MK310226.1_78	MK310226	MK310226.1	78	53422	53769	1	E			YP_010078027.1	YP_010078027.1 holin [Halobacterium phage ChaoS9]	False	0.929	211.0	1.211e-62									VOG11957	REFSEQ holin; Xu	Xu	0	False	TF
MK310226.1_79	MK310226	MK310226.1	79	53766	54455	1	E			YP_010078028.1	YP_010078028.1 uncharacterized protein KMC41_gp83 [Halobacterium phage ChaoS9]	True	0.99	481.0	3.642e-154									VOG01682	REFSEQ hypothetical protein; Xu	Xu	0	False	TF
MK310226.1_80	MK310226	MK310226.1	80	54460	54705	1	D			YP_010078029.1	YP_010078029.1 DUF217 domain protein [Halobacterium phage ChaoS9]	False	0.954	165.0	1.951e-47								Putative antitoxin [PF02697.17]	VOG25499	REFSEQ DUF217 domain protein; Xu	Xu	0	False	TF
MK310226.1_81	MK310226	MK310226.1	81	54734	54922	1	E			YP_010078030.1	YP_010078030.1 CxxC motif protein [Halobacterium phage ChaoS9]	False	1.0	146.0	2.166e-41									VOG11958	REFSEQ CxxC motif protein; Xu	Xu	0	False	TF
MK310226.1_82	MK310226	MK310226.1	82	54915	55145	1	D			YP_010077948.1	YP_010077948.1 HNH endonuclease [Halobacterium phage ChaoS9]	False	1.0	176.0	1.5729999999999998e-51								HNH endonuclease [PF01844.26]	VOG02117	REFSEQ HNH endonuclease; Xu	Xu	1	False	TF
