KC117378.1_orf89	bc6c0b741aadfe46bf599da3c56100e2	541	Pfam	PF13229	Right handed beta helix region	150	250	1.6E-6	T	24-06-2023	IPR039448	Right handed beta helix domain
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	MobiDBLite	mobidb-lite	consensus disorder prediction	150	177	-	T	24-06-2023	-	-
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	MobiDBLite	mobidb-lite	consensus disorder prediction	112	138	-	T	24-06-2023	-	-
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	SUPERFAMILY	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	323	560	8.46E-50	T	24-06-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	Coils	Coil	Coil	291	311	-	T	24-06-2023	-	-
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	MobiDBLite	mobidb-lite	consensus disorder prediction	25	45	-	T	24-06-2023	-	-
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	Pfam	PF01555	DNA methylase	348	549	6.0E-32	T	24-06-2023	IPR002941	DNA methylase N-4/N-6
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	MobiDBLite	mobidb-lite	consensus disorder prediction	119	134	-	T	24-06-2023	-	-
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	ProSitePatterns	PS00093	N-4 cytosine-specific DNA methylases signature.	352	357	-	T	24-06-2023	IPR017985	DNA methylase, N-4 cytosine-specific, conserved site
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	SUPERFAMILY	SSF110849	ParB/Sulfiredoxin	184	304	2.62E-22	T	24-06-2023	IPR036086	ParB/Sulfiredoxin superfamily
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	SMART	SM00470	ParB_7	182	268	1.1E-14	T	24-06-2023	IPR003115	ParB/Sulfiredoxin
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	Gene3D	G3DSA:3.90.1530.10	-	182	269	2.4E-12	T	24-06-2023	-	-
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	Gene3D	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	320	574	8.0E-55	T	24-06-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	Pfam	PF02195	ParB/Sulfiredoxin domain	184	261	5.2E-8	T	24-06-2023	IPR003115	ParB/Sulfiredoxin
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	PRINTS	PR00508	S21 class N4 adenine-specific DNA methyltransferase signature	497	514	1.5E-23	T	24-06-2023	IPR001091	Restriction/modification DNA-methyltransferase
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	PRINTS	PR00508	S21 class N4 adenine-specific DNA methyltransferase signature	516	534	1.5E-23	T	24-06-2023	IPR001091	Restriction/modification DNA-methyltransferase
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	PRINTS	PR00508	S21 class N4 adenine-specific DNA methyltransferase signature	539	559	1.5E-23	T	24-06-2023	IPR001091	Restriction/modification DNA-methyltransferase
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	PRINTS	PR00508	S21 class N4 adenine-specific DNA methyltransferase signature	347	361	1.5E-23	T	24-06-2023	IPR001091	Restriction/modification DNA-methyltransferase
KC117378.1_orf368	eb7d1a6ee67ee4a9e838c0c3988950bc	575	PRINTS	PR00508	S21 class N4 adenine-specific DNA methyltransferase signature	389	409	1.5E-23	T	24-06-2023	IPR001091	Restriction/modification DNA-methyltransferase
KC117378.1_orf494	d93caeea1ca65fe963f62f82881caed5	491	MobiDBLite	mobidb-lite	consensus disorder prediction	127	148	-	T	24-06-2023	-	-
KC117378.1_orf494	d93caeea1ca65fe963f62f82881caed5	491	MobiDBLite	mobidb-lite	consensus disorder prediction	127	160	-	T	24-06-2023	-	-
KC117378.1_orf329	2e1707ef31f503cc7738ccbc63700b86	775	Pfam	PF17207	MCM OB domain	188	292	2.9E-18	T	24-06-2023	IPR033762	MCM OB domain
KC117378.1_orf329	2e1707ef31f503cc7738ccbc63700b86	775	PANTHER	PTHR11630	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	104	732	1.9E-100	T	24-06-2023	IPR031327	Mini-chromosome maintenance protein
KC117378.1_orf329	2e1707ef31f503cc7738ccbc63700b86	775	Gene3D	G3DSA:2.20.28.10	-	213	262	1.4E-29	T	24-06-2023	-	-
KC117378.1_orf329	2e1707ef31f503cc7738ccbc63700b86	775	MobiDBLite	mobidb-lite	consensus disorder prediction	35	49	-	T	24-06-2023	-	-
KC117378.1_orf329	2e1707ef31f503cc7738ccbc63700b86	775	SMART	SM00350	mcm	182	691	3.9E-23	T	24-06-2023	IPR031327	Mini-chromosome maintenance protein
KC117378.1_orf329	2e1707ef31f503cc7738ccbc63700b86	775	MobiDBLite	mobidb-lite	consensus disorder prediction	1	51	-	T	24-06-2023	-	-
KC117378.1_orf329	2e1707ef31f503cc7738ccbc63700b86	775	Gene3D	G3DSA:3.30.1640.10	-	78	181	1.6E-20	T	24-06-2023	-	-
KC117378.1_orf329	2e1707ef31f503cc7738ccbc63700b86	775	Gene3D	G3DSA:3.40.50.300	-	349	699	6.5E-69	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
KC117378.1_orf329	2e1707ef31f503cc7738ccbc63700b86	775	Pfam	PF17855	MCM AAA-lid domain	607	688	4.1E-19	T	24-06-2023	IPR041562	MCM, AAA-lid domain
KC117378.1_orf329	2e1707ef31f503cc7738ccbc63700b86	775	FunFam	G3DSA:2.20.28.10:FF:000003	DNA helicase	213	262	5.4E-11	T	24-06-2023	-	-
KC117378.1_orf329	2e1707ef31f503cc7738ccbc63700b86	775	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins	107	334	3.26E-34	T	24-06-2023	IPR012340	Nucleic acid-binding, OB-fold
KC117378.1_orf329	2e1707ef31f503cc7738ccbc63700b86	775	ProSiteProfiles	PS50051	MCM family domain profile.	365	578	29.985048	T	24-06-2023	IPR001208	MCM domain
KC117378.1_orf329	2e1707ef31f503cc7738ccbc63700b86	775	Coils	Coil	Coil	483	503	-	T	24-06-2023	-	-
KC117378.1_orf329	2e1707ef31f503cc7738ccbc63700b86	775	Pfam	PF00493	MCM P-loop domain	355	582	1.1E-38	T	24-06-2023	IPR001208	MCM domain
KC117378.1_orf329	2e1707ef31f503cc7738ccbc63700b86	775	Gene3D	G3DSA:2.40.50.140	-	188	329	1.4E-29	T	24-06-2023	IPR012340	Nucleic acid-binding, OB-fold
KC117378.1_orf329	2e1707ef31f503cc7738ccbc63700b86	775	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	410	685	5.0E-20	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
KC117378.1_orf48	34c7da903e33de8da233a1021fcf0ea6	889	Pfam	PF04860	Phage portal protein	223	556	4.2E-25	T	24-06-2023	IPR006944	Bacteriophage/Gene transfer agent portal protein
KC117378.1_orf48	34c7da903e33de8da233a1021fcf0ea6	889	Pfam	PF04233	Phage Mu protein F like protein	749	869	1.7E-9	T	24-06-2023	IPR006528	Phage head morphogenesis domain
