MZ334524.1_61	77e5b06b1557473c9f9c7d642ac47976	219	Pfam	PF10263	SprT-like family	68	148	5.3E-10	T	10-07-2023	IPR006640	SprT-like
MZ334524.1_48	5fe816f9f1bc6b59eda3c25e26c57085	231	SUPERFAMILY	SSF47781	RuvA domain 2-like	175	227	2.78E-11	T	10-07-2023	IPR010994	RuvA domain 2-like
MZ334524.1_48	5fe816f9f1bc6b59eda3c25e26c57085	231	SUPERFAMILY	SSF52980	Restriction endonuclease-like	6	136	1.77E-9	T	10-07-2023	IPR011335	Restriction endonuclease  type II-like
MZ334524.1_1	9299268e5cf2c707296f874bdd5e79ad	102	MobiDBLite	mobidb-lite	consensus disorder prediction	82	102	-	T	10-07-2023	-	-
MZ334524.1_65	670d0e2b48d34fa7f3352d17881a2c2a	208	FunFam	G3DSA:3.30.1130.10:FF:000001	GTP cyclohydrolase 1	72	205	6.7E-49	T	10-07-2023	-	-
MZ334524.1_65	670d0e2b48d34fa7f3352d17881a2c2a	208	Gene3D	G3DSA:1.10.286.10	-	5	70	4.1E-11	T	10-07-2023	IPR043134	GTP cyclohydrolase I, N-terminal domain
MZ334524.1_65	670d0e2b48d34fa7f3352d17881a2c2a	208	Hamap	MF_00223	GTP cyclohydrolase 1 [folE].	20	205	33.848194	T	10-07-2023	IPR001474	GTP cyclohydrolase I
MZ334524.1_65	670d0e2b48d34fa7f3352d17881a2c2a	208	Pfam	PF01227	GTP cyclohydrolase I	26	204	1.5E-62	T	10-07-2023	IPR020602	GTP cyclohydrolase I domain
MZ334524.1_65	670d0e2b48d34fa7f3352d17881a2c2a	208	ProSitePatterns	PS00860	GTP cyclohydrolase I signature 2.	132	142	-	T	10-07-2023	IPR018234	GTP cyclohydrolase I, conserved site
MZ334524.1_65	670d0e2b48d34fa7f3352d17881a2c2a	208	TIGRFAM	TIGR00063	folE: GTP cyclohydrolase I	29	205	2.7E-59	T	10-07-2023	IPR001474	GTP cyclohydrolase I
MZ334524.1_65	670d0e2b48d34fa7f3352d17881a2c2a	208	Gene3D	G3DSA:3.30.1130.10	-	73	207	1.1E-51	T	10-07-2023	IPR043133	GTP cyclohydrolase I, C-terminal/NADPH-dependent 7-cyano-7-deazaguanine reductase
MZ334524.1_65	670d0e2b48d34fa7f3352d17881a2c2a	208	PANTHER	PTHR11109	GTP CYCLOHYDROLASE I	14	205	9.6E-58	T	10-07-2023	IPR001474	GTP cyclohydrolase I
MZ334524.1_65	670d0e2b48d34fa7f3352d17881a2c2a	208	SUPERFAMILY	SSF55620	Tetrahydrobiopterin biosynthesis enzymes-like	16	205	8.89E-64	T	10-07-2023	-	-
MZ334524.1_4	40b253781e08486373dad616a6dc512d	87	Pfam	PF16468	Domain of unknown function (DUF5049)	6	53	5.5E-15	T	10-07-2023	IPR032488	Protein of unknown function DUF5049
MZ334524.1_29	96e6d2208f1ab4d75c616fe5d2549275	136	Coils	Coil	Coil	131	136	-	T	10-07-2023	-	-
MZ334524.1_29	96e6d2208f1ab4d75c616fe5d2549275	136	MobiDBLite	mobidb-lite	consensus disorder prediction	1	22	-	T	10-07-2023	-	-
MZ334524.1_62	5dbea7c0bb4dbde43d532b9a5bd37c17	232	Coils	Coil	Coil	2	22	-	T	10-07-2023	-	-
MZ334524.1_62	5dbea7c0bb4dbde43d532b9a5bd37c17	232	MobiDBLite	mobidb-lite	consensus disorder prediction	90	118	-	T	10-07-2023	-	-
MZ334524.1_62	5dbea7c0bb4dbde43d532b9a5bd37c17	232	MobiDBLite	mobidb-lite	consensus disorder prediction	1	21	-	T	10-07-2023	-	-
MZ334524.1_62	5dbea7c0bb4dbde43d532b9a5bd37c17	232	MobiDBLite	mobidb-lite	consensus disorder prediction	76	133	-	T	10-07-2023	-	-
MZ334524.1_64	648598fc7e30434a2cf09000e6b6b5e9	387	MobiDBLite	mobidb-lite	consensus disorder prediction	30	63	-	T	10-07-2023	-	-
MZ334524.1_64	648598fc7e30434a2cf09000e6b6b5e9	387	MobiDBLite	mobidb-lite	consensus disorder prediction	1	70	-	T	10-07-2023	-	-
MZ334524.1_64	648598fc7e30434a2cf09000e6b6b5e9	387	Pfam	PF20314	Family of unknown function (DUF6610)	135	373	1.5E-73	T	10-07-2023	IPR046718	Protein of unknown function DUF6610
MZ334524.1_116	f170012361558cb2e427babe0915a327	182	MobiDBLite	mobidb-lite	consensus disorder prediction	56	82	-	T	10-07-2023	-	-
MZ334524.1_116	f170012361558cb2e427babe0915a327	182	MobiDBLite	mobidb-lite	consensus disorder prediction	49	82	-	T	10-07-2023	-	-
MZ334524.1_77	e3646377dc3814338a020a4fde46f7da	50	MobiDBLite	mobidb-lite	consensus disorder prediction	25	50	-	T	10-07-2023	-	-
MZ334524.1_77	e3646377dc3814338a020a4fde46f7da	50	MobiDBLite	mobidb-lite	consensus disorder prediction	1	50	-	T	10-07-2023	-	-
MZ334524.1_105	150403e6230567054f22abe47d5421b2	1046	Gene3D	G3DSA:3.40.390.10	Collagenase (Catalytic Domain)	662	795	2.2E-5	T	10-07-2023	IPR024079	Metallopeptidase, catalytic domain superfamily
MZ334524.1_105	150403e6230567054f22abe47d5421b2	1046	Coils	Coil	Coil	1039	1046	-	T	10-07-2023	-	-
MZ334524.1_36	ea820ae5498a6469ac6c776673bcec7c	249	PANTHER	PTHR34934	FLAVIN-DEPENDENT THYMIDYLATE SYNTHASE	1	241	2.3E-47	T	10-07-2023	IPR003669	Thymidylate synthase ThyX
MZ334524.1_36	ea820ae5498a6469ac6c776673bcec7c	249	TIGRFAM	TIGR02170	thyX: thymidylate synthase, flavin-dependent	3	236	4.6E-65	T	10-07-2023	IPR003669	Thymidylate synthase ThyX
MZ334524.1_36	ea820ae5498a6469ac6c776673bcec7c	249	Pfam	PF02511	Thymidylate synthase complementing protein	4	230	4.1E-57	T	10-07-2023	IPR003669	Thymidylate synthase ThyX
MZ334524.1_36	ea820ae5498a6469ac6c776673bcec7c	249	CDD	cd20175	ThyX	4	226	7.02727E-48	T	10-07-2023	IPR003669	Thymidylate synthase ThyX
MZ334524.1_36	ea820ae5498a6469ac6c776673bcec7c	249	Hamap	MF_01408	Flavin-dependent thymidylate synthase [thyX].	1	244	27.440746	T	10-07-2023	IPR003669	Thymidylate synthase ThyX
MZ334524.1_36	ea820ae5498a6469ac6c776673bcec7c	249	ProSiteProfiles	PS51331	Flavin-dependent thymidylate synthase (thyX) domain profile.	1	239	25.311745	T	10-07-2023	IPR003669	Thymidylate synthase ThyX
MZ334524.1_36	ea820ae5498a6469ac6c776673bcec7c	249	SUPERFAMILY	SSF69796	Thymidylate synthase-complementing protein Thy1	1	237	4.97E-54	T	10-07-2023	IPR036098	Thymidylate synthase ThyX superfamily
MZ334524.1_36	ea820ae5498a6469ac6c776673bcec7c	249	Gene3D	G3DSA:3.30.1360.170	-	1	245	4.7E-56	T	10-07-2023	IPR036098	Thymidylate synthase ThyX superfamily
MZ334524.1_90	e439a032234eeaacf3cc5a724a5cd5af	74	MobiDBLite	mobidb-lite	consensus disorder prediction	1	31	-	T	10-07-2023	-	-
MZ334524.1_90	e439a032234eeaacf3cc5a724a5cd5af	74	MobiDBLite	mobidb-lite	consensus disorder prediction	1	21	-	T	10-07-2023	-	-
MZ334524.1_126	29274803df39f4b92c88f1bd0d924328	439	MobiDBLite	mobidb-lite	consensus disorder prediction	217	237	-	T	10-07-2023	-	-
MZ334524.1_76	eca99376a7491df71f50daf23012ebb5	365	MobiDBLite	mobidb-lite	consensus disorder prediction	138	163	-	T	10-07-2023	-	-
MZ334524.1_76	eca99376a7491df71f50daf23012ebb5	365	MobiDBLite	mobidb-lite	consensus disorder prediction	350	365	-	T	10-07-2023	-	-
MZ334524.1_76	eca99376a7491df71f50daf23012ebb5	365	MobiDBLite	mobidb-lite	consensus disorder prediction	138	161	-	T	10-07-2023	-	-
MZ334524.1_76	eca99376a7491df71f50daf23012ebb5	365	MobiDBLite	mobidb-lite	consensus disorder prediction	301	365	-	T	10-07-2023	-	-
MZ334524.1_76	eca99376a7491df71f50daf23012ebb5	365	MobiDBLite	mobidb-lite	consensus disorder prediction	310	334	-	T	10-07-2023	-	-
MZ334524.1_60	77a6a7f3bbf10b80ce6b82896a1243eb	148	MobiDBLite	mobidb-lite	consensus disorder prediction	1	24	-	T	10-07-2023	-	-
MZ334524.1_28	9fa7a876b87cfed75fb9bae582737539	420	MobiDBLite	mobidb-lite	consensus disorder prediction	198	268	-	T	10-07-2023	-	-
MZ334524.1_28	9fa7a876b87cfed75fb9bae582737539	420	Coils	Coil	Coil	364	384	-	T	10-07-2023	-	-
MZ334524.1_28	9fa7a876b87cfed75fb9bae582737539	420	MobiDBLite	mobidb-lite	consensus disorder prediction	200	242	-	T	10-07-2023	-	-
MZ334524.1_28	9fa7a876b87cfed75fb9bae582737539	420	MobiDBLite	mobidb-lite	consensus disorder prediction	63	77	-	T	10-07-2023	-	-
MZ334524.1_28	9fa7a876b87cfed75fb9bae582737539	420	MobiDBLite	mobidb-lite	consensus disorder prediction	37	62	-	T	10-07-2023	-	-
MZ334524.1_28	9fa7a876b87cfed75fb9bae582737539	420	MobiDBLite	mobidb-lite	consensus disorder prediction	371	396	-	T	10-07-2023	-	-
MZ334524.1_28	9fa7a876b87cfed75fb9bae582737539	420	Coils	Coil	Coil	309	343	-	T	10-07-2023	-	-
MZ334524.1_28	9fa7a876b87cfed75fb9bae582737539	420	MobiDBLite	mobidb-lite	consensus disorder prediction	243	261	-	T	10-07-2023	-	-
MZ334524.1_28	9fa7a876b87cfed75fb9bae582737539	420	Coils	Coil	Coil	276	296	-	T	10-07-2023	-	-
MZ334524.1_28	9fa7a876b87cfed75fb9bae582737539	420	MobiDBLite	mobidb-lite	consensus disorder prediction	1	78	-	T	10-07-2023	-	-
MZ334524.1_69	4050a33194e8aa6248b67f2d77ed4e8d	262	Pfam	PF13394	4Fe-4S single cluster domain	29	147	2.2E-9	T	10-07-2023	-	-
MZ334524.1_69	4050a33194e8aa6248b67f2d77ed4e8d	262	Gene3D	G3DSA:3.20.20.70	Aldolase class I	8	255	2.7E-36	T	10-07-2023	IPR013785	Aldolase-type TIM barrel
MZ334524.1_69	4050a33194e8aa6248b67f2d77ed4e8d	262	PANTHER	PTHR42836	7-CARBOXY-7-DEAZAGUANINE SYNTHASE	5	257	1.4E-30	T	10-07-2023	-	-
MZ334524.1_69	4050a33194e8aa6248b67f2d77ed4e8d	262	SUPERFAMILY	SSF102114	Radical SAM enzymes	101	169	1.47E-5	T	10-07-2023	-	-
MZ334524.1_69	4050a33194e8aa6248b67f2d77ed4e8d	262	ProSiteProfiles	PS51918	Radical SAM core domain profile.	23	258	12.791215	T	10-07-2023	IPR007197	Radical SAM
MZ334524.1_69	4050a33194e8aa6248b67f2d77ed4e8d	262	Hamap	MF_00917	7-carboxy-7-deazaguanine synthase [queE].	8	259	31.738289	T	10-07-2023	IPR024924	7-carboxy-7-deazaguanine synthase-like
MZ334524.1_75	0c1f0af4d28c10fed52cc3d9c0dd9c8b	153	Pfam	PF14489	QueF-like protein	69	148	6.8E-17	T	10-07-2023	IPR029500	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF
MZ334524.1_75	0c1f0af4d28c10fed52cc3d9c0dd9c8b	153	Gene3D	G3DSA:3.30.1130.10	-	14	153	1.6E-31	T	10-07-2023	IPR043133	GTP cyclohydrolase I, C-terminal/NADPH-dependent 7-cyano-7-deazaguanine reductase
MZ334524.1_75	0c1f0af4d28c10fed52cc3d9c0dd9c8b	153	PANTHER	PTHR34354	NADPH-DEPENDENT 7-CYANO-7-DEAZAGUANINE REDUCTASE	68	149	4.6E-17	T	10-07-2023	-	-
MZ334524.1_75	0c1f0af4d28c10fed52cc3d9c0dd9c8b	153	SUPERFAMILY	SSF55620	Tetrahydrobiopterin biosynthesis enzymes-like	65	124	8.89E-10	T	10-07-2023	-	-
MZ334524.1_120	6d81d87b2a3d85db301ad16f35f55633	189	Coils	Coil	Coil	52	75	-	T	10-07-2023	-	-
MZ334524.1_120	6d81d87b2a3d85db301ad16f35f55633	189	MobiDBLite	mobidb-lite	consensus disorder prediction	101	121	-	T	10-07-2023	-	-
MZ334524.1_109	52c16de11ab9fa7ba000213f11b336a6	665	MobiDBLite	mobidb-lite	consensus disorder prediction	341	368	-	T	10-07-2023	-	-
MZ334524.1_109	52c16de11ab9fa7ba000213f11b336a6	665	MobiDBLite	mobidb-lite	consensus disorder prediction	564	605	-	T	10-07-2023	-	-
MZ334524.1_109	52c16de11ab9fa7ba000213f11b336a6	665	MobiDBLite	mobidb-lite	consensus disorder prediction	469	665	-	T	10-07-2023	-	-
MZ334524.1_109	52c16de11ab9fa7ba000213f11b336a6	665	MobiDBLite	mobidb-lite	consensus disorder prediction	486	506	-	T	10-07-2023	-	-
MZ334524.1_109	52c16de11ab9fa7ba000213f11b336a6	665	MobiDBLite	mobidb-lite	consensus disorder prediction	606	622	-	T	10-07-2023	-	-
MZ334524.1_109	52c16de11ab9fa7ba000213f11b336a6	665	MobiDBLite	mobidb-lite	consensus disorder prediction	521	563	-	T	10-07-2023	-	-
MZ334524.1_104	db5a0efd419e05e732cc000640ebfb3c	623	MobiDBLite	mobidb-lite	consensus disorder prediction	519	623	-	T	10-07-2023	-	-
MZ334524.1_104	db5a0efd419e05e732cc000640ebfb3c	623	Coils	Coil	Coil	469	489	-	T	10-07-2023	-	-
MZ334524.1_104	db5a0efd419e05e732cc000640ebfb3c	623	MobiDBLite	mobidb-lite	consensus disorder prediction	28	48	-	T	10-07-2023	-	-
MZ334524.1_46	5091e837d2f7019db5d1a8bda6743322	483	Gene3D	G3DSA:3.90.1860.10	-	273	483	1.4E-30	T	10-07-2023	IPR036025	tRNA-splicing ligase RtcB-like superfamily
MZ334524.1_46	5091e837d2f7019db5d1a8bda6743322	483	Gene3D	G3DSA:3.90.1860.10	-	5	253	4.1E-36	T	10-07-2023	IPR036025	tRNA-splicing ligase RtcB-like superfamily
MZ334524.1_46	5091e837d2f7019db5d1a8bda6743322	483	Coils	Coil	Coil	476	483	-	T	10-07-2023	-	-
MZ334524.1_46	5091e837d2f7019db5d1a8bda6743322	483	Pfam	PF01139	tRNA-splicing ligase RtcB	27	233	2.0E-30	T	10-07-2023	IPR001233	RNA-splicing ligase, RtcB
MZ334524.1_46	5091e837d2f7019db5d1a8bda6743322	483	PANTHER	PTHR43749	RNA-SPLICING LIGASE RTCB	10	481	4.0E-92	T	10-07-2023	-	-
MZ334524.1_46	5091e837d2f7019db5d1a8bda6743322	483	SUPERFAMILY	SSF103365	Hypothetical protein PH1602	9	481	1.16E-90	T	10-07-2023	IPR036025	tRNA-splicing ligase RtcB-like superfamily
MZ334524.1_46	5091e837d2f7019db5d1a8bda6743322	483	Pfam	PF01139	tRNA-splicing ligase RtcB	304	480	2.6E-30	T	10-07-2023	IPR001233	RNA-splicing ligase, RtcB
MZ334524.1_56	9b1d8169f5637a1a941815d2ff74724b	729	SMART	SM00327	VWA_4	566	729	0.0011	T	10-07-2023	IPR002035	von Willebrand factor, type A
MZ334524.1_56	9b1d8169f5637a1a941815d2ff74724b	729	Coils	Coil	Coil	440	460	-	T	10-07-2023	-	-
MZ334524.1_56	9b1d8169f5637a1a941815d2ff74724b	729	MobiDBLite	mobidb-lite	consensus disorder prediction	433	463	-	T	10-07-2023	-	-
MZ334524.1_56	9b1d8169f5637a1a941815d2ff74724b	729	ProSiteProfiles	PS50234	VWFA domain profile.	568	729	9.407561	T	10-07-2023	IPR002035	von Willebrand factor, type A
MZ334524.1_56	9b1d8169f5637a1a941815d2ff74724b	729	CDD	cd00198	vWFA	570	716	1.35485E-9	T	10-07-2023	-	-
MZ334524.1_56	9b1d8169f5637a1a941815d2ff74724b	729	SUPERFAMILY	SSF53300	vWA-like	566	704	3.52E-14	T	10-07-2023	IPR036465	von Willebrand factor A-like domain superfamily
MZ334524.1_56	9b1d8169f5637a1a941815d2ff74724b	729	Gene3D	G3DSA:3.40.50.410	von Willebrand factor, type A domain	568	721	5.3E-14	T	10-07-2023	IPR036465	von Willebrand factor A-like domain superfamily
MZ334524.1_56	9b1d8169f5637a1a941815d2ff74724b	729	MobiDBLite	mobidb-lite	consensus disorder prediction	1	37	-	T	10-07-2023	-	-
MZ334524.1_56	9b1d8169f5637a1a941815d2ff74724b	729	MobiDBLite	mobidb-lite	consensus disorder prediction	523	541	-	T	10-07-2023	-	-
MZ334524.1_56	9b1d8169f5637a1a941815d2ff74724b	729	MobiDBLite	mobidb-lite	consensus disorder prediction	286	467	-	T	10-07-2023	-	-
MZ334524.1_56	9b1d8169f5637a1a941815d2ff74724b	729	MobiDBLite	mobidb-lite	consensus disorder prediction	330	432	-	T	10-07-2023	-	-
MZ334524.1_56	9b1d8169f5637a1a941815d2ff74724b	729	Pfam	PF13519	von Willebrand factor type A domain	570	670	4.7E-6	T	10-07-2023	IPR002035	von Willebrand factor, type A
MZ334524.1_56	9b1d8169f5637a1a941815d2ff74724b	729	MobiDBLite	mobidb-lite	consensus disorder prediction	523	560	-	T	10-07-2023	-	-
MZ334524.1_33	71f926fad76e27170aef55d0f58187b6	122	Pfam	PF19118	Family of unknown function (DUF5802)	6	107	2.3E-11	T	10-07-2023	IPR043825	Protein of unknown function DUF5802
MZ334524.1_103	abf28c0436794006601e48cdf6b1466c	481	Gene3D	G3DSA:3.30.420.280	-	275	465	1.2E-35	T	10-07-2023	-	-
MZ334524.1_103	abf28c0436794006601e48cdf6b1466c	481	Gene3D	G3DSA:3.40.50.300	-	16	246	1.5E-37	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334524.1_103	abf28c0436794006601e48cdf6b1466c	481	Pfam	PF03237	Terminase large subunit, T4likevirus-type, N-terminal	30	252	1.9E-9	T	10-07-2023	-	-
MZ334524.1_103	abf28c0436794006601e48cdf6b1466c	481	PANTHER	PTHR39184	-	141	456	1.4E-10	T	10-07-2023	-	-
MZ334524.1_103	abf28c0436794006601e48cdf6b1466c	481	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	11	167	1.76E-7	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334524.1_108	d3417934b9cd4999a90f50f564358580	53	MobiDBLite	mobidb-lite	consensus disorder prediction	33	47	-	T	10-07-2023	-	-
MZ334524.1_108	d3417934b9cd4999a90f50f564358580	53	MobiDBLite	mobidb-lite	consensus disorder prediction	1	53	-	T	10-07-2023	-	-
MZ334524.1_108	d3417934b9cd4999a90f50f564358580	53	MobiDBLite	mobidb-lite	consensus disorder prediction	1	21	-	T	10-07-2023	-	-
MZ334524.1_132	23eeacf5c99c4faf1f96ecd7c55d4ed2	143	Pfam	PF13456	Reverse transcriptase-like	55	137	2.8E-5	T	10-07-2023	IPR002156	Ribonuclease H domain
MZ334524.1_132	23eeacf5c99c4faf1f96ecd7c55d4ed2	143	Gene3D	G3DSA:3.30.420.10	-	4	143	6.9E-10	T	10-07-2023	IPR036397	Ribonuclease H superfamily
MZ334524.1_132	23eeacf5c99c4faf1f96ecd7c55d4ed2	143	SUPERFAMILY	SSF53098	Ribonuclease H-like	56	139	1.15E-6	T	10-07-2023	IPR012337	Ribonuclease H-like superfamily
MZ334524.1_113	a8cdac8c225b2af69cd27fb2ddab452b	147	MobiDBLite	mobidb-lite	consensus disorder prediction	53	97	-	T	10-07-2023	-	-
MZ334524.1_113	a8cdac8c225b2af69cd27fb2ddab452b	147	MobiDBLite	mobidb-lite	consensus disorder prediction	9	25	-	T	10-07-2023	-	-
MZ334524.1_113	a8cdac8c225b2af69cd27fb2ddab452b	147	MobiDBLite	mobidb-lite	consensus disorder prediction	1	25	-	T	10-07-2023	-	-
MZ334524.1_138	6c6f621d172976d64035665bd2641ae0	158	MobiDBLite	mobidb-lite	consensus disorder prediction	1	23	-	T	10-07-2023	-	-
MZ334524.1_100	c96e27e3ee29ac7cc5c45e8bb16b0d7f	146	MobiDBLite	mobidb-lite	consensus disorder prediction	1	62	-	T	10-07-2023	-	-
